Date,CASH_CASH_EQTY_STI_DETAILED,BS_CASH_NEAR_CASH_ITEM,BS_MKT_SEC_OTHER_ST_INVEST,BS_ACCT_NOTE_RCV,BS_ACCTS_REC_EXCL_NOTES_REC,NOTES_RECEIVABLE,BS_UNBILLED_REVENUES,BS_INVENTORIES,INVTRY_RAW_MATERIALS,INVTRY_IN_PROGRESS,INVTRY_FINISHED_GOODS,BS_OTHER_INV,OTHER_CURRENT_ASSETS_DETAILED,BS_PREPAY,BS_DERIV_HEDGING_ASST_ST,BS_TAXES_RECEIVABLE_SHORT_TERM,BS_OTHER_CUR_ASSET_LESS_PREPAY,BS_CUR_ASSET_REPORT,BS_NET_FIX_ASSET,BS_GROSS_FIX_ASSET,BS_ACCUM_DEPR,BS_LT_INVEST,BS_LONG_TERM_INVESTMENTS,BS_LT_RECEIVABLES,BS_OTHER_ASSETS_DEF_CHRG_OTHER,BS_DISCLOSED_INTANGIBLES,BS_GOODWILL,OTHER_INTANGIBLE_ASSETS_DETAILED,BS_PREPAID_EXPENSE_LT,BS_DEFERRED_TAX_ASSETS_LT,BS_DERIV_HEDGING_ASST_LT,BS_INVEST_IN_ASSOC_CO,OTHER_NONCURRENT_ASSETS_DETAILED,BS_TOT_NON_CUR_ASSET,BS_TOT_ASSET,CF_NET_INC,CF_CASH_FROM_OPER,FIXED_INTANG_ASST_CHANGE,DISPOSAL_OF_FIXED_INTANG,ACQUIS_OF_FIXED_INTANG,NET_CHG_IN_LT_INVEST_DETAILED,CF_DECR_INVEST,CF_INCR_INVEST,CF_NT_CSH_RCVD_PD_FOR_ACQUIS_DIV,CF_CASH_FOR_DIVESTITURES,CF_CASH_FOR_ACQUIS_SUBSIDIARIES,CF_CASH_FOR_JOINT_VENTURES_ASSOC,OTHER_INVESTING_ACT_DETAILED,CF_NET_CASH_DISCONTINUED_OPS_INV,CF_CASH_FROM_INV_ACT,CF_DVD_PAID,PROC_FR_REPAYMNTS_BOR_DETAILED,PROC_FR_REPURCH_EQTY_DETAILED,CF_INCR_CAP_STOCK,CF_DECR_CAP_STOCK,OTHER_FIN_AND_DEC_CAP,CF_NET_CASH_DISCONTINUED_OPS_FIN,CFF_ACTIVITIES_DETAILED,CF_EFFECT_FOREIGN_EXCHANGES,CF_NET_CHNG_CASH,CF_CASH_PAID_FOR_TAX,CF_NET_CASH_PAID_FOR_AQUIS,CF_FREE_CASH_FLOW,CF_FREE_CASH_FLOW_FIRM,FREE_CASH_FLOW_EQUITY,FREE_CASH_FLOW_PER_SH,PX_TO_FREE_CASH_FLOW,CASH_FLOW_TO_NET_INC,SALES_REV_TURN,IS_SALES_AND_SERVICES_REVENUES,IS_COGS_TO_FE_AND_PP_AND_G,IS_COG_AND_SERVICES_SOLD,GROSS_PROFIT,IS_OTHER_OPER_INC,IS_OPERATING_EXPN,IS_SGA_EXPENSE,IS_SELLING_EXPENSES,IS_GENERAL_AND_ADMINISTRATIVE,IS_OPERATING_EXPENSES_RD,IS_OTHER_OPERATING_EXPENSES,IS_OPER_INC,IS_NONOP_INCOME_LOSS,IS_NET_INTEREST_EXPENSE,IS_INT_EXPENSE,IS_INT_INC,IS_OTHER_INVESTMENT_INCOME_LOSS,INCOME_LOSS_FROM_AFFILIATES,IS_OTHER_NON_OPERATING_INC_LOSS,PRETAX_INC,IS_ABNORMAL_ITEM,IS_DERIVATIVES_HEDGING,IS_GAIN_LOSS_DISPOSAL_ASSETS,IS_IMPAIRMENT_ASSETS,IS_IMPAIR_OF_INTANG_ASSETS,IS_SALE_OF_BUSINESS,IS_LEGAL_LITIGATION_SETTLEMENT,IS_GAIN_LOSS_ON_INVESTMENTS,IS_OTHER_ONE_TIME_ITEMS,IS_INC_TAX_EXP,IS_INC_BEF_XO_ITEM,XO_GL_NET_OF_TAX,IS_DISCONTINUED_OPERATIONS,EXTRAORD_ITEMS_ACCOUNTING_CHANGS,NI_INCLUDING_MINORITY_INT_RATIO,MIN_NONCONTROL_INTEREST_CREDITS,NET_INCOME,IS_TOT_CASH_PFD_DVD,OTHER_ADJUSTMENTS,EARN_FOR_COMMON,IS_NET_ABNORMAL_ITEMS,IS_AVG_NUM_SH_FOR_EPS,IS_EPS,IS_EARN_BEF_XO_ITEMS_PER_SH,IS_BASIC_EPS_CONT_OPS,IS_SH_FOR_DILUTED_EPS,IS_DILUTED_EPS,IS_DIL_EPS_BEF_XO,IS_DIL_EPS_CONT_OPS,ACCOUNTING_STANDARD,EBITDA,EBITDA_MARGIN,EBIT,GROSS_MARGIN,OPER_MARGIN,PROF_MARGIN,ACTUAL_SALES_PER_EMPL,RETURN_COM_EQY,RETURN_ON_ASSET,RETURN_ON_CAP,RETURN_ON_INV_CAPITAL,INCREMENTAL_OPERATING_MARGIN,PRETAX_INC_TO_NET_SALES,INC_BEF_XO_ITEMS_TO_NET_SALES,NET_INCOME_TO_COMMON_MARGIN,EFF_TAX_RATE
1990-03-30 00:00:00,8.524,8.524,0,180.075,,,,4777.9648,,,,,137.565,,,,,5104.1289,3639.1919,4684.188,1044.996,0,,,54.394,,,,,,,,54.394,3693.5859,8797.7148,253.443,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.142,6768.1948,,5276.9541,,1491.2407,,1103.078,,,,,,388.163,,,36.905,,,,,402.29,,,,,,,,,,148.847,253.443,0,,,253.443,0,253.443,0,,253.443,,13622.2793,0.0187,0.0187,,13622.2793,0.0187,0.0187,0.0187,US GAAP,465.11,7.4479,388.163,22.0331,5.7351,3.7446,,30.7617,14.3988,23.4026,21.0366,5.0275,5.9438,3.7446,3.7446,36.9999
1990-06-29 00:00:00,12.551,12.551,0,192.49,,,,5089.8218,,,,,165.057,,,,,5459.9199,3953.6431,5078.272,1124.629,0,,,55.046,,,,,,,,55.046,4008.6891,9468.6094,272.931,109.144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3999,7543.5098,,5906.145,,1637.3647,,1227.15,,,,,,410.215,,,38.386,,,,,433.225,,,,,,,,,,160.294,272.931,0,,,272.931,0,272.931,0,,272.931,,13615.0679,0.02,0.02,,13615.0679,0.02,0.02,0.02,US GAAP,492.248,7.3618,410.215,21.7056,5.438,3.6181,,30.4274,14.1419,22.3588,19.9768,4.7062,5.743,3.6181,3.6181,37.0002
1990-09-28 00:00:00,9.782,9.782,0,348.81,,,,6182.0669,,,,,204.031,,,,,6744.6899,4306.2319,5513.292,1207.0601,0,,,54.154,,,,,,,,54.154,4360.3859,11105.0762,282.807,67.139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2374,7930.9512,,6196.9048,,1734.0464,,1310.311,,,,,,423.735,,,45.439,,,,,448.9,,,,,,,,,,166.093,282.807,0,,,282.807,0,282.807,0,,282.807,,13628.5679,0.0208,0.0208,,13628.5679,0.0208,0.0208,0.0208,US GAAP,507.821,7.2112,423.735,21.8643,5.3428,3.5659,,30.0959,12.4095,20.7857,18.4326,3.8058,5.6601,3.5659,3.5659,37
1990-12-31 00:00:00,13.014,13.014,0,305.07,,,,5808.416,,,,,288.275,,,,,6414.7749,4712.0391,5996.6641,1284.625,0,,,262.101,,,,,,,,262.101,4974.1401,11388.915,481.843,1083.6021,,,,,,,,,,,,,,,,,,,,,,,1083.6021,,,,,,,,2.2489,10358.9385,,8119.8301,,2239.1084,,1511.639,,,,,,727.469,,,47.906,,,,,758.345,,,,,,,,,,276.502,481.843,0,,,481.843,0,481.843,0,,481.843,,13695.1318,0.035,0.035,0.035,13695.1318,0.035,0.035,0.035,US GAAP,831.017,7.0432,727.469,21.6152,7.0226,4.6515,31582.1295,27.6715,13.1822,21.277,18.4091,3.3476,7.3207,4.6515,4.6515,36.4612
1991-03-28 00:00:00,304.569,304.569,0,325.838,,,,6023.1938,,,,,315.606,,,,,6969.207,5111.3628,6495.3682,1384.005,0,,,395.144,,,,,,,,395.144,5506.5068,12475.7139,306.953,172.686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5626,9280.5703,,7330.165,,1950.4053,,1484.853,,,,,,465.552,,,54.82,,,,,487.227,,,,,,,,,,180.274,306.953,0,,,306.953,0,306.953,0,,306.953,,13817.4727,0.0217,0.0217,,13817.4727,0.0217,0.0217,0.0217,US GAAP,565.554,6.8253,465.552,21.016,5.0164,3.3075,,26.9839,12.6405,19.9166,17.4446,3.0803,5.25,3.3075,3.3075,37
1991-06-28 00:00:00,86.728,86.728,0,372.078,,,,6429.4941,,,,,464.571,,,,,7352.8711,5528.0918,7011.9492,1483.8571,0,,,416.673,,,,,,,,416.673,5944.7648,13297.6357,345.893,292.793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8465,10339.9717,,8208.0771,,2131.8945,,1615.645,,,,,,516.25,,,62.107,,,,,549.036,,,,,,,,,,203.143,345.893,0,,,345.893,0,345.893,0,,345.893,,13828.752,0.025,0.025,,13828.752,0.025,0.025,0.025,US GAAP,627.453,6.6785,516.25,20.618,4.9928,3.3452,,26.9049,12.4526,19.6235,17.0586,3.7918,5.3098,3.3452,3.3452,36.9999
1991-09-30 00:00:00,10.236,10.236,0,583.501,,,,8072.1011,,,,,493.434,,,,,9159.2725,6127.3662,7708.9971,1581.631,0,,,432.068,,,,,,,,432.068,6559.4342,15718.7061,353.2,-241.974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6851,10627.5,,8402.75,,2224.75,,1697.0341,,,,,,527.716,,,76.441,,,,,560.635,,,,,,,,,,207.435,353.2,0,,,353.2,0,353.2,0,,353.2,,13833.624,0.0254,0.0254,,13833.624,0.0254,0.0254,0.0254,US GAAP,652.177,6.5905,527.716,20.9339,4.9656,3.3235,,26.9017,11.0938,18.4906,15.9307,3.8561,5.2753,3.3235,3.3235,37
1991-12-31 00:00:00,30.649,30.649,0,418.867,,,,7384.2988,,,,,741.608,,,,,8575.4229,6433.8008,8140.8478,1707.047,0,,,434.165,,,,,,,,434.165,6867.9658,15443.3887,602.43,1133.208,,,,,,,,,,,,,,,,,,,,,,,1133.208,,,,,,,,1.8811,13638.8604,,10845.127,,2793.7334,,1886.772,,,,,,906.961,,,72.495,,,,,956.239,,,,,,,,,,353.809,602.43,0,,,602.43,0,602.43,0,,602.43,,13785.7324,0.0433,0.0433,0.0433,13785.7324,0.0433,0.0433,0.0433,US GAAP,1046.647,6.5893,906.961,20.4836,6.6498,4.417,36762.4268,26.0372,11.9891,19.2495,16.2317,5.4724,7.0111,4.417,4.417,37.0001
1992-03-31 00:00:00,24.752,24.752,0,435.581,,,,7883.3789,,,,,820.754,,,,,9164.4658,6847.9111,8676.2666,1828.356,0,,,426.488,,,,,,,,426.488,7274.3991,16438.8652,386.955,190.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4922,11649.4297,,9256.3262,,2393.1035,,1807.942,,,,,,585.162,,,75.859,,,,,614.214,,,,,,,,,,227.259,386.955,0,,,386.955,0,386.955,0,,386.955,,13657.1997,0.0283,0.0283,0.0283,13657.1997,0.0283,0.0283,0.0283,US GAAP,725.917,6.5985,585.162,20.5427,5.0231,3.3217,,25.7736,11.6791,18.4548,15.7744,5.0493,5.2725,3.3217,3.3217,37
1992-06-30 00:00:00,38.524,38.524,0,438.918,,,,8516.1709,,,,,1095.97,,,,,10089.583,7404.3008,9369.7715,1965.47,0,,,432.855,,,,,,,,432.855,7837.1558,17926.7383,420.447,164.644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3916,13028.4502,,10416.5195,,2611.9307,,1995.485,,,,,,616.441,,,68.5,,,,,667.377,,,,,,,,,,246.929,420.448,0,,,420.448,0,420.448,0,,420.448,,13792.1763,0.0304,0.0304,0.0304,13792.1763,0.0304,0.0304,0.0304,US GAAP,761.72,6.5104,616.441,20.0479,4.7315,3.2272,,25.5751,11.2927,17.6837,15.0785,3.7267,5.1225,3.2272,3.2272,36.9999
1992-09-30 00:00:00,39.499,39.499,0,694.61,,,,10338.1123,,,,,836.971,,,,,11909.1924,8564.751,10506.2842,1941.533,0,,,486.891,,,,,,,,486.891,9051.642,20960.834,437.804,-541.105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.236,13683.8203,,10884.9102,,2798.9102,,2142.9661,,,,,,655.947,,,89.296,,,,,694.926,,,,,,,,,,257.123,437.803,0,,,437.803,0,437.803,0,,437.803,,13793.6514,0.0317,0.0317,0.0317,13793.6514,0.0317,0.0317,0.0317,US GAAP,808.576,6.4285,655.947,20.4542,4.7936,3.1994,,25.5366,10.0745,16.0862,13.7301,4.1956,5.0785,3.1994,3.1994,37.0001
1992-12-31 00:00:00,12.363,12.363,0,524.555,,,,9268.3086,,,,,392.363,,,,,10197.5898,9792.8809,11848.0039,2055.123,0,,,574.616,,,,,,,,574.616,10367.4969,20565.0879,749.588,1464.278,,,,,,,,,,,,,,,,,,,,,,,1464.278,,,,,,,,1.9534,17122.0703,,13616.9297,,3505.1406,,2374.449,,,,,,1130.694,,,89.043,,,,,1189.822,,,,,,,,,,440.234,749.588,0,,,749.588,0,749.588,0,,749.588,,13794.3486,0.0542,0.0542,0.0542,13794.3486,0.0542,0.0542,0.0542,US GAAP,1341.168,6.5558,1130.694,20.4715,6.6037,4.3779,39451.7749,25.3325,11.0796,16.8993,14.266,6.4232,6.9491,4.3779,4.3779,37
1993-03-31 00:00:00,7.685,7.685,0,597.172,,,,10630.7373,,,,,414.729,,,,,11650.3232,10569.7197,12792.2803,2222.5601,0,,,618.463,,,,,,,,618.463,11188.1827,22838.5059,450.65,14.379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0319,13920.4072,,11016.7451,,2903.6621,,2246.26,,,,,,657.402,,,100.758,,,,,701.435,,,,,,,,,,250.785,450.65,,,,450.65,,450.65,,,450.65,,13519.5,0.0333,0.0333,,13519.5,0.0333,0.0333,0.0333,US GAAP,844.524,6.5033,657.402,20.859,4.7226,3.2373,,25.0248,10.4818,16.1792,13.7499,3.181,5.0389,3.2373,3.2373,35.7531
1993-06-30 00:00:00,14.056,14.056,0,608.415,,,,10509.1182,,,,,411.139,,,,,11542.7275,11344.7119,13766.1621,2421.45,0,,,671.28,,,,,,,,671.28,12015.9919,23558.7207,495.875,765.419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5436,16236.5771,,12962.8242,,3273.7529,,2519.5791,,,,,,754.174,,,124.513,,,,,785.857,,,,,,,,,,289.982,495.875,0,,,495.875,0,495.875,0,,495.875,,13801.1455,0.0367,0.0367,,13801.1455,0.0367,0.0367,0.0367,US GAAP,949.753,6.4695,754.174,20.1628,4.6449,3.0541,,24.8421,10.2875,15.8384,13.4155,4.2933,4.84,3.0541,3.0541,36.9001
1993-09-30 00:00:00,22.301,22.301,0,969.883,,,,12442.6074,,,,,462.2,,,,,13896.9912,12140.7871,14744.5732,2603.7859,0,,,758.938,,,,,,,,758.938,12899.7251,26796.7168,518.739,20.174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0389,16826.998,,13308.0928,,3518.9053,,2718.9771,,,,,,799.929,,,141.72,,,,,823.395,,,,,,,,,,304.656,518.739,0,,,518.739,0,518.739,0,,518.739,,13790.5679,0.0383,0.0383,,13790.5679,0.0383,0.0383,0.0383,US GAAP,1011.933,6.4696,799.929,20.9123,4.7538,3.0828,,24.6089,9.2754,14.7957,12.4975,4.5808,4.8933,3.0828,3.0828,37
1993-12-31 00:00:00,20.115,20.115,0,689.987,,,,11013.7061,,,,,390.794,,,,,12114.6016,13175.3662,15858.1611,2682.7949,0,,,1150.796,,,,,,,,1150.796,14326.1622,26440.7637,868.013,1395.479,,,,,,,,,,,,,,,,,,,,,,,1395.479,,,,,,,,1.6077,21001.5605,,16156.0811,,4845.4795,,2848.4021,,,,,,1997.078,,,0,,,,,1380.891,,,,,,,,,,512.878,868.013,0,,,868.013,0,868.013,0,,868.013,,13792.002,0.0633,0.0633,0.0633,13792.002,0.0633,0.0633,0.0633,US GAAP,2251.115,7.4388,1997.078,23.072,9.5092,4.1331,39775.6829,23.9168,9.9276,14.4069,14.707,22.3324,6.5752,4.1331,4.1331,37.1411
1994-03-31 00:00:00,76.513,76.513,0,704.497,,,,12422.0703,,,,,428.03,,,,,13631.1104,13602.833,16496.7344,2893.9021,0,,,1390.72,,,,,,,,1390.72,14993.553,28624.6621,498.456,923.236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8522,17686.1348,,14063.9834,,3622.1514,,2846.0491,,,,,,776.102,,,156.496,,,,,786.208,,,,,,,,,,287.752,498.456,0,,,498.456,0,498.456,0,,498.456,,13793.4478,0.0367,0.0367,,13793.4478,0.0367,0.0367,0.0367,US GAAP,1006.868,7.2747,776.102,20.4802,4.3882,2.8183,,23.4731,9.2535,14.1491,14.5745,3.1521,4.4453,2.8183,2.8183,36.6
