Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47
Walmart Inc (WMT US) - By Measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Millions of USD except Per Share,,Q4 1999,,Q1 2000,,Q2 2000,,Q3 2000,,Q4 2000,,Q1 2001,,Q2 2001,,Q3 2001,,Q4 2001,,Q1 2002,,Q2 2002,,Q3 2002,,Q4 2002,,Q1 2003,,Q2 2003,,Q3 2003,,Q4 2003,,Q1 2004,,Q2 2004,,Q3 2004,,Q4 2004,,Q1 2005,,Q2 2005,
3 Months Ending,,01/31/1999,,04/30/1999,,07/31/1999,,10/31/1999,,01/31/2000,,04/30/2000,,07/31/2000,,10/31/2000,,01/31/2001,,04/30/2001,,07/31/2001,,10/31/2001,,01/31/2002,,04/30/2002,,07/31/2002,,10/31/2002,,01/31/2003,,04/30/2003,,07/31/2003,,10/31/2003,,01/31/2004,,04/30/2004,,07/31/2004,
Revenue,,40785,1.0,34717,1.0,38470,1.0,40432,1.0,51394,1.0,42985,1.0,46112,1.0,45676,1.0,56556,1.0,48052,1.0,52799,1.0,52738,1.0,64210,1.0,52126,1.0,56271,1.0,55241,1.0,66400,1.0,56718,1.0,62637,1.0,62480,1.0,29539,1.0,64763,1.0,69722,1.0
  Wal-Mart Stores,,28181,0.732373502429897,23926,0.729517943714364,26614,0.730110830681444,26460,0.689403611161773,31721,0.652426984779926,27540,0.674735397883183,29647,0.67817275139537,29226,0.675964474049403,35476,0.669118617853977,30751,0.684542095187213,33870,0.68421477920084,33601,0.677794811796506,40909,0.681657613223581,35418,0.685001450536699,38080,0.683539759468677,37049,0.677102180309593,45490,0.685090361445783,38112,0.678004696506084,41975,0.676557815673254,41831,0.675510698425515,4995,0.173178934230143,42891,0.669303871541594,46170,0.669343848763374
  International,,3733,0.0970139556641285,3291,0.100344543708266,3682,0.101009546801273,5910,0.153982439227743,9845,0.202488687782805,7197,0.176327910623285,7404,0.169365907219325,7437,0.172009436580627,10062,0.18978102189781,7636,0.16998352700236,8362,0.16892246777908,8678,0.175051438253923,10809,0.180107974805879,8992,0.173909679914902,9691,0.173954406749237,9926,0.181406144342709,12184,0.183493975903614,10278,0.182843520956379,11514,0.185583959253409,11487,0.185498587000404,14293,0.495544846236522,12551,0.195855375060468,13392,0.194148859056511
  Sam’s Club,,6565,0.170612541905975,5580,0.17013751257737,6156,0.168879622517283,6011,0.156613949610484,7054,0.145084327437269,6079,0.148936691493532,6665,0.152461341385305,6573,0.152026089369969,7481,0.141100360248213,6535,0.145474377810427,7270,0.14686275302008,7295,0.14715374994957,8296,0.13823441197054,7295,0.1410888695484,7939,0.142505833782086,7742,0.141491675347698,8726,0.131415662650602,7822,0.139151782537536,8553,0.137858225073337,8607,0.138990714574082,9555,0.331276219533336,8641,0.134840753397937,9416,0.136507292180115
  Other /McLane,,2306,,1920,,2018,,2051,,2774,,2169,,2396,,2440,,3537,,3130,,3297,,3164,,4196,,421,,561,,524,,—,,506,,595,,555,,696,,680,,744,
Operating Income,,2366,1.0,2000,1.0,1774,1.0,1919,1.0,3502,1.0,2464,1.0,2443,1.0,2064,1.0,3538,1.0,2059,1.0,2494,1.0,2237,1.0,3274,1.0,2789,1.0,2841,1.0,3048,1.0,3602,1.0,3090,1.0,3197,1.0,3399,1.0,4050,1.0,2925,1.0,3667,1.0
  Wal-Mart Stores,,2248,0.826470588235294,1765,0.883383383383384,2151,0.876885446392173,1934,0.835782195332757,2569,0.789247311827957,2160,0.864691753402722,2560,0.844327176781003,2249,0.830195644149132,2160,0.864691753402722,2222,0.836911487758945,2618,0.818125,2346,0.799046321525886,3119,0.77975,2545,0.820967741935484,3046,0.795092665100496,2676,0.797615499254844,3592,0.773471145564169,2752,0.823952095808383,3317,0.792213995700979,2967,0.780584056827151,3880,0.732213625212304,3121,0.789926600860542,3685,0.770114942528736
  International,,236,0.0867647058823529,62,0.031031031031031,112,0.0456583774969425,193,0.0834053586862576,448,0.137634408602151,149,0.0596477181745396,232,0.0765171503957784,241,0.0889627168696936,149,0.0596477181745396,215,0.0809792843691149,315,0.0984375,344,0.11716621253406,584,0.146,339,0.109354838709677,510,0.133124510571652,439,0.130849478390462,757,0.163006029285099,384,0.11497005988024,561,0.133986147599713,564,0.148382004735596,861,0.162483487450462,563,0.142495570741584,748,0.15632183908046
  Sam’s Club,,236,0.0867647058823529,171,0.0855855855855856,190,0.0774561761108846,187,0.0808124459809853,238,0.0731182795698925,189,0.0756605284227382,240,0.079155672823219,219,0.0808416389811739,189,0.0756605284227382,218,0.0821092278719397,267,0.0834375,246,0.0837874659400545,297,0.07425,216,0.0696774193548387,275,0.0717828243278517,240,0.0715350223546945,295,0.0635228251507321,204,0.0610778443113772,309,0.0737998566993074,270,0.0710339384372533,558,0.105302887337233,267,0.067577828397874,352,0.0735632183908046
  Other /McLane,,—,,-30,,-239,,80,,248,,-34,,-113,,-140,,-34,,-83,,-236,,-224,,-809,,-311,,-362,,-307,,-1042,,-250,,-431,,-402,,-1249,,-1026,,-1118,
  Adjustment,,—,,32,,-440,,-475,,-1,,0,,-476,,-505,,1074,,-513,,-470,,-475,,83,,0,,-628,,—,,—,,0,,-559,,—,,—,,—,,—,
  Reconciliation,,-354,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
Operating Margin,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Wal-Mart Stores,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,7.2,,7.9,,7.1,,—,,7.1,,7.8,,7,,—,,7.2,,7.9,
  International,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,3.8,,5.3,,4.4,,—,,3.7,,4.9,,4.9,,—,,4.5,,5.6,
  Sam’s Club,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,3,,3.5,,3.1,,—,,2.6,,3.6,,3.1,,—,,3.1,,3.7,
  Other /McLane,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,0,,10.6,,0,,—,,—,,—,,—,,—,,—,,—,
Operating Income Growth %,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  International,,33,,—,,—,,—,,—,,—,,—,,—,,—,,2.8,,3.3,,4,,—,,108,,61.9,,44.9,,55.8,,13.3,,18.9,,28.5,,15.2,,46.6,,33.3,
  Sam’s Club,,8,,—,,—,,—,,—,,—,,—,,—,,—,,3.3,,3.7,,3.4,,—,,-0.5,,3,,-2,,0,,-5.6,,12.8,,12.5,,17.1,,30.9,,13.9,
  Wal-Mart Stores,,14,,—,,—,,—,,—,,—,,—,,—,,—,,7.2,,7.7,,7,,—,,16.1,,17.2,,15.5,,16.2,,8.1,,9.3,,10.9,,8.3,,13.4,,11.1,
  Other /McLane,,—,,—,,—,,—,,—,,—,,—,,—,,—,,21.2,,21.6,,21.5,,—,,0,,66.1,,0,,-109.1,,—,,—,,—,,—,,—,,—,
Revenue Growth %,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  International,,26,,26,,25,,100,,163.7,,118.7,,101.1,,25.8,,2.2,,6.1,,12.9,,16.7,,7.4,,17.8,,15.9,,14.4,,15,,14.3,,18.8,,15.7,,17.3,,19.4,,16.3,
  Wal-Mart Stores,,14,,9.6,,8.3,,7.4,,12.6,,9.6,,11.4,,10.5,,11.8,,11.7,,14.2,,15,,15.3,,15.2,,14.1,,11.8,,12.9,,9,,10.2,,12.8,,11.3,,12.8,,10.2,
  Sam’s Club,,12,,8.3,,6.8,,5.8,,7.4,,7,,8.3,,9.3,,6.1,,7.5,,9.1,,11,,10.9,,11.6,,9.2,,6.1,,7.8,,7.2,,7.7,,11.2,,9.5,,10.5,,10.1,
  Other /McLane,,25,,9.3,,8,,7,,20.3,,9.1,,5.4,,4.9,,27.5,,3.7,,5.7,,6.7,,18.7,,0,,3.8,,0,,8.1,,—,,—,,—,,—,,—,,—,
Goodwill,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,8477,1.0,9031,1.0,9173,1.0,9389,1.0,9317,1.0,9573,1.0,9446,1.0,9882,1.0,10134,1.0,10124,1.0
  International,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,7895,0.96280487804878,8450,0.96516276413478,8590,0.965711073636875,8985,0.967168998923574,8913,0.966912562377956,9268,0.968139559176852,9141,0.967711200508152,9577,0.969135802469136,9829,0.9699032958358,9819,0.969873567759779
  Sam’s Club,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,305,0.0371951219512195,305,0.0348372358652199,305,0.0342889263631254,305,0.0328310010764263,305,0.0330874376220438,305,0.0318604408231484,305,0.0322887994918484,305,0.0308641975308642,305,0.0300967041641997,305,0.0301264322402213
  Other /McLane,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,277,,276,,278,,99,,99,,0,,0,,0,,0,,0,
  Wal-Mart Stores,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,0,,—,,—,,—,,—,,—,,—,,—,,—,
Assets,,—,,—,,—,,—,,70349,1.0,—,,—,,—,,78130,1.0,—,,—,,—,,83451,1.0,—,,—,,—,,94685,1.0,—,,—,,—,,104912,1.0,—,,—,
  Other /McLane,,—,,—,,—,,—,,23220,,—,,—,,—,,28259,,—,,—,,—,,31279,,—,,—,,—,,34824,,—,,—,,—,,40019,,—,,—,
  Sam’s Club,,—,,—,,—,,—,,3586,0.076089032230686,—,,—,,—,,3843,0.0770588117342744,—,,—,,—,,3958,0.0758644483631066,—,,—,,—,,4404,0.0735704381817878,—,,—,,—,,4645,0.0715793691153129,—,,—,
  International,,—,,—,,—,,—,,25330,0.537461011266948,—,,—,,—,,25742,0.516171723045457,—,,—,,—,,26324,0.504561833933911,—,,—,,—,,30709,0.513005128547802,—,,—,,—,,34018,0.52421678763503,—,,—,
  Wal-Mart Stores,,—,,—,,—,,—,,18213,0.386449956502366,—,,—,,—,,20286,0.406769465220268,—,,—,,—,,21890,0.419573717702982,—,,—,,—,,24748,0.41342443327041,—,,—,,—,,26230,0.404203843249657,—,,—,
SG&A,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,10216,1.0,11142,1.0,11344,1.0,12205,1.0,11869,1.0,12529,1.0
  Wal-Mart Stores,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,10216,1.0,11142,1.0,11344,1.0,12205,1.0,11869,1.0,12529,1.0
Same Store Sales % with fuel,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Sam’s Club,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,5.3,,8.8,,8.8,
  Wal-Mart Stores,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,3.9,,5.9,,3.2,
Total Square Feet/Meter,,—,,—,,—,,—,,432792.754,1.0,—,,—,,—,,467252.684,1.0,—,,—,,—,,454022.454,1.0,—,,—,,—,,560800.326,1.0,—,,—,,—,,606480.244,1.0,620200,1.0,628300,1.0
  United States,,—,,—,,—,,—,,357850.233,0.826839704899496,—,,—,,—,,386871.812,0.827971299572032,—,,—,,—,,444582.029,0.979207140711151,—,,—,,—,,454432.116,0.810327838504145,—,,—,,—,,491054.479,0.809679266320833,499200,0.804901644630764,507300,0.807416839089607
    Wal-Mart Stores,,—,,—,,—,,—,,301499.325,0.696636720955823,—,,—,,—,,328870.874,0.70383945402869,—,,—,,—,,382803.226,0.843137211887763,—,,—,,—,,388685.164,0.693090117782849,—,,—,,—,,422910.17,0.697318955042499,431100,0.695098355369236,438700,0.698233328028012
      Supercenters,,—,,—,,—,,—,,130713.208,0.302022635064727,—,,—,,—,,162597.877,0.347987036924115,—,,—,,—,,197442.347,0.434873529404781,—,,—,,—,,234611.27,0.418350808875956,—,,—,,—,,275067.679,0.453547632789833,286300,0.461625282167043,296500,0.471908324049021
      Discount store,,—,,—,,—,,—,,170786.117,0.394614085891096,—,,—,,—,,165374.845,0.353930219478418,—,,—,,—,,157685.708,0.34730817079809,—,,—,,—,,151913.061,0.270886185255178,—,,—,,—,,145064.854,0.239191392358034,141900,0.22879716220574,139100,0.221391055228394
      Wal-Mart US Neighborhood Markets,,—,,—,,—,,—,,—,,—,,—,,—,,898.152,0.00192219762615639,—,,—,,—,,27675.171,0.0609555116848913,—,,—,,—,,2160.833,0.00385312365171485,—,,—,,—,,2777.637,0.00457992989463314,2900,0.00467591099645276,3100,0.00493394875059685
    Sam’s Club,,—,,—,,—,,—,,56350.908,0.130202983943673,—,,—,,—,,58000.938,0.124131845543342,—,,—,,—,,61778.803,0.136069928823388,—,,—,,—,,65746.952,0.117237720721296,—,,—,,—,,68144.309,0.112360311278334,68100,0.109803289261529,68600,0.109183511061595
  International,,—,,—,,—,,—,,74942.521,0.173160295100504,—,,—,,—,,80380.872,0.172028700427968,—,,—,,—,,9440.425,0.0207928592888492,—,,—,,—,,106368.21,0.189672161495855,—,,—,,—,,115425.765,0.190320733679167,121000,0.195098355369236,121000,0.192583160910393
Number of Locations,,—,,3625,1.0,3876,1.0,3925,1.0,3989,1.0,4013,1.0,4056,1.0,4158,1.0,4189,1.0,4221,1.0,4280,1.0,4347,1.0,4414,1.0,4455,1.0,4518,1.0,4598,1.0,4688,1.0,4717,1.0,4750,1.0,4819,1.0,4906,1.0,5051,1.0,5104,1.0
  United States,,—,,2901,0.800275862068965,2910,0.750773993808049,2941,0.749299363057325,2985,0.74830784657809,3002,0.748068776476452,3028,0.7465483234714,3113,0.748677248677249,3118,0.744330389114347,3153,0.746979388770434,3174,0.741588785046729,3214,0.739360478490913,3244,0.73493429995469,3269,0.7337822671156,3313,0.733289065958389,3371,0.733144845585037,3400,0.725255972696246,3422,0.725461098155607,3445,0.725263157894737,3499,0.726084249844366,3551,0.723807582551977,3568,0.706394773312215,3594,0.704153605015674
    Wal-Mart Stores,,—,,1857,0.512275862068965,1835,0.473426212590299,1803,0.459363057324841,2522,0.632238656304838,1784,0.444555195614254,—,,1723,0.414381914381914,2643,0.630938171401289,1702,0.403221985311538,1667,0.389485981308411,1637,0.376581550494594,2744,0.621658359764386,2766,0.620875420875421,2801,0.619964586100044,2849,0.619617224880383,2875,0.613267918088737,2896,0.613949544201823,2917,0.614105263157895,2966,0.615480390122432,3013,0.614145943742356,3030,0.599881211641259,3055,0.598550156739812
      Supercenters,,—,,—,,—,,—,,721,0.180747054399599,—,,—,,—,,888,0.211983767008833,—,,—,,—,,1066,0.241504304485727,1113,0.24983164983165,1156,0.255865427180168,1243,0.270334928229665,1258,0.268344709897611,1309,0.27750688997244,1356,0.285473684210526,1430,0.296742062668603,1471,0.299836934366082,1498,0.296574935656306,1585,0.310540752351097
      Discount store,,—,,—,,—,,—,,1801,0.451491601905239,—,,—,,—,,1736,0.414418715683934,—,,—,,—,,1647,0.37313094698686,1622,0.364085297418631,1611,0.356573705179283,1567,0.340800347977381,1568,0.334470989761092,1536,0.32563069747721,1508,0.317473684210526,1476,0.306287611537663,1478,0.301263758662862,1460,0.289051672936052,1398,0.273902821316614
