Date,Revenue,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,  International,  International,  International,  International,  International,  International,  International,  International,  International,  Sam’s Club,  Sam’s Club,  Sam’s Club,  Sam’s Club,  Sam’s Club,  Sam’s Club,  Sam’s Club,  Sam’s Club,  Other /McLane,  Other /McLane,  Other /McLane,  Other /McLane,  Other /McLane,  Other /McLane,  Other /McLane,Operating Income,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,  International,  International,  International,  International,  International,  International,  International,  International,  International,  Sam’s Club,  Sam’s Club,  Sam’s Club,  Sam’s Club,  Sam’s Club,  Sam’s Club,  Sam’s Club,  Sam’s Club,  Other /McLane,  Other /McLane,  Other /McLane,  Other /McLane,  Other /McLane,  Other /McLane,  Other /McLane,  Adjustment,  Reconciliation,Operating Margin,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,  International,  International,  International,  International,  International,  International,  International,  International,  International,  Sam’s Club,  Sam’s Club,  Sam’s Club,  Sam’s Club,  Sam’s Club,  Sam’s Club,  Sam’s Club,  Sam’s Club,  Other /McLane,  Other /McLane,  Other /McLane,  Other /McLane,  Other /McLane,  Other /McLane,  Other /McLane,Operating Income Growth %,  International,  International,  International,  International,  International,  International,  International,  International,  International,  Sam’s Club,  Sam’s Club,  Sam’s Club,  Sam’s Club,  Sam’s Club,  Sam’s Club,  Sam’s Club,  Sam’s Club,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,  Other /McLane,  Other /McLane,  Other /McLane,  Other /McLane,  Other /McLane,  Other /McLane,  Other /McLane,Revenue Growth %,  International,  International,  International,  International,  International,  International,  International,  International,  International,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,  Sam’s Club,  Sam’s Club,  Sam’s Club,  Sam’s Club,  Sam’s Club,  Sam’s Club,  Sam’s Club,  Sam’s Club,  Other /McLane,  Other /McLane,  Other /McLane,  Other /McLane,  Other /McLane,  Other /McLane,  Other /McLane,Goodwill,  International,  International,  International,  International,  International,  International,  International,  International,  International,  Sam’s Club,  Sam’s Club,  Sam’s Club,  Sam’s Club,  Sam’s Club,  Sam’s Club,  Sam’s Club,  Sam’s Club,  Other /McLane,  Other /McLane,  Other /McLane,  Other /McLane,  Other /McLane,  Other /McLane,  Other /McLane,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,Assets,  Other /McLane,  Other /McLane,  Other /McLane,  Other /McLane,  Other /McLane,  Other /McLane,  Other /McLane,  Sam’s Club,  Sam’s Club,  Sam’s Club,  Sam’s Club,  Sam’s Club,  Sam’s Club,  Sam’s Club,  Sam’s Club,  International,  International,  International,  International,  International,  International,  International,  International,  International,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,SG&A,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,Same Store Sales % with fuel,  Sam’s Club,  Sam’s Club,  Sam’s Club,  Sam’s Club,  Sam’s Club,  Sam’s Club,  Sam’s Club,  Sam’s Club,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,  Wal-Mart Stores,Total Square Feet/Meter,  United States,  United States,    Wal-Mart Stores,    Wal-Mart Stores,      Supercenters,      Supercenters,      Discount store,      Discount store,      Wal-Mart US Neighborhood Markets,      Wal-Mart US Neighborhood Markets,    Sam’s Club,    Sam’s Club,  International,  International,  International,  International,  International,  International,  International,  International,  International,Number of Locations,  United States,  United States,    Wal-Mart Stores,    Wal-Mart Stores,      Supercenters,      Supercenters,      Discount store,      Discount store,      Wal-Mart US Neighborhood Markets,      Wal-Mart US Neighborhood Markets,    Sam’s Club,    Sam’s Club,    Neighborhood Markets,    Supercenters,    Supercenters,  International,  International,  International,  International,  International,  International,  International,  International,  International,    Sam's Club,    Discount Store,    Neighborhood Market,    Supercenters,    Supercenters,Source: Bloomberg
01/31/1999,40785,28181,2248,—,14,14,—,—,—,—,3733,236,—,33,26,—,—,—,—,6565,236,—,8,12,—,—,—,2306,—,—,—,25,—,—,2366,28181,2248,—,14,14,—,—,—,—,3733,236,—,33,26,—,—,—,—,6565,236,—,8,12,—,—,—,2306,—,—,—,25,—,—,—,-354,—,28181,2248,—,14,14,—,—,—,—,3733,236,—,33,26,—,—,—,—,6565,236,—,8,12,—,—,—,2306,—,—,—,25,—,—,—,3733,236,—,33,26,—,—,—,—,6565,236,—,8,12,—,—,—,28181,2248,—,14,14,—,—,—,—,2306,—,—,—,25,—,—,—,3733,236,—,33,26,—,—,—,—,28181,2248,—,14,14,—,—,—,—,6565,236,—,8,12,—,—,—,2306,—,—,—,25,—,—,—,3733,236,—,33,26,—,—,—,—,6565,236,—,8,12,—,—,—,2306,—,—,—,25,—,—,28181,2248,—,14,14,—,—,—,—,—,2306,—,—,—,25,—,—,6565,236,—,8,12,—,—,—,3733,236,—,33,26,—,—,—,—,28181,2248,—,14,14,—,—,—,—,—,28181,2248,—,14,14,—,—,—,—,—,6565,236,—,8,12,—,—,—,28181,2248,—,14,14,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,3733,236,—,33,26,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,3733,236,—,33,26,—,—,—,—,—,—,—,—,—,
04/30/1999,34717,23926,1765,—,—,9.6,—,—,—,—,3291,62,—,—,26,—,—,—,724,5580,171,—,—,8.3,—,—,—,1920,-30,—,—,9.3,—,—,2000,23926,1765,—,—,9.6,—,—,—,—,3291,62,—,—,26,—,—,—,724,5580,171,—,—,8.3,—,—,—,1920,-30,—,—,9.3,—,—,32,—,—,23926,1765,—,—,9.6,—,—,—,—,3291,62,—,—,26,—,—,—,724,5580,171,—,—,8.3,—,—,—,1920,-30,—,—,9.3,—,—,—,3291,62,—,—,26,—,—,—,724,5580,171,—,—,8.3,—,—,—,23926,1765,—,—,9.6,—,—,—,—,1920,-30,—,—,9.3,—,—,—,3291,62,—,—,26,—,—,—,724,23926,1765,—,—,9.6,—,—,—,—,5580,171,—,—,8.3,—,—,—,1920,-30,—,—,9.3,—,—,—,3291,62,—,—,26,—,—,—,724,5580,171,—,—,8.3,—,—,—,1920,-30,—,—,9.3,—,—,23926,1765,—,—,9.6,—,—,—,—,—,1920,-30,—,—,9.3,—,—,5580,171,—,—,8.3,—,—,—,3291,62,—,—,26,—,—,—,724,23926,1765,—,—,9.6,—,—,—,—,—,23926,1765,—,—,9.6,—,—,—,—,—,5580,171,—,—,8.3,—,—,—,23926,1765,—,—,9.6,—,—,—,—,—,—,2901,—,1857,—,—,—,—,—,—,—,453,3291,62,—,—,26,—,—,—,724,3625,—,2901,—,1857,—,—,—,—,—,—,—,453,—,591,—,3291,62,—,—,26,—,—,—,724,—,—,—,591,—,
07/31/1999,38470,26614,2151,—,—,8.3,—,—,—,—,3682,112,—,—,25,—,—,—,966,6156,190,—,—,6.8,—,—,—,2018,-239,—,—,8,—,—,1774,26614,2151,—,—,8.3,—,—,—,—,3682,112,—,—,25,—,—,—,966,6156,190,—,—,6.8,—,—,—,2018,-239,—,—,8,—,—,-440,—,—,26614,2151,—,—,8.3,—,—,—,—,3682,112,—,—,25,—,—,—,966,6156,190,—,—,6.8,—,—,—,2018,-239,—,—,8,—,—,—,3682,112,—,—,25,—,—,—,966,6156,190,—,—,6.8,—,—,—,26614,2151,—,—,8.3,—,—,—,—,2018,-239,—,—,8,—,—,—,3682,112,—,—,25,—,—,—,966,26614,2151,—,—,8.3,—,—,—,—,6156,190,—,—,6.8,—,—,—,2018,-239,—,—,8,—,—,—,3682,112,—,—,25,—,—,—,966,6156,190,—,—,6.8,—,—,—,2018,-239,—,—,8,—,—,26614,2151,—,—,8.3,—,—,—,—,—,2018,-239,—,—,8,—,—,6156,190,—,—,6.8,—,—,—,3682,112,—,—,25,—,—,—,966,26614,2151,—,—,8.3,—,—,—,—,—,26614,2151,—,—,8.3,—,—,—,—,—,6156,190,—,—,6.8,—,—,—,26614,2151,—,—,8.3,—,—,—,—,—,—,2910,—,1835,—,—,—,—,—,—,—,453,3682,112,—,—,25,—,—,—,966,3876,—,2910,—,1835,—,—,—,—,—,—,—,453,—,622,—,3682,112,—,—,25,—,—,—,966,—,—,—,622,—,
10/31/1999,40432,26460,1934,—,—,7.4,—,—,—,—,5910,193,—,—,100,—,—,—,984,6011,187,—,—,5.8,—,—,—,2051,80,—,—,7,—,—,1919,26460,1934,—,—,7.4,—,—,—,—,5910,193,—,—,100,—,—,—,984,6011,187,—,—,5.8,—,—,—,2051,80,—,—,7,—,—,-475,—,—,26460,1934,—,—,7.4,—,—,—,—,5910,193,—,—,100,—,—,—,984,6011,187,—,—,5.8,—,—,—,2051,80,—,—,7,—,—,—,5910,193,—,—,100,—,—,—,984,6011,187,—,—,5.8,—,—,—,26460,1934,—,—,7.4,—,—,—,—,2051,80,—,—,7,—,—,—,5910,193,—,—,100,—,—,—,984,26460,1934,—,—,7.4,—,—,—,—,6011,187,—,—,5.8,—,—,—,2051,80,—,—,7,—,—,—,5910,193,—,—,100,—,—,—,984,6011,187,—,—,5.8,—,—,—,2051,80,—,—,7,—,—,26460,1934,—,—,7.4,—,—,—,—,—,2051,80,—,—,7,—,—,6011,187,—,—,5.8,—,—,—,5910,193,—,—,100,—,—,—,984,26460,1934,—,—,7.4,—,—,—,—,—,26460,1934,—,—,7.4,—,—,—,—,—,6011,187,—,—,5.8,—,—,—,26460,1934,—,—,7.4,—,—,—,—,—,—,2941,—,1803,—,—,—,—,—,—,—,456,5910,193,—,—,100,—,—,—,984,3925,—,2941,—,1803,—,—,—,—,—,—,—,456,—,682,—,5910,193,—,—,100,—,—,—,984,—,—,—,682,—,
01/31/2000,51394,31721,2569,—,—,12.6,—,18213,—,—,9845,448,—,—,163.7,—,25330,74942.521,1004,7054,238,—,—,7.4,—,3586,—,2774,248,—,—,20.3,—,23220,3502,31721,2569,—,—,12.6,—,18213,—,—,9845,448,—,—,163.7,—,25330,74942.521,1004,7054,238,—,—,7.4,—,3586,—,2774,248,—,—,20.3,—,23220,-1,—,—,31721,2569,—,—,12.6,—,18213,—,—,9845,448,—,—,163.7,—,25330,74942.521,1004,7054,238,—,—,7.4,—,3586,—,2774,248,—,—,20.3,—,23220,—,9845,448,—,—,163.7,—,25330,74942.521,1004,7054,238,—,—,7.4,—,3586,—,31721,2569,—,—,12.6,—,18213,—,—,2774,248,—,—,20.3,—,23220,—,9845,448,—,—,163.7,—,25330,74942.521,1004,31721,2569,—,—,12.6,—,18213,—,—,7054,238,—,—,7.4,—,3586,—,2774,248,—,—,20.3,—,23220,—,9845,448,—,—,163.7,—,25330,74942.521,1004,7054,238,—,—,7.4,—,3586,—,2774,248,—,—,20.3,—,23220,31721,2569,—,—,12.6,—,18213,—,—,70349,2774,248,—,—,20.3,—,23220,7054,238,—,—,7.4,—,3586,—,9845,448,—,—,163.7,—,25330,74942.521,1004,31721,2569,—,—,12.6,—,18213,—,—,—,31721,2569,—,—,12.6,—,18213,—,—,—,7054,238,—,—,7.4,—,3586,—,31721,2569,—,—,12.6,—,18213,—,—,432792.754,357850.233,2985,301499.325,2522,130713.208,721,170786.117,1801,—,—,56350.908,463,9845,448,—,—,163.7,—,25330,74942.521,1004,3989,357850.233,2985,301499.325,2522,130713.208,721,170786.117,1801,—,—,56350.908,463,—,—,383,9845,448,—,—,163.7,—,25330,74942.521,1004,49,572,—,—,383,
04/30/2000,42985,27540,2160,—,—,9.6,—,—,—,—,7197,149,—,—,118.7,—,—,—,1011,6079,189,—,—,7,—,—,—,2169,-34,—,—,9.1,—,—,2464,27540,2160,—,—,9.6,—,—,—,—,7197,149,—,—,118.7,—,—,—,1011,6079,189,—,—,7,—,—,—,2169,-34,—,—,9.1,—,—,0,—,—,27540,2160,—,—,9.6,—,—,—,—,7197,149,—,—,118.7,—,—,—,1011,6079,189,—,—,7,—,—,—,2169,-34,—,—,9.1,—,—,—,7197,149,—,—,118.7,—,—,—,1011,6079,189,—,—,7,—,—,—,27540,2160,—,—,9.6,—,—,—,—,2169,-34,—,—,9.1,—,—,—,7197,149,—,—,118.7,—,—,—,1011,27540,2160,—,—,9.6,—,—,—,—,6079,189,—,—,7,—,—,—,2169,-34,—,—,9.1,—,—,—,7197,149,—,—,118.7,—,—,—,1011,6079,189,—,—,7,—,—,—,2169,-34,—,—,9.1,—,—,27540,2160,—,—,9.6,—,—,—,—,—,2169,-34,—,—,9.1,—,—,6079,189,—,—,7,—,—,—,7197,149,—,—,118.7,—,—,—,1011,27540,2160,—,—,9.6,—,—,—,—,—,27540,2160,—,—,9.6,—,—,—,—,—,6079,189,—,—,7,—,—,—,27540,2160,—,—,9.6,—,—,—,—,—,—,3002,—,1784,—,—,—,—,—,—,—,465,7197,149,—,—,118.7,—,—,—,1011,4013,—,3002,—,1784,—,—,—,—,—,—,—,465,—,753,—,7197,149,—,—,118.7,—,—,—,1011,—,—,—,753,—,
07/31/2000,46112,29647,2560,—,—,11.4,—,—,—,—,7404,232,—,—,101.1,—,—,—,1028,6665,240,—,—,8.3,—,—,—,2396,-113,—,—,5.4,—,—,2443,29647,2560,—,—,11.4,—,—,—,—,7404,232,—,—,101.1,—,—,—,1028,6665,240,—,—,8.3,—,—,—,2396,-113,—,—,5.4,—,—,-476,—,—,29647,2560,—,—,11.4,—,—,—,—,7404,232,—,—,101.1,—,—,—,1028,6665,240,—,—,8.3,—,—,—,2396,-113,—,—,5.4,—,—,—,7404,232,—,—,101.1,—,—,—,1028,6665,240,—,—,8.3,—,—,—,29647,2560,—,—,11.4,—,—,—,—,2396,-113,—,—,5.4,—,—,—,7404,232,—,—,101.1,—,—,—,1028,29647,2560,—,—,11.4,—,—,—,—,6665,240,—,—,8.3,—,—,—,2396,-113,—,—,5.4,—,—,—,7404,232,—,—,101.1,—,—,—,1028,6665,240,—,—,8.3,—,—,—,2396,-113,—,—,5.4,—,—,29647,2560,—,—,11.4,—,—,—,—,—,2396,-113,—,—,5.4,—,—,6665,240,—,—,8.3,—,—,—,7404,232,—,—,101.1,—,—,—,1028,29647,2560,—,—,11.4,—,—,—,—,—,29647,2560,—,—,11.4,—,—,—,—,—,6665,240,—,—,8.3,—,—,—,29647,2560,—,—,11.4,—,—,—,—,—,—,3028,—,—,—,—,—,—,—,—,—,—,7404,232,—,—,101.1,—,—,—,1028,4056,—,3028,—,—,—,—,—,—,—,—,—,—,—,—,—,7404,232,—,—,101.1,—,—,—,1028,—,—,—,—,—,
10/31/2000,45676,29226,2249,—,—,10.5,—,—,—,—,7437,241,—,—,25.8,—,—,—,1045,6573,219,—,—,9.3,—,—,—,2440,-140,—,—,4.9,—,—,2064,29226,2249,—,—,10.5,—,—,—,—,7437,241,—,—,25.8,—,—,—,1045,6573,219,—,—,9.3,—,—,—,2440,-140,—,—,4.9,—,—,-505,—,—,29226,2249,—,—,10.5,—,—,—,—,7437,241,—,—,25.8,—,—,—,1045,6573,219,—,—,9.3,—,—,—,2440,-140,—,—,4.9,—,—,—,7437,241,—,—,25.8,—,—,—,1045,6573,219,—,—,9.3,—,—,—,29226,2249,—,—,10.5,—,—,—,—,2440,-140,—,—,4.9,—,—,—,7437,241,—,—,25.8,—,—,—,1045,29226,2249,—,—,10.5,—,—,—,—,6573,219,—,—,9.3,—,—,—,2440,-140,—,—,4.9,—,—,—,7437,241,—,—,25.8,—,—,—,1045,6573,219,—,—,9.3,—,—,—,2440,-140,—,—,4.9,—,—,29226,2249,—,—,10.5,—,—,—,—,—,2440,-140,—,—,4.9,—,—,6573,219,—,—,9.3,—,—,—,7437,241,—,—,25.8,—,—,—,1045,29226,2249,—,—,10.5,—,—,—,—,—,29226,2249,—,—,10.5,—,—,—,—,—,6573,219,—,—,9.3,—,—,—,29226,2249,—,—,10.5,—,—,—,—,—,—,3113,—,1723,—,—,—,—,—,—,—,469,7437,241,—,—,25.8,—,—,—,1045,4158,—,3113,—,1723,—,—,—,—,—,—,—,469,—,866,—,7437,241,—,—,25.8,—,—,—,1045,—,—,—,866,—,
01/31/2001,56556,35476,2160,—,—,11.8,—,20286,—,—,10062,149,—,—,2.2,—,25742,80380.872,1071,7481,189,—,—,6.1,—,3843,—,3537,-34,—,—,27.5,—,28259,3538,35476,2160,—,—,11.8,—,20286,—,—,10062,149,—,—,2.2,—,25742,80380.872,1071,7481,189,—,—,6.1,—,3843,—,3537,-34,—,—,27.5,—,28259,1074,—,—,35476,2160,—,—,11.8,—,20286,—,—,10062,149,—,—,2.2,—,25742,80380.872,1071,7481,189,—,—,6.1,—,3843,—,3537,-34,—,—,27.5,—,28259,—,10062,149,—,—,2.2,—,25742,80380.872,1071,7481,189,—,—,6.1,—,3843,—,35476,2160,—,—,11.8,—,20286,—,—,3537,-34,—,—,27.5,—,28259,—,10062,149,—,—,2.2,—,25742,80380.872,1071,35476,2160,—,—,11.8,—,20286,—,—,7481,189,—,—,6.1,—,3843,—,3537,-34,—,—,27.5,—,28259,—,10062,149,—,—,2.2,—,25742,80380.872,1071,7481,189,—,—,6.1,—,3843,—,3537,-34,—,—,27.5,—,28259,35476,2160,—,—,11.8,—,20286,—,—,78130,3537,-34,—,—,27.5,—,28259,7481,189,—,—,6.1,—,3843,—,10062,149,—,—,2.2,—,25742,80380.872,1071,35476,2160,—,—,11.8,—,20286,—,—,—,35476,2160,—,—,11.8,—,20286,—,—,—,7481,189,—,—,6.1,—,3843,—,35476,2160,—,—,11.8,—,20286,—,—,467252.684,386871.812,3118,328870.874,2643,162597.877,888,165374.845,1736,898.152,19,58000.938,475,10062,149,—,—,2.2,—,25742,80380.872,1071,4189,386871.812,3118,328870.874,2643,162597.877,888,165374.845,1736,898.152,19,58000.938,475,—,—,406,10062,149,—,—,2.2,—,25742,80380.872,1071,53,612,0,—,406,
04/30/2001,48052,30751,2222,—,7.2,11.7,—,—,—,—,7636,215,—,2.8,6.1,—,—,—,1068,6535,218,—,3.3,7.5,—,—,—,3130,-83,—,21.2,3.7,—,—,2059,30751,2222,—,7.2,11.7,—,—,—,—,7636,215,—,2.8,6.1,—,—,—,1068,6535,218,—,3.3,7.5,—,—,—,3130,-83,—,21.2,3.7,—,—,-513,—,—,30751,2222,—,7.2,11.7,—,—,—,—,7636,215,—,2.8,6.1,—,—,—,1068,6535,218,—,3.3,7.5,—,—,—,3130,-83,—,21.2,3.7,—,—,—,7636,215,—,2.8,6.1,—,—,—,1068,6535,218,—,3.3,7.5,—,—,—,30751,2222,—,7.2,11.7,—,—,—,—,3130,-83,—,21.2,3.7,—,—,—,7636,215,—,2.8,6.1,—,—,—,1068,30751,2222,—,7.2,11.7,—,—,—,—,6535,218,—,3.3,7.5,—,—,—,3130,-83,—,21.2,3.7,—,—,—,7636,215,—,2.8,6.1,—,—,—,1068,6535,218,—,3.3,7.5,—,—,—,3130,-83,—,21.2,3.7,—,—,30751,2222,—,7.2,11.7,—,—,—,—,—,3130,-83,—,21.2,3.7,—,—,6535,218,—,3.3,7.5,—,—,—,7636,215,—,2.8,6.1,—,—,—,1068,30751,2222,—,7.2,11.7,—,—,—,—,—,30751,2222,—,7.2,11.7,—,—,—,—,—,6535,218,—,3.3,7.5,—,—,—,30751,2222,—,7.2,11.7,—,—,—,—,—,—,3153,—,1702,—,—,—,—,—,—,—,479,7636,215,—,2.8,6.1,—,—,—,1068,4221,—,3153,—,1702,—,—,—,—,—,—,—,479,20,952,—,7636,215,—,2.8,6.1,—,—,—,1068,—,—,—,952,—,
