Date,CASH_CASH_EQTY_STI_DETAILED,BS_CASH_NEAR_CASH_ITEM,BS_MKT_SEC_OTHER_ST_INVEST,BS_ACCT_NOTE_RCV,BS_ACCTS_REC_EXCL_NOTES_REC,NOTES_RECEIVABLE,BS_UNBILLED_REVENUES,BS_INVENTORIES,INVTRY_RAW_MATERIALS,INVTRY_IN_PROGRESS,INVTRY_FINISHED_GOODS,BS_OTHER_INV,OTHER_CURRENT_ASSETS_DETAILED,BS_PREPAY,BS_DERIV_HEDGING_ASST_ST,BS_TAXES_RECEIVABLE_SHORT_TERM,BS_OTHER_CUR_ASSET_LESS_PREPAY,BS_CUR_ASSET_REPORT,BS_NET_FIX_ASSET,BS_GROSS_FIX_ASSET,BS_ACCUM_DEPR,BS_LT_INVEST,BS_LONG_TERM_INVESTMENTS,BS_LT_RECEIVABLES,BS_OTHER_ASSETS_DEF_CHRG_OTHER,BS_DISCLOSED_INTANGIBLES,BS_GOODWILL,OTHER_INTANGIBLE_ASSETS_DETAILED,BS_PREPAID_EXPENSE_LT,BS_DEFERRED_TAX_ASSETS_LT,BS_DERIV_HEDGING_ASST_LT,BS_INVEST_IN_ASSOC_CO,OTHER_NONCURRENT_ASSETS_DETAILED,BS_TOT_NON_CUR_ASSET,BS_TOT_ASSET,CF_NET_INC,CF_CASH_FROM_OPER,FIXED_INTANG_ASST_CHANGE,DISPOSAL_OF_FIXED_INTANG,ACQUIS_OF_FIXED_INTANG,NET_CHG_IN_LT_INVEST_DETAILED,CF_DECR_INVEST,CF_INCR_INVEST,CF_NT_CSH_RCVD_PD_FOR_ACQUIS_DIV,CF_CASH_FOR_DIVESTITURES,CF_CASH_FOR_ACQUIS_SUBSIDIARIES,CF_CASH_FOR_JOINT_VENTURES_ASSOC,OTHER_INVESTING_ACT_DETAILED,CF_NET_CASH_DISCONTINUED_OPS_INV,CF_CASH_FROM_INV_ACT,CF_DVD_PAID,PROC_FR_REPAYMNTS_BOR_DETAILED,PROC_FR_REPURCH_EQTY_DETAILED,CF_INCR_CAP_STOCK,CF_DECR_CAP_STOCK,OTHER_FIN_AND_DEC_CAP,CF_NET_CASH_DISCONTINUED_OPS_FIN,CFF_ACTIVITIES_DETAILED,CF_EFFECT_FOREIGN_EXCHANGES,CF_NET_CHNG_CASH,CF_CASH_PAID_FOR_TAX,CF_NET_CASH_PAID_FOR_AQUIS,CF_FREE_CASH_FLOW,CF_FREE_CASH_FLOW_FIRM,FREE_CASH_FLOW_EQUITY,FREE_CASH_FLOW_PER_SH,PX_TO_FREE_CASH_FLOW,CASH_FLOW_TO_NET_INC,SALES_REV_TURN,IS_SALES_AND_SERVICES_REVENUES,IS_COGS_TO_FE_AND_PP_AND_G,IS_COG_AND_SERVICES_SOLD,GROSS_PROFIT,IS_OTHER_OPER_INC,IS_OPERATING_EXPN,IS_SGA_EXPENSE,IS_SELLING_EXPENSES,IS_GENERAL_AND_ADMINISTRATIVE,IS_OPERATING_EXPENSES_RD,IS_OTHER_OPERATING_EXPENSES,IS_OPER_INC,IS_NONOP_INCOME_LOSS,IS_NET_INTEREST_EXPENSE,IS_INT_EXPENSE,IS_INT_INC,IS_OTHER_INVESTMENT_INCOME_LOSS,INCOME_LOSS_FROM_AFFILIATES,IS_OTHER_NON_OPERATING_INC_LOSS,PRETAX_INC,IS_ABNORMAL_ITEM,IS_DERIVATIVES_HEDGING,IS_GAIN_LOSS_DISPOSAL_ASSETS,IS_IMPAIRMENT_ASSETS,IS_IMPAIR_OF_INTANG_ASSETS,IS_SALE_OF_BUSINESS,IS_LEGAL_LITIGATION_SETTLEMENT,IS_GAIN_LOSS_ON_INVESTMENTS,IS_OTHER_ONE_TIME_ITEMS,IS_INC_TAX_EXP,IS_INC_BEF_XO_ITEM,XO_GL_NET_OF_TAX,IS_DISCONTINUED_OPERATIONS,EXTRAORD_ITEMS_ACCOUNTING_CHANGS,NI_INCLUDING_MINORITY_INT_RATIO,MIN_NONCONTROL_INTEREST_CREDITS,NET_INCOME,IS_TOT_CASH_PFD_DVD,OTHER_ADJUSTMENTS,EARN_FOR_COMMON,IS_NET_ABNORMAL_ITEMS,IS_AVG_NUM_SH_FOR_EPS,IS_EPS,IS_EARN_BEF_XO_ITEMS_PER_SH,IS_BASIC_EPS_CONT_OPS,IS_SH_FOR_DILUTED_EPS,IS_DILUTED_EPS,IS_DIL_EPS_BEF_XO,IS_DIL_EPS_CONT_OPS,ACCOUNTING_STANDARD,EBITDA,EBITDA_MARGIN,EBIT,GROSS_MARGIN,OPER_MARGIN,PROF_MARGIN,ACTUAL_SALES_PER_EMPL,RETURN_COM_EQY,RETURN_ON_ASSET,RETURN_ON_CAP,RETURN_ON_INV_CAPITAL,INCREMENTAL_OPERATING_MARGIN,PRETAX_INC_TO_NET_SALES,INC_BEF_XO_ITEMS_TO_NET_SALES,NET_INCOME_TO_COMMON_MARGIN,EFF_TAX_RATE,ESG_SCORE,ENVIRONMENTAL_SCORE,SOCIAL_SCORE,GOVERNANCE_SCORE,ESG_DISCLOSURE_SCORE,ENVIRON_DISCLOSURE_SCORE,SOCIAL_DISCLOSURE_SCORE,GOVNCE_DISCLOSURE_SCORE,NOX_EMISSIONS,VOC_EMISSIONS,PARTICULATE_EMISSIONS,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,EMISSION_REDUCTION,TRANSITION_PLAN_INDICATOR,CLIMATE_CHG_POLICY,CLIMATE_CHG_OPPORTUNITIES,CLIMATE_RISKS,GHG_SCOPE_1,GHG_SCOPE_2_LOCATION_BASED,ENERGY_EFFIC_POLICY,ENERGY_CONSUMPTION,ELECTRICITY_USED,NAT_GAS_USED,OIL_DIESEL_USED,WASTE_REDUCTION,HAZARDOUS_WASTE,TOTAL_WASTE,ENVIRON_SUPPLY_MGT,WATER_POLICY,TOTAL_WATER_WITHDRAWAL,TOTAL_WATER_DISCHARGED,BIODIVERSITY_POLICY,ADOPT_TNFD_RECOMMENDATIONS,ZERO_DEFORESTATION_POLICY,BOARD_LEVEL_OVERSIGHT_BIODIV,EXEC_LEVEL_OVERSIGHT_BIODIV,HUMAN_RIGHTS_POLICY,POLICY_AGAINST_CHILD_LABOR,QUALITY_ASSURANCE_AND_RECALL_POL,CONSUMER_DATA_PROTECTION_POLICY,COMMUNITY_SPENDING,CUSTOMER_COMPLAINTS,EQUAL_OPPORTUNITY_POLICY,GENDER_PAY_GAP_BREAKOUT,PCT_WOMEN_SENIOR_MGT,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,PCT_WOMEN_EMPLOYEES,PCT_MINORITY_EMPLOYEES,PCT_DISABLED_IN_WORKFORCE,ETHICS_POLICY,ANTI_BRIBERY_ETHICS_POLICY,HEALTH_SAFETY_POLICY,FATALITIES_EMPLOYEES,LOST_TIME_INCIDENT_RATE,TRAINING_POLICY,FAIR_REMUNERATION_POLICY,NUMBER_EMPLOYEES_CSR,EMPLOYEE_TURNOVER_PCT,EMPLOYEE_TRAINING_COST,TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,COMP_DISCLOSES_EMP_ENG_SCORE,SOCIAL_SUPPLY_CHAIN_MGMT,YEARS_AUDITOR_EMPLOYED,SIZE_OF_AUDIT_COMMITTEE,NUM_IND_DIR_ON_AUD_CMTE,AUDIT_COMMITTEE_MEETINGS,AUDIT_COMMITTEE_MTG_ATTEND_PCT,COMPANY_CONDUCTS_BRD_EVALUATIONS,BOARD_SIZE,NUM_EXECUTIVES_COMP_MANAGERS,NUM_OF_NONEXEC_DIR_ON_BRD,BOARD_MEETINGS_PER_YR,BOARD_MEETING_ATTENDANCE_PCT,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,DIRECTOR_SH_OWNERSHIP_GUIDELINES,SIZE_OF_COMPENSATION_COMMITTEE,NUM_IND_DIR_ON_CMPNSTN_CMTE,NUM_COMPENSATION_CMTE_MTG,COMPENSATION_CMTE_MTG_ATTEND_PCT,NUMBER_OF_FEMALE_EXECUTIVES,NUMBER_OF_WOMEN_ON_BOARD,AGE_OF_YOUNGEST_DIRECTOR,AGE_OF_OLDEST_DIRECTOR,INDEPENDENT_DIRECTORS,SIZE_OF_NOMINATION_COMMITTEE,NUM_IND_DIR_ON_NOM_CMTE,NUM_OF_NOMINATION_CMTE_MTG,NOMINATION_CMTE_MTG_ATTEND_PCT,VERIFICATION_TYPE,EMPLOYEE_CSR_TRAINING,BOARD_DURATION
1990-12-31 00:00:00,1684,1226,458,5039,,,,2801,,,,,565,,,,,10089,22726,44308,21582,237,,,2037,,,,,,,,2037,25000,35089,2157,4727,-2534,702,-3236,0,0,0,,,,,25,,-2509,-1043,-849,-300,0,-300,48,,-2144,,74,,,1491,1810.4797,1344,1.0545,17.2186,2.1915,38607,,31619,,6988,,3177,,,,,,3811,,624,624,,,,,4213,,,,,,,,,,2056,2157,0,,,2157,0,2157,0,,2157,,1414,1.525,1.525,1.525,1414,1.525,1.525,1.525,US GAAP,6504,16.8467,3811,18.1003,9.8713,5.5871,712201.1511,14.9708,6.2546,11.4915,7.8529,29.7468,10.9125,5.5871,5.5871,48.8013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-12-31 00:00:00,1485,1040,445,4373,,,,2465,,,,,708,,,,,9031,22850,45268,22418,225,,,2530,,,,,,,,2530,25605,34636,1293,3278,-2925,768,-3693,0,0,0,,,,,18,,-2907,-1139,888,-286,0,-286,-20,,-557,,-186,,,-415,-117.0129,1241,-0.2963,16.2406,2.5352,36461,,31244,,5217,,3271,,,,,,1946,,519,519,,,,,2252,,,,,,,,,,959,1293,0,,,1293,0,1293,0,,1293,,1400.8,0.9225,0.9225,0.9225,1400.8,0.9225,0.9225,0.9225,US GAAP,4562,12.512,1946,14.3084,5.3372,3.5463,661448.0344,8.7439,3.7089,7.225,4.4537,-86.9059,6.1765,3.5463,3.5463,42.5844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-12-31 00:00:00,1695,1292,403,4115,,,,2135,,,,,827,,,,,8772,22188,44010,21822,223,,,2787,,,,,,,,2787,25198,33970,1569,3914,-2309,1043,-3352,0,0,0,,,,,45,,-2264,-1115,96,-382,0,-382,3,,-1398,,252,,,562,840.2443,1701,0.4145,41.9198,2.4946,37464,,31827,,5637,,3203,,,,,,2434,,436,436,,,,,3463,,,,,,,,,,1253,2210,641,,,1569,0,1569,0,,1569,,1355.908,1.1575,1.63,1.63,1355.908,1.1575,1.63,1.63,US GAAP,5028,13.4209,2434,15.0464,6.4969,4.188,760767.5906,11.0233,4.5739,8.3956,6.2287,48.654,9.2435,5.899,4.188,36.1825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-12-31 00:00:00,2016,1644,372,3808,,,,1801,,,,,1057,,,,,8682,21865,44807,22942,217,,,3972,,,,,,,,3972,26054,34736,1265,4221,-2415,908,-3323,0,0,0,,,,,30,,-2385,-1139,-362,-4,0,-4,21,,-1484,,352,,,898,1063.2947,1444,0.6898,31.5783,3.3368,32123,,26726,,5397,,2708,,,,,,2689,,317,317,,,,,2426,,,,,,,,,,1161,1265,0,,,1265,0,1265,0,,1265,,1301.916,0.9725,0.9725,0.9725,1301.916,0.9725,0.9725,0.9725,US GAAP,5141,16.0041,2689,16.801,8.3709,3.938,675193.3748,9.1253,3.6824,6.6365,5.7331,,7.5522,3.938,3.938,47.8566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-12-30 00:00:00,1306,413,893,3923,,,,1710,,,,,652,,,,,7591,22173,46810,24637,268,,,4375,,,,,,,,4375,26816,34407,1693,2896,-2674,731,-3405,0,0,0,,,,,-545,,-3219,-1206,314,-5,0,-5,-11,,-908,,-1231,,,-509,-300.0175,536,-0.3905,32.1673,1.7106,30340,,25735,,4605,,2111,,,,,,2494,,346,346,,,,,2803,,,,,,,,,,1110,1693,0,,,1693,0,1693,0,,1693,,1303.344,1.3,1.3,1.3,1303.344,1.3,1.3,1.3,US GAAP,4925,16.2327,2494,15.178,8.2202,5.5801,663053.4551,11.8421,4.8971,8.5921,6.042,-10.9366,9.2386,5.5801,5.5801,39.6004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-12-29 00:00:00,1394,621,773,4014,,,,1598,,,,,861,,,,,7867,21696,48031,26335,149,,,4618,,,,,,,,4618,26463,34330,930,4075,-2948,581,-3529,0,0,0,,,,,144,,-2804,-1255,206,-4,0,-4,-10,,-1063,,208,,,546,754.4572,1333,0.4187,62.5511,4.3817,31332,,27373,,3959,,2516,,,,,,1443,,401,401,,,,,1789,,,,,,,,,,859,930,0,,,930,0,930,0,,930,,1304.168,0.715,0.715,0.715,1304.168,0.715,0.715,0.715,US GAAP,4824,15.3964,1443,12.6356,4.6055,2.9682,728329.3428,6.4246,2.706,5.4473,3.1985,,5.7098,2.9682,2.9682,48.0157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-12-31 00:00:00,1637,892,745,4035,,,,1431,,,,,839,,,,,7942,21496,46936,25440,440,,,4976,,,,,,,,4976,26912,34854,2607,5797,-2646,778,-3424,0,0,0,,,,,44,,-2602,-1358,-1560,-4,0,-4,-2,,-2924,,271,1595,,2373,2573.2,1591,1.8137,17.9195,2.2236,37580,,31049,,6531,,2538,,,,,,3993,,364,364,,,,,4740,44,,,,,,,,,2133,2607,0,,,2607,0,2607,0,,2607,,1308.4,1.995,1.995,2.04,1310.8,1.99,1.99,2.035,US GAAP,6209,16.5221,3993,17.3789,10.6253,6.9372,920627.1436,17.3928,7.5364,13.5686,9.413,40.8131,12.6131,6.9372,6.9372,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-12-31 00:00:00,1670,1015,655,3374,,,,1378,839,,539,,584,,,,,7006,22671,49233,26562,4496,,,1300,,,,,,,,1300,28467,35473,3256,4880,-2664,1235,-3899,,,,,,,,-196,,-2860,-1493,-558,173,173,,-19,,-1897,,123,1706,,981,1165.6369,,0.7474,51.5139,1.4988,41275,,34123,,7152,,2026,1533,,,,,5126,,312,312,,,,,5502,,,,,,,,,,2246,3256,,,,3256,,3256,,,3256,,1312.6,2.485,2.485,2.485,1316.8,2.475,2.475,2.475,US GAAP,7426,17.9915,5126,17.3277,12.4191,7.8886,1048600.1728,19.6767,9.2596,15.0059,11.0876,30.6631,13.3301,7.8886,7.8886,40.8215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-12-31 00:00:00,1413,569,844,2813,,,,1455,855,0,600,0,616,,,,,6297,23729,51337,27608,4604,,,1910,0,,,,,,,1910,30243,36540,1339,3731,-3446,434,-3880,0,0,0,,,,,-413,,-3859,-1596,1549,-261,0,-261,-10,,-318,,-446,654,,-149,146.6897,,-0.1138,56.3224,2.7864,30329,,25601,,4728,,2717,2239,,,,,2011,,405,405,,,,,1834,0,,,,,,,,,495,1339,0,,,1339,0,1339,0,,1339,,1309.8,1.025,1.025,1.025,1314.2,1.02,1.02,1.02,US GAAP,4331,14.2801,2011,15.589,6.6306,4.4149,773876.6554,7.761,3.7188,6.7925,4.7706,-28.4579,6.047,4.4149,4.4149,26.9902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-12-31 00:00:00,2032,1345,687,3688,,,,1402,291,,1111,,1175,,,,,8297,25317,54212,28895,1082,,,5972,,,,,,,,5972,32371,40668,2070,4481,-3374,992,-4366,0,0,0,,,,,294,,-3080,-1625,891,108,108,0,1,,-625,,776,864,,115,382.8289,1998,0.0876,494.5158,2.1647,31538,,25938,,5600,,2618,1404,,,,,2982,,451,472,21,,,,3648,216,,,,,,,,,1578,2070,0,,,2070,0,2070,0,,2070,,1313,1.58,1.58,1.745,1319,1.57,1.57,1.735,US GAAP,5848,18.5427,2982,17.7564,9.4553,6.5635,864291.5867,11.9024,5.3621,9.1215,5.4829,80.3143,11.567,6.5635,6.5635,43.2566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
