Date,CASH_CASH_EQTY_STI_DETAILED,BS_CASH_NEAR_CASH_ITEM,BS_MKT_SEC_OTHER_ST_INVEST,BS_ACCT_NOTE_RCV,BS_ACCTS_REC_EXCL_NOTES_REC,NOTES_RECEIVABLE,BS_UNBILLED_REVENUES,BS_INVENTORIES,INVTRY_RAW_MATERIALS,INVTRY_IN_PROGRESS,INVTRY_FINISHED_GOODS,BS_OTHER_INV,OTHER_CURRENT_ASSETS_DETAILED,BS_PREPAY,BS_DERIV_HEDGING_ASST_ST,BS_TAXES_RECEIVABLE_SHORT_TERM,BS_OTHER_CUR_ASSET_LESS_PREPAY,BS_CUR_ASSET_REPORT,BS_NET_FIX_ASSET,BS_GROSS_FIX_ASSET,BS_ACCUM_DEPR,BS_LT_INVEST,BS_LONG_TERM_INVESTMENTS,BS_LT_RECEIVABLES,BS_OTHER_ASSETS_DEF_CHRG_OTHER,BS_DISCLOSED_INTANGIBLES,BS_GOODWILL,OTHER_INTANGIBLE_ASSETS_DETAILED,BS_PREPAID_EXPENSE_LT,BS_DEFERRED_TAX_ASSETS_LT,BS_DERIV_HEDGING_ASST_LT,BS_INVEST_IN_ASSOC_CO,OTHER_NONCURRENT_ASSETS_DETAILED,BS_TOT_NON_CUR_ASSET,BS_TOT_ASSET,CF_NET_INC,CF_CASH_FROM_OPER,FIXED_INTANG_ASST_CHANGE,DISPOSAL_OF_FIXED_INTANG,ACQUIS_OF_FIXED_INTANG,NET_CHG_IN_LT_INVEST_DETAILED,CF_DECR_INVEST,CF_INCR_INVEST,CF_NT_CSH_RCVD_PD_FOR_ACQUIS_DIV,CF_CASH_FOR_DIVESTITURES,CF_CASH_FOR_ACQUIS_SUBSIDIARIES,CF_CASH_FOR_JOINT_VENTURES_ASSOC,OTHER_INVESTING_ACT_DETAILED,CF_NET_CASH_DISCONTINUED_OPS_INV,CF_CASH_FROM_INV_ACT,CF_DVD_PAID,PROC_FR_REPAYMNTS_BOR_DETAILED,PROC_FR_REPURCH_EQTY_DETAILED,CF_INCR_CAP_STOCK,CF_DECR_CAP_STOCK,OTHER_FIN_AND_DEC_CAP,CF_NET_CASH_DISCONTINUED_OPS_FIN,CFF_ACTIVITIES_DETAILED,CF_EFFECT_FOREIGN_EXCHANGES,CF_NET_CHNG_CASH,CF_CASH_PAID_FOR_TAX,CF_NET_CASH_PAID_FOR_AQUIS,CF_FREE_CASH_FLOW,CF_FREE_CASH_FLOW_FIRM,FREE_CASH_FLOW_EQUITY,FREE_CASH_FLOW_PER_SH,PX_TO_FREE_CASH_FLOW,CASH_FLOW_TO_NET_INC,SALES_REV_TURN,IS_SALES_AND_SERVICES_REVENUES,IS_COGS_TO_FE_AND_PP_AND_G,IS_COG_AND_SERVICES_SOLD,GROSS_PROFIT,IS_OTHER_OPER_INC,IS_OPERATING_EXPN,IS_SGA_EXPENSE,IS_SELLING_EXPENSES,IS_GENERAL_AND_ADMINISTRATIVE,IS_OPERATING_EXPENSES_RD,IS_OTHER_OPERATING_EXPENSES,IS_OPER_INC,IS_NONOP_INCOME_LOSS,IS_NET_INTEREST_EXPENSE,IS_INT_EXPENSE,IS_INT_INC,IS_OTHER_INVESTMENT_INCOME_LOSS,INCOME_LOSS_FROM_AFFILIATES,IS_OTHER_NON_OPERATING_INC_LOSS,PRETAX_INC,IS_ABNORMAL_ITEM,IS_DERIVATIVES_HEDGING,IS_GAIN_LOSS_DISPOSAL_ASSETS,IS_IMPAIRMENT_ASSETS,IS_IMPAIR_OF_INTANG_ASSETS,IS_SALE_OF_BUSINESS,IS_LEGAL_LITIGATION_SETTLEMENT,IS_GAIN_LOSS_ON_INVESTMENTS,IS_OTHER_ONE_TIME_ITEMS,IS_INC_TAX_EXP,IS_INC_BEF_XO_ITEM,XO_GL_NET_OF_TAX,IS_DISCONTINUED_OPERATIONS,EXTRAORD_ITEMS_ACCOUNTING_CHANGS,NI_INCLUDING_MINORITY_INT_RATIO,MIN_NONCONTROL_INTEREST_CREDITS,NET_INCOME,IS_TOT_CASH_PFD_DVD,OTHER_ADJUSTMENTS,EARN_FOR_COMMON,IS_NET_ABNORMAL_ITEMS,IS_AVG_NUM_SH_FOR_EPS,IS_EPS,IS_EARN_BEF_XO_ITEMS_PER_SH,IS_BASIC_EPS_CONT_OPS,IS_SH_FOR_DILUTED_EPS,IS_DILUTED_EPS,IS_DIL_EPS_BEF_XO,IS_DIL_EPS_CONT_OPS,ACCOUNTING_STANDARD,EBITDA,EBITDA_MARGIN,EBIT,GROSS_MARGIN,OPER_MARGIN,PROF_MARGIN,ACTUAL_SALES_PER_EMPL,RETURN_COM_EQY,RETURN_ON_ASSET,RETURN_ON_CAP,RETURN_ON_INV_CAPITAL,INCREMENTAL_OPERATING_MARGIN,PRETAX_INC_TO_NET_SALES,INC_BEF_XO_ITEMS_TO_NET_SALES,NET_INCOME_TO_COMMON_MARGIN,EFF_TAX_RATE
1990-03-30 00:00:00,1571,1091,480,3976,,,,2632,,,,,600,,,,,8779,22967,43774,20807,226,,,1979,,,,,,,,1979,25172,33951,473,806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.704,8544,,6760,,1784,,786,,,,,,998,,,164,,,,,972,,,,,,,,,,499,473,0,,,473,0,473,0,,473,,1419.6,0.3325,0.3325,,1419.6,0.3325,0.3325,0.3325,US GAAP,1707,,998,20.8801,11.6807,5.536,,,,,,,11.3764,5.536,5.536,51.3374
1990-06-29 00:00:00,1731,1263,468,3575,,,,2645,,,,,666,,,,,8617,22911,43992,21081,220,,,2038,,,,,,,,2038,25169,33786,648,1141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7608,7850,,6133,,1717,,767,,,,,,950,,,165,,,,,1154,,,,,,,,,,506,648,0,,,648,0,648,0,,648,,1415.2,0.4575,0.4575,,1415.2,0.4575,0.4575,0.4575,US GAAP,1596,,950,21.8726,12.1019,8.2548,,,,,,,14.7006,8.2548,8.2548,43.8475
1990-09-28 00:00:00,1749,1273,476,4398,,,,2588,,,,,754,,,,,9489,22776,44189,21413,169,,,2038,,,,,,,,2038,24983,34472,403,1224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0372,9492,,7842,,1650,,846,,,,,,804,,,154,,,,,920,,,,,,,,,,517,403,0,,,403,0,403,0,,403,,1413.2,0.285,0.285,,1413.2,0.285,0.285,0.285,US GAAP,1462,,804,17.3831,8.4703,4.2457,,,,,,,9.6924,4.2457,4.2457,56.1957
1990-12-31 00:00:00,1684,1226,458,5039,,,,2801,,,,,565,,,,,10089,22726,44308,21582,237,,,2037,,,,,,,,2037,25000,35089,633,1556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4581,12721,,10884,,1837,,778,,,,,,1059,,,141,,,,,1167,,,,,,,,,,534,633,0,,,633,0,633,0,,633,,1408.2,0.45,0.45,0.45,1408.2,0.45,0.45,0.45,US GAAP,1739,16.8467,1059,14.4407,8.3248,4.976,234670.1594,,,,,,9.1738,4.976,4.976,45.7584
1991-03-28 00:00:00,1408,949,459,4131,,,,2475,,,,,1001,,,,,9015,22649,44627,21978,166,,,2566,,,,,,,,2566,25381,34396,557,1006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8061,9711,,7948,,1763,,812,,,,,,951,,,130,,,,,1103,,,,,,,,,,546,557,0,,,557,0,557,0,,557,,1403.2,0.3975,0.3975,,1403.2,0.3975,0.3975,0.3975,US GAAP,1620,16.1337,951,18.1547,9.793,5.7358,,15.3304,6.5577,11.7169,8.9316,,11.3583,5.7358,5.7358,49.5014
1991-06-28 00:00:00,1417,953,464,4051,,,,2527,,,,,795,,,,,8790,22870,45204,22334,161,,,2656,,,,,,,,2656,25687,34477,384,762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9844,8530,,7222,,1308,,704,,,,,,604,,,129,,,,,684,,,,,,,,,,300,384,0,,,384,0,384,0,,384,,1403.2,0.2725,0.2725,,1403.2,0.2725,0.2725,0.2725,US GAAP,1231,14.9602,604,15.3341,7.0809,4.5018,,13.327,5.7923,10.2215,7.8975,,8.0188,4.5018,4.5018,43.8596
1991-09-30 00:00:00,1600,1138,462,4090,,,,2532,,,,,815,,,,,9037,22930,45475,22545,131,,,2538,,,,,,,,2538,25599,34636,313,629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0096,8872,,7669,,1203,,872,,,,,,331,,,131,,,,,451,,,,,,,,,,138,313,0,,,313,0,313,0,,313,,1400.4,0.225,0.225,,1400.4,0.225,0.225,0.225,US GAAP,978,13.978,331,13.5595,3.7308,3.528,,12.6649,5.461,9.9054,7.3724,-76.2903,5.0834,3.528,3.528,30.5987
1991-12-31 00:00:00,1485,1040,445,4373,,,,2465,,,,,708,,,,,9031,22850,45268,22418,225,,,2530,,,,,,,,2530,25605,34636,39,881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.5897,9348,,8405,,943,,883,,,,,,60,,,129,,,,,14,,,,,,,,,,-25,39,0,,,39,0,39,0,,39,,1393,0.0275,0.0275,0.0275,1393,0.0275,0.0275,0.0275,US GAAP,733,12.512,60,10.0877,0.6418,0.4172,169584.384,8.7439,3.7089,7.225,4.4424,-29.6176,0.1498,0.4172,0.4172,
1992-03-31 00:00:00,1305,861,444,4091,,,,2320,,,,,669,,,,,8385,22985,46004,23019,122,,,2712,,,,,,,,2712,25819,34204,-301,506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8515,,7198,,1317,,837,,,,,,480,,,122,,,,,624,,,,,,,,,,284,340,641,,,-301,0,-301,0,,-301,,1375.9399,-0.22,0.245,,1375.9399,-0.22,0.245,0.245,US GAAP,1144,11.5866,480,15.4668,5.6371,-3.5349,,2.9506,1.2682,3.3435,4.0195,-39.3813,7.3282,3.993,-3.5349,45.5128
1992-06-30 00:00:00,1513,1083,430,4240,,,,2302,,,,,676,,,,,8731,22893,46132,23239,126,,,2555,,,,,,,,2555,25574,34305,315,942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9905,9357,,8046,,1311,,848,,,,,,463,,,114,,,,,529,,,,,,,,,,214,315,0,,,315,0,315,0,,315,,1363.832,0.23,0.23,,1363.832,0.23,0.23,0.23,US GAAP,1117,11.0052,463,14.0109,4.9482,3.3665,,2.4701,1.0642,2.981,3.6776,,5.6535,3.3665,3.3665,40.4537
