CVX,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81
Chevron Corp (CVX US) - By Measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Millions of USD except Per Share,,Q3 2004,,Q4 2004,,Q1 2005,,Q2 2005,,Q3 2005,,Q4 2005,,Q1 2006,,Q2 2006,,Q3 2006,,Q4 2006,,Q1 2007,,Q2 2007,,Q3 2007,,Q4 2007,,Q1 2008,,Q2 2008,,Q3 2008,,Q4 2008,,Q1 2009,,Q2 2009,,Q3 2009,,Q4 2009,,Q1 2010,,Q2 2010,,Q3 2010,,Q4 2010,,Q1 2011,,Q2 2011,,Q3 2011,,Q4 2011,,Q1 2012,,Q2 2012,,Q3 2012,,Q4 2012,,Q1 2013,,Q2 2013,,Q3 2013,,Q4 2013,,Q1 2014,,Q2 2014,
3 Months Ending,,09/30/2004,,12/31/2004,,03/31/2005,,06/30/2005,,09/30/2005,,12/31/2005,,03/31/2006,,06/30/2006,,09/30/2006,,12/31/2006,,03/31/2007,,06/30/2007,,09/30/2007,,12/31/2007,,03/31/2008,,06/30/2008,,09/30/2008,,12/31/2008,,03/31/2009,,06/30/2009,,09/30/2009,,12/31/2009,,03/31/2010,,06/30/2010,,09/30/2010,,12/31/2010,,03/31/2011,,06/30/2011,,09/30/2011,,12/31/2011,,03/31/2012,,06/30/2012,,09/30/2012,,12/31/2012,,03/31/2013,,06/30/2013,,09/30/2013,,12/31/2013,,03/31/2014,,06/30/2014,
Revenue,,37558,1.0,41907,1.0,38325,1.0,45085,1.0,51109,1.0,50403,1.0,51409,1.0,49737,1.0,50455,1.0,43740,1.0,43888,1.0,51735,1.0,50995,1.0,57352,1.0,62122,1.0,78310,1.0,73615,1.0,43145,1.0,33077,1.0,37613,1.0,43101,1.0,45502,1.0,44669,1.0,48850,1.0,46372,1.0,49716,1.0,56278,1.0,64407,1.0,59287,1.0,56314,1.0,57109,1.0,57851,1.0,53497,1.0,54123,1.0,52263,1.0,53199,1.0,54380,1.0,51822,1.0,49032,1.0,53463,1.0
  Downstream,,35415,0.793364546696835,32338,0.771661059011621,35751,0.788317787920884,41312,0.785041045910611,45753,0.762372113173593,34128,0.677102553419439,44681,0.742962137714295,43405,0.730404200181739,44329,0.72637150160582,27642,0.63196159122085,37650,0.713068181818182,44849,0.716987466427932,45361,0.735031516860305,44065,0.768325428930116,53523,0.716861095857386,67750,0.715613579229778,63616,0.722884447121121,29294,0.678966276509445,28818,0.721821460775473,34688,0.738797069347419,39582,0.74131924935386,42109,0.723621803684355,39685,0.706956444286096,44315,0.73192283553001,41480,0.717870617147208,44677,0.713667294974601,51491,0.721152364812818,58792,0.724967939232515,53535,0.717656206013647,50481,0.70420590081607,51934,0.711541623280539,53255,0.733327825284697,49600,0.724987210407074,49673,0.716100106680506,47608,0.708768795593271,48777,0.723758791583821,50440,0.717108817424436,48209,0.713087595775523,44022,0.698296373846007,49801,0.714361534268583
    International,,19147,0.428929859539864,19874,0.474240580332641,19143,0.422107561024013,21739,0.413100486470052,23149,0.385726663778452,19192,0.380770985854017,23926,0.397844992434194,23972,0.403392454481204,25344,0.415284787310743,12086,0.276314586191129,21947,0.415662878787879,25602,0.409291469497378,25750,0.417254063163353,28091,0.489799832612638,31369,0.420141167646626,39793,0.420316031856687,35924,0.408213356362851,14389,0.333503302816085,17379,0.435302073940487,19453,0.414316749020276,21557,0.403734502003971,23977,0.412032581798185,21967,0.391324485615035,25093,0.414445215208271,23042,0.398774704925409,25020,0.399667742244657,30057,0.420960490749429,34180,0.421475781789484,30407,0.407616928294704,28577,0.398646857780568,29250,0.400750808352058,30598,0.421338180416133,28042,0.409880874077322,28815,0.415405241761093,27178,0.404615155575406,27222,0.403923197910793,28015,0.39829110864682,27516,0.407005295387983,23804,0.37758954347895,28599,0.410233238660814
    United States,,16268,0.36443468715697,12464,0.29742047867898,16608,0.366210226896871,19573,0.371940559440559,22604,0.376645449395141,14936,0.296331567565423,20755,0.345117145280101,19433,0.327011745700535,18985,0.311086714295078,15556,0.355647005029721,15703,0.297405303030303,19247,0.307695996930554,19611,0.317777453696952,15974,0.278525596317478,22154,0.29671992821076,27957,0.295297547373091,27692,0.31467109075827,14905,0.34546297369336,11439,0.286519386834986,15235,0.324480320327143,18025,0.33758474734989,18132,0.31158922188617,17718,0.315631958671061,19222,0.317477620321739,18438,0.319095912221799,19657,0.313999552729945,21434,0.300191874063388,24612,0.30349215744303,23128,0.310039277718943,21904,0.305559043035503,22684,0.310790814928481,22657,0.311989644868564,21558,0.315106336329752,20858,0.300694864919413,20430,0.304153640017865,21555,0.319835593673027,22425,0.318817708777617,20693,0.30608230038754,20218,0.320706830367057,21202,0.304128295607769
  Upstream,,8524,0.190954098434105,8923,0.212923855203188,9007,0.198606425437146,10618,0.201771055031925,13592,0.22648048788616,14931,0.296232367121005,14795,0.246013402284707,15229,0.256268300070676,15870,0.260044569705709,15279,0.349314128943759,14400,0.272727272727273,16792,0.268448650722599,15549,0.251956637985514,12792,0.223043660203655,20272,0.271513333244043,25891,0.273475294167353,23331,0.265115961955842,12824,0.297230270019701,10807,0.270689309688408,11827,0.251895552905095,13320,0.249466232160917,15610,0.268249931262029,16141,0.287538968557941,15832,0.261487133749546,15876,0.274756844692119,17440,0.278585348710904,19535,0.273595607904651,21895,0.269988655420736,20649,0.276807378312801,20757,0.289558485038711,20716,0.283827478489615,18917,0.260489390121315,18380,0.268654534824234,19185,0.276576420724851,19178,0.285514366532678,18159,0.269445351218209,19395,0.275739998293952,18826,0.278466408306955,18626,0.295453824434504,19419,0.278552371116275
    International,,4598,0.103004099554201,4594,0.109623690552891,4729,0.10427553967939,5399,0.102595773791426,6740,0.112307128336721,8678,0.172172291331865,7417,0.123330949965912,8436,0.141958065493218,8400,0.137641738218523,8790,0.200960219478738,7378,0.139734848484848,8719,0.139388029159739,8297,0.134444930565683,9181,0.160081601339099,10439,0.139814901624633,13780,0.145552105118618,12295,0.139711146210925,7159,0.165928844593812,6405,0.160429816651638,7557,0.160951610155052,8335,0.156103682061655,9684,0.166414627440198,9548,0.170089961699474,10110,0.166980477653354,9984,0.172787373230418,11492,0.183572409827162,12869,0.180235570930379,14538,0.179269014501332,13758,0.184431009289918,13933,0.194364232405664,14515,0.198868307118978,13185,0.181559053166439,12801,0.187108090331068,13052,0.188161347057636,12911,0.192213785916332,11746,0.174288512330475,12999,0.184807643094771,12985,0.192068751294264,11881,0.188461660480315,13454,0.192988495854491
