PCCYF US Equity,"""=BDH($A$1, $B7, ""19900101"","""",""sort=a"",""dir=h"",""per=cy"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
,"""=""=BDH($A$1, B"" & ROW() & "", """"19900101"""","""""""",""""sort=a"""",""""dates=h"""",""""dir=h"""",""""per=cy"""")""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Assets,,1990-12-31 00:00:00,1991-12-31,1992-12-31,1993-12-31,1994-12-30,1995-12-29,1996-12-31 00:00:00,1997-12-31 00:00:00,1998-12-31 00:00:00,1999-12-30 00:00:00,1999-12-31 00:00:00,2000-12-29 00:00:00,2001-12-31 00:00:00,2002-12-31 00:00:00,2003-12-31 00:00:00,2004-12-31 00:00:00,2005-12-30 00:00:00,2006-12-29 00:00:00,2007-12-31 00:00:00,2008-12-31 00:00:00,2009-12-31 00:00:00,2010-12-31 00:00:00,2011-12-30 00:00:00,2012-12-31 00:00:00,2013-12-31 00:00:00,2014-12-31 00:00:00,2015-12-31 00:00:00,2016-12-30 00:00:00,2017-12-29 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-30 00:00:00,2023-12-29 00:00:00
"  + Cash, Cash Equivalents & STI",CASH_CASH_EQTY_STI_DETAILED,,,,,,,,16472,15162,19335,,23875,25885,22375,38095,46330,82831,51571,87537,43575,86954,48722,61590,46245,57250,76021,73692,98617,136121,95489,108662,145950,163536,225049,267417
    + Cash & Cash Equivalents,BS_CASH_NEAR_CASH_ITEM,,,,,,,,16456,15109,17846,18060,11127,9977,11231,11688,80905,48559,68652,33150,86925,45709,61172,43395,51407,73778,72773,98617,136121,85954,108662,118631,136789,191190,249001,
    + ST Investments,BS_MKT_SEC_OTHER_ST_INVEST,,,,,,,,16,53,1489,5815,14758,12398,26864,34642,1926,3012,18885,10425,29,3013,418,2850,5843,2243,919,0,0,9535,0,27319,26747,33859,18416,
  + Accounts & Notes Receiv,BS_ACCT_NOTE_RCV,,,,,,,,14676,19355,14883,15159,9753,8619,5679,8680,7658,11332,23300,21129,33053,50960,66510,74431,78387,65931,60495,58600,72358,75830,71200,60401,60634,76404,79422,
"    + Accounts Receivable, Net",BS_ACCTS_REC_EXCL_NOTES_REC,,,,,,,,,,,,,4868,3263,3842,4630,8488,18565,16810,28785,45005,53822,64450,64027,53104,52262,47315,53143,59522,64184,52325,56659,72028,68761,
"    + Notes Receivable, Net",NOTES_RECEIVABLE,,,,,,,,,,,,,,,,,,,,4268,5955,12688,9981,14360,12827,8233,11285,19215,16308,7016,8076,3975,4376,10661,
  + Unbilled Revenues,BS_UNBILLED_REVENUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Inventories,BS_INVENTORIES,,,,,,,,17924,17493,17602,31514,28313,28441,28872,47377,62733,76038,88496,90685,114781,134888,182253,214117,227017,165977,126877,146865,144669,177577,181921,128539,143848,167751,180533,
    + Raw Materials,INVTRY_RAW_MATERIALS,,,,,,,,181,144,,8018,7774,8987,9553,14903,22396,24143,30324,31319,30928,39574,61601,77452,94823,59870,42605,52056,49106,58188,56254,35855,40334,56756,62784,
    + Work In Process,INVTRY_IN_PROGRESS,,,,,,,,0,0,,4031,4043,3787,3652,5417,5933,5493,6083,3472,7006,13652,16924,16280,17529,13165,8426,10336,12811,14241,15159,12387,15393,14448,21386,
    + Finished Goods,INVTRY_FINISHED_GOODS,,,,,,,,18268,18002,,20817,17199,16253,16367,27913,35131,47263,52804,65074,77685,82353,104545,120987,115247,95154,79502,84473,83908,110103,112003,80739,88811,104722,102041,
    + Other Inventory,BS_OTHER_INV,,,,,,,,-525,-653,,-1352,-703,-586,-700,-856,-727,-861,-715,-9180,-838,-691,-817,-602,-582,-2212,-3656,0,-1156,-4955,-1495,-442,-690,-8175,-5678,
  + Other ST Assets,OTHER_CURRENT_ASSETS_DETAILED,,,,,,,,22249,20582,28788,,8933,22066,15729,13528,19866,22673,23281,36216,69557,59595,51822,72358,79539,68299,83379,88280,77583,72014,89345,105130,151877,112820,144663,131148
    + Prepaid Expenses,BS_PREPAY,,,,,,,,,,,,,,,,,,,,36430,37949,39308,34056,12407,23966,20290,16479,10191,20582,17038,28700,20258,26782,24798,
    + Derivative & Hedging Assets,BS_DERIV_HEDGING_ASST_ST,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
    + Taxes Receivable,BS_TAXES_RECEIVABLE_SHORT_TERM,,,,,,,,,,,,,,,,,,,,15663,7678,21071,29557,33484,37485,37600,,,42153,,44514,42644,34256,33499,
    + Misc ST Assets,BS_OTHER_CUR_ASSET_LESS_PREPAY,,,,,,,,,,,,,,,,,,,,7502,6195,11979,15926,22408,21928,30390,61104,61823,26610,88092,78663,49918,83625,72851,
Total Current Assets,BS_CUR_ASSET_REPORT,,,,,,,,71321,72592,80608,79481,86017,75164,86174,122253,175895,162222,235549,224946,294383,286392,382711,414332,430953,391308,349344,381665,425162,438241,466913,486767,480838,613867,658520,
"  + Property, Plant & Equip, Net",BS_NET_FIX_ASSET,,,,,,,,212970,228710,324990,341229,366970,397798,433419,497919,580125,665805,789367,926704,1105703,1274754,1420236,1626050,1711272,1814032,1855456,1792473,1757734,1787628,2038424,1661877,1667902,1695578,1718461,
"    + Property, Plant & Equip",BS_GROSS_FIX_ASSET,,,,,,,,302253,332558,513519,538266,586604,642503,699507,811787,937841,1077747,1260805,1483081,1739273,2015563,2283088,2621163,2828632,3090252,3316381,2355466,2373093,3819681,2779685,3882144,4034728,4302957,4545985,
    - Accumulated Depreciation,BS_ACCUM_DEPR,,,,,,,,89283,103848,188529,197037,219634,244705,266088,313868,357716,411942,471438,556377,633570,740809,862852,995113,1117360,1276220,1460925,562993,615359,2032053,741261,2220267,2366826,2607379,2827524,
  + LT Investments & Receivables,BS_LT_INVEST,,,,,,,,2409,2837,857,1781,1447,1535,1839,5357,4658,4553,7752,4544,3673,5467,4541,5508,4689,5229,2869,2031,1937,738,930,902,1168,943,832,
    + LT Investments,BS_LONG_TERM_INVESTMENTS,,,,,,,,,,,,,,,,,,,,3673,5467,4541,5508,4689,5229,2869,2031,1937,738,930,902,1168,943,832,
    + LT Receivables,BS_LT_RECEIVABLES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Other LT Assets,BS_OTHER_ASSETS_DEF_CHRG_OTHER,,,,,,,,9598,10944,4830,5589,8231,8652,10303,12918,17389,39583,35012,40041,46529,89874,110098,123006,195196,194904,186175,220781,220077,214270,226923,338580,352354,360012,374635,
    + Total Intangible Assets,BS_DISCLOSED_INTANGIBLES,,,,,,,,1361,1724,1351,1452,1637,1990,1988,2040,3122,3717,5466,6677,13400,16021,21666,24142,24454,25855,63768,64137,59268,60531,62072,28641,29006,29628,28524,
    + Goodwill,BS_GOODWILL,,,,,,,,,,,,0,0,0,0,,,,148,2818,3068,7282,7582,7225,7233,45589,46097,41934,42273,42808,8125,7987,7317,7442,
    + Other Intangible Assets,OTHER_INTANGIBLE_ASSETS_DETAILED,,,,,,,,,,,,1637,1990,1988,2040,,,,6529,10582,12953,14384,16560,17229,18622,18179,18040,17334,18258,19264,20516,21019,22311,21082,
    + Prepaid Expense,BS_PREPAID_EXPENSE_LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Deferred Tax Assets,BS_DEFERRED_TAX_ASSETS_LT,,,,,,,,,,,,,,,,,,305,994,289,284,505,1443,11226,14995,16927,20360,26724,23498,24259,11364,12161,16614,18127,
    + Derivative & Hedging Assets,BS_DERIV_HEDGING_ASST_LT,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
    + Investments in Affiliates,BS_INVEST_IN_ASSOC_CO,,,,,,,,3152,3579,2942,3003,4083,4145,5571,9898,12378,32956,26219,28850,28223,64137,70739,80042,116700,116947,70976,79003,81216,89362,102165,250603,265785,269569,280870,
    + Misc LT Assets,OTHER_NONCURRENT_ASSETS_DETAILED,,,,,,,,5085,5641,537,,1134,2511,2517,2744,980,1889,2910,3022,3520,4617,9432,17188,17379,42816,37107,34504,57281,52869,40879,38427,47972,45402,44201,47114
Total Noncurrent Assets,BS_TOT_NON_CUR_ASSET,,,,,,,,224977,242491,330677,348599,376648,407985,445561,516194,602172,709941,832131,971289,1155905,1370095,1534875,1754564,1911157,2014165,2044500,2015285,1979748,2002636,2266277,2001359,2021424,2056533,2093928,
Total Assets,BS_TOT_ASSET,,,,,,,,296298,315083,411285,428080,462665,483149,531735,638447,778067,872163,1067680,1196235,1450288,1656487,1917586,2168896,2342110,2405473,2393844,2396950,2404910,2440877,2733190,2488126,2502262,2670400,2752448,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Operating Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Net Income,CF_NET_INC,,,,,,,,42209,22755,36531,82051,45469,46910,69614,103843,133362,142224,146750,114453,103387,139992,132961,115326,129599,107172,35517,7900,22793,53036,45677,19006,92170,148743,161146,
Cash from Operating Activities,CF_CASH_FROM_OPER,,,,,,,,55089,37959,54142,104522,84733,98432,138972,142491,204563,200201,206354,174860,258942,312943,288716,228968,278842,348534,251737,258487,356473,342265,350505,309185,343758,395211,456815,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Investing Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Change in Fixed & Intang,FIXED_INTANG_ASST_CHANGE,,,,,,,,-49826,-36052,-37884,,-53610,-50376,-70202,-80907,-93172,-118329,-130063,-172254,-215174,-253509,-258398,-267173,-311251,-267967,-299301,-215827,-187224,-235699,-265694,-324674,-247181,-258871,-243713,-280892
    + Disp in Fixed & Intang,DISPOSAL_OF_FIXED_INTANG,,,,,,,,3614,7368,4986,,3149,1110,497,202,873,898,346,1014,436,4053,722,802,493,39084,7250,1923,2197,1305,1616,2088,1195,2746,0,0
    + Acq of Fixed & Intang,ACQUIS_OF_FIXED_INTANG,,,,,,,,-53440,-43420,-42870,,-56759,-51486,-70699,-81109,-94045,-119227,-130409,-173268,-215610,-257562,-259120,-267975,-311744,-307051,-306551,-217750,-189421,-237004,-267310,-326762,-248376,-261617,-243713,-280892
  + Net Change in LT Investment,NET_CHG_IN_LT_INVEST_DETAILED,,,,,,,,-192,-155,-287,,-947,-77,-134,-635,-393,194,-58,-52,29,25,3,-56,-22,-13,-219,-625,-1247,-17255,-2,-16104,0,0,0,0
    + Dec in LT Investment,CF_DECR_INVEST,,,,,,,,0,0,0,0,99,97,87,83,976,4,276,52,136,76,21,0,0,0,0,1315,3173,0,15081,0,0,0,0,
    + Inc in LT Investment,CF_INCR_INVEST,,,,,,,,-192,-155,-287,-947,-176,-231,-722,-476,-782,-62,-328,-23,-111,-73,-77,-22,-13,-219,-625,-2562,-20428,-2,-31185,,0,0,0,
  + Net Cash From Acq & Div,CF_NT_CSH_RCVD_PD_FOR_ACQUIS_DIV,,,,,,,,,,,,,,,,,,,,-17739,-31223,-8525,-7273,-4278,-2587,-19492,0,0,-2911,105,-4546,-2209,-4686,-9099,
    + Cash from Divestitures,CF_CASH_FOR_DIVESTITURES,,,,,,,,,,,,,,,,,,,,60,2082,356,0,0,0,0,0,0,0,105,0,0,0,0,
    + Cash for Acq of Subs,CF_CASH_FOR_ACQUIS_SUBSIDIARIES,,,,,,,,,,,,,,,,,,,,-16451,-1389,-2995,-35,0,0,-17855,0,0,0,0,-1947,-1822,-3290,-7395,
    + Cash for JVs,CF_CASH_FOR_JOINT_VENTURES_ASSOC,,,,,,,,,,,,,,,,,,,,-1348,-31916,-5886,-7238,-4278,-2587,-1637,0,0,-2911,0,-2599,-387,-1396,-1704,
  + Other Investing Activities,OTHER_INVESTING_ACT_DETAILED,,,,,,,,-1039,-1246,-2336,,-6197,-11332,-1417,-16407,-9511,25881,-30429,-14291,-3112,7562,-10577,-17942,-22626,-5954,-1827,8863,0,0,-7606,0,62431,32938,1687,15463
  + Net Cash From Disc Ops,CF_NET_CASH_DISCONTINUED_OPS_INV,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cash from Investing Activities,CF_CASH_FROM_INV_ACT,,,,,,,,-51057,-37453,-40507,-60754,-61785,-71753,-97949,-103076,-92254,-160550,-186597,-218257,-263661,-300195,-293696,-341172,-278212,-303934,-227081,-188471,-252954,-276213,-340673,-189296,-228142,-246712,-274528,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Financing Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Dividends Paid,CF_DVD_PAID,,,,,,,,0,0,0,-13021,-26699,-17650,-29678,-34328,-53667,-68589,-64517,-53636,-50092,-53198,-63300,-58041,-53470,-59475,-29005,-8450,-19626,-27369,-30684,-28078,-39866,-54686,-78699,
  + Cash From (Repayment) Debt,PROC_FR_REPAYMNTS_BOR_DETAILED,,,,,,,,16328,7826,-24411,,-52000,-4057,-9985,-10439,-5662,-6192,-1609,91,59249,104297,-510,86235,126627,54282,44168,12018,-36392,-43861,-65860,50707,-40964,-39358,-37711,-44764
  + Cash (Repurchase) of Equity,PROC_FR_REPURCH_EQTY_DETAILED,,,,,,,,0,0,0,,20336,0,0,0,0,19692,,66243,,0,0,0,0,0,0,0,0,0,2211,0,613,673,0,0
    + Increase in Capital Stock,CF_INCR_CAP_STOCK,,,,,,,,0,0,0,20336,0,0,0,0,19692,,66243,,0,0,0,0,0,0,0,0,0,2211,0,613,673,0,0,
    + Decrease in Capital Stock,CF_DECR_CAP_STOCK,,,,,,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
  + Other Financing Activities,OTHER_FIN_AND_DEC_CAP,,,,,,,,-20083,-9679,13515,1129,850,-194,348,650,-2925,-1799,-3668,2117,4110,-490,-2179,26036,8338,-7966,-7675,-2889,-11648,-15293,-30469,-14271,-16599,-9018,-4589,
  + Net Cash From Disc Ops,CF_NET_CASH_DISCONTINUED_OPS_FIN,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cash from Financing Activities,CFF_ACTIVITIES_DETAILED,,,,,,,,-3755,-1853,-10896,,-43556,-29906,-27829,-39769,-39340,-43092,-71997,-1851,7730,58315,-54198,20756,94622,9150,-23273,-24662,-47731,-75135,-106311,-10446,-82700,-95150,-101415,-128052
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Effect of Foreign Exchange Rates,CF_EFFECT_FOREIGN_EXCHANGES,,,,,,,,,,,,,,,,,,,,179,234,-313,-195,-1768,1044,-999,2873,-3538,2513,1069,-4967,-2308,7317,3576,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Changes in Cash,CF_NET_CHNG_CASH,,,,,,,,277,-1347,2739,212,-6958,-1150,1254,75,69217,-32346,17906,-35667,53775,-41216,15463,-17777,8012,22371,-1005,25158,24846,-37746,455,32222,18158,54401,57811,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Paid for Taxes,CF_CASH_PAID_FOR_TAX,,,,,,,,8586,7317,10427,16572,22893,19562,19716,34915,47138,53795,55027,53924,16412,26169,46379,41847,48807,51063,28192,269532,285912,38788,340449,19104,26493,64026,62443,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference Items,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Cash Paid for Acquisitions,CF_NET_CASH_PAID_FOR_AQUIS,,,,,,,,,,,,,,,1000,2334,22549,1903,10334,17938,33441,8926,7273,4278,2587,19492,,,2911,,4546,2209,4686,9099,
Free Cash Flow,CF_FREE_CASH_FLOW,,,,,,,,1649,-5461,11272,47763,33247,27733,57863,48446,85336,69792,33086,-40750,1380,53823,20741,-82776,-25258,41983,33987,69066,119469,74955,23743,60809,82141,151498,175923,
Free Cash Flow to Firm,CF_FREE_CASH_FLOW_FIRM,,,,,,,,9418.394,2748.8953,17878.1889,51821.9288,36162.6554,30120.1121,59539.1915,50507.1913,87325.9248,72207.2789,34904.59,-38367.5659,5391.7905,58858.0294,29366.3002,-68552.8272,-6816.0654,59689.2493,51697.6493,84262.4523,134998.3692,89348.0602,43485.7368,76650.6721,96451.6284,168006.1223,194192.8304,
Free Cash Flow to Equity,FREE_CASH_FLOW_EQUITY,,,,,,,,,9733,-8153,-1088,30300,18245,47626,43657,,,34191,18935,109730,54035,107778,44344,68108,93401,47928,34871,76913,10711,76538,21040,45529,113787,131159,
Free Cash Flow per Basic Share,FREE_CASH_FLOW_PER_SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Price to Free Cash Flow,PX_TO_FREE_CASH_FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flow to Net Income,CASH_FLOW_TO_NET_INC,,,,,,,,1.8457,2.485,2.0052,1.8925,1.8635,2.0983,1.9963,1.3722,1.5339,1.4076,1.4062,1.5278,2.5046,2.2354,2.1714,1.9854,2.1516,3.2521,7.0878,32.7199,15.6396,6.4534,7.6736,16.2678,3.7296,2.657,2.8348,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue,SALES_REV_TURN,,,,,,,143677,157381,147287,175969,241992,241320,244424,303779,397354,552229,688978,836353,1072604,1019275,1465415,2003843,2195296,2258124,2282962,1725428,1616903,2015890,2374934,2516810,1933836,2614349,3239167,3011012,
    + Sales & Services Revenue,IS_SALES_AND_SERVICES_REVENUES,,,,,,,,,,,,,,,,,,,,1019275,1465415,2003843,2195296,2258124,2282962,1725428,1573096,1963242,2374934,2458600,1933836,2614349,3239167,3011012,
  - Cost of Revenue,IS_COGS_TO_FE_AND_PP_AND_G,,,,,,,,,,,,,,,,,,369219,,,,,,,,,1235707,1584245,,2002403,,,,,
    + Cost of Goods & Services,IS_COG_AND_SERVICES_SOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,1046953,1385455,,1814552.88,,,,,
Gross Profit,GROSS_PROFIT,,,,,,,,,,,,,,,,,,467134,,,,,,,,,381196,431645,,514407,,,,,
  + Other Operating Income,IS_OTHER_OPER_INC,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,8003,0,11267,0,0,0,0,
  - Operating Expenses,IS_OPERATING_EXPN,,,,,,,95289,107950,111027,126482,149296,169495,169371,200710,246216,358055,489217,266363,910431,876008,1277803,1821595,2021116,2069840,2113404,1646464,342573,366965,2252044,391205,1857924,2453213,3022522,2775564,
"    + Selling, General & Admin",IS_SGA_EXPENSE,,,,,,,,,,,,,,,28302,36538,43235,52257,59617,65423,74239,69969,74692,79021,73413,71270,124328,105980,74477,114595,64345,57802,59529,64074,
    + Selling & Marketing,IS_SELLING_EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,55768,57479,,59842,,,,,
    + General & Administrative,IS_GENERAL_AND_ADMINISTRATIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,68560,48501,,54753,,,,,
    + Research & Development,IS_OPERATING_EXPENSES_RD,,,,,,,,,,,,,,,,,,,,,,,,,,,0,22150,,15666,,,20016,21957,
    + Other Operating Expense,IS_OTHER_OPERATING_EXPENSES,,,,,,,,,,,,,,,,,,,,718393,1090420,1613596,1794478,1827507,1862492,1372300,201030,220079,1943906,241052,1579266,2163367,2703157,2441608,
Operating Income (Loss),IS_OPER_INC,,,,,,,48388,49431,36260,49487,92696,71825,75053,103069,151138,194174,199761,200771,162173,143267,187612,182248,174180,188284,169558,78964,38623,72683,122890,134469,75912,161136,216645,235448,
  - Non-Operating (Income) Loss,IS_NONOP_INCOME_LOSS,,,,,,,,,,,,,,,,,,,,3235,-1693,-1967,7369,10221,12799,21149,-6569,19600,6120,31256,19839,2933,3368,-2014,
"    + Interest Expense, Net",IS_NET_INTEREST_EXPENSE,,,,,,,,,,,,,,,1523,838,1154,303,767,3813,4338,8212,16101,20859,21723,22309,20857,19507,18939,26778,23505,16755,16816,15798,
