Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39
PetroChina Co Ltd (857 HK) - By Measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Millions of CNY except Per Share,,FY 2005,,FY 2006,,FY 2007,,FY 2008,,FY 2009,,FY 2010,,FY 2011,,FY 2012,,FY 2013,,FY 2014,,FY 2015,,FY 2016,,FY 2017,,FY 2018,,FY 2019,,FY 2020,,FY 2021,,FY 2022,,FY 2023,
12 Months Ending,,12/31/2005,,12/31/2006,,12/31/2007,,12/31/2008,,12/31/2009,,12/31/2010,,12/31/2011,,12/31/2012,,12/31/2013,,12/31/2014,,12/31/2015,,12/31/2016,,12/31/2017,,12/31/2018,,12/31/2019,,12/31/2020,,12/31/2021,,12/31/2022,,12/31/2023,
Revenue,,552229,1.0,688978,1.0,836353,1.0,1072604,1.0,1019275,1.0,1465415,1.0,2003843,1.0,2195296,1.0,2258124,1.0,2282962,1.0,1725428,1.0,1616903,1.0,2015890,1.0,2374934,1.0,2516810,1.0,1933836,1.0,2614349,1.0,3239167,1.0,3011012,1.0
  Marketing,,—,,—,,—,,724584,0.676323578415038,732806,0.71973348078844,1072547,0.7324774819996,1494171,0.746373086888565,1664940,0.759148063829098,1683706,0.746301086669373,1694275,0.742905287934309,1236707,0.717498938290915,1175272,0.727546908176973,1480764,0.735056515544877,1722355,0.725763158382649,1850234,0.735751489012444,1221030,0.632131036871334,1772577,0.678717641220743,2251392,0.695538699942908,1992638,0.662557377485249
    Intersegment Sales,,—,,—,,—,,—,,—,,—,,—,,—,,—,,-244226,-0.107088156793345,—,,—,,—,,—,,—,,—,,—,,—,,—,
    Marketing Gross,,—,,—,,—,,—,,—,,—,,—,,—,,—,,1938501,0.849993444727654,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Natural Gas Marketing,,21265,0.0385075756615462,33300,0.0483785205180134,43456,0.0520254811842214,56609,0.0528385962848985,68902,0.0676728578822841,105442,0.0720097959874969,156696,0.0782732881464642,180634,0.0823620979504999,217391,0.0963583544467631,259864,0.113945103211557,255519,0.148244176844763,219693,0.135999975238178,265310,0.131700827504728,326727,0.137675693715226,350371,0.139326152776773,335334,0.173603457014334,397496,0.152200749256411,497055,0.153558770973745,533942,0.17753711976246
    Intersegment Sales,,—,,—,,—,,—,,—,,—,,—,,—,,—,,-24398,-0.0106980290773465,—,,—,,—,,—,,—,,—,,—,,—,,—,
    Natural Gas and Pipeline Gross,,—,,—,,—,,—,,—,,—,,—,,—,,—,,284262,0.124643132288904,—,,—,,—,,—,,—,,—,,—,,—,,—,
"  Refining, Chemicals & New Materials",,—,,—,,—,,164319,0.153374645426314,119778,0.117641281405826,156174,0.106656340723349,188686,0.0942530354776366,180943,0.0825029899656616,190128,0.084274055569247,178080,0.0780844748788371,140421,0.0814678969341555,143657,0.0889302273754326,172289,0.0855248723001852,204665,0.0862414059879553,190501,0.0757533341233377,282108,0.146048190912343,324954,0.124424503073912,337024,0.104119244809237,336183,0.111781731972954
    Intersegment Sales,,—,,—,,—,,—,,—,,—,,—,,—,,—,,-668002,-0.292905353706272,—,,—,,—,,—,,—,,—,,—,,—,,—,
    Refining and Chemicals Gross,,—,,—,,—,,—,,—,,—,,—,,—,,—,,846082,0.370989828585109,—,,—,,—,,—,,—,,—,,—,,—,,—,
