Date,CASH_CASH_EQTY_STI_DETAILED,BS_CASH_NEAR_CASH_ITEM,BS_MKT_SEC_OTHER_ST_INVEST,BS_ACCT_NOTE_RCV,BS_ACCTS_REC_EXCL_NOTES_REC,NOTES_RECEIVABLE,BS_UNBILLED_REVENUES,BS_INVENTORIES,INVTRY_RAW_MATERIALS,INVTRY_IN_PROGRESS,INVTRY_FINISHED_GOODS,BS_OTHER_INV,OTHER_CURRENT_ASSETS_DETAILED,BS_PREPAY,BS_DERIV_HEDGING_ASST_ST,BS_TAXES_RECEIVABLE_SHORT_TERM,BS_OTHER_CUR_ASSET_LESS_PREPAY,BS_CUR_ASSET_REPORT,BS_NET_FIX_ASSET,BS_GROSS_FIX_ASSET,BS_ACCUM_DEPR,BS_LT_INVEST,BS_LONG_TERM_INVESTMENTS,BS_LT_RECEIVABLES,BS_OTHER_ASSETS_DEF_CHRG_OTHER,BS_DISCLOSED_INTANGIBLES,BS_GOODWILL,OTHER_INTANGIBLE_ASSETS_DETAILED,BS_PREPAID_EXPENSE_LT,BS_DEFERRED_TAX_ASSETS_LT,BS_DERIV_HEDGING_ASST_LT,BS_INVEST_IN_ASSOC_CO,OTHER_NONCURRENT_ASSETS_DETAILED,BS_TOT_NON_CUR_ASSET,BS_TOT_ASSET,CF_NET_INC,CF_CASH_FROM_OPER,FIXED_INTANG_ASST_CHANGE,DISPOSAL_OF_FIXED_INTANG,ACQUIS_OF_FIXED_INTANG,NET_CHG_IN_LT_INVEST_DETAILED,CF_DECR_INVEST,CF_INCR_INVEST,CF_NT_CSH_RCVD_PD_FOR_ACQUIS_DIV,CF_CASH_FOR_DIVESTITURES,CF_CASH_FOR_ACQUIS_SUBSIDIARIES,CF_CASH_FOR_JOINT_VENTURES_ASSOC,OTHER_INVESTING_ACT_DETAILED,CF_NET_CASH_DISCONTINUED_OPS_INV,CF_CASH_FROM_INV_ACT,CF_DVD_PAID,PROC_FR_REPAYMNTS_BOR_DETAILED,PROC_FR_REPURCH_EQTY_DETAILED,CF_INCR_CAP_STOCK,CF_DECR_CAP_STOCK,OTHER_FIN_AND_DEC_CAP,CF_NET_CASH_DISCONTINUED_OPS_FIN,CFF_ACTIVITIES_DETAILED,CF_EFFECT_FOREIGN_EXCHANGES,CF_NET_CHNG_CASH,CF_CASH_PAID_FOR_TAX,CF_NET_CASH_PAID_FOR_AQUIS,CF_FREE_CASH_FLOW,CF_FREE_CASH_FLOW_FIRM,FREE_CASH_FLOW_EQUITY,FREE_CASH_FLOW_PER_SH,PX_TO_FREE_CASH_FLOW,CASH_FLOW_TO_NET_INC,SALES_REV_TURN,IS_SALES_AND_SERVICES_REVENUES,IS_COGS_TO_FE_AND_PP_AND_G,IS_COG_AND_SERVICES_SOLD,GROSS_PROFIT,IS_OTHER_OPER_INC,IS_OPERATING_EXPN,IS_SGA_EXPENSE,IS_SELLING_EXPENSES,IS_GENERAL_AND_ADMINISTRATIVE,IS_OPERATING_EXPENSES_RD,IS_OTHER_OPERATING_EXPENSES,IS_OPER_INC,IS_NONOP_INCOME_LOSS,IS_NET_INTEREST_EXPENSE,IS_INT_EXPENSE,IS_INT_INC,IS_OTHER_INVESTMENT_INCOME_LOSS,INCOME_LOSS_FROM_AFFILIATES,IS_OTHER_NON_OPERATING_INC_LOSS,PRETAX_INC,IS_ABNORMAL_ITEM,IS_DERIVATIVES_HEDGING,IS_GAIN_LOSS_DISPOSAL_ASSETS,IS_IMPAIRMENT_ASSETS,IS_IMPAIR_OF_INTANG_ASSETS,IS_SALE_OF_BUSINESS,IS_LEGAL_LITIGATION_SETTLEMENT,IS_GAIN_LOSS_ON_INVESTMENTS,IS_OTHER_ONE_TIME_ITEMS,IS_INC_TAX_EXP,IS_INC_BEF_XO_ITEM,XO_GL_NET_OF_TAX,IS_DISCONTINUED_OPERATIONS,EXTRAORD_ITEMS_ACCOUNTING_CHANGS,NI_INCLUDING_MINORITY_INT_RATIO,MIN_NONCONTROL_INTEREST_CREDITS,NET_INCOME,IS_TOT_CASH_PFD_DVD,OTHER_ADJUSTMENTS,EARN_FOR_COMMON,IS_NET_ABNORMAL_ITEMS,IS_AVG_NUM_SH_FOR_EPS,IS_EPS,IS_EARN_BEF_XO_ITEMS_PER_SH,IS_BASIC_EPS_CONT_OPS,IS_SH_FOR_DILUTED_EPS,IS_DILUTED_EPS,IS_DIL_EPS_BEF_XO,IS_DIL_EPS_CONT_OPS,ACCOUNTING_STANDARD,EBITDA,EBITDA_MARGIN,EBIT,GROSS_MARGIN,OPER_MARGIN,PROF_MARGIN,ACTUAL_SALES_PER_EMPL,RETURN_COM_EQY,RETURN_ON_ASSET,RETURN_ON_CAP,RETURN_ON_INV_CAPITAL,INCREMENTAL_OPERATING_MARGIN,PRETAX_INC_TO_NET_SALES,INC_BEF_XO_ITEMS_TO_NET_SALES,NET_INCOME_TO_COMMON_MARGIN,EFF_TAX_RATE
1990-03-30 00:00:00,1852,1684,168,7609,,,,5624,,,,,1073,,,,,16158,60144,,,,,,5983,,,,,,,,5983,66127,82285,1280,1770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3828,24127,,15535,,8592,,6270,,,,,,2322,,,391,,,,,2261,,,,,,,,,,910,1351,0,,,1351,71,1280,19,,1261,,4998.1758,0.2525,0.2525,,4998.1758,0.2525,0.2525,0.2525,US GAAP,3608,,2322,35.6116,9.6241,5.3053,,,,,,,9.3712,5.5995,5.2265,40.2477
1990-06-29 00:00:00,1687,1530,157,7050,,,,5708,,,,,1252,,,,,15697,61008,,,,,,5903,,,,,,,,5903,66911,82608,1100,2751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5009,23444,,14712,,8732,,6851,,,,,,1881,,,321,,,,,1979,,,,,,,,,,769,1210,0,,,1210,110,1100,19,,1081,,4991.6318,0.2175,0.2175,,4991.6318,0.2175,0.2175,0.2175,US GAAP,3204,,1881,37.2462,8.0234,4.692,,,,,,,8.4414,5.1612,4.611,38.858
1990-09-28 00:00:00,1409,1340,69,8368,,,,6277,,,,,1255,,,,,17309,62262,,,,,,6586,,,,,,,,6586,68848,86157,1075,1961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8242,26086,,16868,,9218,,7255,,,,,,1963,,,240,,,,,1914,,,,,,,,,,781,1133,0,,,1133,58,1075,19,,1056,,4987.2002,0.2125,0.2125,,4987.2002,0.2125,0.2125,0.2125,US GAAP,3148,,1963,35.337,7.5251,4.121,,,,,,,7.3373,4.3433,4.0481,40.8046
1990-12-31 00:00:00,1379,1332,47,8045,,,,6386,,,,,2526,,,,,18336,62688,107599,44911,1207,,,5476,,,,,,,,5476,69371,87707,1555,4164,,,,,,,,,,,,,,,,,,,,,,,4164,,,,,,,,2.6778,31862,,21171,,10691,,8251,,,,,,2440,,,348,,,,,2298,,,,,,,,,,710,1588,0,,,1588,33,1555,18,,1537,,4982.3701,0.3075,0.3075,0.3075,4982.3701,0.3075,0.3075,0.3075,US GAAP,4191,13.4109,2440,33.5541,7.658,4.8804,306365.3846,,,,,,7.2124,4.984,4.8239,30.8964
1991-03-28 00:00:00,1687,1635,52,8075,,,,6088,,,,,993,,,,,16843,60754,,,,,,6064,,,,,,,,6064,66818,83661,2240,2750,,,,,,,,,,,,,,,,,,,,,,,2750,,,,,,,,1.2277,27237,,16783,,10454,,7176,,,,,,3278,,,248,,,,,3522,,,,,,,,,,1181,2341,0,,,2341,101,2240,18,,2222,,4980.0962,0.445,0.445,0.445,4980.0962,0.445,0.445,0.445,US GAAP,4483,13.8324,3278,38.3816,12.0351,8.2241,,18.828,7.1951,15.2215,13.3954,30.7395,12.9309,8.5949,8.158,33.5321
1991-06-28 00:00:00,1088,1036,52,7681,,,,5753,,,,,989,,,,,15511,60324,,,,,,5909,,,,,,,,5909,66233,81744,1125,2593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3049,24251,,15317,,8934,,7212,,,,,,1722,,,173,,,,,1834,,,,,,,,,,662,1172,0,,,1172,47,1125,17,,1108,,4977.0518,0.225,0.225,,4977.0518,0.225,0.225,0.225,US GAAP,2910,13.4617,1722,36.8397,7.1007,4.639,,18.5183,7.2953,15.1298,13.4524,,7.5626,4.8328,4.5689,36.096
1991-09-30 00:00:00,1469,1417,52,7695,,,,6135,,,,,869,,,,,16168,62115,,,,,,6310,,,,,,,,6310,68425,84593,1115,2799,,,,,,,,,,,,,,,,,,,,,,,2799,,,,,,,,2.5103,24238,,15461,,8777,,7157,,,,,,1620,,,163,,,,,1645,,,,,,,,,,454,1191,0,,,1191,76,1115,17,,1098,,4973.2002,0.22,0.22,0.22,4973.2002,0.22,0.22,0.22,US GAAP,2814,13.3825,1620,36.2117,6.6837,4.6002,,18.2964,7.0688,14.7831,13.1081,-18.5606,6.7869,4.9138,4.5301,27.5988
1991-12-31 00:00:00,1587,1496,91,6733,,,,6081,,,,,2611,,,,,17012,63864,112440,48576,1148,,,5536,,,,,,,,5536,70548,87560,1120,2800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,27121,,17597,,9524,,8073,,,,,,1451,,,226,,,,,1684,,,,,,,,,,621,1063,0,,,1063,-57,1120,17,,1103,,4974.7842,0.2225,0.2225,0.2225,4974.7842,0.2225,0.2225,0.2225,US GAAP,2688,12.538,1451,35.1167,5.3501,4.1296,268524.7525,16.7201,6.3903,12.5198,8.5387,-20.8606,6.2092,3.9195,4.067,36.8765
1992-03-31 00:00:00,1691,1627,64,7448,,,,5722,,,,,809,,,,,15670,62454,,,,,,6383,,,,,,,,6383,68837,84507,1295,2480,,,,,,,,,,,,,,,,,,,,,,,2480,,,,,,,,1.9151,24475,,15378,,9097,,7326,,,,,,1771,,,223,,,,,2028,,,,,,,,,,643,1385,40,,,1345,50,1295,16,,1279,,4966.6958,0.2575,0.2656,0.2656,4966.6958,0.2575,0.2656,0.2656,US GAAP,3084,11.4862,1771,37.1685,7.236,5.2911,,14.01,5.5361,11.434,9.4965,-54.5619,8.286,5.6588,5.2257,31.7061
1992-06-30 00:00:00,1621,1320,301,8020,,,,6149,,,,,868,,,,,16658,64115,,,,,,6445,,,,,,,,6445,70560,87218,930,1756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8882,24547,,16024,,8523,,7229,,,,,,1294,,,194,,,,,1323,,,,,,,,,,336,987,0,,,987,57,930,15,,915,,4965.896,0.1825,0.1825,,4965.896,0.1825,0.1825,0.1825,US GAAP,2528,11.0718,1294,34.7211,5.2715,3.7887,,13.0702,5.2793,11.0026,9.1194,,5.3897,4.0209,3.7275,25.3968
