Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49
Exxon Mobil Corp (XOM US) - By Measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Millions of USD except Per Share,,FY 2000,,FY 2001,,FY 2002,,FY 2003,,FY 2004,,FY 2005,,FY 2006,,FY 2007,,FY 2008,,FY 2009,,FY 2010,,FY 2011,,FY 2012,,FY 2013,,FY 2014,,FY 2015,,FY 2016,,FY 2017,,FY 2018,,FY 2019,,FY 2020,,FY 2021,,FY 2022,,FY 2023,
12 Months Ending,,12/31/2000,,12/31/2001,,12/31/2002,,12/31/2003,,12/31/2004,,12/31/2005,,12/31/2006,,12/31/2007,,12/31/2008,,12/31/2009,,12/31/2010,,12/31/2011,,12/31/2012,,12/31/2013,,12/31/2014,,12/31/2015,,12/31/2016,,12/31/2017,,12/31/2018,,12/31/2019,,12/31/2020,,12/31/2021,,12/31/2022,,12/31/2023,
Revenue,,228439,1.0,208715,1.0,200949,1.0,237054,1.0,291252,1.0,358955,1.0,365467,1.0,390328,1.0,459579,1.0,301500,1.0,370125,1.0,467029,1.0,451509,1.0,420836,1.0,394105,1.0,259488,1.0,200628,1.0,237162,1.0,279332,1.0,255583,1.0,178574,1.0,276692,1.0,398675,1.0,334697,1.0
  Energy Products,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,208906,0.755094664247349,305977,0.767554102834896,268383,0.802031503545718
    Non-U.S.,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,130406,0.471354938517035,188153,0.471988440669378,164515,0.491634018569819
    United States,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,78500,0.283739725730314,117824,0.295565662165518,103868,0.310397484975899
  Upstream,,21443,0.0942520449920222,18567,0.0889671530223532,16484,0.0820409707152953,21330,0.0899882293877172,23033,0.0790895074975878,30054,0.0837345369441658,32875,0.0899625099198205,28656,0.0734208220385449,39113,0.0851094849214794,24761,0.0821317571041432,34941,0.0944088537515232,46442,0.0994460468472635,38712,0.0857437124156949,39061,0.0928222615638701,37162,0.0942989745919048,24053,0.0926969323261908,19830,0.0988499902795017,23857,0.100608534667077,25517,0.0913625068923786,23143,0.0905643690665331,14549,0.0814905677286374,21797,0.0787856662642502,45164,0.113295487897571,25574,0.076424936272708
    Non-U.S.,,15774,0.0693341303784059,12889,0.0617599846666188,12588,0.0626505544384942,15388,0.0649197784256068,17043,0.058521359626683,23324,0.0649838404101192,26821,0.0733957255835591,22995,0.0589165201973876,32346,0.0703845626587112,21355,0.0708341211162303,26046,0.070375003715182,32419,0.0694186596774781,27673,0.0612932877061253,25349,0.0602378717488683,22336,0.0566778401723477,15812,0.0609372591336519,12278,0.0612042451160727,14508,0.0611824043655931,15158,0.0542725586657787,13779,0.0539206862277043,8673,0.0485784379620917,12914,0.0466778957717359,30585,0.0767235518852897,16074,0.0480352868400527
    United States,,5669,0.0249179146136163,5678,0.0272071683557344,3896,0.0193904162768012,5942,0.0250684509621104,5990,0.0205681478709048,6730,0.0187506965340466,6054,0.0165667843362614,5661,0.0145043018411573,6767,0.0147249222627682,3406,0.0112976359879129,8895,0.0240338500363412,14023,0.0300273871697855,11039,0.0244504247095695,13712,0.0325843898150018,14826,0.0376211344195571,8241,0.0317596731925389,7552,0.037645745163429,9349,0.039426130301484,10359,0.0370899482265999,9364,0.0366436828388288,5876,0.0329121297665457,8883,0.0321077704925143,14579,0.0365719360122818,9500,0.0283896494326553
  Chemical Products,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,28628,0.103476444180986,27619,0.0692832362112086,22265,0.0665363731176915
    Non-U.S.,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,16633,0.0601202911856345,16949,0.0425171646527309,14314,0.0427757307346345
    United States,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,11995,0.0433561529953517,10670,0.0267660715584777,7951,0.0237606423830571
  Specialty Products,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,17331,0.0626432253074148,19879,0.0498671730563241,18407,0.0550071870638827
    Non-U.S.,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,12473,0.0450838929813274,13727,0.0344346639440697,12363,0.0369453932564123
    United States,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,4858,0.0175593323260874,6152,0.0154325091122544,6044,0.0180617938074704
  Corporate & Financing,,932,,20,,25,,23,,25,,35,,37,,30,,18,,21,,22,,22,,24,,21,,18,,8,,21,,35,,38,,41,,38,,30,,36,,68,
  Chemical Prime Product,,17501,0.0769251056011463,15943,0.0763937803972304,16408,0.0816627182417232,20190,0.085178731895828,27781,0.0953929409017708,31186,0.0868884431070991,34098,0.093309252113948,36826,0.0943535452397911,38388,0.0835318923929576,26847,0.0890509786751316,35521,0.0959759850636174,41942,0.0898102169774757,38726,0.0857747211978249,39048,0.0927913691289522,38178,0.0968770855166499,28134,0.108424541390473,25391,0.126570857447646,28694,0.121006886605068,32443,0.116160748172177,27416,0.107285690806208,23091,0.129335260115607,—,,—,,—,
    Non-U.S.,,9303,0.040891049506169,9025,0.0432449268070629,9517,0.0473661683024427,12398,0.0523053946530201,17059,0.0585762995876069,19352,0.0539173074779895,20825,0.056987658375065,23036,0.0590215681351173,24252,0.0527721020713246,16885,0.0560072177498267,22119,0.059764443952089,26476,0.0566929403627783,24003,0.0531645569620253,23753,0.0564452312774022,23063,0.0585226104895619,17254,0.0664945275165716,15447,0.0770013010513093,17659,0.0744706423140342,20204,0.0723395418447944,17693,0.069237150840175,14562,0.0815633821750235,—,,—,,—,
