Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81
Exxon Mobil Corp (XOM US) - By Measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Millions of USD except Per Share,,Q3 2004,,Q4 2004,,Q1 2005,,Q2 2005,,Q3 2005,,Q4 2005,,Q1 2006,,Q2 2006,,Q3 2006,,Q4 2006,,Q1 2007,,Q2 2007,,Q3 2007,,Q4 2007,,Q1 2008,,Q2 2008,,Q3 2008,,Q4 2008,,Q1 2009,,Q2 2009,,Q3 2009,,Q4 2009,,Q1 2010,,Q2 2010,,Q3 2010,,Q4 2010,,Q1 2011,,Q2 2011,,Q3 2011,,Q4 2011,,Q1 2012,,Q2 2012,,Q3 2012,,Q4 2012,,Q1 2013,,Q2 2013,,Q3 2013,,Q4 2013,,Q1 2014,,Q2 2014,
3 Months Ending,,09/30/2004,,12/31/2004,,03/31/2005,,06/30/2005,,09/30/2005,,12/31/2005,,03/31/2006,,06/30/2006,,09/30/2006,,12/31/2006,,03/31/2007,,06/30/2007,,09/30/2007,,12/31/2007,,03/31/2008,,06/30/2008,,09/30/2008,,12/31/2008,,03/31/2009,,06/30/2009,,09/30/2009,,12/31/2009,,03/31/2010,,06/30/2010,,09/30/2010,,12/31/2010,,03/31/2011,,06/30/2011,,09/30/2011,,12/31/2011,,03/31/2012,,06/30/2012,,09/30/2012,,12/31/2012,,03/31/2013,,06/30/2013,,09/30/2013,,12/31/2013,,03/31/2014,,06/30/2014,
Revenue,,74854,1.0,155972,1.0,79475,1.0,86622,1.0,96731,1.0,96127,1.0,86317,1.0,96024,1.0,96268,1.0,86858,1.0,84174,1.0,95059,1.0,99130,1.0,111965,1.0,113223,1.0,133776,1.0,132085,1.0,80495,1.0,62128,1.0,72167,1.0,80090,1.0,87115,1.0,87037,1.0,89693,1.0,92353,1.0,101042,1.0,109251,1.0,121394,1.0,120475,1.0,115909,1.0,119189,1.0,112745,1.0,110989,1.0,109161,1.0,103828,1.0,103050,1.0,108390,1.0,106018,1.0,101312,1.0,105719,1.0
  Downstream,,62121,0.829950967948804,128817,0.82594060167731,64802,0.815416944545809,71884,0.829877626414223,80992,0.837438219906115,80002,0.832357072257192,68832,0.797469674324841,77933,0.811632993126432,79670,0.827637073819368,72022,0.829412103414522,68901,0.818603048628355,79117,0.832319895640465,83476,0.84217960229623,93322,0.833574503814067,92975,0.821196088995663,111733,0.835249529049427,111206,0.841946669493194,66146,0.821811947122552,51178,0.823777484467051,60091,0.832758214498538,66680,0.832636140004745,71922,0.825636257189104,70670,0.811981524461705,73583,0.820433056819196,74637,0.808197076340011,80751,0.799269531134008,86728,0.793870769906725,97998,0.807318740886586,98920,0.821110474720057,94977,0.819459543407361,97927,0.821638629022108,93270,0.827316432791073,92384,0.832408275066676,90466,0.828799941366705,84405,0.812993642843383,83445,0.809807556068825,89211,0.823078413462869,85645,0.807857378672829,81700,0.806443652587628,85607,0.809844098838309
    Non-U.S.,,43837,0.585672487274379,90929,0.583012746531251,45489,0.572397478325427,49455,0.570942045716925,54966,0.568335504683913,55816,0.580721011288561,47704,0.552686153881802,52277,0.544438658612789,54602,0.567222787808273,50437,0.580837220014971,47641,0.566015991635875,53472,0.562531560343377,57233,0.577417044159041,64799,0.578800221519553,64517,0.569842517598636,75667,0.565641539335586,78168,0.591814176042156,47007,0.584024947818308,35985,0.579226088916074,41238,0.571487964079325,46112,0.575802604797523,50069,0.574772416801552,48857,0.561355332398833,49883,0.556183658906431,51850,0.561451001624256,55452,0.548861240609318,59191,0.541808928391626,65960,0.543386029805498,67591,0.561056187796233,65037,0.561137857845421,67018,0.562302303142174,62809,0.557123596302933,60763,0.547493332372234,58369,0.534744807746924,53407,0.514419187054517,53480,0.519006628300806,57179,0.527544816260253,54838,0.517266424562562,51288,0.50625314631474,53176,0.503046127067015
    United States,,18284,0.244278480674425,37888,0.242927855146059,19313,0.243019466220382,22429,0.258935580697299,26026,0.269102715222202,24186,0.251636060968631,21128,0.244783520443039,25656,0.267194334513643,25068,0.260414286011095,21585,0.248574883399551,21260,0.252587056992479,25645,0.269788335297088,26243,0.264762558137189,28523,0.254774282294514,28458,0.251353571397027,36066,0.269607989713841,33038,0.250132493451038,19139,0.237786999304244,15193,0.244551395550977,18853,0.261270250419213,20568,0.256833535207223,21853,0.250863840387551,21813,0.250626192062872,23700,0.264249397912764,22787,0.246746074715755,25299,0.25040829052469,27537,0.252061841515099,32038,0.263932711081088,31329,0.260054286923824,29940,0.25832168556194,30909,0.259336325879935,30461,0.270192836488141,31621,0.284914942694442,32097,0.294055133619781,30998,0.298574455788865,29965,0.290800927768019,32032,0.295533597202617,30807,0.290590954110267,30412,0.300190506272888,32431,0.306797971771295
  Upstream,,5363,0.0716509238600382,11735,0.0752417224487702,6508,0.0818915075939651,7216,0.0833063957515585,8055,0.083286804392332,8275,0.086094782292046,9316,0.107932756363468,9662,0.100624869818788,7573,0.0786707111840602,6324,0.0728277768181033,6855,0.0814432867207642,6739,0.0708950513381586,6447,0.0650430290862499,8615,0.0769512478339318,10163,0.0897640855333469,10999,0.0822219896540382,10014,0.0758165382111113,7937,0.0986109730643077,5997,0.0965296333258217,5854,0.0811264014190884,5820,0.0726746001023938,7090,0.0813904099367474,7574,0.0870234620952731,7031,0.0783939880474534,9201,0.099631835408771,11135,0.110213696786135,12164,0.111344018600053,12334,0.101608903754109,10787,0.0895402212980717,11157,0.0962623595796449,10863,0.0911440198011495,9666,0.0857386151962958,9473,0.0853546457146976,9285,0.0850640843586525,9482,0.0913311500674244,10170,0.0986966606174122,9245,0.0852962071097087,10614,0.10011790784323,9701,0.0957565468023572,10299,0.0974287660347372
    Non-U.S.,,3921,0.052385469411749,8626,0.0553076350952784,4972,0.0625637024826666,5509,0.0635996305703071,6585,0.0680873503319065,6258,0.0651095042397128,7539,0.0873448959021237,8262,0.0860445740470735,6059,0.062942801936382,4961,0.0571313410491161,5493,0.0652615571053476,5303,0.0557881669752567,5136,0.0518165033949091,7063,0.0630884113117888,8399,0.074183661752886,8989,0.0671964237658105,8230,0.0623097772595812,6728,0.0835901003876354,5176,0.0833145542928886,5101,0.0706911126817168,4987,0.06227289187468,6091,0.0699222830641366,6308,0.0724774226164487,5950,0.0663410935688163,5923,0.0641364374661613,7865,0.0778473933743109,8878,0.0812653894386116,8705,0.0717127863774539,7101,0.0589436461887093,7735,0.0667374160929061,7896,0.0662499475605152,7059,0.0626142028419876,6755,0.0608646291357313,6354,0.058211867745275,6402,0.0616644191870545,6942,0.067369932940617,5829,0.053779512303136,6418,0.0605386030278734,5827,0.0575171011459989,6413,0.0606671207477201
