Date,CASH_CASH_EQTY_STI_DETAILED,BS_CASH_NEAR_CASH_ITEM,BS_MKT_SEC_OTHER_ST_INVEST,BS_ACCT_NOTE_RCV,BS_ACCTS_REC_EXCL_NOTES_REC,NOTES_RECEIVABLE,BS_UNBILLED_REVENUES,BS_INVENTORIES,INVTRY_RAW_MATERIALS,INVTRY_IN_PROGRESS,INVTRY_FINISHED_GOODS,BS_OTHER_INV,OTHER_CURRENT_ASSETS_DETAILED,BS_PREPAY,BS_DERIV_HEDGING_ASST_ST,BS_TAXES_RECEIVABLE_SHORT_TERM,BS_OTHER_CUR_ASSET_LESS_PREPAY,BS_CUR_ASSET_REPORT,BS_NET_FIX_ASSET,BS_GROSS_FIX_ASSET,BS_ACCUM_DEPR,BS_LT_INVEST,BS_LONG_TERM_INVESTMENTS,BS_LT_RECEIVABLES,BS_OTHER_ASSETS_DEF_CHRG_OTHER,BS_DISCLOSED_INTANGIBLES,BS_GOODWILL,OTHER_INTANGIBLE_ASSETS_DETAILED,BS_PREPAID_EXPENSE_LT,BS_DEFERRED_TAX_ASSETS_LT,BS_DERIV_HEDGING_ASST_LT,BS_INVEST_IN_ASSOC_CO,OTHER_NONCURRENT_ASSETS_DETAILED,BS_TOT_NON_CUR_ASSET,BS_TOT_ASSET,CF_NET_INC,CF_CASH_FROM_OPER,FIXED_INTANG_ASST_CHANGE,DISPOSAL_OF_FIXED_INTANG,ACQUIS_OF_FIXED_INTANG,NET_CHG_IN_LT_INVEST_DETAILED,CF_DECR_INVEST,CF_INCR_INVEST,CF_NT_CSH_RCVD_PD_FOR_ACQUIS_DIV,CF_CASH_FOR_DIVESTITURES,CF_CASH_FOR_ACQUIS_SUBSIDIARIES,CF_CASH_FOR_JOINT_VENTURES_ASSOC,OTHER_INVESTING_ACT_DETAILED,CF_NET_CASH_DISCONTINUED_OPS_INV,CF_CASH_FROM_INV_ACT,CF_DVD_PAID,PROC_FR_REPAYMNTS_BOR_DETAILED,PROC_FR_REPURCH_EQTY_DETAILED,CF_INCR_CAP_STOCK,CF_DECR_CAP_STOCK,OTHER_FIN_AND_DEC_CAP,CF_NET_CASH_DISCONTINUED_OPS_FIN,CFF_ACTIVITIES_DETAILED,CF_EFFECT_FOREIGN_EXCHANGES,CF_NET_CHNG_CASH,CF_CASH_PAID_FOR_TAX,CF_NET_CASH_PAID_FOR_AQUIS,CF_FREE_CASH_FLOW,CF_FREE_CASH_FLOW_FIRM,FREE_CASH_FLOW_EQUITY,FREE_CASH_FLOW_PER_SH,PX_TO_FREE_CASH_FLOW,CASH_FLOW_TO_NET_INC,SALES_REV_TURN,IS_SALES_AND_SERVICES_REVENUES,IS_COGS_TO_FE_AND_PP_AND_G,IS_COG_AND_SERVICES_SOLD,GROSS_PROFIT,IS_OTHER_OPER_INC,IS_OPERATING_EXPN,IS_SGA_EXPENSE,IS_SELLING_EXPENSES,IS_GENERAL_AND_ADMINISTRATIVE,IS_OPERATING_EXPENSES_RD,IS_OTHER_OPERATING_EXPENSES,IS_OPER_INC,IS_NONOP_INCOME_LOSS,IS_NET_INTEREST_EXPENSE,IS_INT_EXPENSE,IS_INT_INC,IS_OTHER_INVESTMENT_INCOME_LOSS,INCOME_LOSS_FROM_AFFILIATES,IS_OTHER_NON_OPERATING_INC_LOSS,PRETAX_INC,IS_ABNORMAL_ITEM,IS_DERIVATIVES_HEDGING,IS_GAIN_LOSS_DISPOSAL_ASSETS,IS_IMPAIRMENT_ASSETS,IS_IMPAIR_OF_INTANG_ASSETS,IS_SALE_OF_BUSINESS,IS_LEGAL_LITIGATION_SETTLEMENT,IS_GAIN_LOSS_ON_INVESTMENTS,IS_OTHER_ONE_TIME_ITEMS,IS_INC_TAX_EXP,IS_INC_BEF_XO_ITEM,XO_GL_NET_OF_TAX,IS_DISCONTINUED_OPERATIONS,EXTRAORD_ITEMS_ACCOUNTING_CHANGS,NI_INCLUDING_MINORITY_INT_RATIO,MIN_NONCONTROL_INTEREST_CREDITS,NET_INCOME,IS_TOT_CASH_PFD_DVD,OTHER_ADJUSTMENTS,EARN_FOR_COMMON,IS_NET_ABNORMAL_ITEMS,IS_AVG_NUM_SH_FOR_EPS,IS_EPS,IS_EARN_BEF_XO_ITEMS_PER_SH,IS_BASIC_EPS_CONT_OPS,IS_SH_FOR_DILUTED_EPS,IS_DILUTED_EPS,IS_DIL_EPS_BEF_XO,IS_DIL_EPS_CONT_OPS,ACCOUNTING_STANDARD,EBITDA,EBITDA_MARGIN,EBIT,GROSS_MARGIN,OPER_MARGIN,PROF_MARGIN,ACTUAL_SALES_PER_EMPL,RETURN_COM_EQY,RETURN_ON_ASSET,RETURN_ON_CAP,RETURN_ON_INV_CAPITAL,INCREMENTAL_OPERATING_MARGIN,PRETAX_INC_TO_NET_SALES,INC_BEF_XO_ITEMS_TO_NET_SALES,NET_INCOME_TO_COMMON_MARGIN,EFF_TAX_RATE,ESG_SCORE,ENVIRONMENTAL_SCORE,SOCIAL_SCORE,GOVERNANCE_SCORE,ESG_DISCLOSURE_SCORE,ENVIRON_DISCLOSURE_SCORE,SOCIAL_DISCLOSURE_SCORE,GOVNCE_DISCLOSURE_SCORE,NOX_EMISSIONS,VOC_EMISSIONS,PARTICULATE_EMISSIONS,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,EMISSION_REDUCTION,TRANSITION_PLAN_INDICATOR,CLIMATE_CHG_POLICY,CLIMATE_CHG_OPPORTUNITIES,CLIMATE_RISKS,GHG_SCOPE_1,GHG_SCOPE_2_LOCATION_BASED,ENERGY_EFFIC_POLICY,ENERGY_CONSUMPTION,ELECTRICITY_USED,NAT_GAS_USED,OIL_DIESEL_USED,WASTE_REDUCTION,HAZARDOUS_WASTE,TOTAL_WASTE,ENVIRON_SUPPLY_MGT,WATER_POLICY,TOTAL_WATER_WITHDRAWAL,TOTAL_WATER_DISCHARGED,BIODIVERSITY_POLICY,ADOPT_TNFD_RECOMMENDATIONS,ZERO_DEFORESTATION_POLICY,BOARD_LEVEL_OVERSIGHT_BIODIV,EXEC_LEVEL_OVERSIGHT_BIODIV,HUMAN_RIGHTS_POLICY,POLICY_AGAINST_CHILD_LABOR,QUALITY_ASSURANCE_AND_RECALL_POL,CONSUMER_DATA_PROTECTION_POLICY,COMMUNITY_SPENDING,CUSTOMER_COMPLAINTS,EQUAL_OPPORTUNITY_POLICY,GENDER_PAY_GAP_BREAKOUT,PCT_WOMEN_SENIOR_MGT,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,PCT_WOMEN_EMPLOYEES,PCT_MINORITY_EMPLOYEES,PCT_DISABLED_IN_WORKFORCE,ETHICS_POLICY,ANTI_BRIBERY_ETHICS_POLICY,HEALTH_SAFETY_POLICY,FATALITIES_EMPLOYEES,LOST_TIME_INCIDENT_RATE,TRAINING_POLICY,FAIR_REMUNERATION_POLICY,NUMBER_EMPLOYEES_CSR,EMPLOYEE_TURNOVER_PCT,EMPLOYEE_TRAINING_COST,TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,COMP_DISCLOSES_EMP_ENG_SCORE,SOCIAL_SUPPLY_CHAIN_MGMT,YEARS_AUDITOR_EMPLOYED,SIZE_OF_AUDIT_COMMITTEE,NUM_IND_DIR_ON_AUD_CMTE,AUDIT_COMMITTEE_MEETINGS,AUDIT_COMMITTEE_MTG_ATTEND_PCT,COMPANY_CONDUCTS_BRD_EVALUATIONS,BOARD_SIZE,NUM_EXECUTIVES_COMP_MANAGERS,NUM_OF_NONEXEC_DIR_ON_BRD,BOARD_MEETINGS_PER_YR,BOARD_MEETING_ATTENDANCE_PCT,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,DIRECTOR_SH_OWNERSHIP_GUIDELINES,SIZE_OF_COMPENSATION_COMMITTEE,NUM_IND_DIR_ON_CMPNSTN_CMTE,NUM_COMPENSATION_CMTE_MTG,COMPENSATION_CMTE_MTG_ATTEND_PCT,NUMBER_OF_FEMALE_EXECUTIVES,NUMBER_OF_WOMEN_ON_BOARD,AGE_OF_YOUNGEST_DIRECTOR,AGE_OF_OLDEST_DIRECTOR,INDEPENDENT_DIRECTORS,SIZE_OF_NOMINATION_COMMITTEE,NUM_IND_DIR_ON_NOM_CMTE,NUM_OF_NOMINATION_CMTE_MTG,NOMINATION_CMTE_MTG_ATTEND_PCT,VERIFICATION_TYPE,EMPLOYEE_CSR_TRAINING,BOARD_DURATION
1990-12-31 00:00:00,247.024,247.024,0,705.649,,,,203.795,,,,,0,,,,,1156.468,209.87,,,8747.0576,,,557.027,,,,,,,,557.027,9513.9546,10670.4229,394.093,522.568,0,0,0,-672.637,344.415,-1017.052,,,,,-10.136,,-682.773,0,209.184,0,0,0,-7.082,,202.102,,41.897,,,522.568,610.8115,731.752,,,1.326,2655.8979,,1489.26,,1166.6379,,541.054,,,,,,625.584,,,112.692,,,,,516.466,,,,,,,,,,112.047,404.419,0,,,404.419,10.326,394.093,0,,394.093,,,,,,,,,,US GAAP,659.667,24.8378,625.584,43.9263,23.5545,14.8384,,7.7178,3.9155,7.7981,6.6244,,19.446,15.2272,14.8384,21.6949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-12-31 00:00:00,762,762,0,904.471,,,,256.473,,,,,0,,,,,1922.944,222.139,,,11520.4775,,,796.341,,,,,,,,796.341,12538.9575,14461.9023,439.908,709.173,0,0,0,26.8661,1213.8311,-1186.965,,,,,-211.3521,,-184.486,0,-8.941,0,0,0,-0.77,,-9.711,,514.976,,,709.173,801.8298,700.232,,,1.6121,3101.8181,,1835.017,,1266.8011,,556.146,,,,,,710.655,,,121.847,,,,,592.986,,,,,,,,,,142.058,450.928,0,,,450.928,11.02,439.908,0,,439.908,,,,,,,,,,US GAAP,747.83,24.1094,710.655,40.8406,22.9109,14.1823,,6.9455,3.5007,7.0723,5.8917,19.0776,19.1174,14.5375,14.1823,23.9564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-12-31 00:00:00,1192.363,1192.363,0,690.628,,,,282.141,,,,,0,,,,,2165.1321,224.51,,,13755.2676,,,799.868,,,,,,,,799.868,14779.6456,16944.7773,407.285,997.185,0,0,0,-415.569,756.085,-1171.6541,,,,,-157.59,,-573.159,0,44.963,0,0,0,-38.626,,6.337,,430.363,,,997.185,1090.4587,1042.148,,,2.4484,3024.075,,1822.974,,1201.101,,531.253,,,,,,669.848,,,124.496,,,,,550.617,,,,,,,,,,138.089,412.528,0,,,412.528,5.243,407.285,0,,407.285,,,,,,,,,,US GAAP,710.922,23.5087,669.848,39.718,22.1505,13.4681,,5.0047,2.5936,5.3025,4.287,-52.4895,18.2078,13.6415,13.4681,25.079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-12-31 00:00:00,1838.103,1838.103,0,525.285,,,,378.386,,,,,0,,,,,2741.7739,259.736,,,14648.7988,,,1870.16,,,,,,,,1870.16,16778.6949,19520.4688,688.121,726.169,0,0,0,376.2629,1507.391,-1131.1281,,,,,-577.9199,,-201.657,0,140.7059,0,0,0,-2.86,,137.8459,,662.358,,,726.169,778.3675,866.8749,,,1.0553,3645.4309,,1806.1071,,1839.3239,,576.909,,,,,,1262.415,,,80.749,,,,,1189.718,,,,,,,,,,420.65,769.068,70.984,,,698.084,9.963,688.121,0,,688.121,,,,,,,,,,US GAAP,1312.595,36.0066,1262.415,50.4556,34.6301,18.8763,,7.1217,3.7741,6.8492,6.0284,95.3668,32.6359,21.0968,18.8763,35.3571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-12-30 00:00:00,273.881,273.881,0,580.6,,,,425.431,,,,,0,,,,,1279.912,275.667,,,18080.6445,,,1701.958,,,,,,,,1701.958,20058.2695,21338.1816,494.798,929.108,0,0,0,-627.837,1857.931,-2485.7681,,,,,-1520.809,,-2148.646,0,-344.318,0,0,0,-0.908,,-345.226,,-1564.764,,,929.108,974.816,584.79,,,1.8778,3847.467,,2243.2529,,1604.2141,,613.406,,,,,,990.808,,,60.111,,,,,662.197,,,,,,,,,,158.666,503.531,0,,,503.531,8.733,494.798,0,,494.798,,,,,,,,,,US GAAP,1053.355,27.3779,990.808,41.6953,25.7522,12.8604,,4.437,2.422,4.4895,4.9503,,17.2112,13.0873,12.8604,23.9605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-12-29 00:00:00,2703.8,2703.8,,718.9,,,,601.1,,,,,0,,,,,4023.8,333.3,,,22440.8,,,1913.5,,,,,,,,1913.5,24687.6,28711.4,794.9,1127.9,0,0,0,1225,3340,-2115,,,,,-11.4,,1213.6,0,114.6,0,0,0,-1.5,,113.1,,2454.6001,,,1127.9,1172.0961,1242.5,,,1.4189,4369.2002,,2643.7,,1725.5002,,775.9,,,,,,949.6,,,59.3,,,,,1084.4,,,,,,,,,,276.2,808.2,0,,,808.2,13.3,794.9,0,,794.9,,,,,,,,,,US GAAP,1025.3,23.4665,949.6,39.4924,21.734,18.1933,,5.5561,3.1765,5.5082,3.567,,24.8192,18.4977,18.1933,25.4703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-12-31 00:00:00,26805.8,1339.8,25466,1523.2,,,,619.6,,,,,0,,,,,3482.6001,1034.2,,,,,,4695.2002,,,,,,,,4695.2002,5729.4001,43409.5,2488.6001,1260,0,0,0,-1513.3003,2951.8999,-4465.2002,,,,,-1994.4998,,-3507.8,0,292.1,565,565,0,-3.5,,853.6,,-1394.2,,,1260,1327.5024,1552.1,,,0.5063,8016.2002,,5771.1001,,2245.1001,,923.6,,,,,,1321.5,,,99.7,,,,,3705.9001,,,,,,,,,,1196.8,2509.1001,0,,,2509.1001,20.5,2488.6001,0,,2488.6001,,,,,,,,,,US GAAP,1473.1,18.3765,1321.5,28.007,16.4854,31.0446,,12.3919,6.9012,11.7731,3.1892,10.1974,46.2301,31.3004,31.0446,32.2944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-12-31 00:00:00,47547.9,1002.4,46545.5,1711.5,1711.5,,,639,,,,,0,,,,,49898.4,1056.5,,,0,,,5156,3066.5,3066.5,0,,,,,2089.5,6212.5,56110.9,1901.6,2335.6,0,0,0,-1574,6468.7,-8042.7,,,,,-957.2,,-2531.2,0,-94.8,0,0,0,-1.4,,-96.2,,-291.8,498.5,774.9,2335.6,2411.9742,2240.8,,,1.2282,9323.7,,6486.6,,2837.1,,1003.9,,,,,,1833.2,,111.9,111.9,,,,,2827.6,,,,,,,,,,897.7,1929.9,0,,,1929.9,28.3,1901.6,0,,1901.6,,,,,,,,,,US GAAP,2060.5,22.0996,1833.2,30.4289,19.6617,20.3953,245360.5263,6.9298,3.8215,6.7005,3.2447,39.1358,30.327,20.6989,20.3953,31.7478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-12-31 00:00:00,74589,13582,61007,7224,7224,,,767,,,,,0,,,,,82580,1509,,,0,,,38148,18570,18570,0,,,,,19578,39657,122237,2830,657,0,0,0,-733,295,-1028,,,,,13446,,12713,0,58,0,0,0,3,,61,,13431,1703,-4971,657,729.1866,715,,,0.2322,11417,,8242,,3175,,1167,1056,,,,,2008,,,109,,,,,4314,,,,,,,,,,1457,2857,0,,,2857,27,2830,0,0,2830,,,,,,,,,,US GAAP,2273,19.9089,2008,27.8094,17.5878,24.7876,,6.3697,3.1736,6.1273,2.5088,8.3505,37.7858,25.0241,24.7876,33.7738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-12-31 00:00:00,73565,3835,69730,8558,8558,,,844,,,,,0,,,,,82967,1903,,,0,,,46546,18281,18281,0,,,,,28265,48449,131416,1557,2200,0,0,0,-11038,7342,-18380,,,,,-1560,,-12598,0,504,0,0,0,-137,,367,,-10031,2215,153,2200,2287.4008,2704,,,1.413,22663,,16583,,6080,,4861,1164,,,,,1219,,,134,,,,,2450,,,,,,,,,,852,1598,0,,,1598,41,1557,0,0,1557,,,,,,,,,,US GAAP,1907,8.4146,1219,26.8279,5.3788,6.8702,440058.2524,2.704,1.2277,2.3672,1.0462,,10.8106,7.0511,6.8702,34.7755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
