BRK/B US Equity,"""=BDH($A$1, $B7, ""19900101"","""",""sort=a"",""dir=h"",""per=cq"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140
,"""=""=BDH($A$1, B"" & ROW() & "", """"19900101"""","""""""",""""sort=a"""",""""dates=h"""",""""dir=h"""",""""per=cq"""")""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Assets,,1990-03-30 00:00:00,1990-06-29 00:00:00,1990-09-28 00:00:00,1990-12-31 00:00:00,1991-03-28 00:00:00,1991-06-28 00:00:00,1991-09-30 00:00:00,1991-12-31 00:00:00,1992-03-31 00:00:00,1992-06-30 00:00:00,1992-09-30 00:00:00,1992-12-31 00:00:00,1993-03-31 00:00:00,1993-06-30 00:00:00,1993-09-30 00:00:00,1993-12-31 00:00:00,1994-03-31 00:00:00,1994-06-30 00:00:00,1994-09-30 00:00:00,1994-12-30 00:00:00,1995-03-31 00:00:00,1995-06-30 00:00:00,1995-09-29 00:00:00,1995-12-29 00:00:00,1996-03-29 00:00:00,1996-06-28 00:00:00,1996-09-30 00:00:00,1996-12-31 00:00:00,1997-03-31 00:00:00,1997-06-30 00:00:00,1997-09-30 00:00:00,1997-12-31 00:00:00,1998-03-31 00:00:00,1998-06-30 00:00:00,1998-09-30 00:00:00,1998-12-31 00:00:00,1999-03-31 00:00:00,1999-06-30 00:00:00,1999-09-30 00:00:00,1999-12-31 00:00:00,2000-03-31 00:00:00,2000-06-30 00:00:00,2000-09-29 00:00:00,2000-12-29 00:00:00,2001-03-30 00:00:00,2001-06-29 00:00:00,2001-09-28 00:00:00,2001-12-31 00:00:00,2002-03-28 00:00:00,2002-06-28 00:00:00,2002-09-30 00:00:00,2002-12-31 00:00:00,2003-03-31 00:00:00,2003-06-30 00:00:00,2003-09-30 00:00:00,2003-12-31 00:00:00,2004-03-31 00:00:00,2004-06-30 00:00:00,2004-09-30 00:00:00,2004-12-31 00:00:00,2005-03-31 00:00:00,2005-06-30 00:00:00,2005-09-30 00:00:00,2005-12-30 00:00:00,2006-03-31 00:00:00,2006-06-30 00:00:00,2006-09-29 00:00:00,2006-12-29 00:00:00,2007-03-30 00:00:00,2007-06-29 00:00:00,2007-09-28 00:00:00,2007-12-31 00:00:00,2008-03-31 00:00:00,2008-06-30 00:00:00,2008-09-30 00:00:00,2008-12-31 00:00:00,2009-03-31 00:00:00,2009-06-30 00:00:00,2009-09-30 00:00:00,2009-12-31 00:00:00,2010-03-31 00:00:00,2010-06-30 00:00:00,2010-09-30 00:00:00,2010-12-31 00:00:00,2011-03-31 00:00:00,2011-06-30 00:00:00,2011-09-30 00:00:00,2011-12-30 00:00:00,2012-03-30 00:00:00,2012-06-29 00:00:00,2012-09-28 00:00:00,2012-12-31 00:00:00,2013-03-28 00:00:00,2013-06-28 00:00:00,2013-09-30 00:00:00,2013-12-31 00:00:00,2014-03-31 00:00:00,2014-06-30 00:00:00,2014-09-30 00:00:00,2014-12-31 00:00:00,2015-03-31 00:00:00,2015-06-30 00:00:00,2015-09-30 00:00:00,2015-12-31 00:00:00,2016-03-31 00:00:00,2016-06-30 00:00:00,2016-09-30 00:00:00,2016-12-30 00:00:00,2017-03-31 00:00:00,2017-06-30 00:00:00,2017-09-29 00:00:00,2017-12-29 00:00:00,2018-03-29 00:00:00,2018-06-29 00:00:00,2018-09-28 00:00:00,2018-12-31 00:00:00,2019-03-29 00:00:00,2019-06-28 00:00:00,2019-09-30 00:00:00,2019-12-31 00:00:00,2020-03-31 00:00:00,2020-06-30 00:00:00,2020-09-30 00:00:00,2020-12-31 00:00:00,2021-03-31 00:00:00,2021-06-30 00:00:00,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-30 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-29 00:00:00,2023-12-29 00:00:00,2024-03-28 00:00:00,2024-06-28 00:00:00,2024-09-30
"  + Cash, Cash Equivalents & STI",CASH_CASH_EQTY_STI_DETAILED,118.589,240.361,178.579,247.024,551.024,855.262,556.117,762,612.024,542.71,831.425,1192.363,577.325,890.949,1294.2841,1838.103,1298.7111,1264.129,1322.58,273.881,145.146,976.989,1879.2,2703.8,1438.6,866.4,810.7,35537.3,1113.4,1050.9,520.9,1002.4,1032,7118,6892,74589,74974,73578,70750,73565,70335,72119,73388,77086,68005,69460,69292,98782,76477,79367,98353,99812,100387,102813,101252,110087,149181,117467,119404,114795,112356,120964,121632,123239,123915,124863,126129,134493,136491,149154,155197,150899,146759,140567,143670,127779,121426,136838,151281,156851,146645,139497,151538,155938,160563,166047,156568,162471,176928,176051,186452,187279,198281,201852,205514,224003,226831,232711,239756,241478,238058,243840,246625,253482,231358,235924,243745,259982,287012,294711,302165,328871,312827,321186,340593,321847,342662,360065,384912,412214,353451,390388,427627,457173,464096,489002,494720,529917,536110,471703,462441,490556,507746,550632,525793,574307,571609,608680,
    + Cash & Cash Equivalents,BS_CASH_NEAR_CASH_ITEM,118.589,240.361,178.579,247.024,551.024,855.262,556.117,762,612.024,542.71,831.425,1192.363,577.325,890.949,1294.2841,1838.103,1298.7111,277.159,164.751,273.881,145.146,976.989,1879.2,2703.8,1438.6,866.4,810.7,1339.8,1113.4,1050.9,520.9,1002.4,1032,7118,6892,13582,14207,4229,4715,3835,2891,1907,2770,5263,5845,7143,4981,6498,7374,7260,10438,12748,19492,28444,30745,35957,40911,40201,43017,43427,46709,47762,46032,44660,42858,42069,42249,43743,46027,46950,47083,44329,35566,31159,33369,25539,25551,24511,26919,30558,25670,27953,34461,38227,41178,47891,34776,37299,37826,40661,47776,46992,49089,35695,42079,48186,48948,55455,62380,63269,63711,66587,66260,71730,58342,72679,84835,86370,96464,99749,109300,115954,108562,111099,103643,111867,114168,122379,128154,127997,137263,146592,145723,138290,145439,144058,149198,146719,106258,105411,108958,128585,130616,147377,157241,167641,188993,276942,
    + ST Investments,BS_MKT_SEC_OTHER_ST_INVEST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,986.97,1157.829,0,0,0,0,,,,,34197.5,,,,,,,,61007,60767,69349,66035,69730,67444,70212,70618,71823,62160,62317,64311,92284,69103,72107,87915,87064,80895,74369,70507,74130,108270,77266,76387,71368,65647,73202,75600,78579,81057,82794,83880,90750,90464,102204,108114,106570,111193,109408,110301,102240,95875,112327,124362,126293,120975,111544,117077,117711,119385,118156,121792,125172,139102,135390,138676,140287,149192,166157,163435,175817,177883,177256,177376,178209,174347,177253,180365,181752,173016,163245,158910,173612,190548,194962,192865,212917,204265,210087,236950,209980,228494,237686,256758,284217,216188,243796,281904,318883,318657,344944,345522,383198,429852,366292,353483,361971,377130,403255,368552,406666,382616,331738,
  + Accounts & Notes Receiv,BS_ACCT_NOTE_RCV,545.286,551.938,509.551,705.649,668.507,597.911,613.743,904.471,866.945,811.672,842.278,690.628,979.82,712.138,668.476,525.285,926.763,807.92,655.372,580.6,836.274,902.749,784.525,718.9,1481.3,1441.7,1476.2,1523.2,1857.2,1716.2,1696.5,1711.5,1803,1735,1900,7224,7514,8058,7207,8558,8427,10074,9238,11764,11553,11789,11858,18188,11374,12623,18573,23890,16611,16557,18372,21784,12706,16849,11721,24700,29935,24774,25233,23484,24334,24707,24929,24379,32011,26048,26047,25516,28461,30008,29901,28867,29720,29409,29561,28781,33222,33076,33485,36143,34503,33595,33837,32946,35165,34856,34557,34562,36221,34811,39983,33323,35181,35514,36552,34418,36480,37198,37170,36075,40115,40250,40757,40397,42235,43512,43245,46671,44751,45491,46361,51510,53602,54389,55402,53362,55617,54941,56399,55053,58501,60173,61998,60316,64320,66370,67462,71493,75632,75187,76735,75941,78270,78554,
"    + Accounts Receivable, Net",BS_ACCTS_REC_EXCL_NOTES_REC,,,,,,,,,,,,,,,,,,,,,,,,,,,,1523.2,,,,,,,,7224,7514,8058,7207,8558,8427,10074,9238,11764,11553,11789,11858,18188,11374,12623,18573,23890,16611,16557,18372,21784,17358,16849,16880,24700,20370,24774,25233,23484,11237,13520,13621,12881,20336,14095,14171,13157,15505,16547,16131,14925,15951,15778,16047,14792,17799,17407,18079,20917,19577,19396,19834,19012,21366,21192,21327,21753,23470,21956,27145,20497,22717,22997,24017,21852,24006,24606,24484,23303,27190,27162,27544,27097,28870,28953,29652,32923,30906,31280,31884,35230,37170,37582,38267,35835,37957,36766,37815,35852,39052,40273,41601,39565,43055,44493,45368,48285,52488,51657,52726,51260,52835,52469,
