Date,CASH_CASH_EQTY_STI_DETAILED,BS_CASH_NEAR_CASH_ITEM,BS_MKT_SEC_OTHER_ST_INVEST,BS_ACCT_NOTE_RCV,BS_ACCTS_REC_EXCL_NOTES_REC,NOTES_RECEIVABLE,BS_UNBILLED_REVENUES,BS_INVENTORIES,INVTRY_RAW_MATERIALS,INVTRY_IN_PROGRESS,INVTRY_FINISHED_GOODS,BS_OTHER_INV,OTHER_CURRENT_ASSETS_DETAILED,BS_PREPAY,BS_DERIV_HEDGING_ASST_ST,BS_TAXES_RECEIVABLE_SHORT_TERM,BS_OTHER_CUR_ASSET_LESS_PREPAY,BS_CUR_ASSET_REPORT,BS_NET_FIX_ASSET,BS_GROSS_FIX_ASSET,BS_ACCUM_DEPR,BS_LT_INVEST,BS_LONG_TERM_INVESTMENTS,BS_LT_RECEIVABLES,BS_OTHER_ASSETS_DEF_CHRG_OTHER,BS_DISCLOSED_INTANGIBLES,BS_GOODWILL,OTHER_INTANGIBLE_ASSETS_DETAILED,BS_PREPAID_EXPENSE_LT,BS_DEFERRED_TAX_ASSETS_LT,BS_DERIV_HEDGING_ASST_LT,BS_INVEST_IN_ASSOC_CO,OTHER_NONCURRENT_ASSETS_DETAILED,BS_TOT_NON_CUR_ASSET,BS_TOT_ASSET,CF_NET_INC,CF_CASH_FROM_OPER,FIXED_INTANG_ASST_CHANGE,DISPOSAL_OF_FIXED_INTANG,ACQUIS_OF_FIXED_INTANG,NET_CHG_IN_LT_INVEST_DETAILED,CF_DECR_INVEST,CF_INCR_INVEST,CF_NT_CSH_RCVD_PD_FOR_ACQUIS_DIV,CF_CASH_FOR_DIVESTITURES,CF_CASH_FOR_ACQUIS_SUBSIDIARIES,CF_CASH_FOR_JOINT_VENTURES_ASSOC,OTHER_INVESTING_ACT_DETAILED,CF_NET_CASH_DISCONTINUED_OPS_INV,CF_CASH_FROM_INV_ACT,CF_DVD_PAID,PROC_FR_REPAYMNTS_BOR_DETAILED,PROC_FR_REPURCH_EQTY_DETAILED,CF_INCR_CAP_STOCK,CF_DECR_CAP_STOCK,OTHER_FIN_AND_DEC_CAP,CF_NET_CASH_DISCONTINUED_OPS_FIN,CFF_ACTIVITIES_DETAILED,CF_EFFECT_FOREIGN_EXCHANGES,CF_NET_CHNG_CASH,CF_CASH_PAID_FOR_TAX,CF_NET_CASH_PAID_FOR_AQUIS,CF_FREE_CASH_FLOW,CF_FREE_CASH_FLOW_FIRM,FREE_CASH_FLOW_EQUITY,FREE_CASH_FLOW_PER_SH,PX_TO_FREE_CASH_FLOW,CASH_FLOW_TO_NET_INC,SALES_REV_TURN,IS_SALES_AND_SERVICES_REVENUES,IS_COGS_TO_FE_AND_PP_AND_G,IS_COG_AND_SERVICES_SOLD,GROSS_PROFIT,IS_OTHER_OPER_INC,IS_OPERATING_EXPN,IS_SGA_EXPENSE,IS_SELLING_EXPENSES,IS_GENERAL_AND_ADMINISTRATIVE,IS_OPERATING_EXPENSES_RD,IS_OTHER_OPERATING_EXPENSES,IS_OPER_INC,IS_NONOP_INCOME_LOSS,IS_NET_INTEREST_EXPENSE,IS_INT_EXPENSE,IS_INT_INC,IS_OTHER_INVESTMENT_INCOME_LOSS,INCOME_LOSS_FROM_AFFILIATES,IS_OTHER_NON_OPERATING_INC_LOSS,PRETAX_INC,IS_ABNORMAL_ITEM,IS_DERIVATIVES_HEDGING,IS_GAIN_LOSS_DISPOSAL_ASSETS,IS_IMPAIRMENT_ASSETS,IS_IMPAIR_OF_INTANG_ASSETS,IS_SALE_OF_BUSINESS,IS_LEGAL_LITIGATION_SETTLEMENT,IS_GAIN_LOSS_ON_INVESTMENTS,IS_OTHER_ONE_TIME_ITEMS,IS_INC_TAX_EXP,IS_INC_BEF_XO_ITEM,XO_GL_NET_OF_TAX,IS_DISCONTINUED_OPERATIONS,EXTRAORD_ITEMS_ACCOUNTING_CHANGS,NI_INCLUDING_MINORITY_INT_RATIO,MIN_NONCONTROL_INTEREST_CREDITS,NET_INCOME,IS_TOT_CASH_PFD_DVD,OTHER_ADJUSTMENTS,EARN_FOR_COMMON,IS_NET_ABNORMAL_ITEMS,IS_AVG_NUM_SH_FOR_EPS,IS_EPS,IS_EARN_BEF_XO_ITEMS_PER_SH,IS_BASIC_EPS_CONT_OPS,IS_SH_FOR_DILUTED_EPS,IS_DILUTED_EPS,IS_DIL_EPS_BEF_XO,IS_DIL_EPS_CONT_OPS,ACCOUNTING_STANDARD,EBITDA,EBITDA_MARGIN,EBIT,GROSS_MARGIN,OPER_MARGIN,PROF_MARGIN,ACTUAL_SALES_PER_EMPL,RETURN_COM_EQY,RETURN_ON_ASSET,RETURN_ON_CAP,RETURN_ON_INV_CAPITAL,INCREMENTAL_OPERATING_MARGIN,PRETAX_INC_TO_NET_SALES,INC_BEF_XO_ITEMS_TO_NET_SALES,NET_INCOME_TO_COMMON_MARGIN,EFF_TAX_RATE
1990-03-30 00:00:00,118.589,118.589,0,545.286,,,,208.832,,,,,0,,,,,872.707,209.066,,,7974.0708,,,236.575,,,,,,,,236.575,8419.7118,9292.4189,84.476,55.966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6625,590.704,,317.216,,273.488,,138.457,,,,,,135.031,,,25.87,,,,,109.233,,,,,,,,,,22.442,86.791,0,,,86.791,2.315,84.476,0,,84.476,,,,,,,,,,US GAAP,,,135.031,46.2987,22.8593,14.3009,,,,,,,18.492,14.6928,14.3009,20.5451
1990-06-29 00:00:00,240.361,240.361,0,551.938,,,,192.737,,,,,0,,,,,985.036,208.463,,,8676.7969,,,237.376,,,,,,,,237.376,9122.6359,10107.6719,93.958,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.298,543.861,,269.947,,273.914,,124.195,,,,,,149.719,,,28.164,,,,,123.004,,,,,,,,,,26.5,96.504,0,,,96.504,2.546,93.958,0,,93.958,,,,,,,,,,US GAAP,,,149.719,50.3647,27.5289,17.2761,,,,,,,22.6168,17.7442,17.2761,21.544
1990-09-28 00:00:00,178.579,178.579,0,509.551,,,,207.265,,,,,0,,,,,895.395,211.438,,,7949.4141,,,209.332,,,,,,,,209.332,8370.1841,9265.5791,90.214,95.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0565,524.979,,255.696,,269.283,,123.808,,,,,,145.475,,,28.112,,,,,118.349,,,,,,,,,,25.864,92.485,0,,,92.485,2.271,90.214,0,,90.214,,,,,,,,,,US GAAP,,,145.475,51.2941,27.7106,17.1843,,,,,,,22.5436,17.6169,17.1843,21.854
1990-12-31 00:00:00,247.024,247.024,0,705.649,,,,203.795,,,,,0,,,,,1156.468,209.87,,,8747.0576,,,557.027,,,,,,,,557.027,9513.9546,10670.4229,125.445,343.292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7366,996.354,,646.401,,349.953,,154.594,,,,,,195.359,,,30.546,,,,,165.88,,,,,,,,,,37.241,128.639,0,,,128.639,3.194,125.445,0,,125.445,,,,,,,,,,US GAAP,,,195.359,35.1234,19.6074,12.5904,,,,,,,16.6487,12.911,12.5904,22.4506
1991-03-28 00:00:00,551.024,551.024,0,668.507,,,,210.049,,,,,0,,,,,1429.58,208.017,,,9392.876,,,554.711,,,,,,,,554.711,10155.604,11585.1836,145.004,160.231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.105,693.247,,326.42,,366.827,,140.562,,,,,,226.265,,,29.005,,,,,198.432,,,,,,,,,,50.937,147.495,0,,,147.495,2.491,145.004,0,,145.004,,,,,,,,,,US GAAP,,,226.265,52.9143,32.6384,20.9166,,8.5079,4.3551,8.418,8.3687,88.9714,28.6236,21.276,20.9166,25.6698
1991-06-28 00:00:00,855.262,855.262,0,597.911,,,,209.574,,,,,0,,,,,1662.7469,204.714,,,9515.1113,,,557.134,,,,,,,,557.134,10276.9593,11939.7061,117.624,156.715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3323,672.107,,352.572,,319.535,,129.805,,,,,,189.73,,,28.669,,,,,162.735,,,,,,,,,,41.698,121.037,0,,,121.037,3.413,117.624,0,,117.624,,,,,,,,,,US GAAP,,,189.73,47.5423,28.2291,17.5008,,8.3324,4.3387,8.2584,8.2093,31.1986,24.2127,18.0086,17.5008,25.6233
1991-09-30 00:00:00,556.117,556.117,0,613.743,,,,265.094,,,,,0,,,,,1434.954,219.517,,,10514.3154,,,602.222,,,,,,,,602.222,11336.0544,12771.0078,93.244,197.747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1207,660.776,,383.536,,277.24,,129.052,,,,,,148.188,,,27.425,,,,,121.993,,,,,,,,,,26.303,95.69,0,,,95.69,2.446,93.244,0,,93.244,,,,,,,,,,US GAAP,,,148.188,41.9567,22.4264,14.1113,,8.4185,4.3683,8.2469,8.1951,1.9978,18.4621,14.4815,14.1113,21.5611
1991-12-31 00:00:00,762,762,0,904.471,,,,256.473,,,,,0,,,,,1922.944,222.139,,,11520.4775,,,796.341,,,,,,,,796.341,12538.9575,14461.9023,84.036,194.48,,,,,,,,,,,,,,,,,,,,,,,194.48,,,,,,,,2.3142,1075.688,,772.489,,303.199,,156.727,,,,,,146.472,,,36.748,,,,,109.826,,,,,,,,,,23.12,86.706,0,,,86.706,2.67,84.036,0,,84.036,,,,,,,,,,US GAAP,,,146.472,28.1865,13.6166,7.8123,,6.9455,3.5007,7.0723,5.9,,10.2098,8.0605,7.8123,21.0515
1992-03-31 00:00:00,612.024,612.024,0,866.945,,,,262.302,,,,,0,,,,,1741.271,217.238,,,12137.9756,,,806.441,,,,,,,,806.441,13161.6546,14902.9258,67.429,320.967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7601,639.177,,381.766,,257.411,,138.952,,,,,,118.459,,,37.397,,,,,82.663,,,,,,,,,,13.332,69.331,0,,,69.331,1.902,67.429,0,,67.429,,,,,,,,,,US GAAP,,,118.459,40.2723,18.5331,10.5493,,5.3713,2.7358,5.9277,5.9008,-199.3823,12.9327,10.8469,10.5493,16.1281
1992-06-30 00:00:00,542.71,542.71,0,811.672,,,,262.843,,,,,0,,,,,1617.225,215.436,,,13030.3145,,,786.327,,,,,,,,786.327,14032.0775,15649.3018,98.044,125.447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2795,653.96,,374.501,,279.459,,129.724,,,,,,149.735,,,24.616,,,,,127.035,,,,,,,,,,26.769,100.266,0,,,100.266,2.222,98.044,0,,98.044,,,,,,,,,,US GAAP,,,149.735,42.7333,22.8967,14.9924,,4.8683,2.4847,5.3887,5.3508,-220.3949,19.4255,15.3321,14.9924,21.0721
