Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49
Berkshire Hathaway Inc (BRK/A US) - By Measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Millions of USD except Per Share,,FY 2000,,FY 2001,,FY 2002,,FY 2003,,FY 2004,,FY 2005,,FY 2006,,FY 2007,,FY 2008,,FY 2009,,FY 2010,,FY 2011,,FY 2012,,FY 2013,,FY 2014,,FY 2015,,FY 2016,,FY 2017,,FY 2018,,FY 2019,,FY 2020,,FY 2021,,FY 2022,,FY 2023,
12 Months Ending,,12/31/2000,,12/31/2001,,12/31/2002,,12/31/2003,,12/31/2004,,12/31/2005,,12/31/2006,,12/31/2007,,12/31/2008,,12/31/2009,,12/31/2010,,12/31/2011,,12/31/2012,,12/31/2013,,12/31/2014,,12/31/2015,,12/31/2016,,12/31/2017,,12/31/2018,,12/31/2019,,12/31/2020,,12/31/2021,,12/31/2022,,12/31/2023,
Revenue,,5610,1.0,37280,1.0,41317,1.0,63859,1.0,74382,1.0,81663,1.0,98539,1.0,118245,1.0,107786,1.0,107653,1.0,136185,1.0,143688,1.0,162463,1.0,182150,1.0,194699,1.0,210943,1.0,223418,1.0,242061,1.0,225382,1.0,327223,1.0,286325,1.0,354745,1.0,234121,1.0,439337,1.0
  Service and Retailing,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,49327,0.24742676565008,59214,0.346234132251218,60916,0.326941139216728,71689,0.354446839648762,74467,0.343883775808485,76994,0.326970362285913,78926,0.326047531902061,79945,0.32318246499143,75018,0.313270722061912,84282,0.311155249051198,91512,0.31110657827639,92603,0.262306180141289
    McLane,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,37437,0.187785914927769,45930,0.268560369073166,46640,0.250320683122139,48223,0.238425559686734,48075,0.222007231686424,49775,0.211379455318354,49987,0.206498973433195,50458,0.203979496135313,46840,0.195601064029699,49450,0.18256124754493,53209,0.180890702022777,52607,0.149013975990981
    Service,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,8175,0.0410062199036918,8996,0.0526011121311169,9854,0.0528872215155565,10201,0.0504360810062495,11300,0.0521826670422587,12155,0.0516186294202831,13333,0.0550793368832853,13496,0.0545583907376864,12346,0.051556164314916,15872,0.0585968073009732,19006,0.0646132925378208,20588,0.0583173292090847
    Retailing,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,3715,0.0186346308186196,4288,0.0250726510469352,4422,0.023733234579033,13265,0.0655851989557788,15092,0.0696938770798025,15064,0.0639722775472764,15606,0.064469221585581,15991,0.0646445781184308,15832,0.0661134937172972,18960,0.0699971942052956,19297,0.0656025837157913,19408,0.0549748749412238
  Adjustment,,—,,-97,,-136,,3977,,2539,,-5681,,1800,,4824,,-7515,,1691,,3012,,-392,,-36897,,11127,,8378,,8687,,6871,,6584,,-16687,,79855,,46858,,83877,,-60029,,86303,
  Insurance Group,,5610,1.0,20749,0.555127484816866,22249,0.53672834294261,24731,0.412995557930597,23927,0.333045669028298,25498,0.291926176955486,28311,0.292653428296757,36574,0.32246233060897,30284,0.262651668242253,33107,0.312442196259036,35935,0.269836978967208,36821,0.25555941143809,39133,0.196293138041734,36684,0.214497465253212,41253,0.221408214855008,47269,0.233708765129341,51518,0.237906782361335,60597,0.25733723463438,57418,0.237196832308144,61064,0.24685488826364,63401,0.264758818542847,69478,0.256501321676979,74576,0.253530511643719,83403,0.236246367205425
