Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81
Berkshire Hathaway Inc (BRK/A US) - By Measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Millions of USD except Per Share,,Q3 2014,,Q4 2014,,Q1 2015,,Q2 2015,,Q3 2015,,Q4 2015,,Q1 2016,,Q2 2016,,Q3 2016,,Q4 2016,,Q1 2017,,Q2 2017,,Q3 2017,,Q4 2017,,Q1 2018,,Q2 2018,,Q3 2018,,Q4 2018,,Q1 2019,,Q2 2019,,Q3 2019,,Q4 2019,,Q1 2020,,Q2 2020,,Q3 2020,,Q4 2020,,Q1 2021,,Q2 2021,,Q3 2021,,Q4 2021,,Q1 2022,,Q2 2022,,Q3 2022,,Q4 2022,,Q1 2023,,Q2 2023,,Q3 2023,,Q4 2023,,Q1 2024,,Q2 2024,
3 Months Ending,,09/30/2014,,12/31/2014,,03/31/2015,,06/30/2015,,09/30/2015,,12/31/2015,,03/31/2016,,06/30/2016,,09/30/2016,,12/31/2016,,03/31/2017,,06/30/2017,,09/30/2017,,12/31/2017,,03/31/2018,,06/30/2018,,09/30/2018,,12/31/2018,,03/31/2019,,06/30/2019,,09/30/2019,,12/31/2019,,03/31/2020,,06/30/2020,,09/30/2020,,12/31/2020,,03/31/2021,,06/30/2021,,09/30/2021,,12/31/2021,,03/31/2022,,06/30/2022,,09/30/2022,,12/31/2022,,03/31/2023,,06/30/2023,,09/30/2023,,12/31/2023,,03/31/2024,,06/30/2024,
Revenue,,51199,1.0,48285,1.0,48644,1.0,51368,1.0,—,,51942,1.0,52163,1.0,54254,1.0,58843,1.0,58158,1.0,65145,1.0,57481,1.0,60472,1.0,58963,1.0,50458,1.0,68562,1.0,78156,1.0,28206,1.0,81000,1.0,73646,1.0,75898,1.0,96679,1.0,67538,1.0,96925,1.0,94606,1.0,103804,1.0,70299,1.0,67741,1.0,75504,1.0,112434,1.0,68865,1.0,93175,1.0,63439,1.0,92535,1.0,120151,1.0,125564,1.0,63432,1.0,130190,1.0,91745,1.0,117510,1.0
  Adjustment,,12110,,17885,,1680,,-3375,,—,,3464,,2182,,1947,,4468,,-121,,1836,,1376,,2161,,-4808,,-4761,,10143,,16232,,-40691,,21953,,11841,,12955,,17855,,8054,,41781,,32802,,40769,,7057,,—,,6187,,41866,,-662,,19258,,-11701,,16969,,37098,,35933,,-26819,,40091,,5124,,28016,
  Service and Retailing,,—,,0,,16164,0.34417851971723,23108,0.422117896352045,—,,18523,0.382090845331903,17692,0.353974510313919,18434,0.352419370256371,18602,0.342105747126437,18825,0.323015151255169,18194,0.287384100206922,19131,0.340985651902682,19325,0.331412597966078,20344,0.319016480845525,18776,0.340027888951267,19489,0.333607216830141,20052,0.323816290937278,20865,0.302843374892956,19224,0.325571155181466,19873,0.321543564436534,19982,0.317461830545096,20866,0.264716330051761,18777,0.315664716562437,17255,0.312908022631655,19319,0.31258494595819,19667,0.312001269136194,19580,0.309604376838177,21272,0.31401957455603,21291,0.307154089184471,22139,0.313725768053509,21630,0.311102161750111,22879,0.309522843188982,23136,0.307905243545382,23867,0.3158431040415,22990,0.276811192852757,23024,0.256875411408999,23423,0.259531750340716,23166,0.257117171111777,22178,0.256034910702947,22405,0.250351978903614
    McLane,,—,,—,,11643,0.247913295290009,12293,0.224558391027163,—,,12023,0.248009406328644,11801,0.236109721694244,12049,0.230351578182652,12271,0.225673563218391,11954,0.205116765901954,12101,0.191141859767174,12581,0.224240263791106,12798,0.219478314554715,12295,0.192799234761882,12189,0.220739238305656,12427,0.21272188842671,12822,0.207060267424585,12549,0.182141457538064,12199,0.206598133690111,12411,0.200808996035919,12604,0.200244665808748,13244,0.168019892418553,11821,0.198725707753345,11218,0.203431016973741,12040,0.194809397450003,11761,0.186578884746569,11622,0.183770279244806,12295,0.181500125477923,12612,0.181946708599622,12921,0.183099988663417,12515,0.180002013606225,13262,0.179417454712718,13569,0.180582911897791,13863,0.183455522324855,13059,0.15723694508326,12883,0.143733752831052,13477,0.149327985285482,13188,0.146372323777178,12475,0.14401819420233,12458,0.139204862895837
    Service,,—,,—,,2425,0.0516352951196661,5110,0.0933452678881318,—,,2622,0.0540863897025455,2361,0.04723795042116,2577,0.0492668285315541,2619,0.0481655172413793,2829,0.0485423565949999,2617,0.0413369347170228,2792,0.0497638356652705,2775,0.0475896486083243,3971,0.0622696837120321,2945,0.0533330918705518,3133,0.0536298122186275,3397,0.0548575673406111,4114,0.0597123241940868,3418,0.0578860907412739,3436,0.0555942075883828,3341,0.0530797705860858,3301,0.0418781081903989,3598,0.0604868536076928,2667,0.0483642826055418,3068,0.0496407999482234,3253,0.0516062504957563,4353,0.0688308402643813,3982,0.0587827165232282,4131,0.0595957701573928,4154,0.0588652080263009,4523,0.0650538639665166,4737,0.0640853930760177,4771,0.0634948096885813,4975,0.0658364873091073,5319,0.0640434421393568,5181,0.0578036616795528,5100,0.0565090691515883,4988,0.0553613247649807,5151,0.0594659493656273,5211,0.058227367197801
    Retailing,,—,,—,,2096,0.0446299293075547,5705,0.10421423743675,—,,3878,0.0799950493007137,3530,0.0706268381985154,3808,0.0728009635421645,3712,0.0682666666666667,4042,0.0693560287582148,3476,0.054905305722725,3758,0.066981552446306,3752,0.0643446348030389,4078,0.0639475623716109,3642,0.0659555587750593,3929,0.0672555161848029,3833,0.0618984561720819,4202,0.0609895931608053,3607,0.0610869307500804,4026,0.065140360812232,4037,0.0641373941502629,4321,0.0548183294428093,3358,0.0564521552013987,3370,0.061112723052372,4211,0.0681347485599638,4653,0.0738161338938685,3605,0.0570032573289902,4995,0.0737367325548781,4548,0.0656116104274565,5064,0.071760571363791,4592,0.0660462841773699,4880,0.0660199954002462,4796,0.0638275219590098,5029,0.0665510944075378,4612,0.0555308056301398,4960,0.0553379968983945,4846,0.0536946959036465,4990,0.0553835225696179,4552,0.0525507671349904,4736,0.0529197488099761
