Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31
JPMorgan Chase & Co (JPM US) - By Measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Millions of USD except Per Share,,Q1 2001,,Q2 2001,,Q3 2001,,Q4 2001,,Q1 2002,,Q2 2002,,Q3 2002,,Q4 2002,,Q1 2003,,Q2 2003,,Q3 2003,,Q4 2003,,Q1 2004,,Q2 2004,,Q3 2004,
3 Months Ending,,03/31/2001,,06/30/2001,,09/30/2001,,12/31/2001,,03/31/2002,,06/30/2002,,09/30/2002,,12/31/2002,,03/31/2003,,06/30/2003,,09/30/2003,,12/31/2003,,03/31/2004,,06/30/2004,,09/30/2004,
Intersegment Revenue,,0,,2,1.0,6,1.0,145,1.0,17,1.0,0,,0,,0,,24,1.0,33,1.0,-5,,-51,,16,1.0,0,,0,
  Treasury & Securities Services,,38,2.53333333333333,41,2.92857142857143,40,40.0,44,0.261904761904762,36,2.4,44,1.69230769230769,31,1.55,30,0.75,33,1.43478260869565,51,1.45714285714286,52,-8.66666666666667,68,-1.33333333333333,50,3.125,63,5.72727272727273,61,
  Commercial Banking,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,25,
  Asset & Wealth Management,,27,1.8,30,2.14285714285714,17,17.0,35,0.208333333333333,34,2.26666666666667,27,1.03846153846154,16,0.8,41,1.025,20,0.869565217391304,44,1.25714285714286,18,-3.0,-20,0.392156862745098,23,1.4375,22,2.0,21,
  Corporate,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,14,
  Card Services,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,7,
  Retail Financial Services,,7,0.466666666666667,-5,-0.357142857142857,—,,4,0.0238095238095238,-3,-0.2,-7,-0.269230769230769,6,0.3,-31,-0.775,-5,-0.217391304347826,-11,-0.314285714285714,-21,3.5,-37,0.725490196078431,7,0.4375,15,1.36363636363636,-17,
  Investment Bank,,-57,-3.8,-52,-3.71428571428571,-56,-56.0,85,0.505952380952381,-52,-3.46666666666667,-38,-1.46153846153846,-33,-1.65,0,,-25,-1.08695652173913,-49,-1.4,-55,9.16666666666667,-62,1.2156862745098,-64,-4.0,-89,-8.09090909090909,-111,
  JPMorgan Partners,,23,,-12,,1,,-23,,2,,0,,-8,,-8,,1,,-2,,1,,0,,0,,2,,—,
  Corporate/Reconciling items,,-38,,—,,4,,—,,—,,-26,,-12,,-32,,—,,—,,—,,—,,—,,-13,,—,
Net Revenues,,8494,1.0,7144,1.0,7619,1.0,7130,1.0,7919,1.0,—,,7301,1.0,7925,1.0,8402,1.0,9514,1.0,4452,1.0,9855,1.0,9450,1.0,9085,1.0,12435,1.0
  Card Services,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,3771,0.303256936067551
  Retail Financial Services,,2565,0.293310463121784,2642,0.325610056692137,2782,0.346321424125482,3215,0.405524722502523,3131,0.371543847157945,—,,3732,0.473724295506474,3174,0.3835186080232,3737,0.419604760835392,3977,0.401636033124621,904,0.203054806828392,3829,0.394945848375451,3414,0.366191140190926,3684,0.41901728844404,3632,0.292078809811017
    Consumer & Small Business Banking and Insurance,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,2076,0.166948130277443
    Home Finance,,344,0.0393367638650658,393,0.0484348040423959,448,0.0557699489605378,426,0.0537336024217962,522,0.0619437522249911,—,,974,0.123635440467124,651,0.0786611889801837,1143,0.12834044464406,1320,0.13330640274692,686,0.154088050314465,905,0.0933470861268695,813,0.0872036897994208,965,0.109758871701547,1159,0.0932046642541214
    Auto & Education Finance,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,397,0.0319260152794532
    Cardmember Services,,990,0.113207547169811,1061,0.13076164653685,1135,0.141292169799577,1241,0.156533804238143,1353,0.160555357778569,—,,1563,0.198400609291698,1584,0.191396810053166,1475,0.165618684033236,1520,0.153504342557059,—,,1589,0.163898916967509,1562,0.1675426364904,1592,0.181073703366697,—,
    Regional Banking Group,,771,0.0881646655231561,759,0.0935420261276805,737,0.0917465454998133,1007,0.127018163471241,731,0.0867449863533879,—,,689,0.0874587458745875,649,0.0784195263412276,630,0.0707388277565686,658,0.0664512219753585,—,,912,0.0940691077875193,635,0.0681111230290679,654,0.074385805277525,—,
    Middle Markets,,281,0.0321326472269868,263,0.0324131131377865,298,0.0370969749782149,357,0.0450302724520686,334,0.0396345081286342,—,,326,0.0413810611830414,504,0.0608989850169164,369,0.0414327419717045,355,0.0358513431629974,—,,339,0.0349664775657555,343,0.0367907325968036,357,0.0406050955414013,—,
    Auto Finance,,110,0.0125786163522013,133,0.0163914222331772,136,0.0169301630773061,161,0.0203077699293643,171,0.0202919188323247,—,,167,0.0211982736735212,191,0.0230787820202997,201,0.0225690545699528,223,0.0225207028883054,218,0.0489667565139263,200,0.0206291903042806,166,0.0178054274375201,218,0.0247952684258417,—,
    Other Consumer Services,,69,0.00789022298456261,33,0.00406704461424698,28,0.00348562181003361,23,0.00290110998990918,20,0.00237332384003797,—,,13,0.00165016501650165,-405,-0.0489366843885935,-81,-0.00909499214013025,-99,-0.00999798020601899,—,,-116,-0.0119649303764827,-105,-0.0112624691622868,-102,-0.0116014558689718,—,
  Investment Bank,,4466,0.510691823899371,3775,0.465245255114617,3601,0.448275862068966,3057,0.385595358224016,3620,0.429571615046873,—,,2433,0.308834729626809,3253,0.393064282261962,3551,0.398719964069167,4257,0.429913148858816,1882,0.422731356693621,4032,0.415884476534296,3979,0.426793950445136,3116,0.354413102820746,1753,0.14097305991154
    Investment Banking,,—,,—,,—,,—,,—,,—,,—,,—,,160,0.0179654165730968,765,0.0772571197737831,639,0.143530997304582,1897,0.195667870036101,682,0.0731524187493296,883,0.100432211101001,911,0.0732609569762766
      Debt Underwriting,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,305,0.0685085354896676,1216,0.125425477050026,358,0.0383996567628446,394,0.0448134667879891,468,0.0376357056694813
      Advisory,,—,,—,,—,,—,,—,,—,,—,,—,,160,0.0179654165730968,162,0.0163603312462129,161,0.0361635220125786,157,0.0161939143888602,147,0.0157674568272015,268,0.0304822565969063,273,0.0219541616405308
      Equity Underwriting,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,173,0.038858939802336,524,0.0540484785972151,177,0.0189853051592835,221,0.0251364877161055,170,0.0136710896662646
      Underwriting and Other Fees,,—,,—,,—,,—,,—,,—,,—,,—,,—,,603,0.0608967885275702,—,,—,,—,,—,,—,
    Investment Banking - Fixed Income,,—,,—,,—,,—,,—,,—,,—,,—,,1981,0.222434313945655,2176,0.219753585134316,1163,0.261230907457323,1333,0.13749355337803,2065,0.221495226858307,1550,0.176296633303003,657,0.0528347406513872
    Equities,,—,,—,,—,,—,,—,,—,,—,,—,,436,0.0489557601616887,390,0.0393859826297718,97,0.0217879604672058,332,0.0342444559051057,673,0.072187064249705,193,0.0219517743403094,220,0.0176919983916365
    Credit Portfolio,,—,,—,,—,,—,,—,,—,,—,,—,,366,0.0410958904109589,299,0.0301959200161584,-17,-0.00381850853548967,350,0.036101083032491,347,0.0372197790410812,315,0.035828025477707,-35,-0.00281463610776035
    Global Treasury,,—,,—,,—,,—,,—,,—,,—,,—,,608,0.0682685829777678,627,0.0633205413047869,—,,120,0.0123775141825683,212,0.0227394615467124,175,0.0199044585987261,—,
  Treasury & Securities Services,,907,0.103716409376787,909,0.112028592556076,917,0.114154114278601,899,0.113395560040363,935,0.110952889521775,—,,1022,0.12972835745113,1104,0.133397776703722,966,0.108466202560072,984,0.0993738638658857,906,0.203504043126685,1029,0.106137184115523,1106,0.118631341842754,1187,0.135009099181074,1339,0.10767993566546
    Treasury Services,,—,,—,,—,,—,,—,,—,,—,,—,,496,0.0556927913766,472,0.0476671379519289,303,0.0680592991913747,458,0.0472408457968025,535,0.0573849619221281,544,0.0618744313011829,629,0.0505830317651789
    Investor Services,,—,,—,,—,,—,,—,,—,,—,,—,,346,0.0388502133393218,359,0.0362553019592002,370,0.0831087151841869,373,0.0384734399174832,399,0.0427973828166899,455,0.0517515923566879,404,0.0324889425010052
    Institutional Trust Services,,—,,—,,—,,—,,—,,—,,—,,—,,207,0.023242757691444,239,0.0241365380731165,233,0.0523360287511231,245,0.0252707581227437,258,0.0276734956559048,274,0.031164695177434,306,0.0246079613992762
    Other-Treasury & Securities Services,,—,,—,,—,,—,,—,,—,,—,,—,,-83,-0.00931955984729396,-86,-0.00868511411835993,—,,-47,-0.00484785972150593,-86,-0.00922449855196825,-86,-0.00978161965423112,—,
  Asset & Wealth Management,,807,0.0922813036020583,788,0.0971160956371703,733,0.0912485995269513,757,0.0954843592330979,741,0.0879316482734069,—,,691,0.0877126174155877,745,0.0900193330111165,652,0.0732090725353694,684,0.0690769541506766,760,0.170709793351303,805,0.0830324909747293,824,0.0883835675211842,805,0.0915605095541401,1193,0.0959388821873743
