Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81
JPMorgan Chase & Co (JPM US) - By Measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Millions of USD except Per Share,,Q4 2014,,Q1 2015,,Q2 2015,,Q3 2015,,Q4 2015,,Q1 2016,,Q2 2016,,Q3 2016,,Q4 2016,,Q1 2017,,Q2 2017,,Q3 2017,,Q4 2017,,Q1 2018,,Q2 2018,,Q3 2018,,Q4 2018,,Q1 2019,,Q2 2019,,Q3 2019,,Q4 2019,,Q1 2020,,Q2 2020,,Q3 2020,,Q4 2020,,Q1 2021,,Q2 2021,,Q3 2021,,Q4 2021,,Q1 2022,,Q2 2022,,Q3 2022,,Q4 2022,,Q1 2023,,Q2 2023,,Q3 2023,,Q4 2023,,Q1 2024,,Q2 2024,,Q3 2024,
3 Months Ending,,12/31/2014,,03/31/2015,,06/30/2015,,09/30/2015,,12/31/2015,,03/31/2016,,06/30/2016,,09/30/2016,,12/31/2016,,03/31/2017,,06/30/2017,,09/30/2017,,12/31/2017,,03/31/2018,,06/30/2018,,09/30/2018,,12/31/2018,,03/31/2019,,06/30/2019,,09/30/2019,,12/31/2019,,03/31/2020,,06/30/2020,,09/30/2020,,12/31/2020,,03/31/2021,,06/30/2021,,09/30/2021,,12/31/2021,,03/31/2022,,06/30/2022,,09/30/2022,,12/31/2022,,03/31/2023,,06/30/2023,,09/30/2023,,12/31/2023,,03/31/2024,,06/30/2024,,09/30/2024,
Net Revenue - Supplementary Breakdown,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,3927,1.0,3990,1.0,4151,1.0,—,,4455,1.0,4094,1.0,4121,1.0,4257,1.0,4131,1.0,4255,1.0,4132,1.0,4072,1.0,5247,1.0,4450,1.0,5021,1.0,5381,1.0,6055,1.0,5817,1.0,6114,1.0,4448,1.0,—,,4810,1.0,4871,1.0,5165,1.0,—,,5748,1.0,—,,—,,—,,—,
  Commercial Banking,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,2088,0.53170359052712,2146,0.537844611528822,2353,0.566851361117803,—,,2316,0.51986531986532,2271,0.554714215925745,2306,0.55957291919437,2413,0.566831101714823,2285,0.553134834180586,2274,0.534430082256169,2228,0.539206195546951,2165,0.531679764243615,2400,0.457404230989137,2285,0.513483146067416,2463,0.490539733120892,2393,0.444712878647092,2483,0.410074318744839,2520,0.433212996389892,2612,0.427216225057246,2398,0.539118705035971,—,,3048,0.633679833679834,3404,0.698829809074112,3511,0.679767666989351,—,,4031,0.701287404314544,—,,—,,—,,—,
  Investment Banking,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,1839,0.46829640947288,1844,0.462155388471178,1798,0.433148638882197,—,,2139,0.48013468013468,1823,0.445285784074255,1815,0.44042708080563,1844,0.433168898285177,1846,0.446865165819414,1981,0.465569917743831,1904,0.460793804453049,1907,0.468320235756385,2847,0.542595769010863,2165,0.486516853932584,2558,0.509460266879108,2988,0.555287121352908,3572,0.589925681255161,3297,0.566787003610108,3502,0.572783774942754,2050,0.460881294964029,—,,1762,0.366320166320166,1467,0.301170190925888,1654,0.320232333010649,—,,1717,0.298712595685456,—,,—,,—,,—,
    Equity Underwriting,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,382,0.097275273745862,300,0.075187969924812,361,0.0869669959046013,—,,570,0.127946127946128,420,0.102589154860772,348,0.0844455229313273,265,0.0622504110876204,505,0.122246429435972,514,0.120799059929495,382,0.0924491771539206,331,0.081286836935167,977,0.186201639031828,732,0.164494382022472,718,0.14299940250946,1056,0.196246050919903,1063,0.175557390586292,1032,0.177411036616813,802,0.131174353941773,249,0.0559802158273381,—,,290,0.0602910602910603,250,0.0513241634161363,235,0.0454985479186834,—,,274,0.0476687543493389,—,,—,,—,,—,
    Debt Underwriting,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,954,0.242933537051184,924,0.231578947368421,911,0.219465189111058,—,,943,0.211672278338945,822,0.200781631656082,740,0.179568066003397,935,0.219638242894057,816,0.197530864197531,961,0.225851938895417,820,0.198451113262343,1073,0.263506876227898,1268,0.241661902039261,1005,0.225842696629213,1005,0.200159330810596,1252,0.232670507340643,1593,0.263088356729975,1037,0.178270586212825,1143,0.186947988223749,1000,0.224820143884892,—,,624,0.12972972972973,479,0.0983370971053172,663,0.128363988383349,—,,676,0.117606123869172,—,,—,,—,,—,
    Advisory,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,503,0.128087598675834,620,0.155388471177945,526,0.126716453866538,—,,626,0.140516273849607,581,0.141914997557401,727,0.176413491870905,644,0.1512802443035,525,0.127087872185911,506,0.118918918918919,702,0.169893514036786,503,0.12352652259332,602,0.114732227939775,428,0.0961797752808989,835,0.166301533559052,680,0.126370563092362,916,0.151279933938893,1228,0.211105380780471,1557,0.254661432777233,801,0.180080935251799,—,,848,0.176299376299376,738,0.151508930404434,756,0.146369796708616,—,,767,0.133437717466945,—,,—,,—,,—,
Net Revenues,,22750,1.0,24066,1.0,23812,1.0,22780,1.0,23386,1.0,23239,1.0,25358,1.0,24673,1.0,23501,1.0,24939,1.0,25731,1.0,25578,1.0,24457,1.0,27907,1.0,28521,1.0,27260,1.0,26109,1.0,29123,1.0,28747,1.0,29291,1.0,28424,1.0,28286,1.0,33075,1.0,29255,1.0,29335,1.0,32266,1.0,30627,1.0,29647,1.0,29257,1.0,30717,1.0,30715,1.0,32716,1.0,34547,1.0,38349,1.0,41307,1.0,39874,1.0,38574,1.0,42563,1.0,50200,1.0,42654,1.0
  Consumer & Community Banking,,10949,0.461593591905565,10704,0.431265108783239,11015,0.449023684317802,10879,0.460642757335817,11222,0.479859745146669,11117,0.459893269350101,11451,0.451573467939112,11328,0.442033792484489,11019,0.450527434786164,10970,0.421744646495713,11412,0.426234406513782,12033,0.452947376345705,12070,0.471281871071024,12597,0.440008383108037,12497,0.425850201049547,13290,0.476105180196317,13695,0.509126733335812,13490,0.450417362270451,13484,0.456295895231972,13958,0.463351480547072,13880,0.474594816385147,13287,0.442442809097266,12358,0.371523915461624,12895,0.429432529639004,12728,0.421150155515849,12517,0.376383209044984,12760,0.404527153409631,12521,0.411320258861404,12275,0.400554739761788,12182,0.385628363406141,12614,0.395064048357293,14331,0.427280858676207,15843,0.444478734148805,16456,0.41834451901566,17233,0.405826111529766,18362,0.450159352782545,18097,0.452187601509208,17653,0.414749900148016,17701,0.347132883589583,17791,0.410735311093155
    Banking & Wealth Management,,4559,0.192200674536256,5196,0.209347300564061,4483,0.182748359218947,4555,0.192869543125715,4587,0.196142991533396,4550,0.188226533735986,4616,0.18203328338197,4719,0.184141725523862,4774,0.195191757298226,4906,0.188612510091884,5233,0.195450810487787,5408,0.203568470977942,5557,0.216977080160868,5722,0.199867267456076,6131,0.208921147686226,6385,0.228738267536003,6567,0.244135469720064,6661,0.222404006677796,6897,0.233393116984197,6782,0.225136104103041,6668,0.22799699104151,6266,0.208651060570744,5248,0.157772900820732,5697,0.189722925269748,5744,0.190060221031037,5635,0.169443108010585,6016,0.190723773895952,6157,0.202260109720443,6172,0.201403165279817,6015,0.190408357075024,6558,0.20539321619844,8010,0.238819320214669,9632,0.270227808326787,10041,0.25526235509457,10936,0.257535795026375,11345,0.278131895072322,10877,0.271782314285,10324,0.242558090360172,10375,0.203463288358958,10090,0.232944707376198
