JPM US Equity,"""=BDH($A$1, $B7, ""19900101"","""",""sort=a"",""dir=h"",""per=cy"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
,"""=""=BDH($A$1, B"" & ROW() & "", """"19900101"""","""""""",""""sort=a"""",""""dates=h"""",""""dir=h"""",""""per=cy"""")""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Assets,,1990-12-31 00:00:00,1991-12-31,1992-12-31 00:00:00,1993-12-31 00:00:00,1994-12-30 00:00:00,1995-12-29 00:00:00,1996-12-31 00:00:00,1997-12-31 00:00:00,1998-12-31 00:00:00,1999-12-31 00:00:00,2000-12-29 00:00:00,2001-12-31 00:00:00,2002-12-31 00:00:00,2003-12-31 00:00:00,2004-12-31 00:00:00,2005-12-30 00:00:00,2006-12-29 00:00:00,2007-12-31 00:00:00,2008-12-31 00:00:00,2009-12-31 00:00:00,2010-12-31 00:00:00,2011-12-30 00:00:00,2012-12-31 00:00:00,2013-12-31 00:00:00,2014-12-31 00:00:00,2015-12-31 00:00:00,2016-12-30 00:00:00,2017-12-29 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-30 00:00:00,2023-12-29 00:00:00
"  + Cash, Cash Equivalents & STI",CASH_CASH_EQTY_STI_DETAILED,,,,,,,,235338,245588,243645,268698,245909,310820,298540,341583,363974,522513,624051,704195,717514,753314,775881,799920,702679,695848,595479,620984,601106,643653,692324,840734,711457,616473,716513
    + Cash & Cash Equivalents,BS_CASH_NEAR_CASH_ITEM,,,,,,,,17462,18271,18692,23972,22600,19218,20268,35168,36670,40412,40144,26895,26206,27567,59602,53723,39771,27831,20490,23873,25827,22324,21704,24874,26438,27697,29066
    + ST Investments,BS_MKT_SEC_OTHER_ST_INVEST,,,,,,,,217876,227317,224953,244726,223309,291602,278272,306415,327304,482101,583907,677300,691308,725747,716279,746197,662908,668017,574989,597111,575279,621329,670620,815860,685019,588776,687447
  + Accounts & Notes Receiv,BS_ACCT_NOTE_RCV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    + Accounts Receivable, Net",BS_ACCTS_REC_EXCL_NOTES_REC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    + Notes Receivable, Net",NOTES_RECEIVABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Unbilled Revenues,BS_UNBILLED_REVENUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Inventories,BS_INVENTORIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Raw Materials,INVTRY_RAW_MATERIALS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Work In Process,INVTRY_IN_PROGRESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Finished Goods,INVTRY_FINISHED_GOODS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Other Inventory,BS_OTHER_INV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Other ST Assets,OTHER_CURRENT_ASSETS_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Prepaid Expenses,BS_PREPAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Derivative & Hedging Assets,BS_DERIV_HEDGING_ASST_ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Taxes Receivable,BS_TAXES_RECEIVABLE_SHORT_TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Misc ST Assets,BS_OTHER_CUR_ASSET_LESS_PREPAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Current Assets,BS_CUR_ASSET_REPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  + Property, Plant & Equip, Net",BS_NET_FIX_ASSET,,,,,,,,5618,5936,6436,7087,6292,6829,6487,9145,9081,8735,9319,10045,11118,13355,14041,14519,14891,15133,14362,14131,14159,14934,34003,35115,34958,35516,38588
"    + Property, Plant & Equip",BS_GROSS_FIX_ASSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    - Accumulated Depreciation,BS_ACCUM_DEPR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + LT Investments & Receivables,BS_LT_INVEST,,,,,,,,2983,1687,888,589,476,431,176,110,77,58,,0,0,0,0,0,0,0,0,0,0,0,47540,201821,363707,425305,369848
    + LT Investments,BS_LONG_TERM_INVESTMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + LT Receivables,BS_LT_RECEIVABLES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Other LT Assets,BS_OTHER_ASSETS_DEF_CHRG_OTHER,,,,,,,,113604,120423,127362,148782,151508,154955,163671,256860,228370,190295,236274,397824,323237,322461,316704,295715,300333,308279,266802,282730,293414,302784,298173,362908,389952,432030,377485
    + Total Intangible Assets,BS_DISCLOSED_INTANGIBLES,,,,,,,,4269,6601,9632,15833,15347,9672,10210,48929,51728,52492,51369,53608,52978,52893,51395,50410,49699,48839,48340,48150,48362,48219,48642,50152,51197,52886,55859
    + Goodwill,BS_GOODWILL,,,,,,,,,,,,8249,8096,8511,43203,43621,45186,45270,48027,48357,48854,48188,48175,48081,47647,47325,47288,47507,47471,47823,49248,50315,51662,52634
    + Other Intangible Assets,OTHER_INTANGIBLE_ASSETS_DETAILED,,,,,,,,,,,,7098,1576,1699,5726,8107,7306,6099,5581,4621,4039,3207,2235,1618,1192,1015,862,855,748,819,904,882,1224,3225
    + Prepaid Expense,BS_PREPAID_EXPENSE_LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Deferred Tax Assets,BS_DEFERRED_TAX_ASSETS_LT,,,,,,,,,,,5183,5969,5059,5411,9720,10908,12611,10891,21742,21956,23634,27632,29323,25757,22627,22846,22014,8111,7966,8203,12752,10424,16427,17910
    + Derivative & Hedging Assets,BS_DERIV_HEDGING_ASST_LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Investments in Affiliates,BS_INVEST_IN_ASSOC_CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Misc LT Assets,OTHER_NONCURRENT_ASSETS_DETAILED,,,,,,,,109335,113822,117730,132949,136161,145283,153461,207931,176642,137803,768812,344216,168093,165453,145200,140999,159118,157838,135939,148488,180418,192386,191562,224560,271250,291837,248852
Total Noncurrent Assets,BS_TOT_NON_CUR_ASSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Assets,BS_TOT_ASSET,,,,,,,,627680,626942,667003,715348,693575,758800,770912,1157248,1198942,1351520,1562147,2175052,2031989,2117605,2265792,2359141,2415689,2573126,2351698,2490972,2533600,2622532,2687379,3384757,3743567,3665743,3875393
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Operating Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Net Income,CF_NET_INC,,,,,,,,,4745,7501,5727,1694,1663,6719,4466,8483,14444,15365,5605,11728,17370,18976,21284,17886,21745,24442,24733,24441,32474,36431,29131,48334,37676,49552
Cash from Operating Activities,CF_CASH_FROM_OPER,,,,,,,,,5217,50,-13676,-3107,-25134,14601,-21805,-30236,-49579,-110560,23098,121897,-3752,95932,25079,107953,36593,73466,20196,-10827,14187,4092,-79910,78084,107119,12974
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Investing Activities,,#N/A Requesting Data...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Change in Fixed & Intang,FIXED_INTANG_ASST_CHANGE,,,,,,,,,0,0,,0,0,0,,0,0,0,28850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Disp in Fixed & Intang,DISPOSAL_OF_FIXED_INTANG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Acq of Fixed & Intang,ACQUIS_OF_FIXED_INTANG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Net Change in LT Investment,NET_CHG_IN_LT_INVEST_DETAILED,,,,,,,,,-24646,20714,4965,11605,-20023,24653,6052,32239,-52852,7100,-118597,-144610,31860,-46822,4964,8652,1395,45983,-3342,43223,-18046,-129772,-180752,-96821,12467,95594
    + Dec in LT Investment,CF_DECR_INVEST,,,,,,,,,214408,136158,114130,194527,224564,326507,179797,113988,148678,129607,141230,201762,211347,155487,194594,163132,133244,122991,120760,150881,86413,125804,228793,263720,172401,215234
    + Inc in LT Investment,CF_INCR_INVEST,,,,,,,,,-239054,-115444,-109165,-182922,-244587,-301854,-173745,-81749,-201530,-122507,-259827,-346372,-179487,-202309,-189630,-154480,-131849,-77008,-124102,-107658,-104459,-255576,-409545,-360541,-159934,-119640
  + Net Cash From Acq & Div,CF_NT_CSH_RCVD_PD_FOR_ACQUIS_DIV,,,,,,,,,,,,,,,,,,,,-97,-4910,102,88,0,0,0,0,0,0,0,0,0,0,0
    + Cash from Divestitures,CF_CASH_FOR_DIVESTITURES,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Cash for Acq of Subs,CF_CASH_FOR_ACQUIS_SUBSIDIARIES,,,,,,,,,,,,,,,,,,,,-97,-4910,102,88,0,0,0,0,0,0,0,0,0,0,0
    + Cash for JVs,CF_CASH_FOR_JOINT_VENTURES_ASSOC,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  + Other Investing Activities,OTHER_INVESTING_ACT_DETAILED,,,,,,,,,-4035,-7946,-2936,1950,-3349,966,16383,3757,2024,-3973,-1481,10466,-114,-63,-3400,-828,2181,3703,-2825,-563,-4986,-5035,-7341,-11044,-11932,-26660
  + Net Cash From Disc Ops,CF_NET_CASH_DISCONTINUED_OPS_INV,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cash from Investing Activities,CF_CASH_FROM_INV_ACT,,,,,,,,,-18043,-20498,-986,12318,-23344,12418,-23076,-12944,-99627,-73118,-286346,29355,54002,-170752,-119825,-150501,-165636,106980,-114949,28249,-197993,-52059,-261912,-129344,-137819,67643
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Financing Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Dividends Paid,CF_DVD_PAID,,,,,,,,,-1985,-2133,-2282,-2697,-2784,-2865,-3927,-4878,-4846,-5051,-5911,-3422,-1486,-3895,-5194,-6056,-6990,-7873,-8476,-8993,-10109,-12343,-12690,-12858,-13562,-13463
  + Cash From (Repayment) Debt,PROC_FR_REPAYMNTS_BOR_DETAILED,,,,,,,,,3477,4216,31241,-22227,36149,-46583,12027,17594,71359,79310,34152,-20606,-35529,-83120,25659,-33034,33387,-84879,24667,-17007,37240,-35739,9597,14451,32357,22404
  + Cash (Repurchase) of Equity,PROC_FR_REPURCH_EQTY_DETAILED,,,,,,,,,-1009,-3838,-772,558,725,1213,-560,-2930,-2116,-6346,44863,-19227,-2973,-7996,-164,-2716,4087,277,-9082,-15410,-19983,-23076,-3447,-13633,-10596,-9824
    + Increase in Capital Stock,CF_INCR_CAP_STOCK,,,,,,,,,1749,2755,2278,1429,725,1213,848,682,1961,1832,44863,5773,26,867,1489,3873,8847,5893,0,1258,1696,5000,4500,7350,0,0
    + Decrease in Capital Stock,CF_DECR_CAP_STOCK,,,,,,,,,-2758,-6593,-3050,-871,,,-1408,-3612,-4077,-8178,0,-25000,-2999,-8863,-1653,-6589,-4760,-5616,-9082,-16668,-21679,-28076,-7947,-20983,-10596,-9824
  + Other Financing Activities,OTHER_FIN_AND_DEC_CAP,,,,,,,,,-1883,3107,-546,-502,-97,415,159,3481,6446,1985,-436,-1224,408,-703,156,-11346,-1602,-6358,-6174,-970,282,3143,420,-5731,2439,7508
  + Net Cash From Disc Ops,CF_NET_CASH_DISCONTINUED_OPS_FIN,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cash from Financing Activities,CFF_ACTIVITIES_DETAILED,,,,,,,,,13635,20869,19942,-10583,45096,-25969,59781,44682,152948,183410,249999,-152179,-49217,107706,87707,28324,118228,-187511,98271,14642,34158,32987,596645,275993,-126257,-25571
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Effect of Foreign Exchange Rates,CF_EFFECT_FOREIGN_EXCHANGES,,,,,,,,,,,,,,,,,,,,238,328,-851,1160,272,-1125,-276,-135,8086,-2863,-182,9155,-11508,-16643,1871
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Changes in Cash,CF_NET_CHNG_CASH,,,,,,,,,809,421,5280,-1372,-3382,1050,14900,1502,3742,-268,-13249,-689,1361,32035,-5879,-13952,-11940,-7341,3383,40150,-152511,-15162,263978,213225,-173600,56917
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Paid for Taxes,CF_CASH_PAID_FOR_TAX,,,,,,,,,2205,1891,3396,479,1253,1337,1477,4758,5563,7472,2280,5434,9747,8153,2050,3502,1392,9423,2405,4325,3542,6224,8140,18737,4355,9908
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference Items,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Cash Paid for Acquisitions,CF_NET_CASH_PAID_FOR_AQUIS,,,,,,,,,,,2195,1677,72,669,-13839,,-185,70,-2128,97,4910,-102,-88,,,,,,,,,,,
Free Cash Flow,CF_FREE_CASH_FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Free Cash Flow to Firm,CF_FREE_CASH_FLOW_FIRM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Free Cash Flow to Equity,FREE_CASH_FLOW_EQUITY,,,,,,,,,7849,4060,17367,-25911,10964,-32033,-10500,-12855,21637,-31250,117365,76177,-40275,12183,51343,76214,77760,-6923,43216,-29497,49876,-32309,-68826,95710,130447,33877
Free Cash Flow per Basic Share,FREE_CASH_FLOW_PER_SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Price to Free Cash Flow,PX_TO_FREE_CASH_FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flow to Net Income,CASH_FLOW_TO_NET_INC,,,,,,,,,1.0995,0.0067,-2.388,-1.8341,-15.1137,2.1731,-4.8824,-3.5643,-3.4325,-7.1956,4.121,10.3937,-0.216,5.0554,1.1783,6.0356,1.6828,3.0057,0.8166,-0.443,0.4369,0.1123,-2.7431,1.6155,2.8432,0.2618
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue,SALES_REV_TURN,,,,,,,,48107,50836,51852,58934,50429,43372,44463,56931,79268,99125,116353,101491,115632,115475,110838,108184,107044,103009,101006,105486,114980,131412,142515,129911,127202,154792,239425
    + Sales & Services Revenue,IS_SALES_AND_SERVICES_REVENUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  - Cost of Revenue,IS_COGS_TO_FE_AND_PP_AND_G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Cost of Goods & Services,IS_COG_AND_SERVICES_SOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross Profit,GROSS_PROFIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Other Operating Income,IS_OTHER_OPER_INC,,,,,,,,,,,,,,,,,,1829,2169,916,2044,2605,4258,4608,3013,3032,3795,3646,5343,6052,4865,4830,4322,5609
  - Operating Expenses,IS_OPERATING_EXPN,,,,,,,,14968,16066,17972,21393,20776,20156,21716,28436,36290,38029,42124,42621,52352,61196,62911,64729,70467,61274,59014,55771,59515,63394,65269,66656,71343,76140,87172
"    + Selling, General & Admin",IS_SGA_EXPENSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Selling & Marketing,IS_SELLING_EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + General & Administrative,IS_GENERAL_AND_ADMINISTRATIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Research & Development,IS_OPERATING_EXPENSES_RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Other Operating Expense,IS_OTHER_OPERATING_EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Income (Loss),IS_OPER_INC,,,,,,,,8256,8234,11512,9033,5089,5127,10128,12117,13975,19961,22384,3652,16067,24859,26749,28917,26675,30699,30702,34536,35900,40764,44866,35815,59562,46166,61612
  - Non-Operating (Income) Loss,IS_NONOP_INCOME_LOSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    + Interest Expense, Net",IS_NET_INTEREST_EXPENSE,,,,,,,,,,,-9512,-10802,-11526,-12337,-16761,-19555,-21242,-26406,-38779,,-51001,-47689,-44910,,,,,,,,,,,
    + Interest Expense,IS_INT_EXPENSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    - Interest Income,IS_INT_INC,,,,,,,,20310,20635,18805,22234,19801,14421,13523,19228,31211,40616,44575,47141,41396,42694,40330,38826,36220,34516,35444,40430,47536,58074,63462,46641,42622,68644,128243
    + Other Investment (Inc) Loss,IS_OTHER_INVESTMENT_INCOME_LOSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + (Income) Loss from Affiliates,INCOME_LOSS_FROM_AFFILIATES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Other Non-Op (Income) Loss,IS_OTHER_NON_OPERATING_INC_LOSS,,,,,,,,,,,,,,,,,,209,432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pretax Income (Loss), Adjusted",PRETAX_INC,,,,,,,,8064,7347,11489,8733,2566,2519,10028,6194,11839,20245,22805,2773,16067,24859,26749,28917,26675,30699,30702,34536,35900,40764,44866,35815,59562,46166,61612
  - Abnormal Losses (Gains),IS_ABNORMAL_ITEM,,,,,,,,192,887,-143,300,2523,2608,100,5923,3370,208,-421,1238,1569,7294,4232,4095,11487,2432,2486,-517,-35,72,239,1115,426,1102,1680
    + Abnormal Derivatives,IS_DERIVATIVES_HEDGING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Disposal of Assets,IS_GAIN_LOSS_DISPOSAL_ASSETS,,,,,,,,,,,,,,,,,,,,,,,,-1720,,,,,,,,,,
    + Asset Write-Down,IS_IMPAIRMENT_ASSETS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Impairment of Intangibles,IS_IMPAIR_OF_INTANG_ASSETS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Gain/Loss on Sale/Acquisition of Business,IS_SALE_OF_BUSINESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Legal Settlement,IS_LEGAL_LITIGATION_SETTLEMENT,,,,,,,,,,,,,,,,,,,,,7400,4900,5000,11125,2900,2486,-317,-35,72,239,1115,426,266,1400
    + Sale of Investments,IS_GAIN_LOSS_ON_INVESTMENTS,,,,,,,,,,,229,866,1563,1446,2212,-1336,-543,164,1560,1110,2965,1593,2110,667,77,202,141,-66,-395,258,802,-345,-2380,-3180
    + Other Abnormal Items,IS_OTHER_ONE_TIME_ITEMS,,,,,,,,,,,,,,,,,,,,675,,,-820,,,,-200,,,,,,,
"Pretax Income (Loss), GAAP",PRETAX_INC,,,,,,,,8064,7347,11489,8733,2566,2519,10028,6194,11839,20245,22805,2773,16067,24859,26749,28917,26675,30699,30702,34536,35900,40764,44866,35815,59562,46166,61612
  - Income Tax Expense (Benefit),IS_INC_TAX_EXP,,,,,,,,2891,2602,3988,3006,847,856,3309,1728,3585,6596,7440,-926,4415,7489,7773,7633,8789,8954,6260,9803,11459,8290,8435,6684,11228,8490,12060
Income (Loss) from Cont Ops,IS_INC_BEF_XO_ITEM,,,,,,,,5173,4745,7501,5727,1719,1663,6719,4466,8254,13649,15365,3699,11652,17370,18976,21284,17886,21745,24442,24733,24441,32474,36431,29131,48334,37676,49552
