JNJ US Equity,"""=BDH($A$1, $B7, ""19900101"","""",""sort=a"",""dir=h"",""per=cq"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140
,"""=""=BDH($A$1, B"" & ROW() & "", """"19900101"""","""""""",""""sort=a"""",""""dates=h"""",""""dir=h"""",""""per=cq"""")""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Assets,,1990-03-30 00:00:00,1990-06-29 00:00:00,1990-09-28 00:00:00,1990-12-31 00:00:00,1991-03-28 00:00:00,1991-06-28 00:00:00,1991-09-30 00:00:00,1991-12-31 00:00:00,1992-03-31 00:00:00,1992-06-30 00:00:00,1992-09-30 00:00:00,1992-12-31 00:00:00,1993-03-31 00:00:00,1993-06-30 00:00:00,1993-09-30 00:00:00,1993-12-31 00:00:00,1994-03-31 00:00:00,1994-06-30 00:00:00,1994-09-30 00:00:00,1994-12-30 00:00:00,1995-03-31 00:00:00,1995-06-30 00:00:00,1995-09-29 00:00:00,1995-12-29 00:00:00,1996-03-29 00:00:00,1996-06-28 00:00:00,1996-09-30 00:00:00,1996-12-31 00:00:00,1997-03-31 00:00:00,1997-06-30 00:00:00,1997-09-30 00:00:00,1997-12-31 00:00:00,1998-03-31 00:00:00,1998-06-30 00:00:00,1998-09-30 00:00:00,1998-12-31 00:00:00,1999-03-31 00:00:00,1999-06-30 00:00:00,1999-09-30 00:00:00,1999-12-31 00:00:00,2000-03-31 00:00:00,2000-06-30 00:00:00,2000-09-29 00:00:00,2000-12-29 00:00:00,2001-03-30 00:00:00,2001-06-29 00:00:00,2001-09-28 00:00:00,2001-12-31 00:00:00,2002-03-28 00:00:00,2002-06-28 00:00:00,2002-09-30 00:00:00,2002-12-31 00:00:00,2003-03-31 00:00:00,2003-06-30 00:00:00,2003-09-30 00:00:00,2003-12-31 00:00:00,2004-03-31 00:00:00,2004-06-30 00:00:00,2004-09-30 00:00:00,2004-12-31 00:00:00,2005-03-31 00:00:00,2005-06-30 00:00:00,2005-09-30 00:00:00,2005-12-30 00:00:00,2006-03-31 00:00:00,2006-06-30 00:00:00,2006-09-29 00:00:00,2006-12-29 00:00:00,2007-03-30 00:00:00,2007-06-29 00:00:00,2007-09-28 00:00:00,2007-12-31 00:00:00,2008-03-31 00:00:00,2008-06-30 00:00:00,2008-09-30 00:00:00,2008-12-31 00:00:00,2009-03-31 00:00:00,2009-06-30 00:00:00,2009-09-30 00:00:00,2009-12-31 00:00:00,2010-03-31 00:00:00,2010-06-30 00:00:00,2010-09-30 00:00:00,2010-12-31 00:00:00,2011-03-31 00:00:00,2011-06-30 00:00:00,2011-09-30 00:00:00,2011-12-30 00:00:00,2012-03-30 00:00:00,2012-06-29 00:00:00,2012-09-28 00:00:00,2012-12-31 00:00:00,2013-03-28 00:00:00,2013-06-28 00:00:00,2013-09-30 00:00:00,2013-12-31 00:00:00,2014-03-31 00:00:00,2014-06-30 00:00:00,2014-09-30 00:00:00,2014-12-31 00:00:00,2015-03-31 00:00:00,2015-06-30 00:00:00,2015-09-30 00:00:00,2015-12-31 00:00:00,2016-03-31 00:00:00,2016-06-30 00:00:00,2016-09-30 00:00:00,2016-12-30 00:00:00,2017-03-31 00:00:00,2017-06-30 00:00:00,2017-09-29 00:00:00,2017-12-29 00:00:00,2018-03-29 00:00:00,2018-06-29 00:00:00,2018-09-28 00:00:00,2018-12-31 00:00:00,2019-03-29 00:00:00,2019-06-28 00:00:00,2019-09-30 00:00:00,2019-12-31 00:00:00,2020-03-31 00:00:00,2020-06-30 00:00:00,2020-09-30 00:00:00,2020-12-31 00:00:00,2021-03-31 00:00:00,2021-06-30 00:00:00,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-30 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-29 00:00:00,2023-12-29 00:00:00,2024-03-28 00:00:00,2024-06-28 00:00:00,2024-09-30 00:00:00
"  + Cash, Cash Equivalents & STI",CASH_CASH_EQTY_STI_DETAILED,757,957,1128,931,603,682,736,792,564,647,1013,878,627,709,781,476,433,687,933,704,1014,1079,1338,1364,1863,1958,2223,2136,2304,2363,3116,2899,3021,3230,3826,2783,2585,2835,3593,3879,4200,4499,5587,6757,5900,7519,8214,7972,7413,6857,7245,7475,7847,7862,8848,9523,10361,10786,13094,12884,13650,13161,15179,16138,17185,14725,14692,4084,5191,5971,8320,9315,11144,13058,14799,12809,13933,14716,14337,19425,18010,18901,22126,27658,26867,29682,30927,32261,33847,16915,19771,21089,21668,25129,25228,29206,29392,31624,33005,33089,31319,33954,37306,38376,39855,42584,40433,41907,39343,12853,16231,18296,15204,18139,19364,19687,15336,15278,17945,19287,18024,19135,30781,25185,24619,25306,31001,31608,30388,32568,34079,22281,24613,28505,23511,22927,26218,25475,
    + Cash & Cash Equivalents,BS_CASH_NEAR_CASH_ITEM,549,636,845,826,440,548,579,589,394,452,681,745,488,595,644,372,334,571,866,636,460,1041,1293,1201,1724,1860,2088,2011,2190,2237,2994,2753,2893,3114,3742,1994,1780,2024,2617,2363,2663,2937,3550,4278,3647,4722,5066,3758,3437,2606,3161,2894,3061,2968,3850,5377,5637,5681,7348,9203,8539,12156,14825,16055,16822,14647,14491,4083,5175,5571,6640,7770,10539,12646,14018,10768,12589,11686,11856,15810,13743,12713,14338,19355,22356,14974,15617,24542,30267,14042,15486,14911,14855,17307,17204,20927,19722,14236,13818,14523,11988,10639,13639,13732,13861,18640,18205,18972,20909,12598,15721,17824,14639,17569,16056,18107,14734,14376,16249,17305,15530,11174,18965,13985,12671,14332,17604,14487,10463,10983,11355,12889,19170,21183,19728,21859,25473,24878,
    + ST Investments,BS_MKT_SEC_OTHER_ST_INVEST,208,321,283,105,163,134,157,203,170,195,332,133,139,114,137,104,99,116,67,68,554,38,45,163,139,98,135,125,114,126,122,146,128,116,84,789,805,811,976,1516,1537,1562,2037,2479,2253,2797,3148,4214,3976,4251,4084,4581,4786,4894,4998,4146,4724,5105,5746,3681,5111,1005,354,83,363,78,201,1,16,400,1680,1545,605,412,781,2041,1344,3030,2481,3615,4267,6188,7788,8303,4511,14708,15310,7719,3580,2873,4285,6178,6813,7822,8024,8279,9670,17388,19187,18566,19331,23315,23667,24644,25994,23944,22228,22935,18434,255,510,472,565,570,3308,1580,602,902,1696,1982,2494,7961,11816,11200,11948,10974,13397,17121,19925,21585,22724,9392,5443,7322,3783,1068,745,597,
  + Accounts & Notes Receiv,BS_ACCT_NOTE_RCV,1483,1661,1658,1519,1732,1740,1845,1763,1920,2158,2117,1855,2085,2146,2135,2107,2296,2440,2546,2601,2837,3106,3073,2903,3223,3380,3355,3251,3499,3651,3628,3329,3500,3514,3724,3752,3935,4173,4187,4233,4365,4441,4212,4601,4606,4805,4960,4630,4740,5408,5395,5399,5836,6426,6399,6574,6772,7142,6939,6831,7336,7379,7154,7010,7671,8162,7978,8712,9293,9470,9384,9444,10384,10539,10156,9719,9831,10133,10279,9646,10018,9629,10290,9774,10861,10982,10552,10581,10982,10992,11175,11309,11515,11614,12027,11713,12116,12257,11615,10985,11533,11968,11366,10734,11406,12062,11798,11699,12300,13283,13155,13490,14166,14111,14048,14098,14115,14653,14801,14481,14874,14645,14579,13576,14938,14871,14911,15283,15594,16139,15890,14039,16350,16777,14798,14873,14946,15794,
"    + Accounts Receivable, Net",BS_ACCTS_REC_EXCL_NOTES_REC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3628,,,,,,,4173,,4233,4365,,,4601,4606,,,4630,,,,,5836,,,,6772,7142,6939,6831,7336,7379,7154,7010,7671,8162,7978,8712,9293,9470,9384,9444,10384,10539,10156,9719,9831,10133,10279,9646,10018,9629,10290,9774,10861,10982,10552,10581,10982,10992,11175,11309,11515,11614,12027,11713,12116,12257,11615,10985,11533,11968,11366,10734,11406,12062,11798,11699,12300,13283,13155,13490,14166,14111,14048,14098,14115,14653,14801,14481,14874,14645,14579,13576,14938,14871,14911,15283,15594,16139,15890,14039,16350,16777,14798,14873,14946,15794,
