Date,CASH_CASH_EQTY_STI_DETAILED,BS_CASH_NEAR_CASH_ITEM,BS_MKT_SEC_OTHER_ST_INVEST,BS_ACCT_NOTE_RCV,BS_ACCTS_REC_EXCL_NOTES_REC,NOTES_RECEIVABLE,BS_UNBILLED_REVENUES,BS_INVENTORIES,INVTRY_RAW_MATERIALS,INVTRY_IN_PROGRESS,INVTRY_FINISHED_GOODS,BS_OTHER_INV,OTHER_CURRENT_ASSETS_DETAILED,BS_PREPAY,BS_DERIV_HEDGING_ASST_ST,BS_TAXES_RECEIVABLE_SHORT_TERM,BS_OTHER_CUR_ASSET_LESS_PREPAY,BS_CUR_ASSET_REPORT,BS_NET_FIX_ASSET,BS_GROSS_FIX_ASSET,BS_ACCUM_DEPR,BS_LT_INVEST,BS_LONG_TERM_INVESTMENTS,BS_LT_RECEIVABLES,BS_OTHER_ASSETS_DEF_CHRG_OTHER,BS_DISCLOSED_INTANGIBLES,BS_GOODWILL,OTHER_INTANGIBLE_ASSETS_DETAILED,BS_PREPAID_EXPENSE_LT,BS_DEFERRED_TAX_ASSETS_LT,BS_DERIV_HEDGING_ASST_LT,BS_INVEST_IN_ASSOC_CO,OTHER_NONCURRENT_ASSETS_DETAILED,BS_TOT_NON_CUR_ASSET,BS_TOT_ASSET,CF_NET_INC,CF_CASH_FROM_OPER,FIXED_INTANG_ASST_CHANGE,DISPOSAL_OF_FIXED_INTANG,ACQUIS_OF_FIXED_INTANG,NET_CHG_IN_LT_INVEST_DETAILED,CF_DECR_INVEST,CF_INCR_INVEST,CF_NT_CSH_RCVD_PD_FOR_ACQUIS_DIV,CF_CASH_FOR_DIVESTITURES,CF_CASH_FOR_ACQUIS_SUBSIDIARIES,CF_CASH_FOR_JOINT_VENTURES_ASSOC,OTHER_INVESTING_ACT_DETAILED,CF_NET_CASH_DISCONTINUED_OPS_INV,CF_CASH_FROM_INV_ACT,CF_DVD_PAID,PROC_FR_REPAYMNTS_BOR_DETAILED,PROC_FR_REPURCH_EQTY_DETAILED,CF_INCR_CAP_STOCK,CF_DECR_CAP_STOCK,OTHER_FIN_AND_DEC_CAP,CF_NET_CASH_DISCONTINUED_OPS_FIN,CFF_ACTIVITIES_DETAILED,CF_EFFECT_FOREIGN_EXCHANGES,CF_NET_CHNG_CASH,CF_CASH_PAID_FOR_TAX,CF_NET_CASH_PAID_FOR_AQUIS,CF_FREE_CASH_FLOW,CF_FREE_CASH_FLOW_FIRM,FREE_CASH_FLOW_EQUITY,FREE_CASH_FLOW_PER_SH,PX_TO_FREE_CASH_FLOW,CASH_FLOW_TO_NET_INC,SALES_REV_TURN,IS_SALES_AND_SERVICES_REVENUES,IS_COGS_TO_FE_AND_PP_AND_G,IS_COG_AND_SERVICES_SOLD,GROSS_PROFIT,IS_OTHER_OPER_INC,IS_OPERATING_EXPN,IS_SGA_EXPENSE,IS_SELLING_EXPENSES,IS_GENERAL_AND_ADMINISTRATIVE,IS_OPERATING_EXPENSES_RD,IS_OTHER_OPERATING_EXPENSES,IS_OPER_INC,IS_NONOP_INCOME_LOSS,IS_NET_INTEREST_EXPENSE,IS_INT_EXPENSE,IS_INT_INC,IS_OTHER_INVESTMENT_INCOME_LOSS,INCOME_LOSS_FROM_AFFILIATES,IS_OTHER_NON_OPERATING_INC_LOSS,PRETAX_INC,IS_ABNORMAL_ITEM,IS_DERIVATIVES_HEDGING,IS_GAIN_LOSS_DISPOSAL_ASSETS,IS_IMPAIRMENT_ASSETS,IS_IMPAIR_OF_INTANG_ASSETS,IS_SALE_OF_BUSINESS,IS_LEGAL_LITIGATION_SETTLEMENT,IS_GAIN_LOSS_ON_INVESTMENTS,IS_OTHER_ONE_TIME_ITEMS,IS_INC_TAX_EXP,IS_INC_BEF_XO_ITEM,XO_GL_NET_OF_TAX,IS_DISCONTINUED_OPERATIONS,EXTRAORD_ITEMS_ACCOUNTING_CHANGS,NI_INCLUDING_MINORITY_INT_RATIO,MIN_NONCONTROL_INTEREST_CREDITS,NET_INCOME,IS_TOT_CASH_PFD_DVD,OTHER_ADJUSTMENTS,EARN_FOR_COMMON,IS_NET_ABNORMAL_ITEMS,IS_AVG_NUM_SH_FOR_EPS,IS_EPS,IS_EARN_BEF_XO_ITEMS_PER_SH,IS_BASIC_EPS_CONT_OPS,IS_SH_FOR_DILUTED_EPS,IS_DILUTED_EPS,IS_DIL_EPS_BEF_XO,IS_DIL_EPS_CONT_OPS,ACCOUNTING_STANDARD,EBITDA,EBITDA_MARGIN,EBIT,GROSS_MARGIN,OPER_MARGIN,PROF_MARGIN,ACTUAL_SALES_PER_EMPL,RETURN_COM_EQY,RETURN_ON_ASSET,RETURN_ON_CAP,RETURN_ON_INV_CAPITAL,INCREMENTAL_OPERATING_MARGIN,PRETAX_INC_TO_NET_SALES,INC_BEF_XO_ITEMS_TO_NET_SALES,NET_INCOME_TO_COMMON_MARGIN,EFF_TAX_RATE
1990-03-30 00:00:00,757,549,208,1483,,,,1411,,,,,541,,,,,4192,2882,4635,1753,257,,,1309,,,,,,,,1309,4448,8640,244,364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4918,2838,,912,,1926,,1270,,,,,,656,,,88,,,,,403,,,,,,,,,,159,244,0,,,244,0,244,0,,244,,2640,0.091,0.091,,2640,0.091,0.091,0.091,US GAAP,772,,656,67.8647,23.1149,8.5976,,,,,,,14.2001,8.5976,8.5976,39.4541
1990-06-29 00:00:00,957,636,321,1661,,,,1520,,,,,541,,,,,4679,2961,4793,1832,237,,,1294,,,,,,,,1294,4492,9171,353,233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6601,2825,,988,,1837,,1258,,,,,,579,,,0,,,,,499,,,,,,,,,,146,353,0,,,353,0,353,0,,353,,2648.8,0.1325,0.1325,,2648.8,0.1325,0.1325,0.1325,US GAAP,692,,579,65.0265,20.4956,12.4956,,,,,,,17.6637,12.4956,12.4956,29.2585
1990-09-28 00:00:00,1128,845,283,1658,,,,1550,,,,,570,,,,,4906,3113,5062,1949,226,,,1304,,,,,,,,1304,4643,9549,314,599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9076,2869,,1012,,1857,,1377,,,,,,480,,,40,,,,,435,,,,,,,,,,121,314,0,,,314,0,314,0,,314,,2664.8,0.1175,0.1175,,2664.8,0.1175,0.1175,0.1175,US GAAP,601,,480,64.7264,16.7306,10.9446,,,,,,,15.1621,10.9446,10.9446,27.8161
1990-12-31 00:00:00,931,826,105,1519,,,,1543,,,,,671,,,,,4664,3247,5098,1851,255,,,1340,,,,,,,,1340,4842,9506,232,461,,,,,,,,,,,,,,,,,,,,,,,461,,,,,,,,1.9871,2700,,1025,,1675,,1398,,,,,,277,,,73,,,,,286,,,,,,,,,,54,232,0,,,232,0,232,0,,232,,2664.5959,0.0875,0.0875,0.0875,2664.5959,0.0875,0.0875,0.0875,US GAAP,401,21.9551,277,62.037,10.2593,8.5926,32846.7153,,,,,,10.5926,8.5926,8.5926,18.8811
1991-03-28 00:00:00,603,440,163,1732,,,,1483,,,,,727,,,,,4545,3177,5045,1868,282,,,1290,,,,,,,,1290,4749,9294,418,298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7129,3149,,1039,,2110,,1488,,,,,,622,,,37,,,,,609,,,,,,,,,,191,418,0,,,418,0,418,0,,418,,2664.8,0.1563,0.1563,,2664.8,0.1563,0.1563,0.1563,US GAAP,750,21.173,622,67.0054,19.7523,13.2741,,28.59,14.6872,21.6287,21.366,,19.3395,13.2741,13.2741,31.3629
1991-06-28 00:00:00,682,548,134,1740,,,,1593,,,,,586,,,,,4601,3205,5100,1895,287,,,1336,,,,,,,,1336,4828,9429,406,263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6478,3031,,984,,2047,,1441,,,,,,606,,,36,,,,,579,,,,,,,,,,173,406,0,,,406,0,406,0,,406,,2664.8,0.1525,0.1525,,2664.8,0.1525,0.1525,0.1525,US GAAP,735,21.1678,606,67.5355,19.9934,13.3949,,28.506,14.7312,21.7959,20.6297,13.1068,19.1026,13.3949,13.3949,29.8791
1991-09-30 00:00:00,736,579,157,1845,,,,1561,,,,,615,,,,,4757,3368,5381,2013,336,,,1392,,,,,,,,1392,5096,9853,363,523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4408,3119,,1079,,2040,,1514,,,,,,526,,,31,,,,,521,,,,,,,,,,158,363,0,,,363,0,363,0,,363,,2664.8,0.1361,0.1363,,2664.8,0.1361,0.1363,0.1363,US GAAP,647,21.1101,526,65.4056,16.8644,11.6383,,28.1074,14.6274,21.6767,20.2475,18.4,16.7041,11.6383,11.6383,30.3263
1991-12-31 00:00:00,792,589,203,1763,,,,1702,,,,,676,,,,,4933,3667,5691,2024,276,,,1637,,,,,,,,1637,5580,10513,274,591,,,,,,,,,,,,,,,,,,,,,,,591,,,,,,,,2.1569,3148,,1102,,2046,,1636,,,,,,410,,,25,,,,,329,,,,,,,,,,55,274,0,,,274,0,274,0,,274,,2664.988,0.1036,0.1038,0.1038,2664.988,0.1036,0.1038,0.1038,US GAAP,525,21.3465,410,64.9936,13.0241,8.7039,38065.2963,27.7598,14.5961,21.1386,21.2246,29.6875,10.4511,8.7039,8.7039,16.7173
1992-03-31 00:00:00,564,394,170,1920,,,,1782,,,,,683,,,,,4949,3696,5768,2072,324,,,1492,,,,,,,,1492,5512,10461,-143,303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3357,,1127,,2230,,1617,,,,,,613,,,21,,,,,644,,,,,,,,,,192,452,595,,,-143,0,-143,0,,-143,,2664,-0.055,0.1688,,2664,-0.055,0.1688,0.1688,US GAAP,757,21.051,613,66.4284,18.2604,-4.2598,,16.8792,9.1116,13.6073,21.6708,,19.1838,13.4644,-4.2598,29.8137
1992-06-30 00:00:00,647,452,195,2158,,,,1890,,,,,756,,,,,5451,3868,6078,2210,366,,,1554,,,,,,,,1554,5788,11239,1047,338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7478,3413,,1119,,2294,,1657,,,,,,637,,,27,,,,,636,,,,,,,,,,184,452,0,,,452,0,452,0,,452,,2643.2,0.17,0.17,,2643.2,0.17,0.17,0.17,US GAAP,773,20.7256,637,67.2136,18.6639,13.2435,,17.5543,9.1542,13.4294,20.9204,8.1152,18.6346,13.2435,13.2435,28.9308
