Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
Johnson & Johnson (JNJ US) - By Measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Millions of USD except Per Share,,Q1 2001,,Q2 2001,,Q3 2001,,Q4 2001,,Q1 2002,,Q2 2002,,Q3 2002,,Q4 2002,,Q1 2003,,Q2 2003,,Q3 2003,,Q4 2003,,Q1 2004,,Q2 2004,,Q3 2004,,Q4 2004,,Q1 2005,
3 Months Ending,,04/01/2001,,07/01/2001,,09/30/2001,,12/30/2001,,03/31/2002,,06/30/2002,,09/29/2002,,12/29/2002,,03/30/2003,,06/29/2003,,09/28/2003,,12/28/2003,,03/28/2004,,06/27/2004,,09/26/2004,,01/02/2005,,04/03/2005,
Revenue,,7855,1.0,8179,1.0,8058,1.0,8403,1.0,8743,1.0,9073,1.0,9079,1.0,9403,1.0,9821,1.0,10332,1.0,10455,1.0,11254,1.0,11559,1.0,11484,1.0,11553,1.0,12752,1.0,12832,1.0
  Pharmaceutical,,3489,0.44417568427753,3864,0.472429392346253,3677,0.456316703896748,3903,0.464476972509818,4181,0.478211140340844,4258,0.46930452992395,4277,0.471087124132614,4435,0.471657981495267,4666,0.475104368190612,4884,0.472706155632985,4835,0.462458153993305,5134,0.45619335347432,5376,0.465092135997924,5427,0.472570532915361,5485,0.474768458409071,5840,0.457967377666248,5755,0.448488154613466
    Other,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,1622,0.126402743142145
    Risperdal/Risperidone,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,844,0.0657730673316708
    Procrit / Eprex,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,836,0.0651496259351621
    Remicade,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,577,0.044965710723192
    Duragesic,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,450,0.035068578553616
    Levaquin/Floxin,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,440,0.0342892768079801
    Topamax,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,406,0.031639650872818
    Hormonal Contraceptives,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,302,0.0235349127182045
    Aciphex/Pariet,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,278,0.0216645885286783
  Medical Devices and Diagnostics,,2735,0.348185868873329,2785,0.340506174348942,2772,0.344005956813105,2951,0.351184100916339,2958,0.338327805101224,3166,0.348947426430067,3141,0.345963211807468,3318,0.352866106561736,3364,0.342531310457184,3629,0.351238869531552,3779,0.361453849832616,4141,0.367958059356673,4136,0.357816420105545,4057,0.3532741205155,4044,0.350038950921839,4650,0.364648682559598,4797,0.373831047381546
    Depuy-Medical Devices & Diagnostic,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,993,0.0773846633416459
    Cordis,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,969,0.0755143391521197
    Ethicon,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,787,0.0613310473815461
    Ethicon Endo-Surgery,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,767,0.0597724438902743
    Lifescan-Medical,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,501,0.0390430174563591
    Vision Care,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,407,0.0317175810473815
    Ortho-Clinic Diagnostics-Medical Devices and Diagnostics,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,355,0.0276652119700748
    Other,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,18,0.00140274314214464
  Consumer Health,,1631,0.207638446849141,1530,0.187064433304805,1609,0.199677339290146,1549,0.184338926573843,1604,0.183461054557932,1649,0.181748043645983,1661,0.182949664059918,1650,0.175475911942997,1791,0.182364321352204,1819,0.176054974835463,1841,0.176087996174079,1979,0.175848587169007,2047,0.177091443896531,2000,0.17415534656914,2024,0.17519259066909,2262,0.177383939774153,2280,0.177680798004988
    OTC,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,685,0.0533821695760599
    Skin Care,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,620,0.0483167082294264
    Consumer Health - Baby Care,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,379,0.029535536159601
    Women’s Health,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,377,0.0293796758104738
    Other,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,219,0.0170667082294264
Net Sales % Increased at Constant Currency,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Medical Devices and Diagnostics,,—,,—,,—,,—,,—,,—,,—,,14.5,,—,,—,,—,,18,,—,,—,,—,,—,,16,
    Lifescan-Medical,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,22.6,
    Depuy-Medical Devices & Diagnostic,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,16.2,
    Ortho-Clinic Diagnostics-Medical Devices and Diagnostics,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,15.2,
    Vision Care,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,12.5,
    Ethicon Endo-Surgery,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,12.3,
    Ethicon,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,12.2,
    Cordis,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,8.2,
    Other,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,3,
  Consumer Health,,—,,—,,—,,—,,—,,—,,—,,6.5,,—,,—,,—,,14.2,,—,,—,,—,,—,,11.4,
    OTC,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,20.8,
    Consumer Health - Baby Care,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,7.5,
    Skin Care,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,7.3,
    Women’s Health,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,5.1,
    Other,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,-8.9,
  Pharmaceutical,,—,,—,,—,,—,,—,,—,,—,,14.1,,—,,—,,—,,11.1,,—,,—,,—,,—,,7,
    Remicade,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,24.4,
    Topamax,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,22,
    Levaquin/Floxin,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,14.9,
    Risperdal/Risperidone,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,13,
    Aciphex/Pariet,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,9.2,
    Other,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,7.2,
    Hormonal Contraceptives,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,-1.5,
    Duragesic,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,-3.9,
