Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81
Johnson & Johnson (JNJ US) - By Measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Millions of USD except Per Share,,Q2 2015,,Q3 2015,,Q4 2015,,Q1 2016,,Q2 2016,,Q3 2016,,Q4 2016,,Q1 2017,,Q2 2017,,Q3 2017,,Q4 2017,,Q1 2018,,Q2 2018,,Q3 2018,,Q4 2018,,Q1 2019,,Q2 2019,,Q3 2019,,Q4 2019,,Q1 2020,,Q2 2020,,Q3 2020,,Q4 2020,,Q1 2021,,Q2 2021,,Q3 2021,,Q4 2021,,Q1 2022,,Q2 2022,,Q3 2022,,Q4 2022,,Q1 2023,,Q2 2023,,Q3 2023,,Q4 2023,,Q1 2024,,Q2 2024,,Q3 2024,,Q4 2024 Est,,Q1 2025 Est,
3 Months Ending,,06/28/2015,,09/27/2015,,01/03/2016,,04/03/2016,,07/03/2016,,10/02/2016,,01/01/2017,,04/02/2017,,07/02/2017,,10/01/2017,,12/31/2017,,04/01/2018,,07/01/2018,,09/30/2018,,12/30/2018,,03/31/2019,,06/30/2019,,09/29/2019,,12/29/2019,,03/29/2020,,06/28/2020,,09/27/2020,,01/03/2021,,04/04/2021,,07/04/2021,,10/03/2021,,01/02/2022,,04/03/2022,,07/03/2022,,10/02/2022,,01/01/2023,,04/02/2023,,07/02/2023,,10/01/2023,,12/31/2023,,03/31/2024,,06/30/2024,,09/29/2024,,12/31/2024,,03/31/2025,
Revenue,,17787,1.0,17102,1.0,17811,1.0,17482,1.0,18482,1.0,17820,1.0,18106,1.0,17766,1.0,18839,1.0,19650,1.0,20195,1.0,20009,1.0,20830,1.0,20348,1.0,20394,1.0,20021,1.0,20562,1.0,20729,1.0,20747,1.0,20691,1.0,18339,1.0,21084,1.0,22475,1.0,22320,1.0,23312,1.0,23338,1.0,24804,1.0,23426,1.0,24020,1.0,19995,1.0,—,,24746,1.0,21519,1.0,21351,1.0,21395,1.0,21383,1.0,22450,1.0,22471,1.0,22438,1.0,22095.5,1.0
  Innovative Medicine,,7946,0.44673075841907,7694,0.449888901882821,8064,0.452753916119252,8178,0.467795446745224,8654,0.468239368033763,8400,0.471380471380471,8232,0.454655915166243,8245,0.46408870876956,8635,0.4583576622963,9695,0.493384223918575,9681,0.479376083188908,9844,0.491978609625668,10354,0.497071531445031,10346,0.508452919205819,10190,0.499656761792684,10244,0.511662754108186,10531,0.512158350355024,10879,0.524820300062714,10547,0.508362654841664,11134,0.538108356290175,10756,0.586509624297944,11417,0.541500664010624,12268,0.545850945494994,12198,0.546505376344086,12480,0.535346602608099,12882,0.55197531922187,14217,0.573173681664248,12869,0.549346879535559,13318,0.554454621149042,13213,0.66081520380095,—,,13412,0.541986583690293,13732,0.638133742274269,13893,0.650695517774343,13722,0.641364804860949,13562,0.63424215498293,14492,0.645523385300668,14580,0.648836277869254,,,,
    Oncology,,1144,0.0643166357452072,1170,0.0684130511051339,1273,0.071472685419123,1354,0.0774510925523395,1474,0.0797532734552538,1517,0.0851290684624018,1462,0.0807467137965315,1594,0.0897219407857706,1727,0.09167153245926,1898,0.0965903307888041,2039,0.100965585540975,2311,0.11549802588835,2456,0.117906865098416,2588,0.12718694712011,2489,0.122045699715603,2518,0.125767943659158,2697,0.131164283629997,2762,0.133243282358049,2717,0.130958692823059,3013,0.145618868106906,2792,0.152243851900322,3129,0.148406374501992,3640,0.161957730812013,3571,0.159991039426523,3535,0.15163864104324,3665,0.157040020567315,3778,0.152314142880181,3951,0.168658755229233,4041,0.168234804329725,4064,0.203250812703176,—,,4112,0.166168269619332,4397,0.204331056275849,4533,0.212308556976254,4618,0.215844823556906,4814,0.225132114296404,5091,0.226770601336303,5380,0.239419696497708,,,,
      Darzalex,,—,,—,,20,0.00112290157767672,101,0.0057773710101819,108,0.00584352342820041,163,0.00914702581369248,200,0.0110460620788689,255,0.0143532590341101,299,0.0158713307500398,317,0.0161323155216285,371,0.018370883882149,432,0.0215902843720326,511,0.0245319251080173,498,0.0244741497935915,584,0.0286358732960675,629,0.0314170121372559,774,0.0376422526991538,765,0.0369048193352308,830,0.0400057839687666,937,0.0452853897829974,901,0.0491302688259992,1099,0.052124833997344,1253,0.0557508342602892,1365,0.0611559139784946,1433,0.0614704873026767,1580,0.0677007455651727,1645,0.0663199483954201,1856,0.0792282079740459,1986,0.0826810990840966,2052,0.102625656414104,—,,2264,0.091489533662006,2431,0.112969933547098,2499,0.117043698187439,2550,0.119186725870531,2692,0.125894402095122,2878,0.128195991091314,3016,0.13421743580615,2974,0.132543007398164,3078,0.139304383245457
      Erleada,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,61,0.00304680085909795,69,0.00335570469798658,86,0.00414877707559458,116,0.00559116980768304,143,0.00691121743753323,170,0.00926986204264136,206,0.00977044204135838,241,0.0107230255839822,261,0.0116935483870968,302,0.0129547014413178,344,0.0147399091610249,384,0.01548137397194,400,0.0170750448219927,450,0.0187343880099917,490,0.0245061265316329,—,,542,0.02190252970177,567,0.0263488080301129,631,0.0295536508828626,647,0.030240710446366,689,0.0322218584857129,736,0.0327839643652561,790,0.0351564238351653,807,0.0359657723504769,827,0.0374284356543188
      Imbruvica,,154,0.00865800865800866,184,0.0107589755584142,235,0.0131940935377014,261,0.0149296419174008,295,0.0159614760307326,349,0.0195847362514029,346,0.0191096873964432,409,0.023021501744906,450,0.0238866181856786,512,0.0260559796437659,522,0.0258479821738054,587,0.0293367984407017,620,0.0297647623619779,705,0.0346471397680362,703,0.0344709228204374,784,0.0391588831726687,831,0.0404143565800992,921,0.0444305079839838,875,0.0421747722562298,1031,0.0498284278188584,949,0.0517476416380392,1031,0.0488996395370897,1117,0.0496996662958843,1125,0.0504032258064516,1116,0.0478723404255319,1066,0.0456765789699203,1062,0.0428156748911466,1038,0.0443097413130709,970,0.0403830141548709,911,0.0455613903475869,—,,827,0.0334195425523317,841,0.0390817417166225,808,0.0378436607184675,788,0.0368310352886188,784,0.0366646401346864,770,0.0342984409799555,753,0.0335098571492145,727,0.0324003921918175,668,0.0302324002624969
      Carvykti,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,55,0.00275068767191798,—,,72,0.00290956114119454,117,0.0054370556252614,152,0.0071191044915929,159,0.00743164290722131,157,0.00734228125146144,186,0.00828507795100223,286,0.0127275154643763,,,,
      Other Oncology,,100,0.00562208354416147,109,0.00637352356449538,116,0.00651282915052496,130,0.00743622011211532,128,0.00692565739638567,119,0.00667789001122334,123,0.00679332817850436,127,0.00714848587189013,130,0.00690057858697383,127,0.00646310432569975,120,0.00594206486754147,134,0.00669698635613974,136,0.00652904464714354,156,0.0076666011401612,164,0.00804158085711484,102,0.00509465061685231,101,0.00491197354342963,100,0.00482415939022625,220,0.0106039427387092,104,0.00502633995456962,204,0.0111238344511696,203,0.00962815405046481,310,0.0137931034482759,182,0.00815412186379928,121,0.0051904598490048,126,0.00539892021595681,140,0.00564425092726979,118,0.00503713822248783,130,0.00541215653621982,100,0.00500125031257815,—,,162,0.00654651256768771,—,,229,0.0107254929511498,274,0.0128067305445197,178,0.00832436982649768,221,0.00984409799554566,250,0.0111254505807485,,,,
