Date,CASH_CASH_EQTY_STI_DETAILED,BS_CASH_NEAR_CASH_ITEM,BS_MKT_SEC_OTHER_ST_INVEST,BS_ACCT_NOTE_RCV,BS_ACCTS_REC_EXCL_NOTES_REC,NOTES_RECEIVABLE,BS_UNBILLED_REVENUES,BS_INVENTORIES,INVTRY_RAW_MATERIALS,INVTRY_IN_PROGRESS,INVTRY_FINISHED_GOODS,BS_OTHER_INV,OTHER_CURRENT_ASSETS_DETAILED,BS_PREPAY,BS_DERIV_HEDGING_ASST_ST,BS_TAXES_RECEIVABLE_SHORT_TERM,BS_OTHER_CUR_ASSET_LESS_PREPAY,BS_CUR_ASSET_REPORT,BS_NET_FIX_ASSET,BS_GROSS_FIX_ASSET,BS_ACCUM_DEPR,BS_LT_INVEST,BS_LONG_TERM_INVESTMENTS,BS_LT_RECEIVABLES,BS_OTHER_ASSETS_DEF_CHRG_OTHER,BS_DISCLOSED_INTANGIBLES,BS_GOODWILL,OTHER_INTANGIBLE_ASSETS_DETAILED,BS_PREPAID_EXPENSE_LT,BS_DEFERRED_TAX_ASSETS_LT,BS_DERIV_HEDGING_ASST_LT,BS_INVEST_IN_ASSOC_CO,OTHER_NONCURRENT_ASSETS_DETAILED,BS_TOT_NON_CUR_ASSET,BS_TOT_ASSET,CF_NET_INC,CF_CASH_FROM_OPER,FIXED_INTANG_ASST_CHANGE,DISPOSAL_OF_FIXED_INTANG,ACQUIS_OF_FIXED_INTANG,NET_CHG_IN_LT_INVEST_DETAILED,CF_DECR_INVEST,CF_INCR_INVEST,CF_NT_CSH_RCVD_PD_FOR_ACQUIS_DIV,CF_CASH_FOR_DIVESTITURES,CF_CASH_FOR_ACQUIS_SUBSIDIARIES,CF_CASH_FOR_JOINT_VENTURES_ASSOC,OTHER_INVESTING_ACT_DETAILED,CF_NET_CASH_DISCONTINUED_OPS_INV,CF_CASH_FROM_INV_ACT,CF_DVD_PAID,PROC_FR_REPAYMNTS_BOR_DETAILED,PROC_FR_REPURCH_EQTY_DETAILED,CF_INCR_CAP_STOCK,CF_DECR_CAP_STOCK,OTHER_FIN_AND_DEC_CAP,CF_NET_CASH_DISCONTINUED_OPS_FIN,CFF_ACTIVITIES_DETAILED,CF_EFFECT_FOREIGN_EXCHANGES,CF_NET_CHNG_CASH,CF_CASH_PAID_FOR_TAX,CF_NET_CASH_PAID_FOR_AQUIS,CF_FREE_CASH_FLOW,CF_FREE_CASH_FLOW_FIRM,FREE_CASH_FLOW_EQUITY,FREE_CASH_FLOW_PER_SH,PX_TO_FREE_CASH_FLOW,CASH_FLOW_TO_NET_INC,SALES_REV_TURN,IS_SALES_AND_SERVICES_REVENUES,IS_COGS_TO_FE_AND_PP_AND_G,IS_COG_AND_SERVICES_SOLD,GROSS_PROFIT,IS_OTHER_OPER_INC,IS_OPERATING_EXPN,IS_SGA_EXPENSE,IS_SELLING_EXPENSES,IS_GENERAL_AND_ADMINISTRATIVE,IS_OPERATING_EXPENSES_RD,IS_OTHER_OPERATING_EXPENSES,IS_OPER_INC,IS_NONOP_INCOME_LOSS,IS_NET_INTEREST_EXPENSE,IS_INT_EXPENSE,IS_INT_INC,IS_OTHER_INVESTMENT_INCOME_LOSS,INCOME_LOSS_FROM_AFFILIATES,IS_OTHER_NON_OPERATING_INC_LOSS,PRETAX_INC,IS_ABNORMAL_ITEM,IS_DERIVATIVES_HEDGING,IS_GAIN_LOSS_DISPOSAL_ASSETS,IS_IMPAIRMENT_ASSETS,IS_IMPAIR_OF_INTANG_ASSETS,IS_SALE_OF_BUSINESS,IS_LEGAL_LITIGATION_SETTLEMENT,IS_GAIN_LOSS_ON_INVESTMENTS,IS_OTHER_ONE_TIME_ITEMS,IS_INC_TAX_EXP,IS_INC_BEF_XO_ITEM,XO_GL_NET_OF_TAX,IS_DISCONTINUED_OPERATIONS,EXTRAORD_ITEMS_ACCOUNTING_CHANGS,NI_INCLUDING_MINORITY_INT_RATIO,MIN_NONCONTROL_INTEREST_CREDITS,NET_INCOME,IS_TOT_CASH_PFD_DVD,OTHER_ADJUSTMENTS,EARN_FOR_COMMON,IS_NET_ABNORMAL_ITEMS,IS_AVG_NUM_SH_FOR_EPS,IS_EPS,IS_EARN_BEF_XO_ITEMS_PER_SH,IS_BASIC_EPS_CONT_OPS,IS_SH_FOR_DILUTED_EPS,IS_DILUTED_EPS,IS_DIL_EPS_BEF_XO,IS_DIL_EPS_CONT_OPS,ACCOUNTING_STANDARD,EBITDA,EBITDA_MARGIN,EBIT,GROSS_MARGIN,OPER_MARGIN,PROF_MARGIN,ACTUAL_SALES_PER_EMPL,RETURN_COM_EQY,RETURN_ON_ASSET,RETURN_ON_CAP,RETURN_ON_INV_CAPITAL,INCREMENTAL_OPERATING_MARGIN,PRETAX_INC_TO_NET_SALES,INC_BEF_XO_ITEMS_TO_NET_SALES,NET_INCOME_TO_COMMON_MARGIN,EFF_TAX_RATE,ESG_SCORE,ENVIRONMENTAL_SCORE,SOCIAL_SCORE,GOVERNANCE_SCORE,ESG_DISCLOSURE_SCORE,ENVIRON_DISCLOSURE_SCORE,SOCIAL_DISCLOSURE_SCORE,GOVNCE_DISCLOSURE_SCORE,NOX_EMISSIONS,VOC_EMISSIONS,PARTICULATE_EMISSIONS,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,EMISSION_REDUCTION,TRANSITION_PLAN_INDICATOR,CLIMATE_CHG_POLICY,CLIMATE_CHG_OPPORTUNITIES,CLIMATE_RISKS,GHG_SCOPE_1,GHG_SCOPE_2_LOCATION_BASED,ENERGY_EFFIC_POLICY,ENERGY_CONSUMPTION,ELECTRICITY_USED,NAT_GAS_USED,OIL_DIESEL_USED,WASTE_REDUCTION,HAZARDOUS_WASTE,TOTAL_WASTE,ENVIRON_SUPPLY_MGT,WATER_POLICY,TOTAL_WATER_WITHDRAWAL,TOTAL_WATER_DISCHARGED,BIODIVERSITY_POLICY,ADOPT_TNFD_RECOMMENDATIONS,ZERO_DEFORESTATION_POLICY,BOARD_LEVEL_OVERSIGHT_BIODIV,EXEC_LEVEL_OVERSIGHT_BIODIV,HUMAN_RIGHTS_POLICY,POLICY_AGAINST_CHILD_LABOR,QUALITY_ASSURANCE_AND_RECALL_POL,CONSUMER_DATA_PROTECTION_POLICY,COMMUNITY_SPENDING,CUSTOMER_COMPLAINTS,EQUAL_OPPORTUNITY_POLICY,GENDER_PAY_GAP_BREAKOUT,PCT_WOMEN_SENIOR_MGT,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,PCT_WOMEN_EMPLOYEES,PCT_MINORITY_EMPLOYEES,PCT_DISABLED_IN_WORKFORCE,ETHICS_POLICY,ANTI_BRIBERY_ETHICS_POLICY,HEALTH_SAFETY_POLICY,FATALITIES_EMPLOYEES,LOST_TIME_INCIDENT_RATE,TRAINING_POLICY,FAIR_REMUNERATION_POLICY,NUMBER_EMPLOYEES_CSR,EMPLOYEE_TURNOVER_PCT,EMPLOYEE_TRAINING_COST,TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,COMP_DISCLOSES_EMP_ENG_SCORE,SOCIAL_SUPPLY_CHAIN_MGMT,YEARS_AUDITOR_EMPLOYED,SIZE_OF_AUDIT_COMMITTEE,NUM_IND_DIR_ON_AUD_CMTE,AUDIT_COMMITTEE_MEETINGS,AUDIT_COMMITTEE_MTG_ATTEND_PCT,COMPANY_CONDUCTS_BRD_EVALUATIONS,BOARD_SIZE,NUM_EXECUTIVES_COMP_MANAGERS,NUM_OF_NONEXEC_DIR_ON_BRD,BOARD_MEETINGS_PER_YR,BOARD_MEETING_ATTENDANCE_PCT,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,DIRECTOR_SH_OWNERSHIP_GUIDELINES,SIZE_OF_COMPENSATION_COMMITTEE,NUM_IND_DIR_ON_CMPNSTN_CMTE,NUM_COMPENSATION_CMTE_MTG,COMPENSATION_CMTE_MTG_ATTEND_PCT,NUMBER_OF_FEMALE_EXECUTIVES,NUMBER_OF_WOMEN_ON_BOARD,AGE_OF_YOUNGEST_DIRECTOR,AGE_OF_OLDEST_DIRECTOR,INDEPENDENT_DIRECTORS,SIZE_OF_NOMINATION_COMMITTEE,NUM_IND_DIR_ON_NOM_CMTE,NUM_OF_NOMINATION_CMTE_MTG,NOMINATION_CMTE_MTG_ATTEND_PCT,VERIFICATION_TYPE,EMPLOYEE_CSR_TRAINING,BOARD_DURATION
1990-12-31 00:00:00,931,826,105,1519,,,,1543,,,,,671,,,,,4664,3247,5098,1851,255,,,1340,,,,,,,,1340,4842,9506,1143,1657,-768,62,-830,-300,0,-300,,,,,11,,-1057,-436,411,-209,0,-209,8,,-226,,374,,,827,968.5545,1300,0.3104,28.8909,1.4497,11232,,3937,,7295,,5303,,,,,,1992,,,201,,,,,1623,,,,,,,,,,480,1143,0,,,1143,0,1143,0,,1143,,2664,0.4288,0.4288,0.4288,2664,0.4288,0.4288,0.4288,US GAAP,2466,21.9551,1992,64.9484,17.735,10.1763,136642.3358,25.2653,13.1191,19.7928,21.6159,22.4407,14.4498,10.1763,10.1763,29.5749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-12-31 00:00:00,792,589,203,1763,,,,1702,,,,,676,,,,,4933,3667,5691,2024,276,,,1637,,,,,,,,1637,5580,10513,1461,1675,-730,257,-987,-125,0,-125,,,,,-173,,-1028,-513,-204,-222,0,-222,55,,-884,,-237,,,688,780.4774,741,0.2582,55.436,1.1465,12447,,4204,,8243,,6079,,,,,,2164,,,129,,,,,2038,,,,,,,,,,577,1461,0,,,1461,0,1461,0,,1461,,2664.8,0.5488,0.5488,0.5488,2664.8,0.5488,0.5488,0.5488,US GAAP,2657,21.3465,2164,66.2248,17.3857,11.7378,150507.8597,27.7598,14.5961,21.1386,21.1094,14.1564,16.3734,11.7378,11.7378,28.3121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-12-31 00:00:00,878,745,133,1855,,,,1742,,,,,948,,,,,5423,4115,6303,2188,355,,,1991,,,,,,,,1991,6461,11884,1030,2141,-1012,91,-1103,0,0,0,,,,,-161,,-1173,-587,468,-666,74,-740,-27,,-812,,156,,,1038,1129.3004,1597,0.3935,32.0855,2.0786,13753,,4678,,9075,,6798,,,,,,2277,,,124,,,,,2207,,,,,,,,,,582,1625,595,,,1030,0,1030,0,,1030,,2638,0.39,0.615,0.615,2638,0.39,0.615,0.615,US GAAP,2837,20.6282,2277,65.9856,16.5564,7.4893,161990.5771,19.0794,9.1977,14.7792,21.9658,8.6524,16.0474,11.8156,7.4893,26.3706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-12-31 00:00:00,476,372,104,2107,,,,1717,,,,,917,,,,,5217,4406,6783,2377,437,,,2182,,,,,,,,2182,7025,12242,1787,2168,-909,66,-975,0,0,0,,,,,-352,,-1261,-659,4,-589,43,-632,-36,,-1280,,-373,,,1193,1289.5532,1263,0.4576,24.5139,1.2132,14138,,4791,,9347,,6953,,,,,,2394,,,126,,,,,2332,,,,,,,,,,545,1787,0,,,1787,0,1787,0,,1787,,2606.8,0.685,0.685,0.685,2606.8,0.685,0.685,0.685,US GAAP,3011,21.2972,2394,66.1126,16.9331,12.6397,173259.8039,33.2806,14.8139,24.2351,23.285,30.3896,16.4946,12.6397,12.6397,23.3705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-12-30 00:00:00,704,636,68,2601,,,,2161,,,,,1214,,,,,6680,4910,7655,2745,354,,,3724,2403,,,,,,,1321,8988,15668,2006,2975,-605,332,-937,0,0,0,,,,,-1951,,-2556,-727,662,-123,62,-185,33,,-155,,264,,,2038,2144.2484,3032,0.7923,17.2766,1.4831,15734,,5299,,10435,,7628,,,,,,2807,,,142,,,,,2681,,,,,,,,,,675,2006,0,,,2006,0,2006,0,,2006,,2572.3999,0.78,0.78,0.78,2572.3999,0.78,0.78,0.78,US GAAP,3531,22.4418,2807,66.3213,17.8403,12.7495,193055.2147,31.6154,14.3748,23.2166,22.7697,25.8772,17.0395,12.7495,12.7495,25.1772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-12-29 00:00:00,1364,1201,163,2903,,,,2276,625,519,1132,0,1395,,,,,7938,5196,8175,2979,338,,,4401,2950,,,,,,,1451,9935,17873,2403,3382,-791,465,-1256,-151,0,-151,,,,,-154,,-1096,-827,-697,-210,112,-322,13,,-1721,,565,,,2126,2229.5963,1894,0.8229,25.9758,1.4074,18842,,6235,,12607,,9096,,,,,,3511,,,143,,,,,3317,,,,,,,,,,914,2403,0,,,2403,0,2403,0,,2403,,2583.6001,0.93,0.93,0.93,2583.6001,0.93,0.93,0.93,US GAAP,4368,23.1823,3511,66.909,18.6339,12.7534,228942.8919,29.7272,14.3287,23.1097,23.1452,22.6512,17.6043,12.7534,12.7534,27.555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-12-31 00:00:00,2136,2011,125,3251,,,,2498,687,390,1421,0,1485,,,,,9370,5651,9023,3372,351,,,4638,3107,,,,,,,1531,10640,20010,2887,3891,-1336,37,-1373,0,0,0,,,,,-356,,-1692,-974,-131,-263,149,-412,-21,,-1389,,810,1210,,2518,2607.4805,2424,0.9448,26.3292,1.3478,21620,,7018,,14602,,10299,,,,,,4303,,,125,,,,,4033,,,,,,,,,,1146,2887,0,,,2887,0,2887,0,,2887,,2665.2,1.085,1.085,1.085,2718.8,1.06,1.06,1.06,US GAAP,5312,24.5698,4303,67.5393,19.9029,13.3534,242105.2632,29.0428,15.2417,24.2079,24.7243,28.5097,18.654,13.3534,13.3534,28.4156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-12-31 00:00:00,2899,2753,146,3329,,,,2516,655,417,1444,0,1819,,,,,10563,5810,9444,3634,385,,,4695,3261,1957,1304,,,,,1434,10890,21453,3303,4343,-1322,69,-1391,0,0,0,,,,,-292,,-1614,-1137,-379,-403,225,-628,-68,,-1987,,742,1431,,2952,3038.6171,2642,1.1048,29.8133,1.3149,22629,,7152,,15477,,10855,,,,,,4622,,,120,,,,,4576,,,,,,,,,,1273,3303,0,,,3303,0,3303,0,,3303,,2672,1.235,1.235,1.235,2739.8,1.205,1.205,1.205,US GAAP,5689,25.1403,4622,68.3945,20.4251,14.5963,250044.1989,28.4803,15.9323,24.8169,24.1212,31.6155,20.2218,14.5963,14.5963,27.8191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-12-31 00:00:00,2783,1994,789,3752,3752,,,2898,776,510,1612,,2053,,,,,11486,6395,10269,3874,437,,,8974,7364,3820,3544,,,,,1610,15806,27292,3003,4895,-1437,108,-1545,,,,,,,,-4628,,-6065,-1305,2262,-656,274,-930,24,,325,,-845,1310,3818,3350,3442.632,,1.2052,34.7969,1.63,23995,,7604,,16391,0,11506,9027,,,,,4885,,-148,129,277,,,,4182,851,,,,,,,,,1179,3003,,,,3003,,3003,0,0,3003,553.15,2779.6,1.08,1.08,1.28,2834.4,1.06,1.06,1.26,US GAAP,6170,25.7137,4885,68.3101,20.3584,12.5151,257733.6198,22.719,12.3213,18.9,20.4892,19.2533,17.4286,12.5151,12.5151,28.1923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-12-31 00:00:00,3879,2363,1516,4233,4233,,,3095,663,416,2016,,1993,,,,,13200,6719,11046,4327,441,,,8803,7571,3846,3725,,,,,1232,15963,29163,4167,5760,-1693,35,-1728,,,,,,,,-1249,,-2942,-1479,-238,-660,180,-840,-72,,-2449,,369,1406,271,4032,4174.6906,,1.4503,32.1495,1.3823,27471,,8442,,19029,,13103,,,,,,5926,,-49,197,246,,,,5753,,,,,,,,,,1586,4167,,,,4167,,4167,,,4167,,2780.2,1.5,1.5,1.5,2836.4,1.47,1.47,1.47,US GAAP,7370,26.8283,5926,69.2694,21.5718,15.1687,280889.5706,27.514,14.7622,22.0851,20.8165,29.9482,20.9421,15.1687,15.1687,27.5682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
