Date,CASH_CASH_EQTY_STI_DETAILED,BS_CASH_NEAR_CASH_ITEM,BS_MKT_SEC_OTHER_ST_INVEST,BS_ACCT_NOTE_RCV,BS_ACCTS_REC_EXCL_NOTES_REC,NOTES_RECEIVABLE,BS_UNBILLED_REVENUES,BS_INVENTORIES,INVTRY_RAW_MATERIALS,INVTRY_IN_PROGRESS,INVTRY_FINISHED_GOODS,BS_OTHER_INV,OTHER_CURRENT_ASSETS_DETAILED,BS_PREPAY,BS_DERIV_HEDGING_ASST_ST,BS_TAXES_RECEIVABLE_SHORT_TERM,BS_OTHER_CUR_ASSET_LESS_PREPAY,BS_CUR_ASSET_REPORT,BS_NET_FIX_ASSET,BS_GROSS_FIX_ASSET,BS_ACCUM_DEPR,BS_LT_INVEST,BS_LONG_TERM_INVESTMENTS,BS_LT_RECEIVABLES,BS_OTHER_ASSETS_DEF_CHRG_OTHER,BS_DISCLOSED_INTANGIBLES,BS_GOODWILL,OTHER_INTANGIBLE_ASSETS_DETAILED,BS_PREPAID_EXPENSE_LT,BS_DEFERRED_TAX_ASSETS_LT,BS_DERIV_HEDGING_ASST_LT,BS_INVEST_IN_ASSOC_CO,OTHER_NONCURRENT_ASSETS_DETAILED,BS_TOT_NON_CUR_ASSET,BS_TOT_ASSET,CF_NET_INC,CF_CASH_FROM_OPER,FIXED_INTANG_ASST_CHANGE,DISPOSAL_OF_FIXED_INTANG,ACQUIS_OF_FIXED_INTANG,NET_CHG_IN_LT_INVEST_DETAILED,CF_DECR_INVEST,CF_INCR_INVEST,CF_NT_CSH_RCVD_PD_FOR_ACQUIS_DIV,CF_CASH_FOR_DIVESTITURES,CF_CASH_FOR_ACQUIS_SUBSIDIARIES,CF_CASH_FOR_JOINT_VENTURES_ASSOC,OTHER_INVESTING_ACT_DETAILED,CF_NET_CASH_DISCONTINUED_OPS_INV,CF_CASH_FROM_INV_ACT,CF_DVD_PAID,PROC_FR_REPAYMNTS_BOR_DETAILED,PROC_FR_REPURCH_EQTY_DETAILED,CF_INCR_CAP_STOCK,CF_DECR_CAP_STOCK,OTHER_FIN_AND_DEC_CAP,CF_NET_CASH_DISCONTINUED_OPS_FIN,CFF_ACTIVITIES_DETAILED,CF_EFFECT_FOREIGN_EXCHANGES,CF_NET_CHNG_CASH,CF_CASH_PAID_FOR_TAX,CF_NET_CASH_PAID_FOR_AQUIS,CF_FREE_CASH_FLOW,CF_FREE_CASH_FLOW_FIRM,FREE_CASH_FLOW_EQUITY,FREE_CASH_FLOW_PER_SH,PX_TO_FREE_CASH_FLOW,CASH_FLOW_TO_NET_INC,SALES_REV_TURN,IS_SALES_AND_SERVICES_REVENUES,IS_COGS_TO_FE_AND_PP_AND_G,IS_COG_AND_SERVICES_SOLD,GROSS_PROFIT,IS_OTHER_OPER_INC,IS_OPERATING_EXPN,IS_SGA_EXPENSE,IS_SELLING_EXPENSES,IS_GENERAL_AND_ADMINISTRATIVE,IS_OPERATING_EXPENSES_RD,IS_OTHER_OPERATING_EXPENSES,IS_OPER_INC,IS_NONOP_INCOME_LOSS,IS_NET_INTEREST_EXPENSE,IS_INT_EXPENSE,IS_INT_INC,IS_OTHER_INVESTMENT_INCOME_LOSS,INCOME_LOSS_FROM_AFFILIATES,IS_OTHER_NON_OPERATING_INC_LOSS,PRETAX_INC,IS_ABNORMAL_ITEM,IS_DERIVATIVES_HEDGING,IS_GAIN_LOSS_DISPOSAL_ASSETS,IS_IMPAIRMENT_ASSETS,IS_IMPAIR_OF_INTANG_ASSETS,IS_SALE_OF_BUSINESS,IS_LEGAL_LITIGATION_SETTLEMENT,IS_GAIN_LOSS_ON_INVESTMENTS,IS_OTHER_ONE_TIME_ITEMS,IS_INC_TAX_EXP,IS_INC_BEF_XO_ITEM,XO_GL_NET_OF_TAX,IS_DISCONTINUED_OPERATIONS,EXTRAORD_ITEMS_ACCOUNTING_CHANGS,NI_INCLUDING_MINORITY_INT_RATIO,MIN_NONCONTROL_INTEREST_CREDITS,NET_INCOME,IS_TOT_CASH_PFD_DVD,OTHER_ADJUSTMENTS,EARN_FOR_COMMON,IS_NET_ABNORMAL_ITEMS,IS_AVG_NUM_SH_FOR_EPS,IS_EPS,IS_EARN_BEF_XO_ITEMS_PER_SH,IS_BASIC_EPS_CONT_OPS,IS_SH_FOR_DILUTED_EPS,IS_DILUTED_EPS,IS_DIL_EPS_BEF_XO,IS_DIL_EPS_CONT_OPS,ACCOUNTING_STANDARD,EBITDA,EBITDA_MARGIN,EBIT,GROSS_MARGIN,OPER_MARGIN,PROF_MARGIN,ACTUAL_SALES_PER_EMPL,RETURN_COM_EQY,RETURN_ON_ASSET,RETURN_ON_CAP,RETURN_ON_INV_CAPITAL,INCREMENTAL_OPERATING_MARGIN,PRETAX_INC_TO_NET_SALES,INC_BEF_XO_ITEMS_TO_NET_SALES,NET_INCOME_TO_COMMON_MARGIN,EFF_TAX_RATE
1990-03-30 00:00:00,709.8,419.3,290.5,725.9,,,,602.1,,,,,296.6,,,,,2334.3999,2227.8999,3634.5,1406.6,537.9,,,1010,,,,,,,,1010,3775.7999,6110.2002,340.8,301.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8844,1240.6,,343.8,,896.8,,466.7,,,,,,430.1,,,,,,,,483.4,,,,,,,,,,142.6,340.8,0,,,340.8,0,340.8,0,,340.8,,1172.8,0.29,0.29,,1172.8,0.29,0.29,0.29,US GAAP,,,430.1,72.2876,34.6687,27.4706,,,,,,,38.965,27.4706,27.4706,29.4994
1990-06-29 00:00:00,680.7,459.1,221.6,736.2,,,,624.7,,,,,305,,,,,2346.6001,2412.6001,3868.3999,1455.8,548.4,,,1076.6,,,,,,,,1076.6,4037.6001,6384.2002,274.4,245.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.894,1225.4,,366.7,,858.7,,501.1,,,,,,357.6,,,,,,,,389.2,,,,,,,,,,114.8,274.4,0,,,274.4,0,274.4,0,,274.4,,1184,0.2325,0.2325,,1184,0.2325,0.2325,0.2325,US GAAP,,,357.6,70.0751,29.1823,22.3927,,,,,,,31.7611,22.3927,22.3927,29.4964
1990-09-28 00:00:00,821.5,494,327.5,745.3,,,,675.3,,,,,272.9,,,,,2515,2611.1001,4136.2002,1525.1,540.8,,,1080.5,,,,,,,,1080.5,4232.4001,6747.3999,256.8,486.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8949,1281.8,,378.4,,903.4001,,537,,,,,,366.4,,,,,,,,364.3,,,,,,,,,,107.5,256.8,0,,,256.8,0,256.8,0,,256.8,,1149.6,0.225,0.225,,1149.6,0.225,0.225,0.225,US GAAP,,,366.4,70.479,28.5848,20.0343,,,,,,,28.421,20.0343,20.0343,29.5086
1990-12-31 00:00:00,750.8,350.2,400.6,770.7,,,,673,,,,,306.8,,,,,2501.3,2936.7,4515.7998,1579.1,480.7,,,1224.1,,,,,,,,1224.1,4641.4999,7142.7998,255.3,441.1,,,,,,,,,,,,,,,,,,,,,,,441.1,,,,,,,,1.7278,1443.8,,434.4,,1009.4001,,624.1,,,,,,385.3,,,,,,,,362.1,,,,,,,,,,106.8,255.3,0,,,255.3,0,255.3,0,,255.3,,1067.8,0.2275,0.2275,0.2275,1067.8,0.2275,0.2275,0.2275,US GAAP,,,385.3,69.9127,26.6865,17.6825,48287.6271,,,,,,25.0796,17.6825,17.6825,29.4946
1991-03-28 00:00:00,830.7,302.8,527.9,815.9,,,,703.7,,,,,308.7,,,,,2659,3034.6001,4631.7998,1597.2,343.6,,,1254.6,,,,,,,,1254.6,4632.8001,7291.7998,388.6,188.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4851,1435.5,,389.5,,1046,,550.2,,,,,,495.8,,,16.9,,,,,555.2,,,,,,,,,,166.6,388.6,0,,,388.6,0,388.6,0,,388.6,,1157.2,0.3375,0.3375,,1157.2,0.3375,0.3375,0.3375,US GAAP,,,495.8,72.8666,34.5385,27.0707,,26.7342,17.5362,,22.4189,33.7096,38.6764,27.0707,27.0707,30.0072
1991-06-28 00:00:00,805.3,230.4,574.9,801,,,,733.4,,,,,316.2,,,,,2655.8999,3224.3,4858.3999,1634.1,332.2,,,1361.8,,,,,,,,1361.8,4918.3001,7574.2002,317.5,157.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4967,1376.3,,388.2,,988.1,,557.8,,,,,,430.3,,,7.3,,,,,453.5,,,,,,,,,,136,317.5,0,,,317.5,0,317.5,0,,317.5,,1182.8,0.27,0.27,,1182.8,0.27,0.27,0.27,US GAAP,,,430.3,71.7939,31.265,23.0691,,27.8296,17.4547,,22.1077,48.1776,32.9507,23.0691,23.0691,29.989
1991-09-30 00:00:00,861.1,293.5,567.6,804.9,,,,793,,,,,306.5,,,,,2765.5,3484.3,5198.5,1714.2,284.3,,,1348,,,,,,,,1348,5116.6,7882.1001,297.5,471.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5845,1341.3,,392.3,,949.0001,,540,,,,,,409,,,9,,,,,425,,,,,,,,,,127.5,297.5,0,,,297.5,0,297.5,0,,297.5,,1182.4,0.2525,0.2525,,1182.4,0.2525,0.2525,0.2525,US GAAP,,,409,70.7523,30.4928,22.18,,30.2478,17.2104,,21.9242,71.5966,31.6857,22.18,22.18,30
1991-12-31 00:00:00,782.4,479.2,303.2,834.7,,,,796.9,,,,,525.3,,,,,2939.3,3782.5,5568.6001,1786.1,276.2,,,1300.6,,,,,,,,1300.6,5359.3,8298.5996,311.1,437,,,,,,,,,,,,,,,,,,,,,,,437,,,,,,,,1.4047,1572.6,,484.2,,1088.4,,655.2,,,,,,433.2,,,6.6,,,,,445.5,,,,,,,,,,134.4,311.1,0,,,311.1,0,311.1,0,,311.1,,1169.8,0.265,0.265,0.265,1169.8,0.265,0.265,0.265,US GAAP,,,433.2,69.2102,27.5467,19.7825,51058.4408,31.1777,17.0282,24.3307,20.963,37.1895,28.3289,19.7825,19.7825,30.1683
1992-03-31 00:00:00,791.2,351.3,439.9,837.8,,,,806.2,,,,,509,,,,,2944.2,3839.6001,5634.6001,1795,269.4,,,1367.5,,,,,,,,1367.5,5476.5001,8420.7002,442.6,269.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8269,1557.1,,435.1,,1122,,541.9,,,,,,580.1,,,9,,,,,636.9,,,,,,,,,,192.2,444.7,118.9,,,325.8,0,325.8,0,,325.8,,1179.2,0.275,0.3775,,1179.2,0.275,0.3775,0.3775,US GAAP,,,580.1,72.057,37.2552,20.9235,,25.0573,15.9351,21.2013,21.5492,69.3257,40.903,28.5595,20.9235,30.1774
1992-06-30 00:00:00,716.9,425.4,291.5,866.3,,,,897.7,,,,,467.3,,,,,2948.2,4000.8,5879.6001,1878.8,290.1,,,1524.6,,,,,,,,1524.6,5815.5,8763.7002,338.2,273.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8031,1478.3,,445.6,,1032.7,,595.2,,,,,,437.5,,,18.3,,,,,486.5,,,,,,,,,,146.3,340.2,0,,,340.2,0,340.2,0,,340.2,,1177.776,0.29,0.29,,1177.776,0.29,0.29,0.29,US GAAP,,,437.5,69.8573,29.5948,23.0129,,24.4791,15.603,20.4973,20.422,7.0588,32.9094,23.0129,23.0129,30.0719
