Date,CASH_CASH_EQTY_STI_DETAILED,BS_CASH_NEAR_CASH_ITEM,BS_MKT_SEC_OTHER_ST_INVEST,BS_ACCT_NOTE_RCV,BS_ACCTS_REC_EXCL_NOTES_REC,NOTES_RECEIVABLE,BS_UNBILLED_REVENUES,BS_INVENTORIES,INVTRY_RAW_MATERIALS,INVTRY_IN_PROGRESS,INVTRY_FINISHED_GOODS,BS_OTHER_INV,OTHER_CURRENT_ASSETS_DETAILED,BS_PREPAY,BS_DERIV_HEDGING_ASST_ST,BS_TAXES_RECEIVABLE_SHORT_TERM,BS_OTHER_CUR_ASSET_LESS_PREPAY,BS_CUR_ASSET_REPORT,BS_NET_FIX_ASSET,BS_GROSS_FIX_ASSET,BS_ACCUM_DEPR,BS_LT_INVEST,BS_LONG_TERM_INVESTMENTS,BS_LT_RECEIVABLES,BS_OTHER_ASSETS_DEF_CHRG_OTHER,BS_DISCLOSED_INTANGIBLES,BS_GOODWILL,OTHER_INTANGIBLE_ASSETS_DETAILED,BS_PREPAID_EXPENSE_LT,BS_DEFERRED_TAX_ASSETS_LT,BS_DERIV_HEDGING_ASST_LT,BS_INVEST_IN_ASSOC_CO,OTHER_NONCURRENT_ASSETS_DETAILED,BS_TOT_NON_CUR_ASSET,BS_TOT_ASSET,CF_NET_INC,CF_CASH_FROM_OPER,FIXED_INTANG_ASST_CHANGE,DISPOSAL_OF_FIXED_INTANG,ACQUIS_OF_FIXED_INTANG,NET_CHG_IN_LT_INVEST_DETAILED,CF_DECR_INVEST,CF_INCR_INVEST,CF_NT_CSH_RCVD_PD_FOR_ACQUIS_DIV,CF_CASH_FOR_DIVESTITURES,CF_CASH_FOR_ACQUIS_SUBSIDIARIES,CF_CASH_FOR_JOINT_VENTURES_ASSOC,OTHER_INVESTING_ACT_DETAILED,CF_NET_CASH_DISCONTINUED_OPS_INV,CF_CASH_FROM_INV_ACT,CF_DVD_PAID,PROC_FR_REPAYMNTS_BOR_DETAILED,PROC_FR_REPURCH_EQTY_DETAILED,CF_INCR_CAP_STOCK,CF_DECR_CAP_STOCK,OTHER_FIN_AND_DEC_CAP,CF_NET_CASH_DISCONTINUED_OPS_FIN,CFF_ACTIVITIES_DETAILED,CF_EFFECT_FOREIGN_EXCHANGES,CF_NET_CHNG_CASH,CF_CASH_PAID_FOR_TAX,CF_NET_CASH_PAID_FOR_AQUIS,CF_FREE_CASH_FLOW,CF_FREE_CASH_FLOW_FIRM,FREE_CASH_FLOW_EQUITY,FREE_CASH_FLOW_PER_SH,PX_TO_FREE_CASH_FLOW,CASH_FLOW_TO_NET_INC,SALES_REV_TURN,IS_SALES_AND_SERVICES_REVENUES,IS_COGS_TO_FE_AND_PP_AND_G,IS_COG_AND_SERVICES_SOLD,GROSS_PROFIT,IS_OTHER_OPER_INC,IS_OPERATING_EXPN,IS_SGA_EXPENSE,IS_SELLING_EXPENSES,IS_GENERAL_AND_ADMINISTRATIVE,IS_OPERATING_EXPENSES_RD,IS_OTHER_OPERATING_EXPENSES,IS_OPER_INC,IS_NONOP_INCOME_LOSS,IS_NET_INTEREST_EXPENSE,IS_INT_EXPENSE,IS_INT_INC,IS_OTHER_INVESTMENT_INCOME_LOSS,INCOME_LOSS_FROM_AFFILIATES,IS_OTHER_NON_OPERATING_INC_LOSS,PRETAX_INC,IS_ABNORMAL_ITEM,IS_DERIVATIVES_HEDGING,IS_GAIN_LOSS_DISPOSAL_ASSETS,IS_IMPAIRMENT_ASSETS,IS_IMPAIR_OF_INTANG_ASSETS,IS_SALE_OF_BUSINESS,IS_LEGAL_LITIGATION_SETTLEMENT,IS_GAIN_LOSS_ON_INVESTMENTS,IS_OTHER_ONE_TIME_ITEMS,IS_INC_TAX_EXP,IS_INC_BEF_XO_ITEM,XO_GL_NET_OF_TAX,IS_DISCONTINUED_OPERATIONS,EXTRAORD_ITEMS_ACCOUNTING_CHANGS,NI_INCLUDING_MINORITY_INT_RATIO,MIN_NONCONTROL_INTEREST_CREDITS,NET_INCOME,IS_TOT_CASH_PFD_DVD,OTHER_ADJUSTMENTS,EARN_FOR_COMMON,IS_NET_ABNORMAL_ITEMS,IS_AVG_NUM_SH_FOR_EPS,IS_EPS,IS_EARN_BEF_XO_ITEMS_PER_SH,IS_BASIC_EPS_CONT_OPS,IS_SH_FOR_DILUTED_EPS,IS_DILUTED_EPS,IS_DIL_EPS_BEF_XO,IS_DIL_EPS_CONT_OPS,ACCOUNTING_STANDARD,EBITDA,EBITDA_MARGIN,EBIT,GROSS_MARGIN,OPER_MARGIN,PROF_MARGIN,ACTUAL_SALES_PER_EMPL,RETURN_COM_EQY,RETURN_ON_ASSET,RETURN_ON_CAP,RETURN_ON_INV_CAPITAL,INCREMENTAL_OPERATING_MARGIN,PRETAX_INC_TO_NET_SALES,INC_BEF_XO_ITEMS_TO_NET_SALES,NET_INCOME_TO_COMMON_MARGIN,EFF_TAX_RATE,ESG_SCORE,ENVIRONMENTAL_SCORE,SOCIAL_SCORE,GOVERNANCE_SCORE,ESG_DISCLOSURE_SCORE,ENVIRON_DISCLOSURE_SCORE,SOCIAL_DISCLOSURE_SCORE,GOVNCE_DISCLOSURE_SCORE,NOX_EMISSIONS,VOC_EMISSIONS,PARTICULATE_EMISSIONS,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,EMISSION_REDUCTION,TRANSITION_PLAN_INDICATOR,CLIMATE_CHG_POLICY,CLIMATE_CHG_OPPORTUNITIES,CLIMATE_RISKS,GHG_SCOPE_1,GHG_SCOPE_2_LOCATION_BASED,ENERGY_EFFIC_POLICY,ENERGY_CONSUMPTION,ELECTRICITY_USED,NAT_GAS_USED,OIL_DIESEL_USED,WASTE_REDUCTION,HAZARDOUS_WASTE,TOTAL_WASTE,ENVIRON_SUPPLY_MGT,WATER_POLICY,TOTAL_WATER_WITHDRAWAL,TOTAL_WATER_DISCHARGED,BIODIVERSITY_POLICY,ADOPT_TNFD_RECOMMENDATIONS,ZERO_DEFORESTATION_POLICY,BOARD_LEVEL_OVERSIGHT_BIODIV,EXEC_LEVEL_OVERSIGHT_BIODIV,HUMAN_RIGHTS_POLICY,POLICY_AGAINST_CHILD_LABOR,QUALITY_ASSURANCE_AND_RECALL_POL,CONSUMER_DATA_PROTECTION_POLICY,COMMUNITY_SPENDING,CUSTOMER_COMPLAINTS,EQUAL_OPPORTUNITY_POLICY,GENDER_PAY_GAP_BREAKOUT,PCT_WOMEN_SENIOR_MGT,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,PCT_WOMEN_EMPLOYEES,PCT_MINORITY_EMPLOYEES,PCT_DISABLED_IN_WORKFORCE,ETHICS_POLICY,ANTI_BRIBERY_ETHICS_POLICY,HEALTH_SAFETY_POLICY,FATALITIES_EMPLOYEES,LOST_TIME_INCIDENT_RATE,TRAINING_POLICY,FAIR_REMUNERATION_POLICY,NUMBER_EMPLOYEES_CSR,EMPLOYEE_TURNOVER_PCT,EMPLOYEE_TRAINING_COST,TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,COMP_DISCLOSES_EMP_ENG_SCORE,SOCIAL_SUPPLY_CHAIN_MGMT,YEARS_AUDITOR_EMPLOYED,SIZE_OF_AUDIT_COMMITTEE,NUM_IND_DIR_ON_AUD_CMTE,AUDIT_COMMITTEE_MEETINGS,AUDIT_COMMITTEE_MTG_ATTEND_PCT,COMPANY_CONDUCTS_BRD_EVALUATIONS,BOARD_SIZE,NUM_EXECUTIVES_COMP_MANAGERS,NUM_OF_NONEXEC_DIR_ON_BRD,BOARD_MEETINGS_PER_YR,BOARD_MEETING_ATTENDANCE_PCT,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,DIRECTOR_SH_OWNERSHIP_GUIDELINES,SIZE_OF_COMPENSATION_COMMITTEE,NUM_IND_DIR_ON_CMPNSTN_CMTE,NUM_COMPENSATION_CMTE_MTG,COMPENSATION_CMTE_MTG_ATTEND_PCT,NUMBER_OF_FEMALE_EXECUTIVES,NUMBER_OF_WOMEN_ON_BOARD,AGE_OF_YOUNGEST_DIRECTOR,AGE_OF_OLDEST_DIRECTOR,INDEPENDENT_DIRECTORS,SIZE_OF_NOMINATION_COMMITTEE,NUM_IND_DIR_ON_NOM_CMTE,NUM_OF_NOMINATION_CMTE_MTG,NOMINATION_CMTE_MTG_ATTEND_PCT,VERIFICATION_TYPE,EMPLOYEE_CSR_TRAINING,BOARD_DURATION
1990-12-31 00:00:00,750.8,350.2,400.6,770.7,,,,673,,,,,306.8,,,,,2501.3,2936.7,4515.7998,1579.1,480.7,,,1224.1,,,,,,,,1224.1,4641.4999,7142.7998,1127.3,1474.4,-986.2,21.1,-1007.3,-2.9,501.5,-504.4,,,,,-66.8,,-1055.9,-450.1,1102.3,-1045.9,21.3,-1067.2,2.4,,-391.3,,27.2,,,467.1,513.9122,1590.5,0.4027,45.4774,1.3079,5191.6001,,1523.3,,3668.3,,2128.8999,,,,,,1539.4,,,66.4,,,,,1599,,,,,,,,,,471.7,1127.3,0,,,1127.3,0,1127.3,0,,1127.3,,1160,0.975,0.975,0.975,1160,0.975,0.975,0.975,US GAAP,2666.7001,51.3657,1539.4,70.6584,29.6517,21.7139,173632.1103,31.2073,17.3554,25.6788,22.1572,36.8701,30.7998,21.7139,21.7139,29.4997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-12-31 00:00:00,782.4,479.2,303.2,834.7,,,,796.9,,,,,525.3,,,,,2939.3,3782.5,5568.6001,1786.1,276.2,,,1300.6,,,,,,,,1300.6,5359.3,8298.5996,1314.7,1254.6,-1113.9,28.5,-1142.4,359.1,1301.7,-942.6,,,,,-100.9,,-855.7,-582.7,-621.3,925.8,995,-69.2,8.3,,-269.9,,129,,,112.2,140.0443,-480.6001,0.0953,218.9457,0.9543,5725.7002,,1654.2,,4071.5002,,2303.2,,,,,,1768.3,,,39.8,,,,,1879.2,,,,,,,,,,564.5,1314.7,0,,,1314.7,0,1314.7,0,,1314.7,,1176.8,1.125,1.125,1.125,1176.8,1.125,1.125,1.125,US GAAP,2067.8,36.1144,1768.3,71.1092,30.8836,22.9614,185899.357,31.1777,17.0282,24.3307,20.9634,42.8571,32.8204,22.9614,22.9614,30.0394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-12-31 00:00:00,728.3,432.4,295.9,898.6,,,,938.4,,,,,440.7,,,,,3006,4072.1001,6148.1001,2076,242.5,,,1352.2,,,,,,,,1352.2,5666.8,8672.7998,708.7,1483.5,-902.3,10.6,-912.9,24,764.2,-740.2,,,,,-49.9,,-928.2,-643.7,97.6,-42.5,26,-68.5,-13.5,,-602.1,,-46.8,,,570.6,620.7894,678.8,0.4844,31.3522,2.0933,6167.2998,,1897,,4270.2998,,2549.1001,,,,,,1721.2,,,71.7,,,,,1182.2999,,,,,,,,,,354.7,827.6,118.9,,,708.6999,0,708.7,0,,708.7,,1177.912,0.6025,0.7025,0.7025,1177.912,0.6025,0.7025,0.7025,US GAAP,2089.3,33.8771,1721.2,69.241,27.9085,11.4913,191531.0498,14.3779,8.3517,12.5256,18.9696,,19.1705,13.4192,11.4913,30.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-12-31 00:00:00,987.1,539.6,447.5,950.1,,,,1103,,,,,656.9,,,,,3697.1001,4200.2002,6566.5,2366.3,221.7,,,1504.6,,,,,,,,1504.6,5926.5002,9623.5996,480.2,1516.9,-628.1,5.4,-633.5,-112.4,889.3,-1001.7,,,,,-126.2,,-866.7,-708.4,191.3,-6,19.8,-25.8,-19.9,,-543,,107.2,,,883.4,932.9095,1080.1,0.7505,19.7798,3.1589,5198.5,,1448,,3750.5,,2087.3999,,,,,,1663.1,,,70.6,,,,,662.8,,,,,,,,,,198,464.8,-15.4,,,480.2,0,480.2,0,,480.2,,1177.16,0.4075,0.395,0.395,1177.16,0.4075,0.395,0.395,US GAAP,2061.4,39.6537,1663.1,72.1458,31.9919,9.2373,208775.1004,10.1513,5.2491,8.8326,18.9768,-5.9971,12.7498,8.941,9.2373,29.8733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-12-30 00:00:00,746.7,536.9,209.8,1550.2,,,,968.9,239,515.1,214.8,,696.5,,,,,3962.3,4411.5,7026.3999,2614.8999,464.1,,,5669.5,4411.5,,,,,,,1258,10545.1,14507.4004,1286.1,1532.3,-517.8,58.7,-576.5,236.5,1387,-1150.5,,,,,-4123.7,,-4405,-723.1,3428.4001,132,243,-111,32.7,,2870.0001,,-2.7,,,955.8,1028.2205,4442.9001,0.8263,19.8556,1.1914,5711.6001,,1679.7,,4031.9001,,2295.3999,,,,,,1736.5,,,103.8,,,,,1698.6,,,,,,,,,,513.5,1185.1,-101,,,1286.1,0,1286.1,0,,1286.1,,1156.756,1.1125,1.025,1.025,1156.75,1.1125,1.025,1.025,US GAAP,2168.7,37.9701,1736.5,70.5914,30.403,22.5173,229381.53,25.9179,10.6593,16.8398,14.7291,14.3052,29.7395,20.749,22.5173,30.2308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-12-29 00:00:00,1084.1,999.5,84.6,1520.5,,,,839.6,154,446.4,239.2,,694.4,,,,,4138.6001,4239.2998,6828.2998,2589,573.8,,,5460.7998,4105.2002,,,,,,,1355.5996,10273.8996,14412.5,2290.8999,1824.6,-529.8,21.5,-551.3,57.9,430.8,-372.9,,,,,-90.9,,-562.8,-747.2,34.8,-101.3,54.7,-156,14.5,,-799.2,,462.6,,,1273.3,1485.1711,1329.6,1.1188,25.1376,0.7965,6763.7998,,1885.7,,4878.0999,,2896.3,,,,,,1981.8,,,286.3,,,,,1765.6001,,,,,,,,,,459,1306.6,-984.3,,,2290.9,0,2290.8999,0,,2290.8999,,1138.052,2.015,1.15,1.15,1138.052,2.015,1.15,1.15,US GAAP,2535.5001,37.4863,1981.8,72.1207,29.3001,33.87,252380.5897,42.4705,15.8431,24.8536,14.2219,23.3131,26.1037,19.3175,33.87,25.9968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-12-31 00:00:00,955.1,813.7,141.4,1474.6,,,,881.4,171.7,423.4,286.3,,580.2,,,,,3891.3,4307,7096.3999,2789.3999,443.5,,,5665.3999,4028.2,,,,,,,1637.2,10415.8999,14307.2002,1523.5,1991.4,-432.7,11.2,-443.9,102.6,396.9,-294.3,,,,,-137.9,,-468,-753.2,-811.8,-96.1,218.4,-314.5,-48.1,,-1709.2,,-185.8,289,,1547.5,1764.1036,743.3,1.4146,25.8017,1.3071,7346.6001,,2118.3999,,5228.2002,,3181.3999,,,,,,2046.8,,,288.8,,,,,2031.3,,,,,,,,,,507.8,1523.5,0,,,1523.5001,0,1523.5,3.6,,1519.9,,1093.92,1.39,1.39,1.39,1117.11,1.36,1.36,1.36,US GAAP,2590.3,35.2585,2046.8,71.1649,27.8605,20.7375,251595.8938,26.3581,10.6094,17.609,15.0242,11.153,27.6495,20.7375,20.6885,24.9988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-12-31 00:00:00,2024.6,1947.5,77.1,1544.3,1544.3,,,900.7,191,459.4,262,-11.7,851.1,,,,,5320.7,4101.7,7034.9,2933.2,,,,3155,1550.5,1550.5,0,,,,,1604.5,7256.7,12577.4,-385.1,2400.4,-354.8,11.5,-366.3,-388.5,,-388.5,,,,,1553,,809.7,-818,-1150.7,-145.9,205.4,-351.3,38.3,,-2076.3,,1133.8,542,,2034.1,1857.4008,,1.8473,37.6894,,8517.6,,2362.9,,6154.7,,3696.4,2314.4,,,,,2458.3,,234.1,234.1,,,,,510.2,1811.2,,,2443,,,,,,895.3,-385.1,0,,,-385.1,0,-385.1,2.6,0,-387.7,,1101.099,-0.35,-0.35,0.72,1101.099,-0.35,-0.35,0.72,US GAAP,2968.1,34.8467,2458.3,72.2586,28.8614,-4.5212,273877.8135,-7.2159,-2.8648,-6.5368,-19.5097,35.1409,5.99,-4.5212,-4.5518,175.4802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-12-31 00:00:00,1597.1,1495.7,101.4,1967.9,1967.9,,,999.9,236.3,435.8,325.1,2.7,841.9,,,,,5406.8,4096.3,7274.5,3178.2,,,,3092.4,1517.9,1517.9,0,,,,,1574.5,7188.7,12595.5,2097.8999,2629.8,-389.3,30.6,-419.9,215.5,273.1,-57.6,,,,,-120.1,,-293.9,-877.7,-176.4,-1758.6001,414,-2172.6001,25,,-2787.7001,,-451.8,273,,2209.9001,2352.5114,,2.0166,44.0709,1.2535,9236.7998,,2015.1,,7221.6998,,4397.2002,,,,,,2824.5,,181.3,181.3,,,,,2665,127.5,,,,,,,,,568.7,2096.3,-1.6,,,2097.9,0,2097.8999,0,0,2097.8999,76.8,1095.834,1.91,1.91,1.98,1121.486,1.87,1.87,1.93,US GAAP,3314.9,35.888,2824.5,78.184,30.5788,22.7124,309959.725,46.2337,16.6679,31.655,25.8119,50.9177,28.852,22.6951,22.7124,21.3396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-12-31 00:00:00,3836,3700.4,135.6,1443.2,1443.2,,,899.6,224.7,372.7,295.1,7.1,876.7,,,,,7055.5,3981.5,7347.3,3365.8,180.3,,,1607.9,118.6,118.6,0,,,,,1489.3,5769.7,12825.2,2721,2619.7,-450,78.3,-528.3,53.3,216.1,-162.8,,,,,1483.4,,1086.7,-1000.5,690.6,-1142.8,310.2,-1453,-49,,-1501.7,,2204.7,252,,2091.4,2235.6298,2860.3,1.9229,34.5839,0.9628,10002.9,,2098,,7904.9,,4541.2,2757.6,,,,,3363.7,,,183.8,,,,,3245.4,87.4,,,87.4,,,,,,698.7,2546.7,-174.3,,,2721,0,2721,0,0,2721,56.81,1087.652,2.5,2.34,2.39,1106.055,2.46,2.3,2.35,US GAAP,3803.4,38.023,3363.7,79.0261,33.6272,27.2021,319581.4696,57.6324,21.4078,38.5555,29.1218,70.3824,32.4446,25.4596,27.2021,21.5289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
