Date,CASH_CASH_EQTY_STI_DETAILED,BS_CASH_NEAR_CASH_ITEM,BS_MKT_SEC_OTHER_ST_INVEST,BS_ACCT_NOTE_RCV,BS_ACCTS_REC_EXCL_NOTES_REC,NOTES_RECEIVABLE,BS_UNBILLED_REVENUES,BS_INVENTORIES,INVTRY_RAW_MATERIALS,INVTRY_IN_PROGRESS,INVTRY_FINISHED_GOODS,BS_OTHER_INV,OTHER_CURRENT_ASSETS_DETAILED,BS_PREPAY,BS_DERIV_HEDGING_ASST_ST,BS_TAXES_RECEIVABLE_SHORT_TERM,BS_OTHER_CUR_ASSET_LESS_PREPAY,BS_CUR_ASSET_REPORT,BS_NET_FIX_ASSET,BS_GROSS_FIX_ASSET,BS_ACCUM_DEPR,BS_LT_INVEST,BS_LONG_TERM_INVESTMENTS,BS_LT_RECEIVABLES,BS_OTHER_ASSETS_DEF_CHRG_OTHER,BS_DISCLOSED_INTANGIBLES,BS_GOODWILL,OTHER_INTANGIBLE_ASSETS_DETAILED,BS_PREPAID_EXPENSE_LT,BS_DEFERRED_TAX_ASSETS_LT,BS_DERIV_HEDGING_ASST_LT,BS_INVEST_IN_ASSOC_CO,OTHER_NONCURRENT_ASSETS_DETAILED,BS_TOT_NON_CUR_ASSET,BS_TOT_ASSET,CF_NET_INC,CF_CASH_FROM_OPER,FIXED_INTANG_ASST_CHANGE,DISPOSAL_OF_FIXED_INTANG,ACQUIS_OF_FIXED_INTANG,NET_CHG_IN_LT_INVEST_DETAILED,CF_DECR_INVEST,CF_INCR_INVEST,CF_NT_CSH_RCVD_PD_FOR_ACQUIS_DIV,CF_CASH_FOR_DIVESTITURES,CF_CASH_FOR_ACQUIS_SUBSIDIARIES,CF_CASH_FOR_JOINT_VENTURES_ASSOC,OTHER_INVESTING_ACT_DETAILED,CF_NET_CASH_DISCONTINUED_OPS_INV,CF_CASH_FROM_INV_ACT,CF_DVD_PAID,PROC_FR_REPAYMNTS_BOR_DETAILED,PROC_FR_REPURCH_EQTY_DETAILED,CF_INCR_CAP_STOCK,CF_DECR_CAP_STOCK,OTHER_FIN_AND_DEC_CAP,CF_NET_CASH_DISCONTINUED_OPS_FIN,CFF_ACTIVITIES_DETAILED,CF_EFFECT_FOREIGN_EXCHANGES,CF_NET_CHNG_CASH,CF_CASH_PAID_FOR_TAX,CF_NET_CASH_PAID_FOR_AQUIS,CF_FREE_CASH_FLOW,CF_FREE_CASH_FLOW_FIRM,FREE_CASH_FLOW_EQUITY,FREE_CASH_FLOW_PER_SH,PX_TO_FREE_CASH_FLOW,CASH_FLOW_TO_NET_INC,SALES_REV_TURN,IS_SALES_AND_SERVICES_REVENUES,IS_COGS_TO_FE_AND_PP_AND_G,IS_COG_AND_SERVICES_SOLD,GROSS_PROFIT,IS_OTHER_OPER_INC,IS_OPERATING_EXPN,IS_SGA_EXPENSE,IS_SELLING_EXPENSES,IS_GENERAL_AND_ADMINISTRATIVE,IS_OPERATING_EXPENSES_RD,IS_OTHER_OPERATING_EXPENSES,IS_OPER_INC,IS_NONOP_INCOME_LOSS,IS_NET_INTEREST_EXPENSE,IS_INT_EXPENSE,IS_INT_INC,IS_OTHER_INVESTMENT_INCOME_LOSS,INCOME_LOSS_FROM_AFFILIATES,IS_OTHER_NON_OPERATING_INC_LOSS,PRETAX_INC,IS_ABNORMAL_ITEM,IS_DERIVATIVES_HEDGING,IS_GAIN_LOSS_DISPOSAL_ASSETS,IS_IMPAIRMENT_ASSETS,IS_IMPAIR_OF_INTANG_ASSETS,IS_SALE_OF_BUSINESS,IS_LEGAL_LITIGATION_SETTLEMENT,IS_GAIN_LOSS_ON_INVESTMENTS,IS_OTHER_ONE_TIME_ITEMS,IS_INC_TAX_EXP,IS_INC_BEF_XO_ITEM,XO_GL_NET_OF_TAX,IS_DISCONTINUED_OPERATIONS,EXTRAORD_ITEMS_ACCOUNTING_CHANGS,NI_INCLUDING_MINORITY_INT_RATIO,MIN_NONCONTROL_INTEREST_CREDITS,NET_INCOME,IS_TOT_CASH_PFD_DVD,OTHER_ADJUSTMENTS,EARN_FOR_COMMON,IS_NET_ABNORMAL_ITEMS,IS_AVG_NUM_SH_FOR_EPS,IS_EPS,IS_EARN_BEF_XO_ITEMS_PER_SH,IS_BASIC_EPS_CONT_OPS,IS_SH_FOR_DILUTED_EPS,IS_DILUTED_EPS,IS_DIL_EPS_BEF_XO,IS_DIL_EPS_CONT_OPS,ACCOUNTING_STANDARD,EBITDA,EBITDA_MARGIN,EBIT,GROSS_MARGIN,OPER_MARGIN,PROF_MARGIN,ACTUAL_SALES_PER_EMPL,RETURN_COM_EQY,RETURN_ON_ASSET,RETURN_ON_CAP,RETURN_ON_INV_CAPITAL,INCREMENTAL_OPERATING_MARGIN,PRETAX_INC_TO_NET_SALES,INC_BEF_XO_ITEMS_TO_NET_SALES,NET_INCOME_TO_COMMON_MARGIN,EFF_TAX_RATE,ESG_SCORE,ENVIRONMENTAL_SCORE,SOCIAL_SCORE,GOVERNANCE_SCORE,ESG_DISCLOSURE_SCORE,ENVIRON_DISCLOSURE_SCORE,SOCIAL_DISCLOSURE_SCORE,GOVNCE_DISCLOSURE_SCORE,NOX_EMISSIONS,VOC_EMISSIONS,PARTICULATE_EMISSIONS,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,EMISSION_REDUCTION,TRANSITION_PLAN_INDICATOR,CLIMATE_CHG_POLICY,CLIMATE_CHG_OPPORTUNITIES,CLIMATE_RISKS,GHG_SCOPE_1,GHG_SCOPE_2_LOCATION_BASED,ENERGY_EFFIC_POLICY,ENERGY_CONSUMPTION,ELECTRICITY_USED,NAT_GAS_USED,OIL_DIESEL_USED,WASTE_REDUCTION,HAZARDOUS_WASTE,TOTAL_WASTE,ENVIRON_SUPPLY_MGT,WATER_POLICY,TOTAL_WATER_WITHDRAWAL,TOTAL_WATER_DISCHARGED,BIODIVERSITY_POLICY,ADOPT_TNFD_RECOMMENDATIONS,ZERO_DEFORESTATION_POLICY,BOARD_LEVEL_OVERSIGHT_BIODIV,EXEC_LEVEL_OVERSIGHT_BIODIV,HUMAN_RIGHTS_POLICY,POLICY_AGAINST_CHILD_LABOR,QUALITY_ASSURANCE_AND_RECALL_POL,CONSUMER_DATA_PROTECTION_POLICY,COMMUNITY_SPENDING,CUSTOMER_COMPLAINTS,EQUAL_OPPORTUNITY_POLICY,GENDER_PAY_GAP_BREAKOUT,PCT_WOMEN_SENIOR_MGT,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,PCT_WOMEN_EMPLOYEES,PCT_MINORITY_EMPLOYEES,PCT_DISABLED_IN_WORKFORCE,ETHICS_POLICY,ANTI_BRIBERY_ETHICS_POLICY,HEALTH_SAFETY_POLICY,FATALITIES_EMPLOYEES,LOST_TIME_INCIDENT_RATE,TRAINING_POLICY,FAIR_REMUNERATION_POLICY,NUMBER_EMPLOYEES_CSR,EMPLOYEE_TURNOVER_PCT,EMPLOYEE_TRAINING_COST,TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,COMP_DISCLOSES_EMP_ENG_SCORE,SOCIAL_SUPPLY_CHAIN_MGMT,YEARS_AUDITOR_EMPLOYED,SIZE_OF_AUDIT_COMMITTEE,NUM_IND_DIR_ON_AUD_CMTE,AUDIT_COMMITTEE_MEETINGS,AUDIT_COMMITTEE_MTG_ATTEND_PCT,COMPANY_CONDUCTS_BRD_EVALUATIONS,BOARD_SIZE,NUM_EXECUTIVES_COMP_MANAGERS,NUM_OF_NONEXEC_DIR_ON_BRD,BOARD_MEETINGS_PER_YR,BOARD_MEETING_ATTENDANCE_PCT,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,DIRECTOR_SH_OWNERSHIP_GUIDELINES,SIZE_OF_COMPENSATION_COMMITTEE,NUM_IND_DIR_ON_CMPNSTN_CMTE,NUM_COMPENSATION_CMTE_MTG,COMPENSATION_CMTE_MTG_ATTEND_PCT,NUMBER_OF_FEMALE_EXECUTIVES,NUMBER_OF_WOMEN_ON_BOARD,AGE_OF_YOUNGEST_DIRECTOR,AGE_OF_OLDEST_DIRECTOR,INDEPENDENT_DIRECTORS,SIZE_OF_NOMINATION_COMMITTEE,NUM_IND_DIR_ON_NOM_CMTE,NUM_OF_NOMINATION_CMTE_MTG,NOMINATION_CMTE_MTG_ATTEND_PCT,VERIFICATION_TYPE,EMPLOYEE_CSR_TRAINING,BOARD_DURATION
1990-12-31 00:00:00,113.021,53.94,59.081,26.228,,,,0,,,,,2.353,,,,,141.602,22.865,43.714,20.849,82.543,,,46.265,,,,,,,,46.265,151.673,293.275,33.929,57.462,-2.656,0,-2.656,0,0,0,,,,,2.323,,-0.333,-0.809,0,-21.136,1.324,-22.46,0.157,,-21.788,,35.341,,,54.806,57.0111,54.806,0.0653,11.1333,1.6936,605.464,,383.673,,221.791,,166.585,,,,,,55.206,,,3.341,,,,,51.865,,,,,,,,,,17.634,34.231,0,,,34.231,0.302,33.929,0,,33.929,,839.808,0.0403,0.0403,0.0403,944.8,0.0375,0.0375,0.0375,US GAAP,65.85,10.876,55.206,36.6316,9.118,5.6038,208780.6897,36.4751,12.7966,28.8021,26.8208,15.1692,8.5662,5.6537,5.6038,33.9998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-12-31 00:00:00,251.39,138.047,113.343,45.187,,,,0,,,,,4.471,,,,,301.048,32.494,62.088,29.594,160.046,,,80.368,,,,,,,,80.368,272.908,573.956,74.849,126.89,-15.073,0,-15.073,-191.914,42.798,-234.712,,,,,65.685,,-141.302,-0.931,-5.27,105.683,105.683,0,-0.963,,98.519,,84.107,,,111.817,112.6387,106.547,0.1121,20.7616,1.6953,847.13,,533.66,,313.47,,198.364,,,,,,115.106,,,1.245,,,,,113.861,,,,,,,,,,38.712,75.149,0,,,75.149,0.3,74.849,0,,74.849,,997.152,0.075,0.075,0.075,997.152,0.075,0.075,0.075,US GAAP,129.445,15.2804,115.106,37.0038,13.5878,8.8356,264728.125,33.6828,17.2616,33.2755,31.9326,24.7863,13.4408,8.871,8.8356,33.9994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-12-31 00:00:00,289.934,168.704,121.23,93.055,,,,0,,,,,6.866,,,,,389.855,50.846,107.899,57.053,480.663,,,181.404,,,,,,,,181.404,712.913,1102.7679,130.591,229.639,-24.371,0,-24.371,-412.687,557.441,-970.128,,,,,29.503,,-407.555,-1.078,-11.763,205.871,205.871,0,0.471,,193.501,,15.585,,,205.268,207.1919,193.505,0.1545,23.01,1.7585,2200.636,,1578.297,,622.339,,415.033,,,,,,207.306,,,2.972,,,,,204.334,,,,,,,,,,72.06,132.274,0,,,132.274,1.683,130.591,0,,130.591,,1328.728,0.0988,0.0988,0.0988,1328.728,0.0988,0.0988,0.0988,US GAAP,237.769,10.8046,207.306,28.28,9.4203,5.9342,458465.8333,25.1758,15.5769,25.7212,25.5341,6.8119,9.2852,6.0107,5.9342,35.2658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-12-31 00:00:00,400.87,228.26,172.61,169.075,,,,0,,,,,44.023,,,,,613.968,126.742,215.628,88.886,768.563,,,278.081,,,,,,,,278.081,1173.386,1787.354,212.078,350.018,-68.086,0,-68.086,-357.144,607.17,-964.314,,,,,13,,-412.23,-2.118,-10.464,22.024,22.024,0,0,,9.442,,-52.77,,,281.932,283.8874,271.468,0.1026,46.2193,1.6504,3115.202,,2236.588,,878.614,,542.263,,,,,,336.351,,,3.046,,,,,333.428,,,,,,,,,,119.379,214.049,0,,,214.049,1.97,212.078,0,,212.078,,2747.824,0.0769,0.0769,0.0769,2747.824,0.0769,0.0769,0.0769,US GAAP,386.979,12.4223,336.351,28.2041,10.7971,6.8078,479261.8462,23.5103,14.6761,23.8671,23.7299,14.11,10.7033,6.8711,6.8078,35.8035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-12-30 00:00:00,1654.336,1519.049,135.287,167.369,,,,0,,,,,86.51,,,,,1908.215,162.597,273.431,110.834,1115.054,,,303.613,,,,,,,,303.613,1581.264,3489.479,1665.214,326.257,-79.609,0,-79.609,-390.046,964.813,-1354.859,,,,,1408.751,,939.096,-4.626,-18.547,48.609,48.609,0,0,,25.436,,1290.7889,,,246.648,247.989,228.101,0.176,32.055,0.1959,3768.882,,2643.107,,1125.775,,619.728,,,,,,506.047,,,2.163,,,,,467.944,,,,,,,,,,177.822,290.122,-1377.075,,,1667.197,1.983,1665.214,0,,1665.214,,1401.672,1.1875,0.2075,0.2075,1401.672,1.1875,0.2075,0.2075,US GAAP,570.126,15.1272,506.047,29.8703,13.427,44.1832,392591.875,85.8166,63.1141,85.7767,16.0498,25.9601,12.416,7.6978,44.1832,38.0007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-12-29 00:00:00,1803.925,940.11,863.815,550.313,,,,0,,,,,512.883,,,,,2867.1211,267.652,417.166,149.514,1274.47,,,1751.743,,,,,,,,1751.743,3293.865,6160.9858,285.964,434.275,-109.23,0,-109.23,31.9109,3321.0969,-3289.186,,,,,-968.4309,,-1045.75,-5.192,-3.646,41.374,41.374,0,0,,32.536,,-578.939,,,325.045,325.5461,814.211,0.229,35.6884,1.5186,5670.878,,3930.9331,,1739.9449,,1125.364,,,,,,640.785,,,0.771,,,,,486.218,,,,,,,,,,170.205,289.809,0,,,316.013,3.845,285.964,7.188,,278.776,,1419.544,0.1963,0.1963,0.1963,1419.544,0.1963,0.1963,0.1963,US GAAP,735.243,12.9652,640.785,30.6821,11.2996,5.0427,198978.1754,9.3182,5.9264,8.8945,12.7414,7.084,8.5739,5.5726,4.9159,35.0059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-12-31 00:00:00,1647.288,1036.7159,610.572,605.801,,,,0,0,0,0,,486.575,,,,,2739.6641,312.984,588.339,275.355,1804.973,,,2139.009,,,,,,,,2139.009,4256.9661,6996.6299,356,562.259,-165.223,0,-165.223,-253.9189,4754.9292,-5008.8481,,,,,-53.3681,,-472.51,-34.086,-0.62,41.563,41.563,0,0,,6.857,,96.606,96,,397.036,397.036,367.416,0.2727,20.6279,1.5794,10074,,7180,,2894,,2298,,,,,,596,,,0,,,,,581,,,,,,,,,,225,356,0,,,356,0,356,29,,327,,1456,0.225,0.225,0.225,1488,0.22,0.22,0.22,US GAAP,729.166,7.2381,596,28.7274,5.9162,3.5338,362374.1007,9.3281,5.4113,8.811,9.0384,,5.7673,3.5338,3.246,38.7263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-12-31 00:00:00,1256,750,506,768,,,,0,0,0,0,,169,,,,,2193,364,714,350,2785,,,2281,2281,,,,,,,0,5430,7623,460,683,-187,0,-187,-817,5889,-6706,,,,,0,,-1004,-35,0,69,79,-10,0,,34,,-287,124,,496,496,467,0.3316,18.733,1.4848,11794,,8542,,3252,,2510,,,,,,742,,,0,,,,,742,,,,,,,,,,282,460,0,,,460,0,460,29,,431,,1496,0.2875,0.2875,0.2875,1528,0.2825,0.2825,0.2825,US GAAP,888,7.5293,742,27.5733,6.2913,3.9003,398445.9459,10.3146,6.2929,9.7801,9.7801,8.4884,6.2913,3.9003,3.6544,38.0054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-12-31 00:00:00,1814,1644,170,991,,,,0,0,0,0,0,1475,,,,,4280,294,757,463,2610,,,2517,2517,,,,,,,0,5421,9701,-166,1071,-151,59,-210,636,3435,-2799,,,,,-464,,21,-34,708,-872,84,-956,0,,-198,,894,245,,861,,1100,0.5635,9.5528,,17355,,13523,,3832,,3149,,,,,,683,,,4,,,,,-46,920,,,,,,,,,120,-166,0,,,-166,0,-166,28,,-194,,1528,-0.14,-0.14,0.3275,1528,-0.14,-0.14,0.3275,US GAAP,868,5.0014,683,22.0801,3.9355,-0.9565,593820.5707,-4.5264,-1.9164,,,,-0.2651,-0.9565,-1.1178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-12-31 00:00:00,2151,1605,546,912,912,,,,,,,,1505,,,,,4568,278,,,2568,,,2859,2100,2100,0,,,,,759,5705,10273,568,1189,-196,,-196,,,,,,,,-427,,-623,-6,282,-881,102,-983,,,-605,,-39,214,334,993,1024.132,,0.713,9.3143,2.0933,19562,,15043,,4519,,3576,,,,,,943,,49,49,,,,,894,,,,,,,,,,326,568,,,,568,,568,,,568,,1392.8,0.4075,0.4075,0.4075,1420,0.4,0.4,0.4,US GAAP,1176,6.0117,943,23.1009,4.8206,2.9036,674551.7241,14.3779,5.6874,12.4819,12.7842,11.7807,4.5701,2.9036,2.9036,36.4653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
