Date,CASH_CASH_EQTY_STI_DETAILED,BS_CASH_NEAR_CASH_ITEM,BS_MKT_SEC_OTHER_ST_INVEST,BS_ACCT_NOTE_RCV,BS_ACCTS_REC_EXCL_NOTES_REC,NOTES_RECEIVABLE,BS_UNBILLED_REVENUES,BS_INVENTORIES,INVTRY_RAW_MATERIALS,INVTRY_IN_PROGRESS,INVTRY_FINISHED_GOODS,BS_OTHER_INV,OTHER_CURRENT_ASSETS_DETAILED,BS_PREPAY,BS_DERIV_HEDGING_ASST_ST,BS_TAXES_RECEIVABLE_SHORT_TERM,BS_OTHER_CUR_ASSET_LESS_PREPAY,BS_CUR_ASSET_REPORT,BS_NET_FIX_ASSET,BS_GROSS_FIX_ASSET,BS_ACCUM_DEPR,BS_LT_INVEST,BS_LONG_TERM_INVESTMENTS,BS_LT_RECEIVABLES,BS_OTHER_ASSETS_DEF_CHRG_OTHER,BS_DISCLOSED_INTANGIBLES,BS_GOODWILL,OTHER_INTANGIBLE_ASSETS_DETAILED,BS_PREPAID_EXPENSE_LT,BS_DEFERRED_TAX_ASSETS_LT,BS_DERIV_HEDGING_ASST_LT,BS_INVEST_IN_ASSOC_CO,OTHER_NONCURRENT_ASSETS_DETAILED,BS_TOT_NON_CUR_ASSET,BS_TOT_ASSET,CF_NET_INC,CF_CASH_FROM_OPER,FIXED_INTANG_ASST_CHANGE,DISPOSAL_OF_FIXED_INTANG,ACQUIS_OF_FIXED_INTANG,NET_CHG_IN_LT_INVEST_DETAILED,CF_DECR_INVEST,CF_INCR_INVEST,CF_NT_CSH_RCVD_PD_FOR_ACQUIS_DIV,CF_CASH_FOR_DIVESTITURES,CF_CASH_FOR_ACQUIS_SUBSIDIARIES,CF_CASH_FOR_JOINT_VENTURES_ASSOC,OTHER_INVESTING_ACT_DETAILED,CF_NET_CASH_DISCONTINUED_OPS_INV,CF_CASH_FROM_INV_ACT,CF_DVD_PAID,PROC_FR_REPAYMNTS_BOR_DETAILED,PROC_FR_REPURCH_EQTY_DETAILED,CF_INCR_CAP_STOCK,CF_DECR_CAP_STOCK,OTHER_FIN_AND_DEC_CAP,CF_NET_CASH_DISCONTINUED_OPS_FIN,CFF_ACTIVITIES_DETAILED,CF_EFFECT_FOREIGN_EXCHANGES,CF_NET_CHNG_CASH,CF_CASH_PAID_FOR_TAX,CF_NET_CASH_PAID_FOR_AQUIS,CF_FREE_CASH_FLOW,CF_FREE_CASH_FLOW_FIRM,FREE_CASH_FLOW_EQUITY,FREE_CASH_FLOW_PER_SH,PX_TO_FREE_CASH_FLOW,CASH_FLOW_TO_NET_INC,SALES_REV_TURN,IS_SALES_AND_SERVICES_REVENUES,IS_COGS_TO_FE_AND_PP_AND_G,IS_COG_AND_SERVICES_SOLD,GROSS_PROFIT,IS_OTHER_OPER_INC,IS_OPERATING_EXPN,IS_SGA_EXPENSE,IS_SELLING_EXPENSES,IS_GENERAL_AND_ADMINISTRATIVE,IS_OPERATING_EXPENSES_RD,IS_OTHER_OPERATING_EXPENSES,IS_OPER_INC,IS_NONOP_INCOME_LOSS,IS_NET_INTEREST_EXPENSE,IS_INT_EXPENSE,IS_INT_INC,IS_OTHER_INVESTMENT_INCOME_LOSS,INCOME_LOSS_FROM_AFFILIATES,IS_OTHER_NON_OPERATING_INC_LOSS,PRETAX_INC,IS_ABNORMAL_ITEM,IS_DERIVATIVES_HEDGING,IS_GAIN_LOSS_DISPOSAL_ASSETS,IS_IMPAIRMENT_ASSETS,IS_IMPAIR_OF_INTANG_ASSETS,IS_SALE_OF_BUSINESS,IS_LEGAL_LITIGATION_SETTLEMENT,IS_GAIN_LOSS_ON_INVESTMENTS,IS_OTHER_ONE_TIME_ITEMS,IS_INC_TAX_EXP,IS_INC_BEF_XO_ITEM,XO_GL_NET_OF_TAX,IS_DISCONTINUED_OPERATIONS,EXTRAORD_ITEMS_ACCOUNTING_CHANGS,NI_INCLUDING_MINORITY_INT_RATIO,MIN_NONCONTROL_INTEREST_CREDITS,NET_INCOME,IS_TOT_CASH_PFD_DVD,OTHER_ADJUSTMENTS,EARN_FOR_COMMON,IS_NET_ABNORMAL_ITEMS,IS_AVG_NUM_SH_FOR_EPS,IS_EPS,IS_EARN_BEF_XO_ITEMS_PER_SH,IS_BASIC_EPS_CONT_OPS,IS_SH_FOR_DILUTED_EPS,IS_DILUTED_EPS,IS_DIL_EPS_BEF_XO,IS_DIL_EPS_CONT_OPS,ACCOUNTING_STANDARD,EBITDA,EBITDA_MARGIN,EBIT,GROSS_MARGIN,OPER_MARGIN,PROF_MARGIN,ACTUAL_SALES_PER_EMPL,RETURN_COM_EQY,RETURN_ON_ASSET,RETURN_ON_CAP,RETURN_ON_INV_CAPITAL,INCREMENTAL_OPERATING_MARGIN,PRETAX_INC_TO_NET_SALES,INC_BEF_XO_ITEMS_TO_NET_SALES,NET_INCOME_TO_COMMON_MARGIN,EFF_TAX_RATE
1990-03-30 00:00:00,162.641,68.498,94.143,21.075,,,,0,,,,,2.76,,,,,186.476,23.384,,,0,,,58.29,,,,,,,,58.29,81.674,268.15,6.728,9.694,,,,,,,,,,,,,,,,,,,,,,,9.694,,,,,,,,1.4408,129.904,,79.749,,50.155,,38.485,,,,,,11.67,,,1.349,,,,,10.321,,,,,,,,,,3.509,6.812,0,,,6.812,0.084,6.728,0,,6.728,,759.648,0.0088,0.0088,0.0088,919.008,0.0081,0.0081,0.0088,US GAAP,13.908,,11.67,38.6093,8.9836,5.1792,,,,,,,7.9451,5.2439,5.1792,33.9986
1990-06-29 00:00:00,163.932,71.113,92.819,21.34,,,,0,,,,,3.13,,,,,188.402,22.616,,,0,,,61.502,,,,,,,,61.502,84.118,272.52,7.778,6.783,,,,,,,,,,,,,,,,,,,,,,,6.783,,,,,,,,0.8721,150.229,,97.922,,52.307,,38.999,,,,,,13.308,,,1.29,,,,,12.018,,,,,,,,,,4.088,7.93,0,,,7.93,0.152,7.778,0,,7.778,,775.392,0.01,0.01,,943.584,0.0091,0.0091,0.0091,US GAAP,15.658,,13.308,34.8182,8.8585,5.1774,,,,,,,7.9998,5.2786,5.1774,34.0156
1990-09-28 00:00:00,174.057,52.638,121.419,25.832,,,,0,,,,,2.931,,,,,202.82,21.322,,,0,,,60.038,,,,,,,,60.038,81.36,284.18,9.152,9.517,,,,,,,,,,,,,,,,,,,,,,,9.517,,,,,,,,1.0399,156.831,,100.241,,56.59,,42.234,,,,,,14.356,,,0.379,,,,,13.977,,,,,,,,,,4.751,9.226,0,,,9.226,0.074,9.152,0,,9.152,,930.688,0.0097,0.0097,0.0097,944.832,0.0097,0.0097,0.0097,US GAAP,17.13,,14.356,36.0834,9.1538,5.8356,,,,,,,8.9121,5.8828,5.8356,33.9916
1990-12-31 00:00:00,113.021,53.94,59.081,26.228,,,,0,,,,,2.353,,,,,141.602,22.865,43.714,20.849,82.543,,,46.265,,,,,,,,46.265,151.673,293.275,10.271,31.468,,,,,,,,,,,,,,,,,,,,,,,31.468,,,,,,,,3.0638,168.5,,105.761,,62.739,,46.867,,,,,,15.872,,,0.323,,,,,15.549,,,,,,,,,,5.286,10.263,0,,,10.263,0,10.271,0,,10.271,,908.864,0.0113,0.0113,0.0113,908.864,0.0113,0.0113,0.0113,US GAAP,19.154,10.876,15.872,37.2338,9.4196,6.0955,58103.4483,,,,,,9.2279,6.0908,6.0955,33.9958
1991-03-28 00:00:00,161.552,59.725,101.827,36.35,,,,0,,,,,3.132,,,,,201.034,25.079,,,134.932,,,46.035,,,,,,,,46.035,206.046,407.08,15.555,5.93,,,,,,,,,,,,,,,,,,,,,,,5.93,,,,,,,,0.3812,179.374,,112.041,,67.333,,43.317,,,,,,24.016,,,0.327,,,,,23.689,,,,,,,,,,8.054,15.635,0,,,15.635,0.08,15.555,0,,15.555,,920.096,0.0169,0.0169,0.0169,920.096,0.0169,0.0169,0.0169,US GAAP,27.292,12.098,24.016,37.5378,13.3888,8.6718,,27.7346,12.6641,23.829,23.8246,24.9565,13.2065,8.7164,8.6718,33.9989
1991-06-28 00:00:00,164.11,44.103,120.007,32.253,,,,0,,,,,3.12,,,,,199.483,25.071,,,158.155,,,49.595,,,,,,,,49.595,232.821,432.304,18.269,30.012,,,,,,,,,,,,,,,,,,,,,,,30.012,,,,,,,,1.6428,186.696,,111.334,,75.362,,47.293,,,,,,28.069,,,0.325,,,,,27.744,,,,,,,,,,9.433,18.311,0,,,18.311,0.042,18.269,0,,18.269,,1027.2321,0.0178,0.0178,0.0178,1027.2321,0.0178,0.0178,0.0178,US GAAP,31.466,13.7463,28.069,40.3662,15.0346,9.7854,,30.3874,15.1093,26.9828,26.9788,40.4777,14.8605,9.8079,9.7854,34.0001
1991-09-30 00:00:00,187.39,58.902,128.488,40.099,,,,0,,,,,3.57,,,,,231.059,26.837,,,178.447,,,78.778,,,,,,,,78.778,284.062,515.121,19.731,32.915,,,,,,,,,,,,,,,,,,,,,,,32.915,,,,,,,,1.6682,220.785,,139.557,,81.228,,50.964,,,,,,30.264,,,0.292,,,,,29.972,,,,,,,,,,10.189,19.783,0,,,19.783,0.052,19.731,0,,19.731,,1031.936,0.0191,0.0191,0.0191,1031.936,0.0191,0.0191,0.0191,US GAAP,33.689,14.7746,30.264,36.7905,13.7075,8.9367,,30.38,15.9705,29.9497,29.946,24.8741,13.5752,8.9603,8.9367,33.9951
1991-12-31 00:00:00,251.39,138.047,113.343,45.187,,,,0,,,,,4.471,,,,,301.048,32.494,62.088,29.594,160.046,,,80.368,,,,,,,,80.368,272.908,573.956,21.294,58.033,,,,,,,,,,,,,,,,,,,,,,,58.033,,,,,,,,2.7253,260.275,,170.728,,89.547,,56.79,,,,,,32.757,,,0.301,,,,,32.456,,,,,,,,,,11.036,21.42,0,,,21.42,0.126,21.294,0,,21.294,,1037.024,0.0206,0.0206,0.0206,1037.024,0.0206,0.0206,0.0206,US GAAP,36.998,15.2804,32.757,34.4048,12.5855,8.1813,81335.9375,33.6828,17.2616,33.2755,31.9326,18.3983,12.4699,8.2298,8.1813,34.003
1992-03-31 00:00:00,241.611,102.597,139.014,50.835,,,,0,,,,,5.148,,,,,297.594,37.23,,,328.479,,,140.983,,,,,,,,140.983,506.692,804.286,24.98,2.276,,,,,,,,,,,,,,,,,,,,,,,2.276,,,,,,,,0.0911,335.276,,228.923,,106.353,,67.317,,,,,,39.036,,,0.385,,,,,38.651,,,,,,,,,,13.528,25.123,0,,,25.123,0.143,24.98,0,,24.98,,1065.2159,0.0234,0.0234,,1065.2159,0.0234,0.0234,0.0234,US GAAP,45.196,14.6904,39.036,31.721,11.6429,7.4506,,21.5972,13.9139,21.6807,21.6807,9.6343,11.5281,7.4932,7.4506,35.0004
1992-06-30 00:00:00,123.025,30.127,92.898,56.016,,,,0,,,,,5.231,,,,,184.272,39.642,,,456.129,,,141.045,,,,,,,,141.045,636.816,821.088,27.6,21.981,,,,,,,,,,,,,,,,,,,,,,,21.981,,,,,,,,0.7964,350.951,,235.824,,115.127,,72.355,,,,,,42.772,,,0.203,,,,,42.569,,,,,,,,,,14.899,27.67,0,,,27.67,0.07,27.6,0,,27.6,,883.2,0.0247,0.0247,0.0247,883.2,0.0247,0.0247,0.0247,US GAAP,49.279,14.1492,42.772,32.8043,12.1875,7.8643,,22.5173,14.9363,22.5912,22.5914,8.9513,12.1296,7.8843,7.8643,34.9996
