Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39
UnitedHealth Group Inc (UNH US) - By Measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Millions of USD except Per Share,,Q1 2000,,Q2 2000,,Q3 2000,,Q4 2000,,Q1 2001,,Q2 2001,,Q3 2001,,Q4 2001,,Q1 2002,,Q2 2002,,Q3 2002,,Q4 2002,,Q1 2003,,Q2 2003,,Q3 2003,,Q4 2003,,Q1 2004,,Q2 2004,,Q3 2004,
3 Months Ending,,03/31/2000,,06/30/2000,,09/30/2000,,12/31/2000,,03/31/2001,,06/30/2001,,09/30/2001,,12/31/2001,,03/31/2002,,06/30/2002,,09/30/2002,,12/31/2002,,03/31/2003,,06/30/2003,,09/30/2003,,12/31/2003,,03/31/2004,,06/30/2004,,09/30/2004,
Revenue,,5099,1.0,5220,1.0,5369,1.0,5434,1.0,5680,1.0,5813,1.0,5941,1.0,6020,1.0,6013,1.0,6078,1.0,6247,1.0,6682,1.0,6975,1.0,7087,1.0,7238,1.0,7523,1.0,8144,1.0,8704,1.0,9859,1.0
  Health Care Service,,4481,0.88873462911543,4582,0.887124878993224,4694,0.883493318275927,4745,0.883612662942272,4900,0.874063503389226,5030,0.876459313469246,5146,0.876362397820163,5183,0.870214909335124,5155,0.866240967904554,5224,0.866766218682595,5348,0.863276836158192,5646,0.851969216840199,5967,0.862532523850824,6056,0.86181869930269,6173,0.860348432055749,6396,0.858984689766317,6972,0.865764311436732,7509,0.871720455073137,8627,0.883732841630813
  Uniprise,,389,0.0771519238397461,405,0.0784123910939013,417,0.0784867306606437,384,0.0715083798882682,457,0.0815198002140564,458,0.079804844049486,461,0.078508174386921,465,0.0780725319006044,499,0.0838514535372206,504,0.0836236933797909,538,0.0868442292171106,634,0.0956692319299834,614,0.0887539751373229,626,0.0890849580190693,625,0.0871080139372822,631,0.0847434864356702,666,0.0827020985967962,671,0.0778964476433713,676,0.0692481048965376
  Specialized Care Services,,112,0.0222134073780246,120,0.0232333010648596,125,0.0235271974402409,146,0.0271880819366853,173,0.0308597930788441,180,0.0313643491897543,182,0.0309945504087193,199,0.0334116856950974,219,0.0368005377247521,223,0.0370001659200265,225,0.036319612590799,230,0.0347065036969971,255,0.0368603642671292,262,0.0372847587875338,273,0.0380487804878049,287,0.0385441847972066,324,0.0402334533714144,342,0.0397028093800789,346,0.0354435566482278
  Ingenix,,60,0.0119000396667989,58,0.0112294288480155,77,0.0144927536231884,95,0.0176908752327747,76,0.0135569033178737,71,0.0123714932915142,83,0.0141348773841962,109,0.0183008730691739,78,0.0131070408334734,76,0.0126099220175875,84,0.0135593220338983,117,0.0176550475328203,82,0.0118531367447239,83,0.0118115838907073,104,0.0144947735191638,132,0.0177276390008058,91,0.0113001365950577,92,0.010680287903413,113,0.0115754968244212
  Adjustment,,57,,55,,56,,64,,74,,74,,69,,64,,62,,51,,52,,55,,57,,60,,63,,77,,91,,90,,97,
  Corporate,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,—,,—,,0,,0,,0,,0,
Intersegment Revenue,,256,1.0,268,1.0,268,1.0,274,1.0,297,1.0,301,1.0,304,1.0,297,1.0,326,1.0,330,1.0,340,1.0,261,1.0,383,1.0,383,1.0,388,1.0,389,1.0,435,1.0,446,1.0,445,1.0
  Specialized Care Services,,114,0.4453125,117,0.436567164179104,115,0.42910447761194,115,0.41970802919708,129,0.434343434343434,126,0.418604651162791,126,0.414473684210526,123,0.414141414141414,144,0.441717791411043,148,0.448484848484848,153,0.45,153,0.586206896551724,196,0.511749347258486,197,0.514360313315927,199,0.512886597938144,195,0.501285347043702,225,0.517241379310345,227,0.508968609865471,229,0.514606741573034
  Uniprise,,122,0.4765625,131,0.488805970149254,130,0.485074626865672,137,0.5,142,0.478114478114478,148,0.491694352159468,151,0.49671052631579,146,0.491582491582492,151,0.46319018404908,149,0.451515151515152,153,0.45,70,0.268199233716475,148,0.386422976501305,143,0.373368146214099,145,0.373711340206186,147,0.377892030848329,161,0.370114942528736,165,0.369955156950673,159,0.357303370786517
  Ingenix,,20,0.078125,20,0.0746268656716418,23,0.0858208955223881,22,0.0802919708029197,26,0.0875420875420875,27,0.0897009966777409,27,0.0888157894736842,28,0.0942760942760943,31,0.0950920245398773,33,0.1,34,0.1,38,0.145593869731801,39,0.101827676240209,43,0.112271540469974,44,0.11340206185567,47,0.120822622107969,49,0.11264367816092,54,0.121076233183857,57,0.128089887640449
  Health Care Service,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Revenue Including Intersegment Revenue,,5352,1.0,5488,1.0,5637,1.0,5708,1.0,5977,1.0,6114,1.0,6249,1.0,6317,1.0,6339,1.0,6408,1.0,6587,1.0,6943,1.0,7358,1.0,7470,1.0,7626,1.0,7912,1.0,8579,1.0,9150,1.0,10304,1.0
  Health Care Service,,4529,0.846225710014948,4628,0.843294460641399,4740,0.840872804683342,4799,0.840749824807288,4962,0.830182365735319,5091,0.832679097154073,5206,0.833093294927188,5235,0.828716162735476,5206,0.821265183782931,5265,0.821629213483146,5390,0.818278427205101,5691,0.819674492294397,6014,0.817341668931775,6106,0.817402945113789,6224,0.816155258326777,6463,0.816860465116279,7050,0.821774099545401,7588,0.829289617486339,8712,0.845496894409938
  Uniprise,,516,0.0964125560538117,542,0.0987609329446064,554,0.0982792265389392,528,0.0925017519271198,607,0.101555964530701,615,0.100588812561335,621,0.099375900144023,619,0.0979895520025328,657,0.103644107903455,659,0.102840199750312,698,0.105966297252163,711,0.102405300302463,769,0.104512095678173,775,0.103748326639893,778,0.102019407290847,785,0.099216380182002,835,0.0973306912227532,843,0.0921311475409836,842,0.0817158385093168
  Specialized Care Services,,227,0.0424140508221226,240,0.043731778425656,243,0.0431080361894625,264,0.0462508759635599,306,0.0511962523004852,310,0.0507033038927053,312,0.0499279884781565,326,0.0516067753680544,367,0.0578955671241521,375,0.0585205992509363,381,0.0578412023683012,386,0.0555955638772865,454,0.0617015493340582,463,0.0619812583668005,476,0.0624180435352741,485,0.0612992922143579,554,0.0645762909430004,573,0.0626229508196721,580,0.0562888198757764
