Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81
UnitedHealth Group Inc (UNH US) - By Measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Millions of USD except Per Share,,Q4 2004,,Q1 2005,,Q2 2005,,Q3 2005,,Q4 2005,,Q1 2006,,Q2 2006,,Q3 2006,,Q4 2006,,Q1 2007,,Q2 2007,,Q3 2007,,Q4 2007,,Q1 2008,,Q2 2008,,Q3 2008,,Q4 2008,,Q1 2009,,Q2 2009,,Q3 2009,,Q4 2009,,Q1 2010,,Q2 2010,,Q3 2010,,Q4 2010,,Q1 2011,,Q2 2011,,Q3 2011,,Q4 2011,,Q1 2012,,Q2 2012,,Q3 2012,,Q4 2012,,Q1 2013,,Q2 2013,,Q3 2013,,Q4 2013,,Q1 2014,,Q2 2014,,Q3 2014,
3 Months Ending,,12/31/2004,,03/31/2005,,06/30/2005,,09/30/2005,,12/31/2005,,03/31/2006,,06/30/2006,,09/30/2006,,12/31/2006,,03/31/2007,,06/30/2007,,09/30/2007,,12/31/2007,,03/31/2008,,06/30/2008,,09/30/2008,,12/31/2008,,03/31/2009,,06/30/2009,,09/30/2009,,12/31/2009,,03/31/2010,,06/30/2010,,09/30/2010,,12/31/2010,,03/31/2011,,06/30/2011,,09/30/2011,,12/31/2011,,03/31/2012,,06/30/2012,,09/30/2012,,12/31/2012,,03/31/2013,,06/30/2013,,09/30/2013,,12/31/2013,,03/31/2014,,06/30/2014,,09/30/2014,
Revenue,,9942,1.0,11164,1.0,11379,1.0,11613,1.0,12165,1.0,17581,1.0,17863,1.0,17970,1.0,18157,1.0,19047,1.0,19000,1.0,18679,1.0,18705,1.0,20304,1.0,20272,1.0,20156,1.0,20454,1.0,22004,1.0,21655,1.0,21695,1.0,87138,1.0,23193,1.0,23264,1.0,23668,1.0,24030,1.0,25432,1.0,25234,1.0,25280,1.0,25916,1.0,27282,1.0,27265,1.0,27302,1.0,28769,1.0,30340,1.0,30408,1.0,30624,1.0,31117,1.0,31708,1.0,32574,1.0,32759,1.0
  UnitedHealthcare,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,82192,0.949691493541007,21809,0.947393570807993,21820,0.943975773307376,22161,0.941738908720041,22389,0.937602077138909,23712,0.939089108910891,23518,0.937943686687405,23499,0.93584229390681,24049,0.93307208815085,25389,0.936517890077462,25368,0.936537822571713,25393,0.935044371616894,26616,0.931150293870697,28077,0.931645485615688,28142,0.931453347896601,28254,0.927546699057812,28635,0.925710406362138,29098,0.923247771044198,29860,0.923771810419503,29904,0.917666554147359
    Premium,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,78251,0.904155015829732,20829,0.904821894005213,20812,0.900367726584469,21144,0.898521162672106,21373,0.895054231751748,22656,0.897267326732673,22438,0.894871181303342,22441,0.893707686180804,22952,0.890509816093738,24211,0.893065289561048,24184,0.892826817292428,24197,0.8910041609898,25393,0.888364119787294,26681,0.885323688489233,26603,0.880515010094992,26698,0.876464988017465,27042,0.874212006594899,27511,0.872893993717676,28213,0.872818958049746,28287,0.868045539632369
    Services,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,3941,0.0455364777112749,980,0.0425716768027802,1008,0.0436080467229072,1017,0.0432177460479347,1016,0.0425478453871603,1056,0.0418217821782178,1080,0.0430725053840632,1058,0.0421346077260056,1097,0.0425622720571118,1178,0.0434526005164146,1184,0.0437110052792853,1196,0.0440402106270943,1222,0.0427511894766303,1394,0.0462554335202575,1537,0.0508721411313011,1554,0.0510160533140737,1591,0.0514337438981024,1586,0.0503220484183139,1646,0.0509219156045044,1617,0.0496210145149906
    Products,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,3.49846067730199e-05,2,6.63636061983608e-05,2,6.61966703074835e-05,2,6.56577262729392e-05,2,6.46558691365209e-05,1,3.17289082082686e-05,1,3.09367652518253e-05,0,
  Optum,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,4354,0.0503085064589929,1211,0.0526064291920069,1295,0.0560242266926238,1371,0.0582610912799592,1490,0.0623979228610913,1538,0.0609108910891089,1556,0.0620563133125947,1611,0.06415770609319,1725,0.0669279118491503,1721,0.0634821099225378,1719,0.0634621774282866,1764,0.0649556283831056,1968,0.0688497061293031,2060,0.0683545143843116,2071,0.0685466521033992,2207,0.0724533009421884,2298,0.0742895936378625,2419,0.0767522289558016,2464,0.0762281895804975,2683,0.0823334458526406
