Date,CASH_CASH_EQTY_STI_DETAILED,BS_CASH_NEAR_CASH_ITEM,BS_MKT_SEC_OTHER_ST_INVEST,BS_ACCT_NOTE_RCV,BS_ACCTS_REC_EXCL_NOTES_REC,NOTES_RECEIVABLE,BS_UNBILLED_REVENUES,BS_INVENTORIES,INVTRY_RAW_MATERIALS,INVTRY_IN_PROGRESS,INVTRY_FINISHED_GOODS,BS_OTHER_INV,OTHER_CURRENT_ASSETS_DETAILED,BS_PREPAY,BS_DERIV_HEDGING_ASST_ST,BS_TAXES_RECEIVABLE_SHORT_TERM,BS_OTHER_CUR_ASSET_LESS_PREPAY,BS_CUR_ASSET_REPORT,BS_NET_FIX_ASSET,BS_GROSS_FIX_ASSET,BS_ACCUM_DEPR,BS_LT_INVEST,BS_LONG_TERM_INVESTMENTS,BS_LT_RECEIVABLES,BS_OTHER_ASSETS_DEF_CHRG_OTHER,BS_DISCLOSED_INTANGIBLES,BS_GOODWILL,OTHER_INTANGIBLE_ASSETS_DETAILED,BS_PREPAID_EXPENSE_LT,BS_DEFERRED_TAX_ASSETS_LT,BS_DERIV_HEDGING_ASST_LT,BS_INVEST_IN_ASSOC_CO,OTHER_NONCURRENT_ASSETS_DETAILED,BS_TOT_NON_CUR_ASSET,BS_TOT_ASSET,CF_NET_INC,CF_CASH_FROM_OPER,FIXED_INTANG_ASST_CHANGE,DISPOSAL_OF_FIXED_INTANG,ACQUIS_OF_FIXED_INTANG,NET_CHG_IN_LT_INVEST_DETAILED,CF_DECR_INVEST,CF_INCR_INVEST,CF_NT_CSH_RCVD_PD_FOR_ACQUIS_DIV,CF_CASH_FOR_DIVESTITURES,CF_CASH_FOR_ACQUIS_SUBSIDIARIES,CF_CASH_FOR_JOINT_VENTURES_ASSOC,OTHER_INVESTING_ACT_DETAILED,CF_NET_CASH_DISCONTINUED_OPS_INV,CF_CASH_FROM_INV_ACT,CF_DVD_PAID,PROC_FR_REPAYMNTS_BOR_DETAILED,PROC_FR_REPURCH_EQTY_DETAILED,CF_INCR_CAP_STOCK,CF_DECR_CAP_STOCK,OTHER_FIN_AND_DEC_CAP,CF_NET_CASH_DISCONTINUED_OPS_FIN,CFF_ACTIVITIES_DETAILED,CF_EFFECT_FOREIGN_EXCHANGES,CF_NET_CHNG_CASH,CF_CASH_PAID_FOR_TAX,CF_NET_CASH_PAID_FOR_AQUIS,CF_FREE_CASH_FLOW,CF_FREE_CASH_FLOW_FIRM,FREE_CASH_FLOW_EQUITY,FREE_CASH_FLOW_PER_SH,PX_TO_FREE_CASH_FLOW,CASH_FLOW_TO_NET_INC,SALES_REV_TURN,IS_SALES_AND_SERVICES_REVENUES,IS_COGS_TO_FE_AND_PP_AND_G,IS_COG_AND_SERVICES_SOLD,GROSS_PROFIT,IS_OTHER_OPER_INC,IS_OPERATING_EXPN,IS_SGA_EXPENSE,IS_SELLING_EXPENSES,IS_GENERAL_AND_ADMINISTRATIVE,IS_OPERATING_EXPENSES_RD,IS_OTHER_OPERATING_EXPENSES,IS_OPER_INC,IS_NONOP_INCOME_LOSS,IS_NET_INTEREST_EXPENSE,IS_INT_EXPENSE,IS_INT_INC,IS_OTHER_INVESTMENT_INCOME_LOSS,INCOME_LOSS_FROM_AFFILIATES,IS_OTHER_NON_OPERATING_INC_LOSS,PRETAX_INC,IS_ABNORMAL_ITEM,IS_DERIVATIVES_HEDGING,IS_GAIN_LOSS_DISPOSAL_ASSETS,IS_IMPAIRMENT_ASSETS,IS_IMPAIR_OF_INTANG_ASSETS,IS_SALE_OF_BUSINESS,IS_LEGAL_LITIGATION_SETTLEMENT,IS_GAIN_LOSS_ON_INVESTMENTS,IS_OTHER_ONE_TIME_ITEMS,IS_INC_TAX_EXP,IS_INC_BEF_XO_ITEM,XO_GL_NET_OF_TAX,IS_DISCONTINUED_OPERATIONS,EXTRAORD_ITEMS_ACCOUNTING_CHANGS,NI_INCLUDING_MINORITY_INT_RATIO,MIN_NONCONTROL_INTEREST_CREDITS,NET_INCOME,IS_TOT_CASH_PFD_DVD,OTHER_ADJUSTMENTS,EARN_FOR_COMMON,IS_NET_ABNORMAL_ITEMS,IS_AVG_NUM_SH_FOR_EPS,IS_EPS,IS_EARN_BEF_XO_ITEMS_PER_SH,IS_BASIC_EPS_CONT_OPS,IS_SH_FOR_DILUTED_EPS,IS_DILUTED_EPS,IS_DIL_EPS_BEF_XO,IS_DIL_EPS_CONT_OPS,ACCOUNTING_STANDARD,EBITDA,EBITDA_MARGIN,EBIT,GROSS_MARGIN,OPER_MARGIN,PROF_MARGIN,ACTUAL_SALES_PER_EMPL,RETURN_COM_EQY,RETURN_ON_ASSET,RETURN_ON_CAP,RETURN_ON_INV_CAPITAL,INCREMENTAL_OPERATING_MARGIN,PRETAX_INC_TO_NET_SALES,INC_BEF_XO_ITEMS_TO_NET_SALES,NET_INCOME_TO_COMMON_MARGIN,EFF_TAX_RATE,ESG_SCORE,ENVIRONMENTAL_SCORE,SOCIAL_SCORE,GOVERNANCE_SCORE,ESG_DISCLOSURE_SCORE,ENVIRON_DISCLOSURE_SCORE,SOCIAL_DISCLOSURE_SCORE,GOVNCE_DISCLOSURE_SCORE,NOX_EMISSIONS,VOC_EMISSIONS,PARTICULATE_EMISSIONS,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,EMISSION_REDUCTION,TRANSITION_PLAN_INDICATOR,CLIMATE_CHG_POLICY,CLIMATE_CHG_OPPORTUNITIES,CLIMATE_RISKS,GHG_SCOPE_1,GHG_SCOPE_2_LOCATION_BASED,ENERGY_EFFIC_POLICY,ENERGY_CONSUMPTION,ELECTRICITY_USED,NAT_GAS_USED,OIL_DIESEL_USED,WASTE_REDUCTION,HAZARDOUS_WASTE,TOTAL_WASTE,ENVIRON_SUPPLY_MGT,WATER_POLICY,TOTAL_WATER_WITHDRAWAL,TOTAL_WATER_DISCHARGED,BIODIVERSITY_POLICY,ADOPT_TNFD_RECOMMENDATIONS,ZERO_DEFORESTATION_POLICY,BOARD_LEVEL_OVERSIGHT_BIODIV,EXEC_LEVEL_OVERSIGHT_BIODIV,HUMAN_RIGHTS_POLICY,POLICY_AGAINST_CHILD_LABOR,QUALITY_ASSURANCE_AND_RECALL_POL,CONSUMER_DATA_PROTECTION_POLICY,COMMUNITY_SPENDING,CUSTOMER_COMPLAINTS,EQUAL_OPPORTUNITY_POLICY,GENDER_PAY_GAP_BREAKOUT,PCT_WOMEN_SENIOR_MGT,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,PCT_WOMEN_EMPLOYEES,PCT_MINORITY_EMPLOYEES,PCT_DISABLED_IN_WORKFORCE,ETHICS_POLICY,ANTI_BRIBERY_ETHICS_POLICY,HEALTH_SAFETY_POLICY,FATALITIES_EMPLOYEES,LOST_TIME_INCIDENT_RATE,TRAINING_POLICY,FAIR_REMUNERATION_POLICY,NUMBER_EMPLOYEES_CSR,EMPLOYEE_TURNOVER_PCT,EMPLOYEE_TRAINING_COST,TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,COMP_DISCLOSES_EMP_ENG_SCORE,SOCIAL_SUPPLY_CHAIN_MGMT,YEARS_AUDITOR_EMPLOYED,SIZE_OF_AUDIT_COMMITTEE,NUM_IND_DIR_ON_AUD_CMTE,AUDIT_COMMITTEE_MEETINGS,AUDIT_COMMITTEE_MTG_ATTEND_PCT,COMPANY_CONDUCTS_BRD_EVALUATIONS,BOARD_SIZE,NUM_EXECUTIVES_COMP_MANAGERS,NUM_OF_NONEXEC_DIR_ON_BRD,BOARD_MEETINGS_PER_YR,BOARD_MEETING_ATTENDANCE_PCT,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,DIRECTOR_SH_OWNERSHIP_GUIDELINES,SIZE_OF_COMPENSATION_COMMITTEE,NUM_IND_DIR_ON_CMPNSTN_CMTE,NUM_COMPENSATION_CMTE_MTG,COMPENSATION_CMTE_MTG_ATTEND_PCT,NUMBER_OF_FEMALE_EXECUTIVES,NUMBER_OF_WOMEN_ON_BOARD,AGE_OF_YOUNGEST_DIRECTOR,AGE_OF_OLDEST_DIRECTOR,INDEPENDENT_DIRECTORS,SIZE_OF_NOMINATION_COMMITTEE,NUM_IND_DIR_ON_NOM_CMTE,NUM_OF_NOMINATION_CMTE_MTG,NOMINATION_CMTE_MTG_ATTEND_PCT,VERIFICATION_TYPE,EMPLOYEE_CSR_TRAINING,BOARD_DURATION
1990-12-31 00:00:00,110,110,,2965,,,,2105,,,,,721,,,,,5901,3986,7585,3599,1287,,,777,,,,,,,,777,6050,11951,210,820,-899,27,-926,0,0,0,,,,,-557,,-1456,-122,775,-30,2,-32,-25,,598,,-38,,,-106,82.125,696,-0.1309,,3.9048,11436,,9366,,2070,,1676,,,,,,394,,,258,,,,,288,,,,,,,,,,78,210,0,,,210,0,210,0,,210,,809.92,0.2587,0.2587,,809.92,0.2587,0.2587,0.2587,US GAAP,927,8.106,394,18.1007,3.4453,1.8363,195661.1005,4.6594,1.8359,4.4912,3.1482,,2.5184,1.8363,1.8363,27.0833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-12-31 00:00:00,104,104,,2009,,,,1921,,,,,1536,,,,,5570,4049,7790,3741,1605,,,818,,,,,,,,818,6472,12042,-404,641,-598,55,-653,-270,999,-1269,,,,,-208,,-1076,-121,532,0,0,0,18,,429,,-6,,,-12,,575,-0.0149,,,10182,,8626,,1556,,1649,,,,,,-93,,,294,,,,,-556,,,,,,,,,,-152,-404,0,,,-404,0,-404,0,,-404,,807.28,-0.5,-0.5,,807.28,-0.5,-0.5,-0.5,US GAAP,509,4.999,-93,15.2819,-0.9134,-3.9678,189835.1853,-9.4129,-3.3676,,,-38.8357,-5.4606,-3.9678,-3.9678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-12-31 00:00:00,119,119,,2190,,,,1675,,,,,1553,,,,,5537,3954,7842,3888,1907,,,2537,,,,,,,,2537,8398,13935,-2435,503,-458,57,-515,-403,1198,-1601,,,,,-62,,-923,-60,489,1,1,0,5,,435,,15,,,-12,,534,-0.0149,,,10194,,8617,,1577,,1666,,,,,,-89,,,324,,,,,-332,,,,,,,,,,-114,-218,2217,,,-2435,0,-2435,0,,-2435,,807.472,-3.015,-0.27,,808.4,-3.0125,-0.27,-0.27,US GAAP,565,5.5425,-89,15.4699,-0.8731,-23.8866,200870.9531,-86.6702,-18.7474,,,33.3333,-3.2568,-2.1385,-23.8866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-12-31 00:00:00,83,83,,2637,,,,1525,,,,,1826,,,,,6071,3827,7965,4138,2284,,,2625,,,,,,,,2625,8736,14807,652,1405,-327,90,-417,-815,1389,-2204,,,,,-76,,-1218,-61,-169,36,36,0,-29,,-223,,-36,,,988,1240.4315,909,1.2188,9.1278,2.1549,11615,,9247,,2368,,1742,,,,,,626,,,268,,,,,723,,,,,,,,,,42,681,29,,,652,0,652,0,,652,,810.632,0.8037,0.84,0.84,819.6,0.795,0.8313,0.8313,US GAAP,1294,11.1408,626,20.3874,5.3896,5.6134,226634.1463,34.5522,4.5369,12.1612,9.5735,50.3167,6.2247,5.8631,5.6134,5.8091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-12-30 00:00:00,419,419,,2971,,,,1835,,,,,2184,,,,,7409,3776,8230,4454,2794,,,2271,,,,,,,,2271,8841,16250,955,1757,-413,88,-501,-843,2091,-2934,,,,,-256,,-1512,-91,411,-228,12,-240,-1,,91,,336,,,1256,1401.9129,1755,1.5468,8.9095,1.8398,14328,,11044,,3284,,1850,,,,,,1434,,,200,,,,,1309,,,,,,,,,,354,955,0,,,955,0,955,0,,955,,812,1.175,1.175,,820.4,1.1625,1.1625,1.1625,US GAAP,2117,14.7753,1434,22.9202,10.0084,6.6653,265402.1413,37.3777,6.15,13.3923,14.6547,29.7825,9.136,6.6653,6.6653,27.0435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-12-29 00:00:00,638,638,,2531,,,,1921,,,,,2557,,,,,7647,3644,8303,4659,3192,,,2347,,,,,,,,2347,9183,16830,1136,2190,-345,119,-464,-820,4049,-4869,,,,,-584,,-1749,-239,447,-416,11,-427,-14,,-222,,219,,,1726,1858.5449,2292,2.1749,6.7532,1.9278,16072,,12293,,3779,,2098,,,,,,1681,,,191,,,,,1637,,,,,,,,,,501,1136,0,,,1136,0,1136,0,,1136,,793.6,1.43,1.43,1.43,800.4,1.4175,1.4175,1.4175,US GAAP,2363,14.7026,1681,23.5129,10.4592,7.0682,295702.0901,36.0692,6.8682,13.6388,13.7296,14.1628,10.1854,7.0682,7.0682,30.6048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-12-31 00:00:00,487,487,,5222,,,,2222,,1099,1123,,852,,,,,8783,3767,8817,5050,3508,,,2670,,,,,,,,2670,9945,18728,1361,1782,-371,135,-506,-970,4832,-5802,,,,,-1043,,-2384,-289,1015,-293,10,-303,18,,451,,-151,,,1276,1409.7558,2426,1.6573,11.3512,1.3093,16522,,12148,,4374,,2403,,,,,,1971,,,194,,,,,1974,,,,,,,,,,613,1361,0,,,1361,0,1361,0,,1361,,769.92,1.77,1.77,1.77,777.372,1.75,1.75,1.75,US GAAP,2667,16.1421,1971,26.4738,11.9295,8.2375,289727.4927,36.274,7.6551,13.9939,13.9014,64.4444,11.9477,8.2375,8.2375,31.0537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-12-31 00:00:00,292,292,,5991,3331,,,2603,1033,,1364,206,928,,,,,9814,4058,9403,5345,4015,,,2869,228,,,,,,751,1890,10942,20756,1665,2096,-968,138,-1106,-1206,5438,-6644,,,,,-367,,-2541,-338,1305,-695,11,-706,-22,,250,,-195,709,59,990,1138.1654,,1.32,18.3712,1.2589,18925,,13735,,5190,0,2760,2232,,,,,2430,,,219,,,-48,,2461,,,,,,,,,,796,1665,,,,1665,,1665,,0,1665,,750,2.22,2.22,2.22,762.0137,2.185,2.185,2.185,US GAAP,3168,16.7398,2430,27.424,12.8402,8.7979,316138.5163,37.8624,8.4338,14.6093,14.3146,19.1011,13.004,8.7979,8.7979,32.3446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-12-31 00:00:00,360,360,,7176,3660,,,2842,1041,,1605,196,1081,,,,,11459,4866,10395,5529,5143,,,3660,1241,,,,,,773,1646,13669,25128,1513,1778,-1128,141,-1269,-2197,6340,-8537,,,,,-1255,,-4580,-400,3825,-561,6,-567,6,,2870,,68,714,1428,509,692.3939,,0.7007,32.8226,1.1751,20977,,15520,,5457,0,3204,2561,,,,,2253,,,264,,,-4,,2178,0,,,,,,,,,665,1513,,,,1513,,1513,,0,1513,,726.378,2.085,2.085,2.085,736.2607,2.055,2.055,2.055,US GAAP,3118,14.8639,2253,26.0142,10.7403,7.2127,318683.1551,30.8461,6.5949,11.0048,10.7416,,10.3828,7.2127,7.2127,30.5326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-12-31 00:00:00,548,548,,7439,3233,,,2594,969,,1430,195,1229,,,,,11810,5201,10929,5728,5683,,,4017,1543,,,,,,553,1921,14901,26711,946,2590,-1065,215,-1280,-1526,7000,-8526,,,,,-449,,-3040,-445,1355,-249,11,-260,-23,,638,,188,306,302,1310,1491.6374,,1.843,12.7677,2.7378,19702,,15041,,4661,0,3167,2541,,,,,1494,,269,269,,,20,,1401,0,,,,,,,,,455,946,0,,,946,0,946,0,0,946,,710.7848,1.33,1.33,1.33,718.7346,1.315,1.315,1.315,US GAAP,2439,12.3795,1494,23.6575,7.583,4.8015,294516.862,17.8558,3.6498,6.1201,4.3683,-59.5294,7.111,4.8015,4.8015,32.4768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
