Date,CASH_CASH_EQTY_STI_DETAILED,BS_CASH_NEAR_CASH_ITEM,BS_MKT_SEC_OTHER_ST_INVEST,BS_ACCT_NOTE_RCV,BS_ACCTS_REC_EXCL_NOTES_REC,NOTES_RECEIVABLE,BS_UNBILLED_REVENUES,BS_INVENTORIES,INVTRY_RAW_MATERIALS,INVTRY_IN_PROGRESS,INVTRY_FINISHED_GOODS,BS_OTHER_INV,OTHER_CURRENT_ASSETS_DETAILED,BS_PREPAY,BS_DERIV_HEDGING_ASST_ST,BS_TAXES_RECEIVABLE_SHORT_TERM,BS_OTHER_CUR_ASSET_LESS_PREPAY,BS_CUR_ASSET_REPORT,BS_NET_FIX_ASSET,BS_GROSS_FIX_ASSET,BS_ACCUM_DEPR,BS_LT_INVEST,BS_LONG_TERM_INVESTMENTS,BS_LT_RECEIVABLES,BS_OTHER_ASSETS_DEF_CHRG_OTHER,BS_DISCLOSED_INTANGIBLES,BS_GOODWILL,OTHER_INTANGIBLE_ASSETS_DETAILED,BS_PREPAID_EXPENSE_LT,BS_DEFERRED_TAX_ASSETS_LT,BS_DERIV_HEDGING_ASST_LT,BS_INVEST_IN_ASSOC_CO,OTHER_NONCURRENT_ASSETS_DETAILED,BS_TOT_NON_CUR_ASSET,BS_TOT_ASSET,CF_NET_INC,CF_CASH_FROM_OPER,FIXED_INTANG_ASST_CHANGE,DISPOSAL_OF_FIXED_INTANG,ACQUIS_OF_FIXED_INTANG,NET_CHG_IN_LT_INVEST_DETAILED,CF_DECR_INVEST,CF_INCR_INVEST,CF_NT_CSH_RCVD_PD_FOR_ACQUIS_DIV,CF_CASH_FOR_DIVESTITURES,CF_CASH_FOR_ACQUIS_SUBSIDIARIES,CF_CASH_FOR_JOINT_VENTURES_ASSOC,OTHER_INVESTING_ACT_DETAILED,CF_NET_CASH_DISCONTINUED_OPS_INV,CF_CASH_FROM_INV_ACT,CF_DVD_PAID,PROC_FR_REPAYMNTS_BOR_DETAILED,PROC_FR_REPURCH_EQTY_DETAILED,CF_INCR_CAP_STOCK,CF_DECR_CAP_STOCK,OTHER_FIN_AND_DEC_CAP,CF_NET_CASH_DISCONTINUED_OPS_FIN,CFF_ACTIVITIES_DETAILED,CF_EFFECT_FOREIGN_EXCHANGES,CF_NET_CHNG_CASH,CF_CASH_PAID_FOR_TAX,CF_NET_CASH_PAID_FOR_AQUIS,CF_FREE_CASH_FLOW,CF_FREE_CASH_FLOW_FIRM,FREE_CASH_FLOW_EQUITY,FREE_CASH_FLOW_PER_SH,PX_TO_FREE_CASH_FLOW,CASH_FLOW_TO_NET_INC,SALES_REV_TURN,IS_SALES_AND_SERVICES_REVENUES,IS_COGS_TO_FE_AND_PP_AND_G,IS_COG_AND_SERVICES_SOLD,GROSS_PROFIT,IS_OTHER_OPER_INC,IS_OPERATING_EXPN,IS_SGA_EXPENSE,IS_SELLING_EXPENSES,IS_GENERAL_AND_ADMINISTRATIVE,IS_OPERATING_EXPENSES_RD,IS_OTHER_OPERATING_EXPENSES,IS_OPER_INC,IS_NONOP_INCOME_LOSS,IS_NET_INTEREST_EXPENSE,IS_INT_EXPENSE,IS_INT_INC,IS_OTHER_INVESTMENT_INCOME_LOSS,INCOME_LOSS_FROM_AFFILIATES,IS_OTHER_NON_OPERATING_INC_LOSS,PRETAX_INC,IS_ABNORMAL_ITEM,IS_DERIVATIVES_HEDGING,IS_GAIN_LOSS_DISPOSAL_ASSETS,IS_IMPAIRMENT_ASSETS,IS_IMPAIR_OF_INTANG_ASSETS,IS_SALE_OF_BUSINESS,IS_LEGAL_LITIGATION_SETTLEMENT,IS_GAIN_LOSS_ON_INVESTMENTS,IS_OTHER_ONE_TIME_ITEMS,IS_INC_TAX_EXP,IS_INC_BEF_XO_ITEM,XO_GL_NET_OF_TAX,IS_DISCONTINUED_OPERATIONS,EXTRAORD_ITEMS_ACCOUNTING_CHANGS,NI_INCLUDING_MINORITY_INT_RATIO,MIN_NONCONTROL_INTEREST_CREDITS,NET_INCOME,IS_TOT_CASH_PFD_DVD,OTHER_ADJUSTMENTS,EARN_FOR_COMMON,IS_NET_ABNORMAL_ITEMS,IS_AVG_NUM_SH_FOR_EPS,IS_EPS,IS_EARN_BEF_XO_ITEMS_PER_SH,IS_BASIC_EPS_CONT_OPS,IS_SH_FOR_DILUTED_EPS,IS_DILUTED_EPS,IS_DIL_EPS_BEF_XO,IS_DIL_EPS_CONT_OPS,ACCOUNTING_STANDARD,EBITDA,EBITDA_MARGIN,EBIT,GROSS_MARGIN,OPER_MARGIN,PROF_MARGIN,ACTUAL_SALES_PER_EMPL,RETURN_COM_EQY,RETURN_ON_ASSET,RETURN_ON_CAP,RETURN_ON_INV_CAPITAL,INCREMENTAL_OPERATING_MARGIN,PRETAX_INC_TO_NET_SALES,INC_BEF_XO_ITEMS_TO_NET_SALES,NET_INCOME_TO_COMMON_MARGIN,EFF_TAX_RATE
1990-03-30 00:00:00,91,91,,3028,,,,2072,,,,,636,,,,,5827,3548,,,1085,,,676,,,,,,,,676,5309,11136,99,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9091,2937,,2395,,542,,394,,,,,,148,,,62,,,,,146,,,,,,,,,,47,99,0,,,99,0,99,0,,99,,811.2,0.1213,0.1213,,811.2,0.1213,0.1213,0.1213,US GAAP,284,,148,18.4542,5.0392,3.3708,,,,,,,4.9711,3.3708,3.3708,32.1918
1990-06-29 00:00:00,82,82,,3129,,,,2022,,,,,648,,,,,5881,3670,,,1138,,,660,,,,,,,,660,5468,11349,46,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7609,2947,,2441,,506,,406,,,,,,100,,,74,,,,,55,,,,,,,,,,9,46,0,,,46,0,46,0,,46,,811.2,0.0575,0.0575,,811.2,0.0575,0.0575,0.0575,US GAAP,231,,100,17.17,3.3933,1.5609,,,,,,,1.8663,1.5609,1.5609,16.3636
1990-09-28 00:00:00,109,109,,3113,,,,1976,,,,,646,,,,,5844,3762,,,1181,,,688,,,,,,,,688,5631,11475,54,388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1852,2795,,2279,,516,,411,,,,,,105,,,62,,,,,74,,,,,,,,,,20,54,0,,,54,0,54,0,,54,,809.6,0.0675,0.0675,,809.6,0.0675,0.0675,0.0675,US GAAP,243,,105,18.4615,3.7567,1.932,,,,,,,2.6476,1.932,1.932,27.027
1990-12-31 00:00:00,110,110,,2965,,,,2105,,,,,721,,,,,5901,3986,7585,3599,1287,,,777,,,,,,,,777,6050,11951,11,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.3636,2757,,2251,,506,,465,,,,,,41,,,60,,,,,-17,,,,,,,,,,2,11,0,,,-19,0,11,0,,11,,807.244,0.0137,0.0137,,807.244,0.0137,0.0137,0.0137,US GAAP,169,8.106,41,18.3533,1.4871,0.399,47170.1341,,,,,,-0.6166,-0.6892,0.399,
1991-03-28 00:00:00,85,85,,3004,,,,2133,,,,,719,,,,,5941,3959,,,1377,,,793,,,,,,,,793,6129,12070,-32,-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2675,,2253,,422,,385,,,,,,37,,,73,,,,,-47,,,,,,,,,,-15,-32,0,,,-32,0,-32,0,,-32,,807.2,-0.04,-0.04,,807.2,-0.04,-0.04,-0.04,US GAAP,189,7.4459,37,15.7757,1.3832,-1.1963,,1.7405,0.6809,3.0974,2.3418,-42.3664,-1.757,-1.1963,-1.1963,
1991-06-28 00:00:00,100,100,,3029,,,,2133,,,,,744,,,,,6006,4007,,,1426,,,803,,,,,,,,803,6236,12242,-17,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2691,,2278,,413,,387,,,,,,26,,,72,,,,,-28,,,,,,,,,,-11,-17,0,,,-17,0,-17,0,,-17,,807.2,-0.02,-0.02,,807.2,-0.02,-0.02,-0.02,US GAAP,174,7.0984,26,15.3475,0.9662,-0.6317,,0.3576,0.1356,,,-28.9063,-1.0405,-0.6317,-0.6317,
1991-09-30 00:00:00,100,100,,2951,,,,2106,,,,,763,,,,,5920,3995,,,1531,,,832,,,,,,,,832,6358,12278,-37,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2358,,1973,,385,,404,,,,,,-19,,,75,,,,,-58,,,,,,,,,,-21,-37,0,,,-37,0,-37,0,,-37,,807.2,-0.0463,-0.0463,,807.2,-0.0463,-0.0463,-0.0463,US GAAP,131,6.3257,-19,16.3274,-0.8058,-1.5691,,-1.6749,-0.6315,,,-28.3753,-2.4597,-1.5691,-1.5691,
1991-12-31 00:00:00,104,104,,2009,,,,1921,,,,,1536,,,,,5570,4049,7790,3741,1605,,,818,,,,,,,,818,6472,12042,-318,373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2458,,2122,,336,,473,,,,,,-137,,,74,,,,,-432,,,,,,,,,,-105,-318,0,,,-327,0,-318,0,,-318,,807.292,-0.395,-0.395,,807.292,-0.395,-0.395,-0.395,US GAAP,15,4.999,-137,13.6697,-5.5736,-12.9373,45827.4293,-9.4129,-3.3676,,,-59.5318,-17.5753,-13.3035,-12.9373,
1992-03-31 00:00:00,97,97,,2549,,,,1843,,,,,899,,,,,5388,4019,,,1674,,,837,,,,,,,,837,6530,11918,-2374,276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2183,,1960,,223,,404,,,,,,-181,,,79,,,,,-253,,,,,,,,,,-96,-157,2217,,,-2374,0,-2374,0,,-2374,,807.2,-2.9413,-0.195,,807.2,-2.9413,-0.195,-0.195,US GAAP,-15,3.1476,-181,10.2153,-8.2913,-108.7494,,-65.0557,-22.8948,,,-44.3089,-11.5896,-7.1919,-108.7494,
1992-06-30 00:00:00,75,75,,2823,,,,1755,,,,,912,,,,,5565,3964,,,1732,,,821,,,,,,,,821,6517,12082,-64,-41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2600,,2217,,383,,425,,,,,,-42,,,85,,,,,-90,,,,,,,,,,-26,-64,0,,,-64,0,-64,0,,-64,,807.2,-0.0787,-0.0787,,807.2,-0.0787,-0.0787,-0.0787,US GAAP,124,2.6565,-42,14.7308,-1.6154,-2.4615,,-67.6599,-22.965,,,-74.7253,-3.4615,-2.4615,-2.4615,
