Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47
Caterpillar Inc (CAT US) - By Measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Millions of USD except Per Share,,FY 2001,,FY 2002,,FY 2003,,FY 2004,,FY 2005,,FY 2006,,FY 2007,,FY 2008,,FY 2009,,FY 2010,,FY 2011,,FY 2012,,FY 2013,,FY 2014,,FY 2015,,FY 2016,,FY 2017,,FY 2018,,FY 2019,,FY 2020,,FY 2021,,FY 2022,,FY 2023,
12 Months Ending,,12/31/2001,,12/31/2002,,12/31/2003,,12/31/2004,,12/31/2005,,12/31/2006,,12/31/2007,,12/31/2008,,12/31/2009,,12/31/2010,,12/31/2011,,12/31/2012,,12/31/2013,,12/31/2014,,12/31/2015,,12/31/2016,,12/31/2017,,12/31/2018,,12/31/2019,,12/31/2020,,12/31/2021,,12/31/2022,,12/31/2023,
Revenue,,20450,1.0,20152,1.0,22763,1.0,30306,1.0,36339,1.0,41517,1.0,44958,1.0,51324,1.0,32396,1.0,42588,1.0,60138,1.0,65875,1.0,55656,1.0,55184,1.0,47011,1.0,38537,1.0,45462,1.0,54722,1.0,53800,1.0,41748,1.0,50971,1.0,59427,1.0,67060,1.0
"  Machinery, Energy & Transportation",,—,,—,,—,,—,,—,,—,,—,,—,,29540,0.911840968020743,39867,0.93610876303184,57392,0.954338355116565,63068,0.9573889943074,52694,0.946780221359781,52142,0.944875326181502,44147,0.939078088107039,35773,0.928276721073254,42676,0.938718050239761,51822,0.947004860933445,50755,0.943401486988848,39022,0.934703458848328,48188,0.945400325675384,56574,0.951991519006512,63869,0.952415747092156
    Construction Industries,,—,,—,,—,,—,,—,,—,,—,,—,,8507,0.262594147425608,13572,0.318681318681319,19667,0.327031161661512,19334,0.293495256166983,18532,0.332973983038666,20590,0.373115395766889,17797,0.378570972751058,15612,0.405117160131821,19133,0.420856979455369,23116,0.422426080918095,22556,0.419256505576208,16876,0.404234933409984,21994,0.431500264856487,25127,0.422821276524139,27294,0.407008648971071
    Energy & Transportation,,—,,—,,—,,—,,—,,—,,—,,—,,13389,0.41329176441536,15537,0.364821076359538,20114,0.334464065981576,21122,0.320637571157495,20155,0.362135259450913,22306,0.404211365613221,18519,0.393929080427985,14411,0.373952305576459,15964,0.351150411332542,18832,0.344139468586674,18485,0.343587360594796,14664,0.351250359298649,16670,0.327048713974613,19337,0.325390815622528,23355,0.348270205785863
    Resource Industries,,—,,—,,—,,—,,—,,—,,—,,—,,5857,0.180793925175948,8667,0.203508030431107,15629,0.259885596461472,21158,0.321184060721063,11805,0.212106511427339,9134,0.165518991011887,7739,0.164621046138138,5726,0.148584477255624,7504,0.165060930007479,9888,0.180695150031066,9813,0.182397769516729,7446,0.178355849382006,9502,0.186419728865433,12013,0.202147172160802,13244,0.197494780793319
    All Other,,1238,0.059858814428005,1253,0.0614788283204946,1466,0.0636699239956569,6059,0.198252732151037,6980,0.190315192496455,7852,0.187086013819395,9932,0.218993230877781,—,,1791,0.055284603037412,2156,0.0506245890861275,2021,0.0336060394426153,1501,0.0227855787476281,2263,0.0406604858415984,236,0.00427660191359814,203,0.00431813830805556,139,0.00360692321664893,178,0.00391535788130747,154,0.0028142246262929,127,0.00236059479553903,113,0.00270671648941267,145,0.00284475486060701,145,0.0024399683645481,131,0.00195347450044736
    Corporate,,—,,—,,—,,—,,—,,—,,—,,—,,-4,,-65,,-39,,-47,,-61,,-124,,-111,,-115,,-103,,-168,,-226,,-77,,-123,,-48,,-155,
  Financial Products,,—,,—,,—,,—,,—,,—,,—,,—,,2856,0.0881590319792567,2721,0.06389123696816,2746,0.0456616448834348,2807,0.0426110056925996,2962,0.0532197786402185,3042,0.0551246738184981,2864,0.0609219118929612,2764,0.0717232789267457,2786,0.0612819497602393,2900,0.0529951390665546,3045,0.0565985130111524,2726,0.0652965411516719,2783,0.054599674324616,2853,0.0480084809934878,3191,0.0475842529078437
