GE US Equity,"""=BDH($A$1, $B7, ""19900101"","""",""sort=a"",""dir=h"",""per=cq"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140
,"""=BDH($A$1, $B8, ""19900101"","""",""sort=a"",""dates=h"",""dir=h"",""per=cq"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Assets,,1990-03-30 00:00:00,1990-06-29 00:00:00,1990-09-28 00:00:00,1990-12-31 00:00:00,1991-03-28 00:00:00,1991-06-28 00:00:00,1991-09-30 00:00:00,1991-12-31 00:00:00,1992-03-31 00:00:00,1992-06-30 00:00:00,1992-09-30 00:00:00,1992-12-31 00:00:00,1993-03-31 00:00:00,1993-06-30 00:00:00,1993-09-30 00:00:00,1993-12-31 00:00:00,1994-03-31 00:00:00,1994-06-30 00:00:00,1994-09-30 00:00:00,1994-12-30 00:00:00,1995-03-31 00:00:00,1995-06-30 00:00:00,1995-09-29 00:00:00,1995-12-29 00:00:00,1996-03-29 00:00:00,1996-06-28 00:00:00,1996-09-30 00:00:00,1996-12-31 00:00:00,1997-03-31 00:00:00,1997-06-30 00:00:00,1997-09-30 00:00:00,1997-12-31 00:00:00,1998-03-31 00:00:00,1998-06-30 00:00:00,1998-09-30 00:00:00,1998-12-31 00:00:00,1999-03-31 00:00:00,1999-06-30 00:00:00,1999-09-30 00:00:00,1999-12-31 00:00:00,2000-03-31 00:00:00,2000-06-30 00:00:00,2000-09-29 00:00:00,2000-12-29 00:00:00,2001-03-30 00:00:00,2001-06-29 00:00:00,2001-09-28 00:00:00,2001-12-31 00:00:00,2002-03-28 00:00:00,2002-06-28 00:00:00,2002-09-30 00:00:00,2002-12-31 00:00:00,2003-03-31 00:00:00,2003-06-30 00:00:00,2003-09-30 00:00:00,2003-12-31 00:00:00,2004-03-31 00:00:00,2004-06-30 00:00:00,2004-09-30 00:00:00,2004-12-31 00:00:00,2005-03-31 00:00:00,2005-06-30 00:00:00,2005-09-30 00:00:00,2005-12-30 00:00:00,2006-03-31 00:00:00,2006-06-30 00:00:00,2006-09-29 00:00:00,2006-12-29 00:00:00,2007-03-30 00:00:00,2007-06-29 00:00:00,2007-09-28 00:00:00,2007-12-31 00:00:00,2008-03-31 00:00:00,2008-06-30 00:00:00,2008-09-30 00:00:00,2008-12-31 00:00:00,2009-03-31 00:00:00,2009-06-30 00:00:00,2009-09-30 00:00:00,2009-12-31 00:00:00,2010-03-31 00:00:00,2010-06-30 00:00:00,2010-09-30 00:00:00,2010-12-31 00:00:00,2011-03-31 00:00:00,2011-06-30 00:00:00,2011-09-30 00:00:00,2011-12-30 00:00:00,2012-03-30 00:00:00,2012-06-29 00:00:00,2012-09-28 00:00:00,2012-12-31 00:00:00,2013-03-28 00:00:00,2013-06-28 00:00:00,2013-09-30 00:00:00,2013-12-31 00:00:00,2014-03-31 00:00:00,2014-06-30 00:00:00,2014-09-30 00:00:00,2014-12-31 00:00:00,2015-03-31 00:00:00,2015-06-30 00:00:00,2015-09-30 00:00:00,2015-12-31 00:00:00,2016-03-31 00:00:00,2016-06-30 00:00:00,2016-09-30 00:00:00,2016-12-30 00:00:00,2017-03-31 00:00:00,2017-06-30 00:00:00,2017-09-29 00:00:00,2017-12-29 00:00:00,2018-03-29 00:00:00,2018-06-29 00:00:00,2018-09-28 00:00:00,2018-12-31 00:00:00,2019-03-29 00:00:00,2019-06-28 00:00:00,2019-09-30 00:00:00,2019-12-31 00:00:00,2020-03-31 00:00:00,2020-06-30 00:00:00,2020-09-30 00:00:00,2020-12-31 00:00:00,2021-03-31 00:00:00,2021-06-30 00:00:00,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-30 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-29 00:00:00,2023-12-29 00:00:00,2024-03-28 00:00:00,2024-06-28 00:00:00,2024-09-30 00:00:00
"  + Cash, Cash Equivalents & STI",CASH_CASH_EQTY_STI_DETAILED,30273,32812,35977,44725,46177,43063,48295,47194,58705,64867,74962,65327,88221,90590,97110,29867,120699,108533,95893,33556,35123,36617,39979,43890,43923,49958,52950,64080,63403,67952,70994,76482,77371,77956,80581,83034,83089,81656,84219,90312,100643,96504,98022,99534,100032,102351,106435,109450,111256,117368,126498,125772,130610,115965,127391,133388,138276,133079,135366,69075,,,,50973,,,,61905,,,65057,61007,60913,64850,59760,89633,88761,97530,114135,121831,111177,115950,124082,122881,127062,136393,137826,131875,131479,122226,134180,125778,138110,132459,130397,132536,132712,133324,137455,105530,129047,131104,136019,102456,108049,91843,98899,92442,83513,84017,78550,82663,69285,64285,61693,64632,73180,71351,76035,45699,89585,88548,86043,43849,38524,28594,30255,28067,23621,19935,18893,24871,24815,23651,20181,22673,22184,15445,15956
    + Cash & Cash Equivalents,BS_CASH_NEAR_CASH_ITEM,1462,1991,1453,1975,1791,1619,1638,1971,1796,1938,2114,3129,2824,2988,2939,3056,2524,3371,3343,2591,2757,3115,3159,2823,3170,3271,4672,4191,3621,3806,4289,5861,5419,3862,5767,4317,4596,5099,6112,8554,18062,12085,8781,8195,8177,8000,8834,8433,9442,10211,11126,8910,9499,6535,8321,12664,13371,10265,10075,12152,,,,8825,,,,14099,,,19848,15731,15291,18989,16301,48187,46830,52316,61374,70488,69628,73848,78392,78943,82173,91053,91368,84501,83650,74295,85461,77268,89781,88711,86500,88555,86979,86570,90439,70025,87055,91666,99086,70483,75075,52123,52530,48129,41564,44049,39854,43967,32129,27674,26932,31124,34905,31968,27810,35811,47286,41431,39162,36530,31783,22460,24955,15770,12842,13190,12596,17262,12001,12766,13127,16967,18447,12107,13724
    + ST Investments,BS_MKT_SEC_OTHER_ST_INVEST,28811,30821,34524,42750,44386,41444,46657,45223,56909,62929,72848,62198,85397,87602,94171,26811,118175,105162,92550,30965,32366,33502,36820,41067,40753,46687,48278,59889,59782,64146,66705,70621,71952,74094,74814,78717,78493,76557,78107,81758,82581,84419,89241,91339,91855,94351,97601,101017,101814,107157,115372,116862,121111,109430,119070,120724,124905,122814,125291,56923,,,,42148,,,,47806,,,45209,45276,45622,45861,43459,41446,41931,45214,52761,51343,41549,42102,45690,43938,44889,45340,46458,47374,47829,47931,48719,48510,48329,43748,43897,43981,45733,46754,47016,35505,41992,39438,36933,31973,32974,39720,46369,44313,41949,39968,38696,38696,37156,36611,34761,33508,38275,39383,48225,9888,42299,47117,46881,7319,6741,6134,5300,12297,10779,6745,6297,7609,12814,10885,7054,5706,3737,3338,2232
  + Accounts & Notes Receiv,BS_ACCT_NOTE_RCV,6673,6872,7126,7806,7286,7274,7804,8231,7481,7922,7629,7150,6659,7282,7174,8195,7587,7993,7829,7527,7204,8092,8248,8735,8260,8312,8597,8704,8119,8509,8315,8924,8039,8400,8232,8224,8354,8048,7293,8531,7786,8910,9494,9502,10035,10038,9977,9590,9521,10207,10803,10681,10318,10194,9962,10732,9952,13257,12468,14233,,,,14851,,,,19617,,,374389,22259,21729,22330,22439,21411,19198,19194,19613,16458,17729,17589,17738,18621,17867,18634,18689,20478,19040,19295,19347,19902,21001,20181,20582,21388,20975,21432,21957,23237,20547,21760,22332,39074,25918,25128,25187,36318,33918,33596,37254,34545,32694,29181,28332,22344,26629,23588,19339,17645,19923,19136,20323,16691,15687,15506,15145,15620,16050,16283,17197,17976,14212,14767,14546,15466,15100,8370,
"    + Accounts Receivable, Net",BS_ACCTS_REC_EXCL_NOTES_REC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8354,8048,8133,8531,8786,8910,9494,19004,10035,10038,9977,9590,9521,10207,10803,10681,10318,10194,9962,10732,9952,13257,12468,14233,,,,14851,,,,19617,,,12705,22259,21729,22330,22439,21411,19198,19194,19613,16458,17729,17589,17738,18621,17867,18634,18689,20478,19040,19295,19347,19902,21001,20181,20582,21388,20975,21432,21957,23237,20547,21760,22332,27022,25918,25128,25187,24076,21675,21447,25026,24209,22560,20797,20414,14645,19518,20152,16018,16568,16925,16041,17302,16691,15381,15190,14874,15620,16050,16283,17197,17976,14212,14767,14546,15466,15100,8370,8936
