Date,CASH_CASH_EQTY_STI_DETAILED,BS_CASH_NEAR_CASH_ITEM,BS_MKT_SEC_OTHER_ST_INVEST,BS_ACCT_NOTE_RCV,BS_ACCTS_REC_EXCL_NOTES_REC,NOTES_RECEIVABLE,BS_UNBILLED_REVENUES,BS_INVENTORIES,INVTRY_RAW_MATERIALS,INVTRY_IN_PROGRESS,INVTRY_FINISHED_GOODS,BS_OTHER_INV,OTHER_CURRENT_ASSETS_DETAILED,BS_PREPAY,BS_DERIV_HEDGING_ASST_ST,BS_TAXES_RECEIVABLE_SHORT_TERM,BS_OTHER_CUR_ASSET_LESS_PREPAY,BS_CUR_ASSET_REPORT,BS_NET_FIX_ASSET,BS_GROSS_FIX_ASSET,BS_ACCUM_DEPR,BS_LT_INVEST,BS_LONG_TERM_INVESTMENTS,BS_LT_RECEIVABLES,BS_OTHER_ASSETS_DEF_CHRG_OTHER,BS_DISCLOSED_INTANGIBLES,BS_GOODWILL,OTHER_INTANGIBLE_ASSETS_DETAILED,BS_PREPAID_EXPENSE_LT,BS_DEFERRED_TAX_ASSETS_LT,BS_DERIV_HEDGING_ASST_LT,BS_INVEST_IN_ASSOC_CO,OTHER_NONCURRENT_ASSETS_DETAILED,BS_TOT_NON_CUR_ASSET,BS_TOT_ASSET,CF_NET_INC,CF_CASH_FROM_OPER,FIXED_INTANG_ASST_CHANGE,DISPOSAL_OF_FIXED_INTANG,ACQUIS_OF_FIXED_INTANG,NET_CHG_IN_LT_INVEST_DETAILED,CF_DECR_INVEST,CF_INCR_INVEST,CF_NT_CSH_RCVD_PD_FOR_ACQUIS_DIV,CF_CASH_FOR_DIVESTITURES,CF_CASH_FOR_ACQUIS_SUBSIDIARIES,CF_CASH_FOR_JOINT_VENTURES_ASSOC,OTHER_INVESTING_ACT_DETAILED,CF_NET_CASH_DISCONTINUED_OPS_INV,CF_CASH_FROM_INV_ACT,CF_DVD_PAID,PROC_FR_REPAYMNTS_BOR_DETAILED,PROC_FR_REPURCH_EQTY_DETAILED,CF_INCR_CAP_STOCK,CF_DECR_CAP_STOCK,OTHER_FIN_AND_DEC_CAP,CF_NET_CASH_DISCONTINUED_OPS_FIN,CFF_ACTIVITIES_DETAILED,CF_EFFECT_FOREIGN_EXCHANGES,CF_NET_CHNG_CASH,CF_CASH_PAID_FOR_TAX,CF_NET_CASH_PAID_FOR_AQUIS,CF_FREE_CASH_FLOW,CF_FREE_CASH_FLOW_FIRM,FREE_CASH_FLOW_EQUITY,FREE_CASH_FLOW_PER_SH,PX_TO_FREE_CASH_FLOW,CASH_FLOW_TO_NET_INC,SALES_REV_TURN,IS_SALES_AND_SERVICES_REVENUES,IS_COGS_TO_FE_AND_PP_AND_G,IS_COG_AND_SERVICES_SOLD,GROSS_PROFIT,IS_OTHER_OPER_INC,IS_OPERATING_EXPN,IS_SGA_EXPENSE,IS_SELLING_EXPENSES,IS_GENERAL_AND_ADMINISTRATIVE,IS_OPERATING_EXPENSES_RD,IS_OTHER_OPERATING_EXPENSES,IS_OPER_INC,IS_NONOP_INCOME_LOSS,IS_NET_INTEREST_EXPENSE,IS_INT_EXPENSE,IS_INT_INC,IS_OTHER_INVESTMENT_INCOME_LOSS,INCOME_LOSS_FROM_AFFILIATES,IS_OTHER_NON_OPERATING_INC_LOSS,PRETAX_INC,IS_ABNORMAL_ITEM,IS_DERIVATIVES_HEDGING,IS_GAIN_LOSS_DISPOSAL_ASSETS,IS_IMPAIRMENT_ASSETS,IS_IMPAIR_OF_INTANG_ASSETS,IS_SALE_OF_BUSINESS,IS_LEGAL_LITIGATION_SETTLEMENT,IS_GAIN_LOSS_ON_INVESTMENTS,IS_OTHER_ONE_TIME_ITEMS,IS_INC_TAX_EXP,IS_INC_BEF_XO_ITEM,XO_GL_NET_OF_TAX,IS_DISCONTINUED_OPERATIONS,EXTRAORD_ITEMS_ACCOUNTING_CHANGS,NI_INCLUDING_MINORITY_INT_RATIO,MIN_NONCONTROL_INTEREST_CREDITS,NET_INCOME,IS_TOT_CASH_PFD_DVD,OTHER_ADJUSTMENTS,EARN_FOR_COMMON,IS_NET_ABNORMAL_ITEMS,IS_AVG_NUM_SH_FOR_EPS,IS_EPS,IS_EARN_BEF_XO_ITEMS_PER_SH,IS_BASIC_EPS_CONT_OPS,IS_SH_FOR_DILUTED_EPS,IS_DILUTED_EPS,IS_DIL_EPS_BEF_XO,IS_DIL_EPS_CONT_OPS,ACCOUNTING_STANDARD,EBITDA,EBITDA_MARGIN,EBIT,GROSS_MARGIN,OPER_MARGIN,PROF_MARGIN,ACTUAL_SALES_PER_EMPL,RETURN_COM_EQY,RETURN_ON_ASSET,RETURN_ON_CAP,RETURN_ON_INV_CAPITAL,INCREMENTAL_OPERATING_MARGIN,PRETAX_INC_TO_NET_SALES,INC_BEF_XO_ITEMS_TO_NET_SALES,NET_INCOME_TO_COMMON_MARGIN,EFF_TAX_RATE
1990-03-30 00:00:00,30273,1462,28811,6673,,,,7420,,,,,0,,,,,44366,15558,28781,13223,42932,,,25243,,,,,,,,25243,83733,128099,950,1253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3189,12431,,8057,,4374,,2929,,,,,,1445,,,217,,,,,1396,,,,,,,,,,432,964,0,,,964,14,950,0,,950,,1348.914,0.7067,0.7067,0.7067,1348.914,0.7067,0.7067,0.7067,US GAAP,2065,,1445,35.1862,11.6242,7.6422,,,,,,,11.23,7.7548,7.6422,30.9456
1990-06-29 00:00:00,32812,1991,30821,6872,,,,7485,,,,,0,,,,,47169,16202,29946,13744,51896,,,20141,,,,,,,,20141,88239,135408,1088,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8401,14214,,9184,,5030,,3351,,,,,,1679,,,196,,,,,1621,,,,,,,,,,513,1108,0,,,1108,20,1088,0,,1088,,1336.791,0.8133,0.8133,0.8133,1336.791,0.8133,0.8133,0.8133,US GAAP,2250,,1679,35.3876,11.8123,7.6544,,,,,,,11.4042,7.7951,7.6544,31.6471
1990-09-28 00:00:00,35977,1453,34524,7126,,,,7445,,,,,0,,,,,50548,16581,30762,14181,56965,,,19987,,,,,,,,19987,93533,144081,1026,2997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9211,14050,,9221,,4829,,3273,,,,,,1556,,,228,,,,,1488,,,,,,,,,,446,1042,0,,,1042,16,1026,0,,1026,,1324.566,0.7733,0.7733,0.7733,1324.566,0.7733,0.7733,0.7733,US GAAP,2230,,1556,34.3701,11.0747,7.3025,,,,,,,10.5907,7.4164,7.3025,29.9731
1990-12-31 00:00:00,44725,1975,42750,7806,,,,6707,,,,,0,,,,,59238,16631,30572,13941,59325,,,18690,,,,,,,,18690,94646,153884,1239,2784,,,,,,,,,,,,,,,,,,,,,,,2784,,,,,,,,2.247,16967,,11396,,5571,,3856,,,,,,1715,,,277,,,,,1724,,,,,,,,,,453,1271,0,,,1271,32,1239,0,,1239,,1312.9425,0.9467,0.9467,0.9467,1312.9425,0.9467,0.9467,0.9467,US GAAP,2358,15.44,1715,32.8343,10.1079,7.3024,56936.2416,,,,,,10.1609,7.491,7.3024,26.2761
1991-03-28 00:00:00,46177,1791,44386,7286,,,,7425,,,,,0,,,,,60888,17577,32026,14449,56301,,,22683,,,,,,,,22683,96561,157449,-800,323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13139,,8391,,4748,,3216,,,,,,1532,,,211,,,,,1515,,,,,,,,,,489,1026,1799,,,-773,27,-800,0,,-800,,1307.7915,-0.6133,0.7667,0.7667,1307.7915,-0.6133,0.7667,0.7667,US GAAP,2217,15.5131,1532,36.1367,11.6599,-6.0887,,11.9977,1.7881,3.9365,5.4362,12.2881,11.5306,7.8088,-6.0887,32.2772
1991-06-28 00:00:00,43063,1619,41444,7274,,,,7557,,,,,0,,,,,57894,17905,32624,14719,57910,,,23944,,,,,,,,23944,99759,157653,1131,428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3784,14601,,9308,,5293,,3573,,,,,,1720,,,225,,,,,1668,,,,,,,,,,518,1150,0,,,1150,19,1131,0,,1131,,1305.6165,0.8667,0.8667,0.8667,1305.6165,0.8667,0.8667,0.8667,US GAAP,2388,15.6458,1720,36.2509,11.78,7.746,,11.993,1.7716,3.8424,5.2494,10.5943,11.4239,7.8762,7.746,31.0552
1991-09-30 00:00:00,48295,1638,46657,7804,,,,7461,,,,,0,,,,,63560,18503,33532,15029,63408,,,24002,,,,,,,,24002,105913,169473,1042,2215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1257,14290,,9374,,4916,,3464,,,,,,1452,,,215,,,,,1525,,,,,,,,,,483,1042,0,,,1042,,1042,0,,1042,,1302.609,0.8,0.8,0.8,1302.609,0.8,0.8,0.8,US GAAP,2157,15.4584,1452,34.4017,10.161,7.2918,,12.444,1.6661,3.6465,5.0115,,10.6718,7.2918,7.2918,31.6721
1991-12-31 00:00:00,47194,1971,45223,8231,,,,6398,,,,,0,,,,,61823,18976,34004,15028,65170,,,22290,,,,,,,,22290,106436,168259,1263,4531,,,,,,,,,,,,,,,,,,,,,,,4531,,,,,,,,3.5875,17349,,12035,,5314,,3499,,,,,,1815,,,217,,,,,1800,,,,,,,,,,511,1289,0,,,1289,26,1263,0,,1263,,1298.0355,0.9733,0.9733,0.9733,1298.0355,0.9733,0.9733,0.9733,US GAAP,2411,15.4482,1815,30.63,10.4617,7.28,61088.0282,12.1578,1.6365,3.5227,4.7179,26.178,10.3752,7.4298,7.28,28.3889
1992-03-31 00:00:00,58705,1796,56909,7481,,,,6735,,,,,0,,,,,72921,18484,33825,15341,66826,,,25677,,,,,,,,25677,110987,183908,1058,1009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9537,12278,,7385,,4893,,3453,,,,,,1440,,,167,,,,,1420,,,,,,,,,,444,976,-94,,,1070,12,1058,0,,1058,,1291.6605,0.82,0.7467,0.7467,1291.6605,0.82,0.7467,0.7467,US GAAP,2110,15.4927,1440,39.8518,11.7283,8.617,,20.6787,2.633,5.4166,4.776,-10.6852,11.5654,7.9492,8.617,31.2676
1992-06-30 00:00:00,64867,1938,62929,7922,,,,6610,,,,,0,,,,,79399,18626,34338,15712,57024,,,34476,,,,,,,,34476,110126,189525,1216,1775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4597,13984,,8536,,5448,,3738,,,,,,1710,,,197,,,,,1704,,,,,,,,,,555,1149,-86,,,1235,19,1216,0,,1216,,1284.3,0.9467,0.88,0.88,1284.3,0.9467,0.88,0.88,US GAAP,2322,15.5438,1710,38.9588,12.2283,8.6957,,20.5969,2.6378,5.3027,4.5848,-1.6207,12.1854,8.2165,8.6957,32.5704
