Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41
General Electric Co (GE US) - By Measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Millions of USD except Per Share,,FY 2004,,FY 2005,,FY 2006,,FY 2007,,FY 2008,,FY 2009,,FY 2010,,FY 2011,,FY 2012,,FY 2013,,FY 2014,,FY 2015,,FY 2016,,FY 2017,,FY 2018,,FY 2019,,FY 2020,,FY 2021,,FY 2022,,FY 2023,
12 Months Ending,,12/31/2004,,12/31/2005,,12/31/2006,,12/31/2007,,12/31/2008,,12/31/2009,,12/31/2010,,12/31/2011,,12/31/2012,,12/31/2013,,12/31/2014,,12/31/2015,,12/31/2016,,12/31/2017,,12/31/2018,,12/31/2019,,12/31/2020,,12/31/2021,,12/31/2022,,12/31/2023,
Revenue,,133417,1.0,146273,1.0,149689,1.0,169469,1.0,180929,1.0,153432,1.0,148442,1.0,141479,1.0,144121,1.0,142937,1.0,116406,1.0,115158,1.0,119687,1.0,99279,1.0,97012,1.0,90221,1.0,75833,1.0,74196,1.0,76555,1.0,32900,1.0
  Commercial Engines & Services,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,19433.14,0.157074822783889,19709,0.199390971814742,22724,0.23587539833297,24769,0.285426197582364,14479,0.197514528142308,14360,0.20045787034452,18665,0.253081314151673,23900,0.726443768996961
  Defense & Propulsion Technologies,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,9000,0.273556231003039
  Industrial Segment,,—,,—,,—,,—,,—,,87661,0.641890061288598,84048,0.644194067601747,93088,0.66285470146331,102811,0.708904487409328,103383,0.82991225887245,106926,0.912267829262258,108609,0.909546939117327,112814,0.911856707538858,89776,0.908241102320782,86788,0.900860503015394,86779,1.0,73306,1.0,71636,1.0,73751,1.0,—,
    Aviation,,11094,0.086395813377567,11904,0.0836289807015449,13017,0.0889309430765447,16819,0.101252791841502,19239,0.108056344989497,18728,0.13713415393177,17619,0.135042538514601,18442,0.131320539751486,19994,0.137863033345285,21911,0.17589166017773,23298,0.198773131756094,24660,0.206515367222176,26261,0.212263274032283,27014,0.273293810574024,30567,0.317285834397285,32875,0.378835893476532,22042,0.300684800698442,21310,0.297476129320453,26052,0.353242667896029,—,
      Military Engines,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,3413.93,0.0275942256241968,3991,0.0403759383283087,4103,0.0425891902552445,4389,0.0505767524401065,4572,0.0623687010613047,4136,0.057736333686973,4410,0.0597957993789915,—,
