Date,CASH_CASH_EQTY_STI_DETAILED,BS_CASH_NEAR_CASH_ITEM,BS_MKT_SEC_OTHER_ST_INVEST,BS_ACCT_NOTE_RCV,BS_ACCTS_REC_EXCL_NOTES_REC,NOTES_RECEIVABLE,BS_UNBILLED_REVENUES,BS_INVENTORIES,INVTRY_RAW_MATERIALS,INVTRY_IN_PROGRESS,INVTRY_FINISHED_GOODS,BS_OTHER_INV,OTHER_CURRENT_ASSETS_DETAILED,BS_PREPAY,BS_DERIV_HEDGING_ASST_ST,BS_TAXES_RECEIVABLE_SHORT_TERM,BS_OTHER_CUR_ASSET_LESS_PREPAY,BS_CUR_ASSET_REPORT,BS_NET_FIX_ASSET,BS_GROSS_FIX_ASSET,BS_ACCUM_DEPR,BS_LT_INVEST,BS_LONG_TERM_INVESTMENTS,BS_LT_RECEIVABLES,BS_OTHER_ASSETS_DEF_CHRG_OTHER,BS_DISCLOSED_INTANGIBLES,BS_GOODWILL,OTHER_INTANGIBLE_ASSETS_DETAILED,BS_PREPAID_EXPENSE_LT,BS_DEFERRED_TAX_ASSETS_LT,BS_DERIV_HEDGING_ASST_LT,BS_INVEST_IN_ASSOC_CO,OTHER_NONCURRENT_ASSETS_DETAILED,BS_TOT_NON_CUR_ASSET,BS_TOT_ASSET,CF_NET_INC,CF_CASH_FROM_OPER,FIXED_INTANG_ASST_CHANGE,DISPOSAL_OF_FIXED_INTANG,ACQUIS_OF_FIXED_INTANG,NET_CHG_IN_LT_INVEST_DETAILED,CF_DECR_INVEST,CF_INCR_INVEST,CF_NT_CSH_RCVD_PD_FOR_ACQUIS_DIV,CF_CASH_FOR_DIVESTITURES,CF_CASH_FOR_ACQUIS_SUBSIDIARIES,CF_CASH_FOR_JOINT_VENTURES_ASSOC,OTHER_INVESTING_ACT_DETAILED,CF_NET_CASH_DISCONTINUED_OPS_INV,CF_CASH_FROM_INV_ACT,CF_DVD_PAID,PROC_FR_REPAYMNTS_BOR_DETAILED,PROC_FR_REPURCH_EQTY_DETAILED,CF_INCR_CAP_STOCK,CF_DECR_CAP_STOCK,OTHER_FIN_AND_DEC_CAP,CF_NET_CASH_DISCONTINUED_OPS_FIN,CFF_ACTIVITIES_DETAILED,CF_EFFECT_FOREIGN_EXCHANGES,CF_NET_CHNG_CASH,CF_CASH_PAID_FOR_TAX,CF_NET_CASH_PAID_FOR_AQUIS,CF_FREE_CASH_FLOW,CF_FREE_CASH_FLOW_FIRM,FREE_CASH_FLOW_EQUITY,FREE_CASH_FLOW_PER_SH,PX_TO_FREE_CASH_FLOW,CASH_FLOW_TO_NET_INC,SALES_REV_TURN,IS_SALES_AND_SERVICES_REVENUES,IS_COGS_TO_FE_AND_PP_AND_G,IS_COG_AND_SERVICES_SOLD,GROSS_PROFIT,IS_OTHER_OPER_INC,IS_OPERATING_EXPN,IS_SGA_EXPENSE,IS_SELLING_EXPENSES,IS_GENERAL_AND_ADMINISTRATIVE,IS_OPERATING_EXPENSES_RD,IS_OTHER_OPERATING_EXPENSES,IS_OPER_INC,IS_NONOP_INCOME_LOSS,IS_NET_INTEREST_EXPENSE,IS_INT_EXPENSE,IS_INT_INC,IS_OTHER_INVESTMENT_INCOME_LOSS,INCOME_LOSS_FROM_AFFILIATES,IS_OTHER_NON_OPERATING_INC_LOSS,PRETAX_INC,IS_ABNORMAL_ITEM,IS_DERIVATIVES_HEDGING,IS_GAIN_LOSS_DISPOSAL_ASSETS,IS_IMPAIRMENT_ASSETS,IS_IMPAIR_OF_INTANG_ASSETS,IS_SALE_OF_BUSINESS,IS_LEGAL_LITIGATION_SETTLEMENT,IS_GAIN_LOSS_ON_INVESTMENTS,IS_OTHER_ONE_TIME_ITEMS,IS_INC_TAX_EXP,IS_INC_BEF_XO_ITEM,XO_GL_NET_OF_TAX,IS_DISCONTINUED_OPERATIONS,EXTRAORD_ITEMS_ACCOUNTING_CHANGS,NI_INCLUDING_MINORITY_INT_RATIO,MIN_NONCONTROL_INTEREST_CREDITS,NET_INCOME,IS_TOT_CASH_PFD_DVD,OTHER_ADJUSTMENTS,EARN_FOR_COMMON,IS_NET_ABNORMAL_ITEMS,IS_AVG_NUM_SH_FOR_EPS,IS_EPS,IS_EARN_BEF_XO_ITEMS_PER_SH,IS_BASIC_EPS_CONT_OPS,IS_SH_FOR_DILUTED_EPS,IS_DILUTED_EPS,IS_DIL_EPS_BEF_XO,IS_DIL_EPS_CONT_OPS,ACCOUNTING_STANDARD,EBITDA,EBITDA_MARGIN,EBIT,GROSS_MARGIN,OPER_MARGIN,PROF_MARGIN,ACTUAL_SALES_PER_EMPL,RETURN_COM_EQY,RETURN_ON_ASSET,RETURN_ON_CAP,RETURN_ON_INV_CAPITAL,INCREMENTAL_OPERATING_MARGIN,PRETAX_INC_TO_NET_SALES,INC_BEF_XO_ITEMS_TO_NET_SALES,NET_INCOME_TO_COMMON_MARGIN,EFF_TAX_RATE,ESG_SCORE,ENVIRONMENTAL_SCORE,SOCIAL_SCORE,GOVERNANCE_SCORE,ESG_DISCLOSURE_SCORE,ENVIRON_DISCLOSURE_SCORE,SOCIAL_DISCLOSURE_SCORE,GOVNCE_DISCLOSURE_SCORE,NOX_EMISSIONS,VOC_EMISSIONS,PARTICULATE_EMISSIONS,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,EMISSION_REDUCTION,TRANSITION_PLAN_INDICATOR,CLIMATE_CHG_POLICY,CLIMATE_CHG_OPPORTUNITIES,CLIMATE_RISKS,GHG_SCOPE_1,GHG_SCOPE_2_LOCATION_BASED,ENERGY_EFFIC_POLICY,ENERGY_CONSUMPTION,ELECTRICITY_USED,NAT_GAS_USED,OIL_DIESEL_USED,WASTE_REDUCTION,HAZARDOUS_WASTE,TOTAL_WASTE,ENVIRON_SUPPLY_MGT,WATER_POLICY,TOTAL_WATER_WITHDRAWAL,TOTAL_WATER_DISCHARGED,BIODIVERSITY_POLICY,ADOPT_TNFD_RECOMMENDATIONS,ZERO_DEFORESTATION_POLICY,BOARD_LEVEL_OVERSIGHT_BIODIV,EXEC_LEVEL_OVERSIGHT_BIODIV,HUMAN_RIGHTS_POLICY,POLICY_AGAINST_CHILD_LABOR,QUALITY_ASSURANCE_AND_RECALL_POL,CONSUMER_DATA_PROTECTION_POLICY,COMMUNITY_SPENDING,CUSTOMER_COMPLAINTS,EQUAL_OPPORTUNITY_POLICY,GENDER_PAY_GAP_BREAKOUT,PCT_WOMEN_SENIOR_MGT,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,PCT_WOMEN_EMPLOYEES,PCT_MINORITY_EMPLOYEES,PCT_DISABLED_IN_WORKFORCE,ETHICS_POLICY,ANTI_BRIBERY_ETHICS_POLICY,HEALTH_SAFETY_POLICY,FATALITIES_EMPLOYEES,LOST_TIME_INCIDENT_RATE,TRAINING_POLICY,FAIR_REMUNERATION_POLICY,NUMBER_EMPLOYEES_CSR,EMPLOYEE_TURNOVER_PCT,EMPLOYEE_TRAINING_COST,TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,COMP_DISCLOSES_EMP_ENG_SCORE,SOCIAL_SUPPLY_CHAIN_MGMT,YEARS_AUDITOR_EMPLOYED,SIZE_OF_AUDIT_COMMITTEE,NUM_IND_DIR_ON_AUD_CMTE,AUDIT_COMMITTEE_MEETINGS,AUDIT_COMMITTEE_MTG_ATTEND_PCT,COMPANY_CONDUCTS_BRD_EVALUATIONS,BOARD_SIZE,NUM_EXECUTIVES_COMP_MANAGERS,NUM_OF_NONEXEC_DIR_ON_BRD,BOARD_MEETINGS_PER_YR,BOARD_MEETING_ATTENDANCE_PCT,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,DIRECTOR_SH_OWNERSHIP_GUIDELINES,SIZE_OF_COMPENSATION_COMMITTEE,NUM_IND_DIR_ON_CMPNSTN_CMTE,NUM_COMPENSATION_CMTE_MTG,COMPENSATION_CMTE_MTG_ATTEND_PCT,NUMBER_OF_FEMALE_EXECUTIVES,NUMBER_OF_WOMEN_ON_BOARD,AGE_OF_YOUNGEST_DIRECTOR,AGE_OF_OLDEST_DIRECTOR,INDEPENDENT_DIRECTORS,SIZE_OF_NOMINATION_COMMITTEE,NUM_IND_DIR_ON_NOM_CMTE,NUM_OF_NOMINATION_CMTE_MTG,NOMINATION_CMTE_MTG_ATTEND_PCT,VERIFICATION_TYPE,EMPLOYEE_CSR_TRAINING,BOARD_DURATION
1990-12-31 00:00:00,44725,1975,42750,7806,,,,6707,,,,,0,,,,,59238,16631,30572,13941,59325,,,18690,,,,,,,,18690,94646,153884,4303,9036,-2936,1587,-4523,-5577,,-5577,,,,,-7396,,-15909,-1678,10045,-1777,708,-2485,0,,6590,,-283,,,4513,5159.2402,16145,3.3898,6.7503,2.0999,57662,,37858,,19804,,13409,,,,,,6395,,,918,,,,,6229,,,,,,,,,,1844,4385,0,,,4385,82,4303,0,,4303,,1331.328,3.2333,3.2333,3.2333,1343.2575,3.2067,3.2067,3.2067,US GAAP,8903,15.44,6395,34.345,11.0905,7.4625,193496.6443,20.2161,3.0493,6.2093,5.3147,16.3843,10.8026,7.6047,7.4625,29.6035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-12-31 00:00:00,47194,1971,45223,8231,,,,6398,,,,,0,,,,,61823,18976,34004,15028,65170,,,22290,,,,,,,,22290,106436,168259,2636,7497,-3908,1092,-5000,-7254,,-7254,,,,,-5199,,-16361,-1780,11342,-702,410,-1112,0,,8860,,-4,,,2497,3102.1121,14931,1.9158,15.9256,2.8441,53837,,34407,,19430,,13559,,,,,,5871,,,865,,,,,5798,,,,,,,,,,1742,4056,1348,,,2708,72,2636,0,,2636,,1303.3965,2.02,3.0533,3.0533,1317.558,2.0067,3.0267,3.0267,US GAAP,8703,16.1655,5871,36.0904,10.9051,4.8963,189566.9014,12.1578,1.6365,3.6054,4.2914,-13.6993,10.7695,7.5339,4.8963,30.0448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-12-31 00:00:00,65327,3129,62198,7150,,,,4574,,,,,0,,,,,77051,20387,35655,15268,70293,,,25145,,,,,,,,25145,115825,192876,4725,10249,-3031,1793,-4824,-4683,,-4683,,,,,-5839,,-13553,-1925,7168,-781,425,-1206,0,,4462,,1158,,,5425,5938.1464,14386,4.2192,8.082,2.1691,52252,,32106,,20146,,14181,,,,,,5965,,,738,,,,,6026,,,,,,,,,,1836,4190,-588,,,4778,53,4725,0,,4725,,1285.797,3.6667,3.2133,3.2133,1301.4135,3.6333,3.18,3.18,US GAAP,8783,16.8089,5965,38.5555,11.4158,9.0427,194970.1493,20.9339,2.6167,5.2001,3.9156,,11.5326,8.0188,9.0427,30.468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-12-31 00:00:00,29867,3056,26811,8195,,,,3824,,,,,0,,,,,41886,21153,37871,16718,69259,,,119208,,,,,,,,119208,209620,251506,4315,10187,-3588,1139,-4727,-4164,,-4164,,,,,-7829,,-15581,-2153,6023,-364,406,-770,1948,,5454,,60,,,5460,5815.7913,12622,4.2623,9.813,2.3608,54966,,32452,,22514,,16446,,,,,,6068,,,516,,,,,6287,,,,,,,,,,1952,4335,-131,,,4466,151,4315,0,,4315,,1280.985,3.36,3.2667,3.2667,1296.4005,3.36,3.2667,3.2667,US GAAP,9291,16.9032,6068,40.9599,11.0396,7.8503,247594.5946,17.5111,1.942,4.3911,3.6487,3.7951,11.438,7.8867,7.8503,31.0482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-12-30 00:00:00,33556,2591,30965,7527,,,,3880,,,,,0,,,,,44963,23465,41670,18205,82393,,,35050,,,,,,,,35050,140908,185871,4726,13392,-4986,2506,-7492,-9525,,-9525,,,,,-1900,,-16411,-2462,7357,-353,771,-1124,-1988,,2554,,-465,,,5900,6182.5105,15763,4.6038,8.8361,2.8337,59316,,33507,,25809,,17367,,,,,,8442,,,410,,,,,8831,,,,,,,,,,2746,6085,1189,,,4896,170,4726,0,,4726,,1281.5535,3.6933,4.6133,4.6133,1293.6135,3.6533,4.5867,4.5867,US GAAP,11649,19.6389,8442,43.511,14.2322,7.9675,268398.19,18.1035,2.1611,4.3878,4.721,54.5747,14.8881,10.2586,7.9675,31.095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-12-29 00:00:00,43890,2823,41067,8735,,,,4395,,,,,0,,,,,57020,25679,45946,20267,105789,,,39547,,,,,,,,39547,171015,228035,6573,14946,-4905,1542,-6447,-11309,,-11309,,,,,-9003,,-25217,-2770,15537,-2523,,-2523,259,,10503,,232,,,8499,8941.4377,25578,6.73,8.5335,2.2738,69276,,38046,,31230,,21416,,,,,,9814,,,649,,,,,9941,,,,,,,,,,3164,6777,0,,,6777,204,6573,0,,6573,,1262.859,5.2,5.2,5.2,1277.1375,5.1467,5.1467,5.1467,US GAAP,13408,19.3545,9814,45.0805,14.1665,9.4881,312054.0541,23.4767,3.1761,5.327,4.7176,13.7751,14.3498,9.7826,9.4881,31.8278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-12-31 00:00:00,64080,4191,59889,8704,,,,4473,3028,,1445,,0,,,,,77257,28795,50784,21989,115132,,,51218,,,,,,,,51218,195145,272402,7280,17851,-6397,1363,-7760,-2278,,-2278,,,,,-11537,,-20212,-3050,9074,-2323,,-2323,28,,3729,,1368,1392,,10091,10496.567,20528,8.1371,9.6923,2.4521,78541,,41917,,36624,,25609,,,,,,11015,,,595,,,,,11075,,,,,,,,,,3526,7549,0,,,7549,269,7280,0,,7280,,1240.125,5.8667,5.8667,5.8667,1264.125,5.76,5.76,5.76,US GAAP,14800,18.8437,11015,46.6304,14.0245,9.269,328623.431,23.9734,2.9095,5.1051,4.5881,12.9628,14.1009,9.6115,9.269,31.8375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-12-31 00:00:00,76482,5861,70621,8924,,,,5895,3070,,2825,,0,,,,,91301,32316,55657,23341,121454,,,58941,19121,16136,2985,,,,,39820,212711,304012,8203,14240,-6137,2251,-8388,-1898,0,-1898,,,,,-10240,,-18275,-3411,11146,-2815,0,-2815,785,,5705,,1670,1937,,5852,6441.2872,19249,4.765,24.5654,1.736,88540,,47737,,40803,,30949,,,,,,9854,,,797,,,,,11419,0,,,,,,,,,2976,8443,0,,,8443,240,8203,0,,8203,,1228.125,6.6667,6.6667,6.6667,1254.375,6.56,6.56,6.56,US GAAP,13936,15.7398,9854,46.0843,11.1294,9.2647,320797.1014,25.0233,2.8462,5.2153,4.0109,,12.897,9.5358,9.2647,26.0618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-12-31 00:00:00,83034,4317,78717,8224,,,,6049,3154,,3711,-816,0,,,,,97307,35730,61100,25370,146355,,,76543,23635,20672,2963,,,,,52908,258628,355935,9296,19360,-4939,4043,-8982,-6301,0,-6301,,,,,-28893,,-40133,-3913,26075,-2819,0,-2819,-114,,19229,,-1544,2098,18610,10378,10992.3475,40496,8.4658,19.2207,2.0826,99820,,51246,,48574,,34694,,,,,,13880,,,883,,,,,13742,0,,,,,,,,,4181,9561,0,,,9561,265,9296,0,,9296,,1225.875,7.5733,7.5733,7.5733,1248.75,7.4667,7.4667,7.4667,US GAAP,19740,19.7756,13880,48.6616,13.905,9.3128,340682.5939,25.358,2.8172,5.0751,4.6097,35.6915,13.7668,9.5782,9.3128,30.425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-12-31 00:00:00,90312,8554,81758,8531,8531,,,7007,3438,,4263,0,0,,,,,105850,41022,68359,27337,167337,,,90991,26010,23106,2904,,,,,64981,299350,405200,10717,24593,-9240,6262,-15502,-13088,0,-13088,,,,,-19851,,-42179,-4587,26790,-1002,0,-1002,622,,21823,,4237,1597,11654,9091,9654.0674,42143,7.3963,33.3774,2.2948,110832,,55317,,55515,,39717,,,,,,15798,,810,810,,,,,15942,0,,,,,,,,,4860,11082,0,,,11082,365,10717,0,,10717,,1229.1251,8.72,8.72,8.72,1249.5,8.56,8.56,8.56,US GAAP,22489,20.2911,15798,50.0893,14.254,9.6696,325976.4706,26.3197,2.8161,4.9793,3.6614,17.4174,14.3839,9.9989,9.6696,30.4855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
