Date,CASH_CASH_EQTY_STI_DETAILED,BS_CASH_NEAR_CASH_ITEM,BS_MKT_SEC_OTHER_ST_INVEST,BS_ACCT_NOTE_RCV,BS_ACCTS_REC_EXCL_NOTES_REC,NOTES_RECEIVABLE,BS_UNBILLED_REVENUES,BS_INVENTORIES,INVTRY_RAW_MATERIALS,INVTRY_IN_PROGRESS,INVTRY_FINISHED_GOODS,BS_OTHER_INV,OTHER_CURRENT_ASSETS_DETAILED,BS_PREPAY,BS_DERIV_HEDGING_ASST_ST,BS_TAXES_RECEIVABLE_SHORT_TERM,BS_OTHER_CUR_ASSET_LESS_PREPAY,BS_CUR_ASSET_REPORT,BS_NET_FIX_ASSET,BS_GROSS_FIX_ASSET,BS_ACCUM_DEPR,BS_LT_INVEST,BS_LONG_TERM_INVESTMENTS,BS_LT_RECEIVABLES,BS_OTHER_ASSETS_DEF_CHRG_OTHER,BS_DISCLOSED_INTANGIBLES,BS_GOODWILL,OTHER_INTANGIBLE_ASSETS_DETAILED,BS_PREPAID_EXPENSE_LT,BS_DEFERRED_TAX_ASSETS_LT,BS_DERIV_HEDGING_ASST_LT,BS_INVEST_IN_ASSOC_CO,OTHER_NONCURRENT_ASSETS_DETAILED,BS_TOT_NON_CUR_ASSET,BS_TOT_ASSET,CF_NET_INC,CF_CASH_FROM_OPER,FIXED_INTANG_ASST_CHANGE,DISPOSAL_OF_FIXED_INTANG,ACQUIS_OF_FIXED_INTANG,NET_CHG_IN_LT_INVEST_DETAILED,CF_DECR_INVEST,CF_INCR_INVEST,CF_NT_CSH_RCVD_PD_FOR_ACQUIS_DIV,CF_CASH_FOR_DIVESTITURES,CF_CASH_FOR_ACQUIS_SUBSIDIARIES,CF_CASH_FOR_JOINT_VENTURES_ASSOC,OTHER_INVESTING_ACT_DETAILED,CF_NET_CASH_DISCONTINUED_OPS_INV,CF_CASH_FROM_INV_ACT,CF_DVD_PAID,PROC_FR_REPAYMNTS_BOR_DETAILED,PROC_FR_REPURCH_EQTY_DETAILED,CF_INCR_CAP_STOCK,CF_DECR_CAP_STOCK,OTHER_FIN_AND_DEC_CAP,CF_NET_CASH_DISCONTINUED_OPS_FIN,CFF_ACTIVITIES_DETAILED,CF_EFFECT_FOREIGN_EXCHANGES,CF_NET_CHNG_CASH,CF_CASH_PAID_FOR_TAX,CF_NET_CASH_PAID_FOR_AQUIS,CF_FREE_CASH_FLOW,CF_FREE_CASH_FLOW_FIRM,FREE_CASH_FLOW_EQUITY,FREE_CASH_FLOW_PER_SH,PX_TO_FREE_CASH_FLOW,CASH_FLOW_TO_NET_INC,SALES_REV_TURN,IS_SALES_AND_SERVICES_REVENUES,IS_COGS_TO_FE_AND_PP_AND_G,IS_COG_AND_SERVICES_SOLD,GROSS_PROFIT,IS_OTHER_OPER_INC,IS_OPERATING_EXPN,IS_SGA_EXPENSE,IS_SELLING_EXPENSES,IS_GENERAL_AND_ADMINISTRATIVE,IS_OPERATING_EXPENSES_RD,IS_OTHER_OPERATING_EXPENSES,IS_OPER_INC,IS_NONOP_INCOME_LOSS,IS_NET_INTEREST_EXPENSE,IS_INT_EXPENSE,IS_INT_INC,IS_OTHER_INVESTMENT_INCOME_LOSS,INCOME_LOSS_FROM_AFFILIATES,IS_OTHER_NON_OPERATING_INC_LOSS,PRETAX_INC,IS_ABNORMAL_ITEM,IS_DERIVATIVES_HEDGING,IS_GAIN_LOSS_DISPOSAL_ASSETS,IS_IMPAIRMENT_ASSETS,IS_IMPAIR_OF_INTANG_ASSETS,IS_SALE_OF_BUSINESS,IS_LEGAL_LITIGATION_SETTLEMENT,IS_GAIN_LOSS_ON_INVESTMENTS,IS_OTHER_ONE_TIME_ITEMS,IS_INC_TAX_EXP,IS_INC_BEF_XO_ITEM,XO_GL_NET_OF_TAX,IS_DISCONTINUED_OPERATIONS,EXTRAORD_ITEMS_ACCOUNTING_CHANGS,NI_INCLUDING_MINORITY_INT_RATIO,MIN_NONCONTROL_INTEREST_CREDITS,NET_INCOME,IS_TOT_CASH_PFD_DVD,OTHER_ADJUSTMENTS,EARN_FOR_COMMON,IS_NET_ABNORMAL_ITEMS,IS_AVG_NUM_SH_FOR_EPS,IS_EPS,IS_EARN_BEF_XO_ITEMS_PER_SH,IS_BASIC_EPS_CONT_OPS,IS_SH_FOR_DILUTED_EPS,IS_DILUTED_EPS,IS_DIL_EPS_BEF_XO,IS_DIL_EPS_CONT_OPS,ACCOUNTING_STANDARD,EBITDA,EBITDA_MARGIN,EBIT,GROSS_MARGIN,OPER_MARGIN,PROF_MARGIN,ACTUAL_SALES_PER_EMPL,RETURN_COM_EQY,RETURN_ON_ASSET,RETURN_ON_CAP,RETURN_ON_INV_CAPITAL,INCREMENTAL_OPERATING_MARGIN,PRETAX_INC_TO_NET_SALES,INC_BEF_XO_ITEMS_TO_NET_SALES,NET_INCOME_TO_COMMON_MARGIN,EFF_TAX_RATE
1990-03-30 00:00:00,247.4,247.4,0,3434.5,,,,4131.7002,,,,,818.4,,,,,8632,4020.8,7934.1001,3913.3,,,,2262,,,,,,,,2262,6282.8,14914.7998,134.5,-246.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.8305,4730.7002,,3489.1001,,1241.6001,,977.8,,,,,,263.8,,,97.4,,,,,237.2,,,,,,,,,,91.3,145.9,0,,,145.9,11.4,134.5,12.387,,122.113,,964.896,0.1312,0.1312,,964.896,0.1312,0.1312,0.1312,US GAAP,444.4,,263.8,26.2456,5.5763,2.8431,,,,,,,5.0141,3.0841,2.5813,38.4907
1990-06-29 00:00:00,284.2,284.2,0,3878.8999,,,,4163.2998,,,,,764.1,,,,,9090.5,4051.1001,8086.7998,4035.7,,,,2221.8999,,,,,,,,2221.8999,6273,15363.5,207.5,-34.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1643,5602.3999,,4222.2998,,1380.1001,,1003.9,,,,,,376.2,,,107.7,,,,,355.9,,,,,,,,,,134.1,221.8,0,,,221.8,14.3,207.5,4.559,,202.941,,964.384,0.205,0.205,,964.384,0.205,0.205,0.205,US GAAP,560.5,,376.2,24.6341,6.715,3.7038,,,,,,,6.3526,3.959,3.6224,37.6791
1990-09-28 00:00:00,271.8,271.8,0,3832.5,,,,4145,,,,,729.9,,,,,8979.2002,4179.3999,8362.0996,4182.7002,,,,2282.3999,,,,,,,,2282.3999,6461.7998,15441,239.8,897.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7431,5212.8999,,3812.8,,1400.0999,,1026.3,,,,,,373.8,,,90.4,,,,,416.8,,,,,,,,,,154.2,262.6,0,,,262.6,22.8,239.8,9.531,,230.269,,969.512,0.2375,0.2375,,969.512,0.2375,0.2375,0.2375,US GAAP,544.2,,373.8,26.8584,7.1707,4.6001,,,,,,,7.9955,5.0375,4.4173,36.9962
1990-12-31 00:00:00,200.8,200.8,0,3813.8999,,,,4044.2,,,,,953.3,,,,,9012.2002,4396.2002,8589.2002,4193,1094.4,,,1415.5,,,,,,,,1415.5,6906.1002,15918.2998,168.8,534,,,,,,,,,,,,,,,,,,,,,,,534,,,,,,,,3.1635,5896,,4491,,1405,,1107.2,,,,,,297.8,,,66.1,,,,,281.3,,,,,,,,,,99.5,181.8,0,,,181.8,13,168.8,9.423,,159.377,,969.38,0.165,0.165,0.165,969.38,0.165,0.165,0.165,US GAAP,462.4,9.3811,297.8,23.8297,5.0509,2.863,,,,,,,4.771,3.0834,2.7031,35.3715
1991-03-28 00:00:00,186.8,186.8,0,3669.6001,,,,4209.5,,,,,1051.1,,,,,9117,4420.2002,8753.2998,4333.1001,,,,2533,,,,,,,,2533,6953.2002,16070.2002,40.2,-63.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.5771,4747.2998,,3623.6001,,1123.6997,,1012.7,,,,,,111,,,82.9,,,,,84.3,,,,,,,,,,31.2,53.1,0,,,53.1,12.9,40.2,9.332,,30.868,,970.328,0.0313,0.0313,,970.328,0.0313,0.0313,0.0313,US GAAP,312.3,8.7583,111,23.6703,2.3382,0.8468,,12.3368,4.2362,10.2802,8.0208,,1.7757,1.1185,0.6502,37.0107
1991-06-28 00:00:00,419.3,419.3,0,3625.1001,,,,4148.2002,,,,,964.1,,,,,9156.7002,4405.1001,8835.4004,4430.2998,,,,2568.8,,,,,,,,2568.8,6973.9001,16130.5996,43.4,509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.7281,5205,,4138.6001,,1066.3999,,1054.6,,,,,,11.8,,,81.8,,,,,101.9,,,,,,,,,,37.9,64,0,,,64,20.6,43.4,9.404,,33.996,,971.88,0.035,0.035,,971.88,0.035,0.035,0.035,US GAAP,208.4,7.2517,11.8,20.488,0.2267,0.8338,,8.9207,3.1257,8.2749,5.4625,-91.696,1.9577,1.2296,0.6531,37.1933
1991-09-30 00:00:00,566,566,0,3486,,,,4035.3999,,,,,971.9,,,,,9059.2998,4527.2998,9104.7998,4577.5,,,,2570.7,,,,,,,,2570.7,7097.9998,16157.2998,119.5,662.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5439,5181.2002,,3975.8999,,1205.3003,,991.1,,,,,,214.2,,,84.7,,,,,222.1,,,,,,,,,,82.4,139.7,0,,,139.7,20.2,119.5,9.465,,110.035,,972.752,0.1125,0.1125,,972.752,0.1125,0.1125,0.1125,US GAAP,391.2,6.5351,214.2,23.263,4.1342,2.3064,,6.3816,2.3539,7.0657,4.4712,-503.4747,4.2867,2.6963,2.1237,37.1004
1991-12-31 00:00:00,523,523,0,3371,,,,3902,,,,,1135,,,,,8931,4607,9233,4626,1157,,,1290,,,,,,,,1290,7054,15985,-1224.1,781.9,,,,,,,,,,,,,,,,,,,,,,,781.9,,,,,,,,,5706.5,,4648.8999,,1057.6001,,1093.6,,,,,,-36,,,89.6,,,,,-1299.2999,,,,,,,,,,-76.5,-1222.8,0,,,-1222.7999,1.3,-1224.1,33.799,,-1257.899,,973.968,-1.2913,-1.2913,-1.2913,973.968,-1.2913,-1.2913,-1.2913,US GAAP,153.1,5.1104,-36,18.5333,-0.6309,-21.451,,-23.2801,-6.4006,,,-176.1478,-22.7688,-21.4282,-22.0433,
1992-03-31 00:00:00,209,209,0,3532,,,,4045,,,,,1087,,,,,8873,4616,9395,4779,,,,2447,,,,,,,,2447,7063,15936,-228,-169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5058,,3951,,1107,,964,,,,,,143,,,73,,,,,178,,,,,,,,,,68,110,322,,,-212,16,-228,11,,-239,,980.984,-0.2438,0.085,,980.984,-0.2438,0.085,0.085,US GAAP,347,5.1994,143,21.8861,2.8272,-4.5077,,-28.9489,-8.0559,,,10.2993,3.5192,2.1748,-4.7252,38.2022
1992-06-30 00:00:00,197,197,0,3815,,,,3957,,,,,1118,,,,,9087,4615,9532,4917,,,,2510,,,,,,,,2510,7125,16212,148,290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9595,5635,,4433,,1202,,959,,,,,,243,,,68,,,,,276,,,,,,,,,,106,170,0,,,170,22,148,10,,138,,985.536,0.1388,0.1388,,985.536,0.1388,0.1388,0.1388,US GAAP,462,6.2709,243,21.331,4.3123,2.6264,,-26.7549,-7.3253,,,53.7674,4.898,3.0169,2.449,38.4058
