Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81
RTX Corp (RTX US) - By Measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Millions of USD except Per Share,,Q4 2004,,Q1 2005,,Q2 2005,,Q3 2005,,Q4 2005,,Q1 2006,,Q2 2006,,Q3 2006,,Q4 2006,,Q1 2007,,Q2 2007,,Q3 2007,,Q4 2007,,Q1 2008,,Q2 2008,,Q3 2008,,Q4 2008,,Q1 2009,,Q2 2009,,Q3 2009,,Q4 2009,,Q1 2010,,Q2 2010,,Q3 2010,,Q4 2010,,Q1 2011,,Q2 2011,,Q3 2011,,Q4 2011,,Q1 2012,,Q2 2012,,Q3 2012,,Q4 2012,,Q1 2013,,Q2 2013,,Q3 2013,,Q4 2013,,Q1 2014,,Q2 2014,,Q3 2014,
3 Months Ending,,12/31/2004,,03/31/2005,,06/30/2005,,09/30/2005,,12/31/2005,,03/31/2006,,06/30/2006,,09/30/2006,,12/31/2006,,03/31/2007,,06/30/2007,,09/30/2007,,12/31/2007,,03/31/2008,,06/30/2008,,09/30/2008,,12/31/2008,,03/31/2009,,06/30/2009,,09/30/2009,,12/31/2009,,03/31/2010,,06/30/2010,,09/30/2010,,12/31/2010,,03/31/2011,,06/30/2011,,09/30/2011,,12/31/2011,,03/31/2012,,06/30/2012,,09/30/2012,,12/31/2012,,03/31/2013,,06/30/2013,,09/30/2013,,12/31/2013,,03/31/2014,,06/30/2014,,09/30/2014,
Revenue,,9838,1.0,9407,1.0,11152,1.0,10905,1.0,11261,1.0,10615,1.0,12264,1.0,12163,1.0,12787,1.0,12278,1.0,27808,1.0,13863,1.0,14714,1.0,13958,1.0,15944,1.0,15085,1.0,14770,1.0,12249,1.0,13196,1.0,13375,1.0,14100,1.0,12040,1.0,13802,1.0,13620,1.0,14864,1.0,13290,1.0,15094,1.0,14235,1.0,14377,1.0,12416,1.0,13807,1.0,15042,1.0,16443,1.0,14399,1.0,16006,1.0,15462,1.0,16759,1.0,14745,1.0,17191,1.0,14613,1.0
"  UTC Climate, Controls & Security",,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,4393,0.330549285176825,5140,0.340532661984895,4921,0.333649738965354,4410,0.304642166344294,4112,0.330972311654862,4572,0.328448275862069,4259,0.280086807839011,4147,0.249924667028265,3837,0.263439752832132,4543,0.280570652173913,4237,0.270492849846782,4192,0.278057840275935,3851,0.257660912618761,4429,0.254452487647937,4351,0.294463995668652
  Pratt & Whitney,,2201,0.30960753973836,340,0.31569173630455,2273,0.20490399350942,2414,0.221366345712976,2595,0.230441346239233,2568,0.242081447963801,2727,0.223122238586156,2771,0.227038099139697,3046,0.153350450586518,2767,0.226989335520919,3108,0.222444889779559,3036,0.218181818181818,3218,0.218703275791763,3464,0.247216671424493,3569,0.223845960863021,3421,0.225406865651973,3587,0.243054614446402,3180,0.257844806616395,3111,0.234191508581752,3031,0.22567195294468,3255,0.229726868515774,2892,0.237243642329779,3298,0.236314130123244,3250,0.236329261198371,3585,0.349347105827324,3095,0.23288186606471,3452,0.228700145753279,3251,0.220421723506678,3481,0.240466979828682,3052,0.245653573728268,3447,0.247629310344828,3574,0.235038800473497,3891,0.234496474416923,3402,0.233573635427394,3624,0.223814229249012,3386,0.216164453524004,4089,0.271225789334041,3329,0.222735179981266,3592,0.206365621050213,3564,0.241201949106659
  UTC Aerospace,,—,,152,0.141132776230269,1126,0.10150545388984,1077,0.0987620357634113,1151,0.102211171299174,1164,0.10972850678733,1281,0.104810996563574,1253,0.102662843097091,1297,0.0652972864119217,1313,0.107711238720263,1404,0.100486687661036,1427,0.102551203736975,1492,0.101400027184994,1461,0.104267770482444,1650,0.103487205218264,1532,0.100942215194044,1564,0.105976419569047,1381,0.111975999351334,1402,0.105540499849443,1400,0.104236467872832,1416,0.09993648105018,1341,0.110008203445447,1387,0.0993837775867011,1419,0.103184991273997,1483,0.144513740011694,1448,0.10895410082769,1524,0.100967271763615,1531,0.103803647704929,1264,0.0873169383807682,1236,0.0994848679974243,1254,0.0900862068965517,2670,0.1755885834539,3174,0.191285481829687,3263,0.224030209406111,3321,0.20510128458498,3312,0.21144024514811,3451,0.228906871849297,3450,0.230830991569651,3636,0.208893485005171,3535,0.239239306984299
  Otis,,2345,0.329863553242369,422,0.391829155060353,2415,0.21770485892004,2362,0.216597890875745,2476,0.219873901074505,2348,0.221342383107089,2529,0.206921944035346,2565,0.210159770585825,2848,0.143382167849771,2728,0.223789991796555,2858,0.204551961064987,2936,0.21099532878189,3363,0.228557836074487,3057,0.218170139880103,3404,0.213497240341194,3245,0.213810370956052,3243,0.219745222929936,2665,0.216086921268142,2952,0.222222222222222,2962,0.220534584170948,3200,0.225845154915661,2732,0.224118129614438,2837,0.203281742619662,2914,0.211896451425247,3107,0.302767491717014,2772,0.208577878103837,3192,0.211474758182059,3262,0.221167536782155,3211,0.221815418623929,2770,0.222955569864778,3027,0.217456896551724,3054,0.200841772984348,3205,0.193153739528717,2814,0.193202883625129,3138,0.193799407114625,3188,0.203524004085802,3344,0.221809498540727,2955,0.19771176234444,3365,0.19332414110077,3326,0.22509474824039
  Other - Corporate,,—,,-81,-0.0752089136490251,0,,-59,-0.00541036221916552,0,,0,,0,,0,,0,,0,,0,,0,,0,,—,,-80,-0.00501756146512795,—,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,-93,-0.00630551223811784,0,,-92,-0.00740502253702511,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
  Reconciliation,,2729,,—,,59,,—,,—,,7,,42,,-42,,-7076,,88,,13836,,-52,,—,,—,,—,,—,,12,,-84,,-88,,-56,,-69,,-150,,-154,,-132,,4602,,—,,—,,-514,,-99,,-8,,-113,,-164,,-150,,-166,,-186,,-202,,1683,,-201,,-215,,-163,
  Sikorsky,,—,,53,0.0492107706592386,704,0.0634634454160281,639,0.0585969738651994,854,0.0758369594174585,512,0.0482654600301659,767,0.0627556864670267,867,0.0710364604670217,1084,0.0545738307405729,1006,0.082526661197703,1198,0.085742914400229,1307,0.0939274164570607,1232,0.0837297811607992,1023,0.0730088495575221,1307,0.0819744104365279,1438,0.094748632799631,1600,0.108415774495189,1334,0.108165085542853,1389,0.104561878952123,1648,0.122701213610305,1947,0.137412661443997,1366,0.112059064807219,1691,0.121166523359129,1548,0.112565445026178,2087,0.203371662443968,1582,0.119036869826938,1786,0.118325162316152,1877,0.127262865279002,2110,0.145758496822327,1346,0.108338699291693,1620,0.116379310344828,1649,0.108444035249244,2176,0.131139637196408,1249,0.0857535187092345,1566,0.0967144268774704,1541,0.0983784473953013,—,,1361,0.0910611534858825,2384,0.136964265195909,—,
  Carrier,,2563,0.360528907019271,152,0.141132776230269,3413,0.30767150455242,3351,0.307290233837689,2982,0.26480774353965,2904,0.273755656108597,3751,0.306905580101456,3607,0.295534616960262,10262,0.516638976992398,3130,0.256767842493847,4055,0.290223303750358,3738,0.268630973769314,3721,0.252888405600109,3409,0.243291464459035,4356,0.273206221776217,3917,0.258087896158661,3262,0.221032660252067,2487,0.201654098759426,3100,0.233363444745559,3007,0.22388504206686,2819,0.198955466158515,2440,0.200164068908942,3124,0.223846374319289,2964,0.215532286212914,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  UTC Fire & Security,,—,,39,0.0362116991643454,1162,0.104750743712251,1121,0.102796882164145,1203,0.10682887842998,1112,0.104826546003017,1167,0.0954835542464408,1142,0.0935682097501024,1326,0.0667572874188189,1246,0.102214930270714,1349,0.0965502433438305,1471,0.105713259072943,1688,0.114720674187848,1598,0.114045104196403,1738,0.109006522829905,1624,0.107004019239639,1502,0.101775308307359,1286,0.10427308846185,1330,0.100120445648901,1383,0.102970739334376,1532,0.108123367915873,1419,0.116406890894176,1619,0.116007451991975,1657,0.120491564863293,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Adjustments,,—,,8330,,—,,0,,—,,—,,—,,—,,—,,—,,—,,—,,—,,-54,,0,,-92,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
Revenue Including Intersegment Revenue,,7109,1.0,9437,1.0,11093,1.0,11023,1.0,11261,1.0,10608,1.0,12222,1.0,12205,1.0,19863,1.0,12190,1.0,13972,1.0,13915,1.0,14714,1.0,13755,1.0,15747,1.0,15177,1.0,14758,1.0,12249,1.0,13196,1.0,13375,1.0,14169,1.0,12190,1.0,13956,1.0,13752,1.0,14955,1.0,13290,1.0,15094,1.0,14842,1.0,14476,1.0,12516,1.0,13920,1.0,15206,1.0,16593,1.0,14399,1.0,16006,1.0,15462,1.0,15076,1.0,14745,1.0,17191,1.0,14548,1.0
