RTX US Equity,"""=BDH($A$1, $B7, ""19900101"","""",""sort=a"",""dir=h"",""per=cy"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
,"""=""=BDH($A$1, B"" & ROW() & "", """"19900101"""","""""""",""""sort=a"""",""""dates=h"""",""""dir=h"""",""""per=cy"""")""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Assets,,1990-12-31 00:00:00,1991-12-31 00:00:00,1992-12-31 00:00:00,1993-12-31 00:00:00,1994-12-30 00:00:00,1995-12-29 00:00:00,1996-12-31 00:00:00,1997-12-31 00:00:00,1998-12-31 00:00:00,1999-12-31 00:00:00,2000-12-29 00:00:00,2001-12-31 00:00:00,2002-12-31 00:00:00,2003-12-31 00:00:00,2004-12-31 00:00:00,2005-12-30 00:00:00,2006-12-29 00:00:00,2007-12-31 00:00:00,2008-12-31 00:00:00,2009-12-31 00:00:00,2010-12-31 00:00:00,2011-12-30 00:00:00,2012-12-31 00:00:00,2013-12-31 00:00:00,2014-12-31 00:00:00,2015-12-31 00:00:00,2016-12-30 00:00:00,2017-12-29 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-30 00:00:00,2023-12-29 00:00:00
"  + Cash, Cash Equivalents & STI",CASH_CASH_EQTY_STI_DETAILED,200.8,523,354,421,386,900,1127,655,550,957,748,1558,2080,1623,2265,2247,2546,2904,4327,4449,4083,5960,4819,4619,5229,7075,7157,8985,6152,4937,8802,7832,6220,6587
    + Cash & Cash Equivalents,BS_CASH_NEAR_CASH_ITEM,200.8,523,354,421,386,900,1127,655,550,957,748,1558,2080,1623,2265,2247,2546,2904,4327,4449,4083,5960,4819,4619,5229,7075,7157,8985,6152,4937,8802,7832,6220,6587
    + ST Investments,BS_MKT_SEC_OTHER_ST_INVEST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  + Accounts & Notes Receiv,BS_ACCT_NOTE_RCV,3813.8999,3371,3135,2981,3745,3682,3717,3742,3417,4337,4445,4141,4277,5187,6315,7240,7679,8844,9480,8469,8925,9546,11099,11458,10448,10653,11481,12595,14271,8743,9254,9661,9108,10838
"    + Accounts Receivable, Net",BS_ACCTS_REC_EXCL_NOTES_REC,,,,,,,,,3417,4337,4445,3737,3897,4766,5947,6922,7679,8546,9480,8469,8925,9546,11099,11458,10448,10653,11481,12595,14271,8743,9254,9661,9108,10838
"    + Notes Receivable, Net",NOTES_RECEIVABLE,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  + Unbilled Revenues,BS_UNBILLED_REVENUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3486,4462,9931,11361,11534,12139
  + Inventories,BS_INVENTORIES,4044.2,3902,3508,3153,2955,2954,3342,3113,3191,3504,3756,3966,3803,4420,5078,5659,6657,8101,8340,7509,7766,7797,9537,10330,7642,8135,8704,9881,10083,9047,9411,9178,10617,11777
    + Raw Materials,INVTRY_RAW_MATERIALS,,,,,,,,,537,702,738,738,740,743,844,1000,1082,1281,1271,1281,1221,1321,1861,1983,1948,2037,2040,2038,3052,2984,3015,3024,3477,3911
    + Work In Process,INVTRY_IN_PROGRESS,,,,,,,,1275,2532,2719,3028,3314,3203,3481,3998,4723,6012,7536,9408,3097,3259,3175,4151,4600,2093,2422,2787,3366,2673,2586,2924,3085,3839,4162
    + Finished Goods,INVTRY_FINISHED_GOODS,,,,,,,,1838,1795,1871,2099,2159,2329,2221,2603,2640,2956,3694,3634,2889,3026,3078,3205,3360,2975,3183,3305,3845,4358,3477,3472,3069,3301,3704
    + Other Inventory,BS_OTHER_INV,,,,,,,,,-1673,-1788,-2109,-2245,-2469,-2025,-2367,-2704,-3393,-4410,-5973,242,260,223,320,387,626,493,572,632,0,0,0,0,0,0
  + Other ST Assets,OTHER_CURRENT_ASSETS_DETAILED,953.3,1135,1104,1151,1142,1416,1425,1508,2670,1829,1713,1639,1675,1760,2012,2060,1962,2222,2320,2767,2736,2455,4155,3035,8164,843,1208,1397,1511,34388,5978,4018,4964,7076
    + Prepaid Expenses,BS_PREPAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Derivative & Hedging Assets,BS_DERIV_HEDGING_ASST_ST,,,,,,,,,,,,,,,,,,,,220,104,109,95,0,0,0,0,0,0,46,241,70,84,308
    + Taxes Receivable,BS_TAXES_RECEIVABLE_SHORT_TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Misc ST Assets,BS_OTHER_CUR_ASSET_LESS_PREPAY,,,,,,,,,,,,,,,,,,,,858,1009,684,1378,1071,1373,843,1208,1397,1511,2519,5737,3948,4880,6768
Total Current Assets,BS_CUR_ASSET_REPORT,9012.2002,8931,8101,7706,8228,8952,9611,9018,9828,10627,10662,11304,11835,12990,15670,17206,18844,22071,24467,23194,23510,25758,29610,29442,31483,26706,28550,32858,35503,61577,43376,42050,42443,48417
"  + Property, Plant & Equip, Net",BS_NET_FIX_ASSET,4396.2002,4607,4602,4565,4532,4420,4371,4127,3555,4460,4487,4549,4587,5080,5231,5623,5725,6296,6348,6364,6280,6201,8518,8866,8592,8732,9158,10186,12297,11574,16842,16930,16999,17386
"    + Property, Plant & Equip",BS_GROSS_FIX_ASSET,8589.2002,9233,9530,9796,10193,10326,10661,10472,9549,10455,10355,10405,10869,12082,12736,13328,13738,14877,15106,15677,15914,15980,18065,18661,18069,18494,19469,21364,24084,21329,28226,29595,30945,33030
    - Accumulated Depreciation,BS_ACCUM_DEPR,4193,4626,4928,5231,5661,5906,6290,6345,5994,5995,5868,5856,6282,7002,7505,7705,8013,8581,8758,9313,9634,9779,9547,9795,9477,9762,10311,11178,11787,9755,11384,12665,13946,15644
  + LT Investments & Receivables,BS_LT_INVEST,1094.4,1157,1063,1371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + LT Investments,BS_LONG_TERM_INVESTMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + LT Receivables,BS_LT_RECEIVABLES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Other LT Assets,BS_OTHER_ASSETS_DEF_CHRG_OTHER,1415.5,1290,2162,1976,2864,2586,2763,3295,4385,9279,10215,11157,12772,17204,19540,23096,22572,26208,26022,26204,28703,29493,51281,52286,51131,52046,51998,53876,86411,66464,101935,102424,99422,96066
    + Total Intangible Assets,BS_DISCLOSED_INTANGIBLES,,,,,,,,982,1417,5641,6771,6802,7635,11224,12127,16066,17362,19877,18806,19836,21781,21861,42990,43689,42976,42904,42743,43793,74536,61082,94824,92952,90663,89098
    + Goodwill,BS_GOODWILL,,,,,,,,,1417,5641,6771,6802,6981,9329,10111,13007,14146,16120,15363,16298,17721,17943,27801,28168,27448,27301,27059,27910,48112,36609,54285,54436,53840,53699
    + Other Intangible Assets,OTHER_INTANGIBLE_ASSETS_DETAILED,,,,,,,,,0,0,0,0,654,1895,2016,3059,3216,3757,3443,3538,4060,3918,15189,15521,15528,15603,15684,15883,26424,24473,40539,38516,36823,35399
    + Prepaid Expense,BS_PREPAID_EXPENSE_LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Deferred Tax Assets,BS_DEFERRED_TAX_ASSETS_LT,,,,,,,,,,,,,,,,,,,,2102,1970,2387,1599,1236,1491,1961,1809,1723,1646,0,0,0,,
    + Derivative & Hedging Assets,BS_DERIV_HEDGING_ASST_LT,,,,,,,,,,,,,,,,,,,,38,29,5,33,90,142,101,170,253,85,0,0,0,0,0
    + Investments in Affiliates,BS_INVEST_IN_ASSOC_CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Misc LT Assets,OTHER_NONCURRENT_ASSETS_DETAILED,1415.5,1290,2162,1976,2864,2586,2763,2313,2968,3638,3444,4355,5137,5980,7413,7030,5210,6331,7216,3887,4286,4688,6016,6503,5841,6338,6825,7150,9458,5363,6687,6258,5458,5672
Total Noncurrent Assets,BS_TOT_NON_CUR_ASSET,6906.1002,7054,7827,7912,7396,7006,7134,7422,7940,13739,14702,15706,17359,22284,24771,28719,28297,32504,32370,32568,34983,35694,59799,61152,59723,60778,61156,64062,98708,78038,118777,119354,116421,113452
Total Assets,BS_TOT_ASSET,15918.2998,15985,15928,15618,15624,15958,16745,16440,17768,24366,25364,27010,29194,35274,40441,45925,47141,54575,56837,55762,58493,61452,89409,90594,91206,87484,89706,96920,134211,139615,162153,161404,158864,161869
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Operating Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Net Income,CF_NET_INC,750.6,-1021,234,487,585,750,906,1072,1255,1531,1808,1938,2236,2361,2673,3069,3732,4224,4689,3829,4373,4979,5130,5721,6220,7608,5055,4552,5269,5537,-3519,3864,5197,3195
Cash from Operating Activities,CF_CASH_FROM_OPER,1151.3,1890,1203,1508,1357,2044,2095,2090,2305,4469,2503,2885,2853,2875,3596,4334,4803,5330,6161,5353,5906,6590,6646,6877,7321,6383,3880,5631,6322,8883,3606,7071,7168,7883
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Investing Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Change in Fixed & Intang,FIXED_INTANG_ASST_CHANGE,-1121.4,-984,-825,-799,-759,-780,-794,-819,-673,-762,-937,-793,-586,-530,-795,-929,-954,-1153,-1216,-826,-838,-929,-2932,-2291,-2187,-2089,-2087,-2394,-2302,-2219,-2107,-2442,-2775,-3166
    + Disp in Fixed & Intang,DISPOSAL_OF_FIXED_INTANG,79,64,95,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Acq of Fixed & Intang,ACQUIS_OF_FIXED_INTANG,-1200.4,-1048,-920,-846,-759,-780,-794,-819,-673,-762,-937,-793,-586,-530,-795,-929,-954,-1153,-1216,-826,-838,-929,-2932,-2291,-2187,-2089,-2087,-2394,-2302,-2219,-2107,-2442,-2775,-3166
  + Net Change in LT Investment,NET_CHG_IN_LT_INVEST_DETAILED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,596,0,0,0,0,0,0
    + Dec in LT Investment,CF_DECR_INVEST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,596,0,0,0,0,0,0
    + Inc in LT Investment,CF_INCR_INVEST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  + Net Cash From Acq & Div,CF_NT_CSH_RCVD_PD_FOR_ACQUIS_DIV,,,,,,,,,,,,,,,,,,,,-545,-2537,137,-15601,1409,-58,-338,-499,-161,-14293,125,2137,791,28,6
    + Cash from Divestitures,CF_CASH_FOR_DIVESTITURES,,,,,,,,,,,,,,,,,,,,158,205,494,425,1560,344,200,211,70,1105,134,2556,1879,94,6
    + Cash for Acq of Subs,CF_CASH_FOR_ACQUIS_SUBSIDIARIES,,,,,,,,,,,,,,,,,,,,-703,-2742,-357,-16026,-151,-402,-538,-710,-231,-15398,-9,-419,-1088,-66,0
    + Cash for JVs,CF_CASH_FOR_JOINT_VENTURES_ASSOC,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  + Other Investing Activities,OTHER_INVESTING_ACT_DETAILED,159.2,-67,-101,-227,470,126,-8,-348,-1398,-3649,-1164,-484,-502,-1231,-967,-3720,-307,-2029,-1120,267,225,120,-262,-441,278,-367,77,-1060,-378,-582,3313,287,-82,121
  + Net Cash From Disc Ops,CF_NET_CASH_DISCONTINUED_OPS_INV,,,,,,,,,,,,,,,,,,,,0,-37,-35,2974,210,-113,9000,6,,0,-416,-241,0,0,0
Cash from Investing Activities,CF_CASH_FROM_INV_ACT,-962.2,-1051,-926,-1026,-289,-654,-802,-1167,-2071,-4411,-2101,-1277,-1088,-1761,-1762,-4649,-1261,-3182,-2336,-1104,-3187,-707,-15821,-1113,-2080,6206,-2503,-3019,-16973,-3092,3102,-1364,-2829,-3039
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Financing Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Dividends Paid,CF_DVD_PAID,-253.5,-281,-264,-267,-340,-363,-356,-291,-316,-353,-387,-423,-462,-533,-660,-832,-951,-1080,-1210,-1356,-1482,-1602,-1752,-1908,-2048,-2184,-2069,-2074,-2170,-2442,-2732,-2957,-3128,-3239
  + Cash From (Repayment) Debt,PROC_FR_REPAYMNTS_BOR_DETAILED,-681.4,-245,-257,-206,-561,-391,-336,-125,549,1355,360,85,-88,-806,42,2106,-533,893,2291,-1737,470,5,9843,-2888,-552,775,3686,3079,10579,-1816,-16279,-145,-31,12423
  + Cash (Repurchase) of Equity,PROC_FR_REPURCH_EQTY_DETAILED,733.8,73,112,135,-197,-120,-363,-706,-430,-468,-362,-284,-517,-70,-649,-899,-1722,-1586,-2997,-758,-1814,-1949,522,-822,-1313,-8859,-2241,-1422,-289,-124,-47,-2327,-2803,-12870
    + Increase in Capital Stock,CF_INCR_CAP_STOCK,818.7,73,112,135,73,101,96,143,220,354,438,315,183,331,343,282,346,415,163,342,386,226,522,378,187,1141,13,31,36,27,0,0,0,0
    + Decrease in Capital Stock,CF_DECR_CAP_STOCK,-84.9,0,0,0,-270,-221,-459,-849,-650,-822,-800,-599,-700,-401,-992,-1181,-2068,-2001,-3160,-1100,-2200,-2175,0,-1200,-1500,-10000,-2254,-1453,-325,-151,-47,-2327,-2803,-12870
  + Other Financing Activities,OTHER_FIN_AND_DEC_CAP,-53.7,-64,-37,-77,-5,-2,-11,-144,-142,-185,-222,-176,-176,-162,75,-78,-37,-17,-486,-340,-314,-437,-592,-313,-336,-508,-564,-576,-155,82,24,-1256,103,-841
  + Net Cash From Disc Ops,CF_NET_CASH_DISCONTINUED_OPS_FIN,,,,,,,,,,,,,,,,,,,,0,-13,-22,0,-9,-12,-9,0,,0,-264,13760,0,0,0
Cash from Financing Activities,CFF_ACTIVITIES_DETAILED,-254.8,-517,-446,-415,-1103,-876,-1066,-1266,-339,349,-611,-798,-1243,-1571,-1192,297,-3243,-1790,-2402,-4191,-3153,-4005,8021,-5940,-4261,-10785,-1188,-993,7965,-4564,-5274,-6685,-5859,-4527
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Effect of Foreign Exchange Rates,CF_EFFECT_FOREIGN_EXCHANGES,,,,,,,,,,,,,,,,,,,,64,68,-1,30,-41,-156,-174,-120,210,-120,-19,-22,-1,-42,18
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Changes in Cash,CF_NET_CHNG_CASH,-65.7,322,-169,67,-35,514,227,-343,-105,407,-209,810,522,-457,642,-18,299,358,1423,122,-366,1877,-1124,-217,824,1630,69,1829,-2806,1208,1412,-979,-1562,335
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Paid for Taxes,CF_CASH_PAID_FOR_TAX,,,,,,,,910,888,368,496,497,396,378,758,932,1347,1818,1912,1396,-13,1432,1772,2789,2024,2060,4096,1326,1714,1768,1716,1124,2400,1527
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference Items,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Cash Paid for Acquisitions,CF_NET_CASH_PAID_FOR_AQUIS,,,,,,,,,1228,3547,1168,422,402,1097,1075,4063,911,2037,1252,703,2742,357,16026,151,402,538,710,231,15398,9,419,1088,66,0
Free Cash Flow,CF_FREE_CASH_FLOW,-49.1,842,283,662,598,1264,1301,1271,1632,3707,1566,2092,2267,2345,2801,3405,3849,4177,4945,4527,5068,5661,5257,5308,5727,4731,2181,3617,4420,7015,1811,4937,4880,5468
Free Cash Flow to Firm,CF_FREE_CASH_FLOW_FIRM,178.3283,,456.43,820.2211,774.8587,1423.7619,1447.9083,1399.837,1767.179,3899.7765,1829.8542,2403.4186,2544.8416,2618.3069,3068.9637,3769.7818,4290.1486,4651.4624,5446.9488,5038.4922,5611.6577,6138.6011,5928.9143,6070.4719,6542.9242,5367.527,3065.7884,4261.5498,5256.4915,8552.5099,,6078.5352,6052.1664,6924.5016
Free Cash Flow to Equity,FREE_CASH_FLOW_EQUITY,-606.9,643.6,104,485,158,905,1001,1130,2154,5022,1877,2143,2147,1078,2843,5511,3316,5070,7236,2790,5538,5666,15100,2420,5175,5506,5867,6696,14999,5199,-14468,4792,4849,17891
Free Cash Flow per Basic Share,FREE_CASH_FLOW_PER_SH,-0.0508,0.866,0.287,0.6568,0.5672,1.2109,1.2456,1.3553,1.7914,3.9809,1.6656,2.2246,2.4015,2.4747,2.8213,3.4352,3.9276,4.3334,5.2719,4.9368,5.5821,6.3443,5.8724,5.8912,6.3754,5.4211,2.6656,4.5785,5.5222,8.2066,1.3338,3.2878,3.3074,3.8345
Price to Free Cash Flow,PX_TO_FREE_CASH_FLOW,23.7824,4.6186,12.3607,6.96,8.1731,5.7764,7.8428,7.9216,8.9512,4.8153,13.9211,8.5678,7.6064,11.2938,10.803,9.5995,9.3889,10.4177,5.9968,8.2927,8.3177,6.795,8.2369,11.3934,10.6392,10.4524,24.2554,16.434,11.3728,10.7634,53.6147,26.1753,30.5138,21.9429
Cash Flow to Net Income,CASH_FLOW_TO_NET_INC,1.5338,,5.141,3.0965,2.3197,2.7253,2.3124,1.9496,1.8367,2.919,1.3844,1.4886,1.2759,1.2177,1.3453,1.4122,1.287,1.2618,1.3139,1.398,1.3506,1.3236,1.2955,1.2021,1.177,0.839,0.7676,1.237,1.1998,1.6043,,1.83,1.3793,2.4673
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue,SALES_REV_TURN,21442,20840,21641,20736,20801,22802,23512,23989,22787,23844,26583,27897,28212,31034,37445,42725,47829,54759,59757,52920,52275,55754,57708,56600,57900,56098,57244,59837,66501,45349,56587,64388,67074,68920
    + Sales & Services Revenue,IS_SALES_AND_SERVICES_REVENUES,,,,,,,,,,,,,,,,,,,,52425,52275,55754,57708,56600,57900,56098,57244,59837,66501,45349,56587,64388,67074,68920
  - Cost of Revenue,IS_COGS_TO_FE_AND_PP_AND_G,16015.2002,16387,16915,16237,16332,17600,17737,18288,16897,18185,18970,20087,20161,22508,27242,30935,34740,39922,43637,38861,37954,40369,42153,40468,40898,40431,41460,44201,49985,34598,48056,51897,53406,56831
    + Cost of Goods & Services,IS_COG_AND_SERVICES_SOLD,,,,,,,,,,,,,,,,,,,,38861,37954,40369,42153,40468,40898,40431,41460,44201,49985,34598,48056,51897,53406,56831
Gross Profit,GROSS_PROFIT,5426.7998,4453,4726,4499,4469,5202,5775,5701,5890,5659,7613,7810,8051,8526,10203,11790,13089,14837,16120,14059,14321,15385,15555,16132,17002,15667,15784,15636,16516,10751,8531,12491,13668,12089
  + Other Operating Income,IS_OTHER_OPER_INC,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  - Operating Expenses,IS_OPERATING_EXPN,4115.2002,4152,4550,3684,3514,3614,3994,4007,3905,4425,4473,4577,4394,4681,5902,6608,6991,7787,8495,7594,7423,7539,7871,7583,7409,8376,7612,7498,7963,5837,10420,7533,8164,8528
"    + Selling, General & Admin",IS_SGA_EXPENSE,,,,,,,,,,,,,3203,3654,4635,5241,,6109,6724,6036,5798,6161,6452,6364,6172,5886,6060,6429,7066,3711,5540,5224,5573,5809
    + Selling & Marketing,IS_SELLING_EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + General & Administrative,IS_GENERAL_AND_ADMINISTRATIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Research & Development,IS_OPERATING_EXPENSES_RD,,,,,,,,,,,,,,,,,,,,1558,1656,1951,2371,2342,2475,2279,2337,2427,2462,2452,2582,2732,2711,2805
