Date,CASH_CASH_EQTY_STI_DETAILED,BS_CASH_NEAR_CASH_ITEM,BS_MKT_SEC_OTHER_ST_INVEST,BS_ACCT_NOTE_RCV,BS_ACCTS_REC_EXCL_NOTES_REC,NOTES_RECEIVABLE,BS_UNBILLED_REVENUES,BS_INVENTORIES,INVTRY_RAW_MATERIALS,INVTRY_IN_PROGRESS,INVTRY_FINISHED_GOODS,BS_OTHER_INV,OTHER_CURRENT_ASSETS_DETAILED,BS_PREPAY,BS_DERIV_HEDGING_ASST_ST,BS_TAXES_RECEIVABLE_SHORT_TERM,BS_OTHER_CUR_ASSET_LESS_PREPAY,BS_CUR_ASSET_REPORT,BS_NET_FIX_ASSET,BS_GROSS_FIX_ASSET,BS_ACCUM_DEPR,BS_LT_INVEST,BS_LONG_TERM_INVESTMENTS,BS_LT_RECEIVABLES,BS_OTHER_ASSETS_DEF_CHRG_OTHER,BS_DISCLOSED_INTANGIBLES,BS_GOODWILL,OTHER_INTANGIBLE_ASSETS_DETAILED,BS_PREPAID_EXPENSE_LT,BS_DEFERRED_TAX_ASSETS_LT,BS_DERIV_HEDGING_ASST_LT,BS_INVEST_IN_ASSOC_CO,OTHER_NONCURRENT_ASSETS_DETAILED,BS_TOT_NON_CUR_ASSET,BS_TOT_ASSET,CF_NET_INC,CF_CASH_FROM_OPER,FIXED_INTANG_ASST_CHANGE,DISPOSAL_OF_FIXED_INTANG,ACQUIS_OF_FIXED_INTANG,NET_CHG_IN_LT_INVEST_DETAILED,CF_DECR_INVEST,CF_INCR_INVEST,CF_NT_CSH_RCVD_PD_FOR_ACQUIS_DIV,CF_CASH_FOR_DIVESTITURES,CF_CASH_FOR_ACQUIS_SUBSIDIARIES,CF_CASH_FOR_JOINT_VENTURES_ASSOC,OTHER_INVESTING_ACT_DETAILED,CF_NET_CASH_DISCONTINUED_OPS_INV,CF_CASH_FROM_INV_ACT,CF_DVD_PAID,PROC_FR_REPAYMNTS_BOR_DETAILED,PROC_FR_REPURCH_EQTY_DETAILED,CF_INCR_CAP_STOCK,CF_DECR_CAP_STOCK,OTHER_FIN_AND_DEC_CAP,CF_NET_CASH_DISCONTINUED_OPS_FIN,CFF_ACTIVITIES_DETAILED,CF_EFFECT_FOREIGN_EXCHANGES,CF_NET_CHNG_CASH,CF_CASH_PAID_FOR_TAX,CF_NET_CASH_PAID_FOR_AQUIS,CF_FREE_CASH_FLOW,CF_FREE_CASH_FLOW_FIRM,FREE_CASH_FLOW_EQUITY,FREE_CASH_FLOW_PER_SH,PX_TO_FREE_CASH_FLOW,CASH_FLOW_TO_NET_INC,SALES_REV_TURN,IS_SALES_AND_SERVICES_REVENUES,IS_COGS_TO_FE_AND_PP_AND_G,IS_COG_AND_SERVICES_SOLD,GROSS_PROFIT,IS_OTHER_OPER_INC,IS_OPERATING_EXPN,IS_SGA_EXPENSE,IS_SELLING_EXPENSES,IS_GENERAL_AND_ADMINISTRATIVE,IS_OPERATING_EXPENSES_RD,IS_OTHER_OPERATING_EXPENSES,IS_OPER_INC,IS_NONOP_INCOME_LOSS,IS_NET_INTEREST_EXPENSE,IS_INT_EXPENSE,IS_INT_INC,IS_OTHER_INVESTMENT_INCOME_LOSS,INCOME_LOSS_FROM_AFFILIATES,IS_OTHER_NON_OPERATING_INC_LOSS,PRETAX_INC,IS_ABNORMAL_ITEM,IS_DERIVATIVES_HEDGING,IS_GAIN_LOSS_DISPOSAL_ASSETS,IS_IMPAIRMENT_ASSETS,IS_IMPAIR_OF_INTANG_ASSETS,IS_SALE_OF_BUSINESS,IS_LEGAL_LITIGATION_SETTLEMENT,IS_GAIN_LOSS_ON_INVESTMENTS,IS_OTHER_ONE_TIME_ITEMS,IS_INC_TAX_EXP,IS_INC_BEF_XO_ITEM,XO_GL_NET_OF_TAX,IS_DISCONTINUED_OPERATIONS,EXTRAORD_ITEMS_ACCOUNTING_CHANGS,NI_INCLUDING_MINORITY_INT_RATIO,MIN_NONCONTROL_INTEREST_CREDITS,NET_INCOME,IS_TOT_CASH_PFD_DVD,OTHER_ADJUSTMENTS,EARN_FOR_COMMON,IS_NET_ABNORMAL_ITEMS,IS_AVG_NUM_SH_FOR_EPS,IS_EPS,IS_EARN_BEF_XO_ITEMS_PER_SH,IS_BASIC_EPS_CONT_OPS,IS_SH_FOR_DILUTED_EPS,IS_DILUTED_EPS,IS_DIL_EPS_BEF_XO,IS_DIL_EPS_CONT_OPS,ACCOUNTING_STANDARD,EBITDA,EBITDA_MARGIN,EBIT,GROSS_MARGIN,OPER_MARGIN,PROF_MARGIN,ACTUAL_SALES_PER_EMPL,RETURN_COM_EQY,RETURN_ON_ASSET,RETURN_ON_CAP,RETURN_ON_INV_CAPITAL,INCREMENTAL_OPERATING_MARGIN,PRETAX_INC_TO_NET_SALES,INC_BEF_XO_ITEMS_TO_NET_SALES,NET_INCOME_TO_COMMON_MARGIN,EFF_TAX_RATE,ESG_SCORE,ENVIRONMENTAL_SCORE,SOCIAL_SCORE,GOVERNANCE_SCORE,ESG_DISCLOSURE_SCORE,ENVIRON_DISCLOSURE_SCORE,SOCIAL_DISCLOSURE_SCORE,GOVNCE_DISCLOSURE_SCORE,NOX_EMISSIONS,VOC_EMISSIONS,PARTICULATE_EMISSIONS,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,EMISSION_REDUCTION,TRANSITION_PLAN_INDICATOR,CLIMATE_CHG_POLICY,CLIMATE_CHG_OPPORTUNITIES,CLIMATE_RISKS,GHG_SCOPE_1,GHG_SCOPE_2_LOCATION_BASED,ENERGY_EFFIC_POLICY,ENERGY_CONSUMPTION,ELECTRICITY_USED,NAT_GAS_USED,OIL_DIESEL_USED,WASTE_REDUCTION,HAZARDOUS_WASTE,TOTAL_WASTE,ENVIRON_SUPPLY_MGT,WATER_POLICY,TOTAL_WATER_WITHDRAWAL,TOTAL_WATER_DISCHARGED,BIODIVERSITY_POLICY,ADOPT_TNFD_RECOMMENDATIONS,ZERO_DEFORESTATION_POLICY,BOARD_LEVEL_OVERSIGHT_BIODIV,EXEC_LEVEL_OVERSIGHT_BIODIV,HUMAN_RIGHTS_POLICY,POLICY_AGAINST_CHILD_LABOR,QUALITY_ASSURANCE_AND_RECALL_POL,CONSUMER_DATA_PROTECTION_POLICY,COMMUNITY_SPENDING,CUSTOMER_COMPLAINTS,EQUAL_OPPORTUNITY_POLICY,GENDER_PAY_GAP_BREAKOUT,PCT_WOMEN_SENIOR_MGT,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,PCT_WOMEN_EMPLOYEES,PCT_MINORITY_EMPLOYEES,PCT_DISABLED_IN_WORKFORCE,ETHICS_POLICY,ANTI_BRIBERY_ETHICS_POLICY,HEALTH_SAFETY_POLICY,FATALITIES_EMPLOYEES,LOST_TIME_INCIDENT_RATE,TRAINING_POLICY,FAIR_REMUNERATION_POLICY,NUMBER_EMPLOYEES_CSR,EMPLOYEE_TURNOVER_PCT,EMPLOYEE_TRAINING_COST,TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,COMP_DISCLOSES_EMP_ENG_SCORE,SOCIAL_SUPPLY_CHAIN_MGMT,YEARS_AUDITOR_EMPLOYED,SIZE_OF_AUDIT_COMMITTEE,NUM_IND_DIR_ON_AUD_CMTE,AUDIT_COMMITTEE_MEETINGS,AUDIT_COMMITTEE_MTG_ATTEND_PCT,COMPANY_CONDUCTS_BRD_EVALUATIONS,BOARD_SIZE,NUM_EXECUTIVES_COMP_MANAGERS,NUM_OF_NONEXEC_DIR_ON_BRD,BOARD_MEETINGS_PER_YR,BOARD_MEETING_ATTENDANCE_PCT,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,DIRECTOR_SH_OWNERSHIP_GUIDELINES,SIZE_OF_COMPENSATION_COMMITTEE,NUM_IND_DIR_ON_CMPNSTN_CMTE,NUM_COMPENSATION_CMTE_MTG,COMPENSATION_CMTE_MTG_ATTEND_PCT,NUMBER_OF_FEMALE_EXECUTIVES,NUMBER_OF_WOMEN_ON_BOARD,AGE_OF_YOUNGEST_DIRECTOR,AGE_OF_OLDEST_DIRECTOR,INDEPENDENT_DIRECTORS,SIZE_OF_NOMINATION_COMMITTEE,NUM_IND_DIR_ON_NOM_CMTE,NUM_OF_NOMINATION_CMTE_MTG,NOMINATION_CMTE_MTG_ATTEND_PCT,VERIFICATION_TYPE,EMPLOYEE_CSR_TRAINING,BOARD_DURATION
1990-12-31 00:00:00,200.8,200.8,0,3813.8999,,,,4044.2,,,,,953.3,,,,,9012.2002,4396.2002,8589.2002,4193,1094.4,,,1415.5,,,,,,,,1415.5,6906.1002,15918.2998,750.6,1151.3,-1121.4,79,-1200.4,0,0,0,,,,,159.2,,-962.2,-253.5,-681.4,733.8,818.7,-84.9,-53.7,,-254.8,,-65.7,,,-49.1,178.3283,-606.9,-0.0508,23.7824,1.5338,21442,,16015.2002,,5426.7998,,4115.2002,,,,,,1311.6,,,361.6,,,,,1291.2,,,,,,,,,,479.1,812.1,0,,,812.1,61.5,750.6,35.9,,714.7,,966.76,0.7388,0.7388,0.7388,1065.536,0.7388,0.7388,0.7388,US GAAP,2011.5,9.3811,1311.6,25.3092,6.117,3.5006,111329.1796,14.177,4.9193,11.6411,8.8868,,6.0218,3.7874,3.3332,37.105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-12-31 00:00:00,523,523,0,3371,,,,3902,,,,,1135,,,,,8931,4607,9233,4626,1157,,,1290,,,,,,,,1290,7054,15985,-1021,1890,-984,64,-1048,0,0,0,,,,,-67,,-1051,-281,-245,73,73,0,-64,,-517,,322,,,842,,643.6,0.866,4.6186,,20840,,16387,,4453,,4152,,,,,,301,,,339,,,,,-891,,,,,,,,,,75,-966,0,,,-966,55,-1021,62,,-1083,,972.296,-1.1138,-1.1138,-1.1138,1088.0959,-1.1138,-1.1138,-1.1138,US GAAP,1065,5.1104,301,21.3676,1.4443,-4.8992,112587.7904,-23.2801,-6.4006,,,-167.8738,-4.2754,-4.6353,-5.1967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-12-31 00:00:00,354,354,0,3135,,,,3508,,,,,1104,,,,,8101,4602,9530,4928,1063,,,2162,,,,,,,,2162,7827,15928,234,1203,-825,95,-920,0,0,0,,,,,-101,,-926,-264,-257,112,112,0,-37,,-446,,-169,,,283,456.43,104,0.287,12.3607,5.141,21641,,16915,,4726,,4550,,,,,,176,,,282,,,,,200,,,,,,,,,,77,123,322,,,-199,88,234,42,,192,,985.904,0.195,0.5213,0.5213,1097.256,0.175,0.4688,0.4688,US GAAP,1028,4.7502,176,21.8382,0.8133,1.0813,121578.6517,5.238,1.4665,6.6824,1.4201,,0.9242,0.5684,0.8872,38.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-12-31 00:00:00,421,421,0,2981,,,,3153,,,,,1151,,,,,7706,4565,9796,5231,1371,,,1976,,,,,,,,1976,7912,15618,487,1508,-799,47,-846,0,0,0,,,,,-227,,-1026,-267,-206,135,135,0,-77,,-415,,67,,,662,820.2211,485,0.6568,6.96,3.0965,20736,,16237,,4499,,3684,,,,,,815,,,251,,,,,909,,,,,,,,,,336,573,0,,,573,86,487,43,,444,,1007.976,0.4413,0.4413,0.4413,1116.912,0.4125,0.4125,0.4125,US GAAP,1630,7.8607,815,21.6966,3.9304,2.3486,122989.3238,12.744,3.0876,10.3609,7.0969,,4.3837,2.7633,2.1412,36.9637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-12-30 00:00:00,386,386,0,3745,,,,2955,,,,,1142,,,,,8228,4532,10193,5661,0,,,2864,,,,,,,,2864,7396,15624,585,1357,-759,0,-759,0,0,0,,,,,470,,-289,-340,-561,-197,73,-270,-5,,-1103,,-35,,,598,774.8587,158,0.5672,8.1731,2.3197,20801,,16332,,4469,,3514,,,,,,955,,,275,,,,,1076,,,,,,,,,,384,692,0,,,692,107,585,42,,543,,1054.344,0.515,0.515,0.515,1054.344,0.515,0.515,0.515,US GAAP,1795,8.6294,955,21.4845,4.5911,2.8124,121643.2749,14.7755,3.745,12.3804,8.525,215.3846,5.1728,3.3268,2.6105,35.6877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-12-29 00:00:00,900,900,0,3682,,,,2954,,,,,1416,,,,,8952,4420,10326,5906,0,,,2586,,,,,,,,2586,7006,15958,750,2044,-780,0,-780,0,0,0,,,,,126,,-654,-363,-391,-120,101,-221,-2,,-876,,514,,,1264,1423.7619,905,1.2109,5.7764,2.7253,22802,,17600,,5202,,3614,,,,,,1588,,,244,,,,,1344,,,,,,,,,,464,880,0,,,880,130,750,27,,723,,1043.824,0.6925,0.6925,0.6925,1043.824,0.6925,0.6925,0.6925,US GAAP,2432,10.6657,1588,22.8138,6.9643,3.2892,133657.6788,18.6029,4.7495,15.0005,14.7914,31.6342,5.8942,3.8593,3.1708,34.5238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-12-31 00:00:00,1127,1127,0,3717,,,,3342,,,,,1425,,,,,9611,4371,10661,6290,0,,,2763,,,,,,,,2763,7134,16745,906,2095,-794,0,-794,0,0,0,,,,,-8,,-802,-356,-336,-363,96,-459,-11,,-1066,,227,,,1301,1447.9083,1001,1.2456,7.8428,2.3124,23512,,17737,,5775,,3994,,,,,,1781,,,221,,,,,1560,,,,,,,,,,523,1037,0,,,1037,131,906,,,906,,1044.4919,0.8625,0.8625,0.8625,1044.4919,0.8625,0.8625,0.8625,US GAAP,2634,11.2028,1781,24.5619,7.5749,3.8534,135281.9333,21.7605,5.5408,16.9955,16.9955,27.1831,6.6349,4.4105,3.8534,33.5256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-12-31 00:00:00,655,655,0,3742,,,,3113,,1275,1838,,1508,,,,,9018,4127,10472,6345,0,,,3295,982,,,,,,,2313,7422,16440,1072,2090,-819,0,-819,0,0,0,,,,,-348,,-1167,-291,-125,-706,143,-849,-144,,-1266,,-343,910,,1271,1399.837,1130,1.3553,7.9216,1.9496,23989,,18288,,5701,,4007,,,,,,1694,,,191,,,,,1736,,,,,,,,,,565,1171,0,,,1171,99,1072,32,,1040,,937.772,1.11,1.11,1.11,1014.22,1.0525,1.0525,1.0525,US GAAP,2528,10.5382,1694,23.7651,7.0616,4.4687,133198.2232,24.824,6.4608,19.3083,18.2812,,7.2367,4.8814,4.3353,32.5461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-12-31 00:00:00,550,550,0,3417,3417,,,3191,537,2532,1795,-1673,2670,,,,,9828,3555,9549,5994,0,,,4385,1417,1417,0,,,,,2968,7940,17768,1255,2305,-673,0,-673,0,0,0,,,,,-1398,,-2071,-316,549,-430,220,-650,-142,,-339,,-105,888,1228,1632,1767.179,2154,1.7914,8.9512,1.8367,22787,,16897,,5890,,3905,,,,,,1985,,197,197,,,,,1810,,,,,,,,,,568,1242,-98,,,1340,85,1255,33,,1222,,911,1.34,1.235,1.235,989.6,1.265,1.165,1.165,US GAAP,2715,11.9147,1985,25.8481,8.7111,5.5075,127444.0716,28.9197,7.3375,21.2424,19.7868,,7.9431,5.4505,5.3627,31.3812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-12-31 00:00:00,957,957,0,4337,4337,,,3504,702,2719,1871,-1788,1829,,,,,10627,4460,10455,5995,0,,,9279,5641,5641,0,,,,,3638,13739,24366,1531,4469,-762,0,-762,0,0,0,,,,,-3649,,-4411,-353,1355,-468,354,-822,-185,,349,,407,368,3547,3707,3899.7765,5022,3.9809,4.8153,2.919,23844,,18185,,5659,,4425,,,,,,1234,,260,260,,,,,1257,652,,,,,,,,,325,932,-690,,,1622,91,1531,33,,1498,652,931.2,1.61,0.87,1.57,1013.4,1.505,0.825,1.47,US GAAP,2053,8.6101,1234,23.7334,5.1753,6.4209,160782.1982,26.0635,7.2673,18.2923,8.49,,5.2718,3.9087,6.2825,25.8552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
