Date,CASH_CASH_EQTY_STI_DETAILED,BS_CASH_NEAR_CASH_ITEM,BS_MKT_SEC_OTHER_ST_INVEST,BS_ACCT_NOTE_RCV,BS_ACCTS_REC_EXCL_NOTES_REC,NOTES_RECEIVABLE,BS_UNBILLED_REVENUES,BS_INVENTORIES,INVTRY_RAW_MATERIALS,INVTRY_IN_PROGRESS,INVTRY_FINISHED_GOODS,BS_OTHER_INV,OTHER_CURRENT_ASSETS_DETAILED,BS_PREPAY,BS_DERIV_HEDGING_ASST_ST,BS_TAXES_RECEIVABLE_SHORT_TERM,BS_OTHER_CUR_ASSET_LESS_PREPAY,BS_CUR_ASSET_REPORT,BS_NET_FIX_ASSET,BS_GROSS_FIX_ASSET,BS_ACCUM_DEPR,BS_LT_INVEST,BS_LONG_TERM_INVESTMENTS,BS_LT_RECEIVABLES,BS_OTHER_ASSETS_DEF_CHRG_OTHER,BS_DISCLOSED_INTANGIBLES,BS_GOODWILL,OTHER_INTANGIBLE_ASSETS_DETAILED,BS_PREPAID_EXPENSE_LT,BS_DEFERRED_TAX_ASSETS_LT,BS_DERIV_HEDGING_ASST_LT,BS_INVEST_IN_ASSOC_CO,OTHER_NONCURRENT_ASSETS_DETAILED,BS_TOT_NON_CUR_ASSET,BS_TOT_ASSET,CF_NET_INC,CF_CASH_FROM_OPER,FIXED_INTANG_ASST_CHANGE,DISPOSAL_OF_FIXED_INTANG,ACQUIS_OF_FIXED_INTANG,NET_CHG_IN_LT_INVEST_DETAILED,CF_DECR_INVEST,CF_INCR_INVEST,CF_NT_CSH_RCVD_PD_FOR_ACQUIS_DIV,CF_CASH_FOR_DIVESTITURES,CF_CASH_FOR_ACQUIS_SUBSIDIARIES,CF_CASH_FOR_JOINT_VENTURES_ASSOC,OTHER_INVESTING_ACT_DETAILED,CF_NET_CASH_DISCONTINUED_OPS_INV,CF_CASH_FROM_INV_ACT,CF_DVD_PAID,PROC_FR_REPAYMNTS_BOR_DETAILED,PROC_FR_REPURCH_EQTY_DETAILED,CF_INCR_CAP_STOCK,CF_DECR_CAP_STOCK,OTHER_FIN_AND_DEC_CAP,CF_NET_CASH_DISCONTINUED_OPS_FIN,CFF_ACTIVITIES_DETAILED,CF_EFFECT_FOREIGN_EXCHANGES,CF_NET_CHNG_CASH,CF_CASH_PAID_FOR_TAX,CF_NET_CASH_PAID_FOR_AQUIS,CF_FREE_CASH_FLOW,CF_FREE_CASH_FLOW_FIRM,FREE_CASH_FLOW_EQUITY,FREE_CASH_FLOW_PER_SH,PX_TO_FREE_CASH_FLOW,CASH_FLOW_TO_NET_INC,SALES_REV_TURN,IS_SALES_AND_SERVICES_REVENUES,IS_COGS_TO_FE_AND_PP_AND_G,IS_COG_AND_SERVICES_SOLD,GROSS_PROFIT,IS_OTHER_OPER_INC,IS_OPERATING_EXPN,IS_SGA_EXPENSE,IS_SELLING_EXPENSES,IS_GENERAL_AND_ADMINISTRATIVE,IS_OPERATING_EXPENSES_RD,IS_OTHER_OPERATING_EXPENSES,IS_OPER_INC,IS_NONOP_INCOME_LOSS,IS_NET_INTEREST_EXPENSE,IS_INT_EXPENSE,IS_INT_INC,IS_OTHER_INVESTMENT_INCOME_LOSS,INCOME_LOSS_FROM_AFFILIATES,IS_OTHER_NON_OPERATING_INC_LOSS,PRETAX_INC,IS_ABNORMAL_ITEM,IS_DERIVATIVES_HEDGING,IS_GAIN_LOSS_DISPOSAL_ASSETS,IS_IMPAIRMENT_ASSETS,IS_IMPAIR_OF_INTANG_ASSETS,IS_SALE_OF_BUSINESS,IS_LEGAL_LITIGATION_SETTLEMENT,IS_GAIN_LOSS_ON_INVESTMENTS,IS_OTHER_ONE_TIME_ITEMS,IS_INC_TAX_EXP,IS_INC_BEF_XO_ITEM,XO_GL_NET_OF_TAX,IS_DISCONTINUED_OPERATIONS,EXTRAORD_ITEMS_ACCOUNTING_CHANGS,NI_INCLUDING_MINORITY_INT_RATIO,MIN_NONCONTROL_INTEREST_CREDITS,NET_INCOME,IS_TOT_CASH_PFD_DVD,OTHER_ADJUSTMENTS,EARN_FOR_COMMON,IS_NET_ABNORMAL_ITEMS,IS_AVG_NUM_SH_FOR_EPS,IS_EPS,IS_EARN_BEF_XO_ITEMS_PER_SH,IS_BASIC_EPS_CONT_OPS,IS_SH_FOR_DILUTED_EPS,IS_DILUTED_EPS,IS_DIL_EPS_BEF_XO,IS_DIL_EPS_CONT_OPS,ACCOUNTING_STANDARD,EBITDA,EBITDA_MARGIN,EBIT,GROSS_MARGIN,OPER_MARGIN,PROF_MARGIN,ACTUAL_SALES_PER_EMPL,RETURN_COM_EQY,RETURN_ON_ASSET,RETURN_ON_CAP,RETURN_ON_INV_CAPITAL,INCREMENTAL_OPERATING_MARGIN,PRETAX_INC_TO_NET_SALES,INC_BEF_XO_ITEMS_TO_NET_SALES,NET_INCOME_TO_COMMON_MARGIN,EFF_TAX_RATE,ESG_SCORE,ENVIRONMENTAL_SCORE,SOCIAL_SCORE,GOVERNANCE_SCORE,ESG_DISCLOSURE_SCORE,ENVIRON_DISCLOSURE_SCORE,SOCIAL_DISCLOSURE_SCORE,GOVNCE_DISCLOSURE_SCORE,NOX_EMISSIONS,VOC_EMISSIONS,PARTICULATE_EMISSIONS,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,EMISSION_REDUCTION,TRANSITION_PLAN_INDICATOR,CLIMATE_CHG_POLICY,CLIMATE_CHG_OPPORTUNITIES,CLIMATE_RISKS,GHG_SCOPE_1,GHG_SCOPE_2_LOCATION_BASED,ENERGY_EFFIC_POLICY,ENERGY_CONSUMPTION,ELECTRICITY_USED,NAT_GAS_USED,OIL_DIESEL_USED,WASTE_REDUCTION,HAZARDOUS_WASTE,TOTAL_WASTE,ENVIRON_SUPPLY_MGT,WATER_POLICY,TOTAL_WATER_WITHDRAWAL,TOTAL_WATER_DISCHARGED,BIODIVERSITY_POLICY,ADOPT_TNFD_RECOMMENDATIONS,ZERO_DEFORESTATION_POLICY,BOARD_LEVEL_OVERSIGHT_BIODIV,EXEC_LEVEL_OVERSIGHT_BIODIV,HUMAN_RIGHTS_POLICY,POLICY_AGAINST_CHILD_LABOR,QUALITY_ASSURANCE_AND_RECALL_POL,CONSUMER_DATA_PROTECTION_POLICY,COMMUNITY_SPENDING,CUSTOMER_COMPLAINTS,EQUAL_OPPORTUNITY_POLICY,GENDER_PAY_GAP_BREAKOUT,PCT_WOMEN_SENIOR_MGT,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,PCT_WOMEN_EMPLOYEES,PCT_MINORITY_EMPLOYEES,PCT_DISABLED_IN_WORKFORCE,ETHICS_POLICY,ANTI_BRIBERY_ETHICS_POLICY,HEALTH_SAFETY_POLICY,FATALITIES_EMPLOYEES,LOST_TIME_INCIDENT_RATE,TRAINING_POLICY,FAIR_REMUNERATION_POLICY,NUMBER_EMPLOYEES_CSR,EMPLOYEE_TURNOVER_PCT,EMPLOYEE_TRAINING_COST,TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,COMP_DISCLOSES_EMP_ENG_SCORE,SOCIAL_SUPPLY_CHAIN_MGMT,YEARS_AUDITOR_EMPLOYED,SIZE_OF_AUDIT_COMMITTEE,NUM_IND_DIR_ON_AUD_CMTE,AUDIT_COMMITTEE_MEETINGS,AUDIT_COMMITTEE_MTG_ATTEND_PCT,COMPANY_CONDUCTS_BRD_EVALUATIONS,BOARD_SIZE,NUM_EXECUTIVES_COMP_MANAGERS,NUM_OF_NONEXEC_DIR_ON_BRD,BOARD_MEETINGS_PER_YR,BOARD_MEETING_ATTENDANCE_PCT,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,DIRECTOR_SH_OWNERSHIP_GUIDELINES,SIZE_OF_COMPENSATION_COMMITTEE,NUM_IND_DIR_ON_CMPNSTN_CMTE,NUM_COMPENSATION_CMTE_MTG,COMPENSATION_CMTE_MTG_ATTEND_PCT,NUMBER_OF_FEMALE_EXECUTIVES,NUMBER_OF_WOMEN_ON_BOARD,AGE_OF_YOUNGEST_DIRECTOR,AGE_OF_OLDEST_DIRECTOR,INDEPENDENT_DIRECTORS,SIZE_OF_NOMINATION_COMMITTEE,NUM_IND_DIR_ON_NOM_CMTE,NUM_OF_NOMINATION_CMTE_MTG,NOMINATION_CMTE_MTG_ATTEND_PCT,VERIFICATION_TYPE,EMPLOYEE_CSR_TRAINING,BOARD_DURATION
1990-12-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,#N/A Requesting Data...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#N/A Requesting Data...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-12-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-12-31 00:00:00,0,0,0,59.487,,,,60.89,,,,,12.231,,,,,132.608,261.666,713.046,451.38,0,,,53.032,,,,,,,,53.032,314.698,447.306,38.986,77.807,-38.735,0,-38.735,0,0,0,,,,,-23.945,,-62.68,0,-2.385,0,0,0,-12.46,,-14.845,,0.282,,,39.072,39.7904,,,,1.9958,408.321,,309.938,,98.383,,43.263,,,,,,55.12,,,1.042,,,,,56.546,,,,,,,,,,17.56,38.986,0,,,38.986,0,38.986,0,,38.986,,,,,,,,,,US GAAP,97.124,23.7862,55.12,24.0945,13.4992,9.5479,,,,,,,13.8484,9.5479,9.5479,31.0544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-12-31 00:00:00,0,0,0,68.654,,,,61.191,,,,,14.708,,,,,144.553,278.31,744.264,465.954,0,,,61.542,,,,,,,,61.542,339.852,484.405,30.489,83.142,-45.912,0,-45.912,0,0,0,,,,,-16.191,,-62.103,0,-3.23,0,0,0,-14.917,,-18.147,,2.892,,,37.23,39.3261,34,,,2.727,452.906,,329.461,,123.445,,44.663,,,,,,78.782,,,3.234,,,,,74.058,,,,,,,,,,26.057,48.001,17.512,,,30.489,0,30.489,0,,30.489,,,,,,,,,,US GAAP,115.806,25.5695,78.782,27.2562,17.3948,6.7319,150968.6686,12.1878,6.5447,8.7006,12.987,53.0717,16.3517,10.5984,6.7319,35.1846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-12-30 00:00:00,0,0,0,65.962,,,,69.019,,,,,53.052,,,,,188.033,291.622,777.962,486.34,0,,,114.236,,,,,,,,114.236,405.858,593.891,53.704,79.471,-47.032,0,-47.032,0,0,0,,,,,-77.702,,-124.734,-10.15,-132.846,187.268,188.565,-1.297,0,,44.272,,-0.991,,,32.439,36.8688,-100.407,0.7207,24.6275,1.4798,501.66,,362.517,,139.143,,47.256,,,,,,91.887,,,6.865,,,,,90.42,,,,,,,,,,32.075,58.345,4.641,,,53.704,0,53.704,0,,53.704,,45.008,1.19,1.3,,45.008,1.19,1.3,1.3,US GAAP,134.715,26.8538,91.887,27.7365,18.3166,10.7053,125415.0009,20.5874,9.9609,13.4031,13.3905,26.8799,18.0242,11.6304,10.7053,35.4733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-12-29 00:00:00,0,0,0,94.759,,,,113.402,,,,,106.194,,,,,314.355,392.223,919.862,527.639,0,,,82.793,,,,,,,,82.793,475.016,789.371,67.551,128.591,-71.637,0,-71.637,0,0,0,,,,,-156.386,,-228.023,-20.275,118.998,0,0,0,0,,98.723,,-0.709,,,56.954,63.2886,175.952,1.236,16.6868,1.9036,664.406,,497.242,,167.164,,59.599,,,,,,107.565,,,9.733,,,,,103.791,,,,,,,,,,36.24,67.551,0,,,67.551,0,67.551,0,,67.551,,46.079,1.47,1.47,,46.079,1.47,1.47,1.47,US GAAP,163.239,24.5692,107.565,25.1599,16.1896,10.1671,166101.5015,16.8917,9.7669,12.9407,12.0423,9.6334,15.6216,10.1671,10.1671,34.9163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-12-31 00:00:00,0,0,0,134.207,,,,113.774,19.807,14.682,85.363,,23.185,,,,,271.166,408.82,981.214,572.394,0,,,88.932,,,,,,,,88.932,497.752,768.918,78.628,134.945,-79.503,0,-79.503,0,0,0,,,,,68.15,,-11.353,-21.196,-103.729,0,0,0,0,,-124.925,,-1.333,29.229,,55.442,62.132,-48.287,1.2032,19.3236,1.7162,721.947,,539.437,,182.51,,61.834,,,,,,120.676,,,10.121,,,,,118.953,,,,,,,,,,40.325,78.628,0,,,78.628,0,78.628,0,,78.628,,46.079,1.71,1.71,1.71,46.101,1.71,1.71,1.71,US GAAP,181.886,25.1938,120.676,25.2802,16.7154,10.8911,180486.7554,17.3855,10.0916,13.4614,12.3498,22.7855,16.4767,10.8911,10.8911,33.8999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-12-31 00:00:00,18.661,18.661,0,147.432,,,,132.583,23.161,7.886,101.536,,23.336,,,,,322.012,591.42,1242.677,651.257,0,,,192.281,148.481,,,,,,,43.8,783.701,1105.713,98.529,195.618,-86.44,0,-86.44,0,0,0,,,,,-246.929,,-333.369,-22.134,183.58,0.164,0.164,0,-0.938,,160.672,,22.921,54.181,,109.178,120.1893,292.758,2.3672,15.4457,1.9854,900.863,,665.594,,235.269,,72.499,,,,,,162.77,,,16.899,,,,,151.212,0,,,,,,,,,52.683,98.529,0,,,98.529,0,98.529,0,,98.529,,46.122,2.14,2.14,2.14,46.238,2.13,2.13,2.13,US GAAP,242.49,26.9175,162.77,26.116,18.0682,10.9372,180172.5952,18.8968,10.5118,14.7396,13.6857,23.5272,16.7852,10.9372,10.9372,34.8405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-12-31 00:00:00,14.586,14.586,0,171.511,,,,157.104,25.307,12.342,127.904,-8.449,26.187,,,,,369.388,777.528,1502.512,724.984,0,,,441.673,375.978,,,,,,,65.695,1219.201,1588.589,115.613,222.573,-123.926,0,-123.926,0,0,0,,,,,-381.896,,-505.822,-23.233,302.29,1.862,1.862,0,-1.745,,279.174,,-4.075,59.466,,98.647,114.4206,400.937,2.1235,29.2848,1.9252,1057.691,,776.043,,281.648,,85.094,,,,,,196.554,,,23.759,,,,,174.142,1.4,,,,,,,,,58.529,115.613,0,,,115.613,0,115.613,0,,115.613,,46.454,2.49,2.49,2.52,46.708,2.48,2.48,2.51,US GAAP,295.319,27.9211,196.554,26.6286,18.5833,10.9307,185559.8316,18.806,8.582,12.1687,11.4214,21.5421,16.4644,10.9307,10.9307,33.6099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-12-31 00:00:00,3.403,3.403,0,197.554,197.554,,,172.865,25.862,9.972,143.776,0,29.543,,,,,403.365,846.993,1653.208,806.215,0,,,492.216,406.824,375.327,,,,,,85.392,1339.209,1742.574,125.781,223.676,-137.82,0,-137.82,0,0,0,,,,,-76.741,,-214.561,-24.276,14.662,-10.684,2.022,-12.706,0,,-20.298,,-11.183,71.644,77.08,85.856,111.3672,100.518,1.8397,22.286,1.7783,1434.119,,1123.42,,310.699,,95.41,,,,,,215.289,,39.411,39.411,,,,,194.313,,,,,,,,,,68.532,125.781,,,,125.781,,125.781,,,125.781,,46.668,2.7,2.7,2.7,46.947,2.68,2.68,2.68,US GAAP,340.043,23.7109,215.289,21.6648,15.0119,8.7706,235101.4754,17.4489,7.5518,11.2018,9.4971,4.977,13.5493,8.7706,8.7706,35.2689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
