Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
Martin Marietta Materials Inc (MLM US) - By Measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Millions of USD except Per Share,,Q1 2001,,Q2 2001,,Q3 2001,,Q4 2001,,Q1 2002,,Q2 2002,,Q3 2002,,Q4 2002,,Q1 2003,,Q2 2003,,Q3 2003,,Q4 2003,,Q1 2004,,Q2 2004,
3 Months Ending,,03/31/2001,,06/30/2001,,09/30/2001,,12/31/2001,,03/31/2002,,06/30/2002,,09/30/2002,,12/31/2002,,03/31/2003,,06/30/2003,,09/30/2003,,12/31/2003,,03/31/2004,,06/30/2004,
Revenue,,300.831,1.0,477.409,1.0,499.697,1.0,440.113,1.0,331.828,1.0,475.3738,1.0,473.044,1.0,400.8,1.0,323.669,1.0,471.887,1.0,511.859,1.0,431.6,1.0,344.871,1.0,467.547,1.0
  Aggregates Products,,232.739,0.88273065865629,393.873,0.937306350513305,414.86,0.949305971891061,364.707,0.936757857750129,271.194,0.935374278707692,405.129,0.953657583518512,411.303,0.958428775489755,365.088,0.952605596317828,263.211,0.929739104633665,394.102,0.947032757891499,428.13,0.951207644676299,531.597,0.945706935934932,281.328,0.914097073750837,386.749,0.931131035213336
  Adjustment,,37.173,,57.191,,62.683,,50.784,,41.897,,50.5578,,43.901,,17.548,,40.567,,55.743,,61.768,,-130.516,,37.105,,52.193,
  Specialty Products,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,26.438,0.0859029262491633,28.605,0.0688689647866639
  Magnesia Specialities,,30.919,0.11726934134371,26.345,0.062693649486695,22.154,0.0506940281089393,24.622,0.0632421422498709,18.737,0.0646257212923075,19.687,0.0463424164814885,17.84,0.0415712245102448,18.164,0.0473944036821726,19.891,0.0702608953663344,22.042,0.0529672421085009,21.961,0.0487923553237012,30.519,0.0542930640650684,—,,—,
Gross Profit,,27.164,1.0,93.461,1.0,105.882,1.0,77.243,1.0,28.001,1.0,109.08,1.0,97.323,1.0,64.159,1.0,21.693,1.0,101.134,1.0,104.138,1.0,81.217,1.0,32.562,1.0,103.631,1.0
