Date,CASH_CASH_EQTY_STI_DETAILED,BS_CASH_NEAR_CASH_ITEM,BS_MKT_SEC_OTHER_ST_INVEST,BS_ACCT_NOTE_RCV,BS_ACCTS_REC_EXCL_NOTES_REC,NOTES_RECEIVABLE,BS_UNBILLED_REVENUES,BS_INVENTORIES,INVTRY_RAW_MATERIALS,INVTRY_IN_PROGRESS,INVTRY_FINISHED_GOODS,BS_OTHER_INV,OTHER_CURRENT_ASSETS_DETAILED,BS_PREPAY,BS_DERIV_HEDGING_ASST_ST,BS_TAXES_RECEIVABLE_SHORT_TERM,BS_OTHER_CUR_ASSET_LESS_PREPAY,BS_CUR_ASSET_REPORT,BS_NET_FIX_ASSET,BS_GROSS_FIX_ASSET,BS_ACCUM_DEPR,BS_LT_INVEST,BS_LONG_TERM_INVESTMENTS,BS_LT_RECEIVABLES,BS_OTHER_ASSETS_DEF_CHRG_OTHER,BS_DISCLOSED_INTANGIBLES,BS_GOODWILL,OTHER_INTANGIBLE_ASSETS_DETAILED,BS_PREPAID_EXPENSE_LT,BS_DEFERRED_TAX_ASSETS_LT,BS_DERIV_HEDGING_ASST_LT,BS_INVEST_IN_ASSOC_CO,OTHER_NONCURRENT_ASSETS_DETAILED,BS_TOT_NON_CUR_ASSET,BS_TOT_ASSET,CF_NET_INC,CF_CASH_FROM_OPER,FIXED_INTANG_ASST_CHANGE,DISPOSAL_OF_FIXED_INTANG,ACQUIS_OF_FIXED_INTANG,NET_CHG_IN_LT_INVEST_DETAILED,CF_DECR_INVEST,CF_INCR_INVEST,CF_NT_CSH_RCVD_PD_FOR_ACQUIS_DIV,CF_CASH_FOR_DIVESTITURES,CF_CASH_FOR_ACQUIS_SUBSIDIARIES,CF_CASH_FOR_JOINT_VENTURES_ASSOC,OTHER_INVESTING_ACT_DETAILED,CF_NET_CASH_DISCONTINUED_OPS_INV,CF_CASH_FROM_INV_ACT,CF_DVD_PAID,PROC_FR_REPAYMNTS_BOR_DETAILED,PROC_FR_REPURCH_EQTY_DETAILED,CF_INCR_CAP_STOCK,CF_DECR_CAP_STOCK,OTHER_FIN_AND_DEC_CAP,CF_NET_CASH_DISCONTINUED_OPS_FIN,CFF_ACTIVITIES_DETAILED,CF_EFFECT_FOREIGN_EXCHANGES,CF_NET_CHNG_CASH,CF_CASH_PAID_FOR_TAX,CF_NET_CASH_PAID_FOR_AQUIS,CF_FREE_CASH_FLOW,CF_FREE_CASH_FLOW_FIRM,FREE_CASH_FLOW_EQUITY,FREE_CASH_FLOW_PER_SH,PX_TO_FREE_CASH_FLOW,CASH_FLOW_TO_NET_INC,SALES_REV_TURN,IS_SALES_AND_SERVICES_REVENUES,IS_COGS_TO_FE_AND_PP_AND_G,IS_COG_AND_SERVICES_SOLD,GROSS_PROFIT,IS_OTHER_OPER_INC,IS_OPERATING_EXPN,IS_SGA_EXPENSE,IS_SELLING_EXPENSES,IS_GENERAL_AND_ADMINISTRATIVE,IS_OPERATING_EXPENSES_RD,IS_OTHER_OPERATING_EXPENSES,IS_OPER_INC,IS_NONOP_INCOME_LOSS,IS_NET_INTEREST_EXPENSE,IS_INT_EXPENSE,IS_INT_INC,IS_OTHER_INVESTMENT_INCOME_LOSS,INCOME_LOSS_FROM_AFFILIATES,IS_OTHER_NON_OPERATING_INC_LOSS,PRETAX_INC,IS_ABNORMAL_ITEM,IS_DERIVATIVES_HEDGING,IS_GAIN_LOSS_DISPOSAL_ASSETS,IS_IMPAIRMENT_ASSETS,IS_IMPAIR_OF_INTANG_ASSETS,IS_SALE_OF_BUSINESS,IS_LEGAL_LITIGATION_SETTLEMENT,IS_GAIN_LOSS_ON_INVESTMENTS,IS_OTHER_ONE_TIME_ITEMS,IS_INC_TAX_EXP,IS_INC_BEF_XO_ITEM,XO_GL_NET_OF_TAX,IS_DISCONTINUED_OPERATIONS,EXTRAORD_ITEMS_ACCOUNTING_CHANGS,NI_INCLUDING_MINORITY_INT_RATIO,MIN_NONCONTROL_INTEREST_CREDITS,NET_INCOME,IS_TOT_CASH_PFD_DVD,OTHER_ADJUSTMENTS,EARN_FOR_COMMON,IS_NET_ABNORMAL_ITEMS,IS_AVG_NUM_SH_FOR_EPS,IS_EPS,IS_EARN_BEF_XO_ITEMS_PER_SH,IS_BASIC_EPS_CONT_OPS,IS_SH_FOR_DILUTED_EPS,IS_DILUTED_EPS,IS_DIL_EPS_BEF_XO,IS_DIL_EPS_CONT_OPS,ACCOUNTING_STANDARD,EBITDA,EBITDA_MARGIN,EBIT,GROSS_MARGIN,OPER_MARGIN,PROF_MARGIN,ACTUAL_SALES_PER_EMPL,RETURN_COM_EQY,RETURN_ON_ASSET,RETURN_ON_CAP,RETURN_ON_INV_CAPITAL,INCREMENTAL_OPERATING_MARGIN,PRETAX_INC_TO_NET_SALES,INC_BEF_XO_ITEMS_TO_NET_SALES,NET_INCOME_TO_COMMON_MARGIN,EFF_TAX_RATE,ESG_SCORE,ENVIRONMENTAL_SCORE,SOCIAL_SCORE,GOVERNANCE_SCORE,ESG_DISCLOSURE_SCORE,ENVIRON_DISCLOSURE_SCORE,SOCIAL_DISCLOSURE_SCORE,GOVNCE_DISCLOSURE_SCORE,NOX_EMISSIONS,VOC_EMISSIONS,PARTICULATE_EMISSIONS,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,EMISSION_REDUCTION,TRANSITION_PLAN_INDICATOR,CLIMATE_CHG_POLICY,CLIMATE_CHG_OPPORTUNITIES,CLIMATE_RISKS,GHG_SCOPE_1,GHG_SCOPE_2_LOCATION_BASED,ENERGY_EFFIC_POLICY,ENERGY_CONSUMPTION,ELECTRICITY_USED,NAT_GAS_USED,OIL_DIESEL_USED,WASTE_REDUCTION,HAZARDOUS_WASTE,TOTAL_WASTE,ENVIRON_SUPPLY_MGT,WATER_POLICY,TOTAL_WATER_WITHDRAWAL,TOTAL_WATER_DISCHARGED,BIODIVERSITY_POLICY,ADOPT_TNFD_RECOMMENDATIONS,ZERO_DEFORESTATION_POLICY,BOARD_LEVEL_OVERSIGHT_BIODIV,EXEC_LEVEL_OVERSIGHT_BIODIV,HUMAN_RIGHTS_POLICY,POLICY_AGAINST_CHILD_LABOR,QUALITY_ASSURANCE_AND_RECALL_POL,CONSUMER_DATA_PROTECTION_POLICY,COMMUNITY_SPENDING,CUSTOMER_COMPLAINTS,EQUAL_OPPORTUNITY_POLICY,GENDER_PAY_GAP_BREAKOUT,PCT_WOMEN_SENIOR_MGT,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,PCT_WOMEN_EMPLOYEES,PCT_MINORITY_EMPLOYEES,PCT_DISABLED_IN_WORKFORCE,ETHICS_POLICY,ANTI_BRIBERY_ETHICS_POLICY,HEALTH_SAFETY_POLICY,FATALITIES_EMPLOYEES,LOST_TIME_INCIDENT_RATE,TRAINING_POLICY,FAIR_REMUNERATION_POLICY,NUMBER_EMPLOYEES_CSR,EMPLOYEE_TURNOVER_PCT,EMPLOYEE_TRAINING_COST,TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,COMP_DISCLOSES_EMP_ENG_SCORE,SOCIAL_SUPPLY_CHAIN_MGMT,YEARS_AUDITOR_EMPLOYED,SIZE_OF_AUDIT_COMMITTEE,NUM_IND_DIR_ON_AUD_CMTE,AUDIT_COMMITTEE_MEETINGS,AUDIT_COMMITTEE_MTG_ATTEND_PCT,COMPANY_CONDUCTS_BRD_EVALUATIONS,BOARD_SIZE,NUM_EXECUTIVES_COMP_MANAGERS,NUM_OF_NONEXEC_DIR_ON_BRD,BOARD_MEETINGS_PER_YR,BOARD_MEETING_ATTENDANCE_PCT,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,DIRECTOR_SH_OWNERSHIP_GUIDELINES,SIZE_OF_COMPENSATION_COMMITTEE,NUM_IND_DIR_ON_CMPNSTN_CMTE,NUM_COMPENSATION_CMTE_MTG,COMPENSATION_CMTE_MTG_ATTEND_PCT,NUMBER_OF_FEMALE_EXECUTIVES,NUMBER_OF_WOMEN_ON_BOARD,AGE_OF_YOUNGEST_DIRECTOR,AGE_OF_OLDEST_DIRECTOR,INDEPENDENT_DIRECTORS,SIZE_OF_NOMINATION_COMMITTEE,NUM_IND_DIR_ON_NOM_CMTE,NUM_OF_NOMINATION_CMTE_MTG,NOMINATION_CMTE_MTG_ATTEND_PCT,VERIFICATION_TYPE,EMPLOYEE_CSR_TRAINING,BOARD_DURATION
1990-12-31 00:00:00,18.552,18.552,0,137.873,,,,113.016,,,,,25.871,,,,,295.312,720.691,1524.793,804.102,,,,101.994,,,,,,,,101.994,822.685,1117.9969,120.278,198.53,-115.544,4.342,-119.886,,,,,,,,-134.079,,-249.623,-46.416,89.456,-57.66,1.582,-59.242,0,,-14.62,,-65.713,,,78.644,83.8503,172.442,0.6751,16.7873,1.6506,1105.3101,,813.889,,291.4211,,101.317,,,,,,190.104,,,7.758,,,,,179.229,,,,,,,,,,58.951,120.278,0,,,120.278,,120.278,0,,120.278,,116.49,1.0333,1.0333,1.0333,116.49,1.0333,1.0333,1.0333,US GAAP,290.265,26.261,190.104,26.3656,17.1992,10.8818,167471.2211,17.902,11.3441,16.0204,14.7879,,16.2153,10.8818,10.8818,32.8914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-12-31 00:00:00,18.993,18.993,0,130.439,,,,112.636,,,,,23.079,,,,,285.147,675.44,1553.708,878.268,,,,112.524,,,,,,,,112.524,787.964,1073.111,52.58,182.306,-61.018,2.627,-63.645,,,,,,,,-37.694,,-98.712,-45.664,-33.31,-4.179,1.038,-5.217,0,,-83.153,,0.441,,,118.661,126.6826,87.978,1.035,11.5942,3.4672,1007.478,,795.346,,212.132,,98.859,,,,,,113.273,,,11.205,,,,,73.447,,,,,,,,,,20.867,52.58,0,,,52.58,,52.58,0,,52.58,,114.648,0.46,0.46,0.46,114.648,0.46,0.46,0.46,US GAAP,222.998,22.1343,113.273,21.0557,11.2432,5.219,157418.4417,7.7147,4.7994,7.3719,9.0155,-78.5336,7.2902,5.219,5.219,28.411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-12-31 00:00:00,15.669,15.669,0,142.454,,,,107.948,,,,,38.758,,,,,304.829,663.721,1624.433,960.712,,,,115.365,,,,,,,,115.365,779.086,1083.915,93.985,200.383,-66.267,8.924,-75.191,,,,,,,,-44.425,,-110.692,-45.095,-16.213,-31.707,0.717,-32.424,0,,-93.015,,-3.324,,,125.192,131.9901,117.903,1.1046,14.5607,2.1321,1078.035,,828.951,,249.084,,105.749,,,,,,143.335,,,9.768,,,,,130.726,,,,,,,,,,39.746,90.98,-3.005,,,93.985,,93.985,0,,93.985,,113.34,0.83,0.8033,0.8033,113.34,0.83,0.8033,0.8033,US GAAP,246.68,22.8824,143.335,23.1054,13.296,8.7182,171853.1857,13.5911,8.7143,12.4749,11.3437,42.6067,12.1263,8.4394,8.7182,30.404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-12-31 00:00:00,13.996,13.996,0,141.606,,,,105.017,,,,,41.994,,,,,302.613,657.785,1698.005,1040.22,56.505,,,61.648,,,,,,,,61.648,775.938,1078.551,88.229,193.018,-89.968,6.009,-95.977,0,0,0,,,,,-13.843,,-103.811,-46.296,-4.598,-39.986,0,-39.986,0,,-90.88,,-1.673,,,97.041,103.5027,98.452,0.8748,17.8605,2.1877,1133.489,,886.764,,246.725,,116.072,,,,,,130.653,,,9.171,,,,,125.222,,,,,,,,,,36.993,88.229,0,,,88.229,0,88.229,0,,88.229,,110.925,0.7967,0.7967,0.7967,110.925,0.7967,0.7967,0.7967,US GAAP,233.433,20.5942,130.653,21.7669,11.5266,7.7838,179918.8911,12.5765,8.16,11.7253,10.4447,,11.0475,7.7838,7.7838,29.5419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-12-30 00:00:00,7.717,7.717,0,170.954,,,,112.481,,,,,45.646,,,,,336.798,701.757,1808.8879,1107.131,58.138,,,84.451,,,,,,,,84.451,844.346,1181.144,97.976,208.259,-84.732,15.358,-100.09,0,0,0,,,,,-89.652,,-174.384,-48.109,36.567,-28.612,0,-28.612,0,,-40.154,,-6.279,,,108.169,114.7638,160.094,0.9829,17.1683,2.1256,1253.36,,985.198,,268.162,,130.562,,,,,,137.6,,,9.821,,,,,145.906,,,,,,,,,,47.93,97.976,0,,,97.976,0,97.976,0,,97.976,,110.049,0.89,0.89,0.89,110.049,0.89,0.89,0.89,US GAAP,244.295,19.4912,137.6,21.3954,10.9785,7.8171,185600.4716,13.6591,8.6716,12.4257,10.0442,5.7954,11.6412,7.8171,7.8171,32.8499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-12-29 00:00:00,21.869,21.869,0,170.757,,,,126.801,,,,,42.694,,,,,362.121,698.033,1859.436,1161.403,56.272,,,99.368,,,,,,,,99.368,853.673,1215.7939,166.24,266.456,-77.293,31.881,-109.174,0,0,0,,,,,-29.085,,-106.378,-51.848,-43.93,-50.148,0,-50.148,0,,-145.926,,14.152,,,157.282,164.4219,145.233,1.459,13.1651,1.6028,1460.974,,1044.71,,416.264,,166.176,,,,,,250.088,,,11.099,,,,,258.4206,,,,,,,,,,92.181,166.24,0,,,166.2396,0,166.24,0,,166.24,,107.799,1.5433,1.5433,1.5433,107.799,1.5433,1.5433,1.5433,US GAAP,360.765,24.6935,250.088,28.4922,17.1179,11.3787,211184.4462,21.7554,13.871,19.5464,16.5644,54.1813,17.6882,11.3787,11.3787,35.6709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-12-31 00:00:00,50.816,50.816,0,176.864,,,,128.578,40.246,0.873,87.459,,37.787,,,,,394.045,764.49,2002.1639,1237.674,61.274,,,100.836,,,,,,,,100.836,926.6,1320.645,188.595,345.532,-139.815,11.952,-151.767,0,0,0,,,,,-65.998,,-205.813,-58.399,-7.191,-45.182,0,-45.182,0,,-110.772,,28.947,85.492,,193.765,199.4682,198.526,1.8582,10.9199,1.8321,1568.9449,,1115.442,,453.5029,,179.015,,,,,,274.488,,,8.636,,,,,285.58,,,,,,,,,,96.985,188.595,0,,,188.595,0,188.595,0,,188.595,,104.274,1.81,1.81,1.81,105.519,1.7867,1.7867,1.7867,US GAAP,387.088,24.6719,274.488,28.905,17.4951,12.0205,226529.7352,22.4478,14.8708,20.7244,17.7024,22.5987,18.202,12.0205,12.0205,33.9607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-12-31 00:00:00,128.566,128.566,0,189.389,,,,132.359,41.624,0.617,90.118,,36.818,,,,,487.132,808.419,2120.2,1311.781,63.482,,,90.213,59.345,,,,,,,30.868,962.114,1449.246,209.145,345.814,-144.792,16.446,-161.238,0,0,0,,,,,-11.936,,-156.728,-63.622,-4.654,-43.06,0,-43.06,0,,-111.336,,77.75,92.315,,184.576,189.388,196.368,1.8188,18.7169,1.6535,1678.5811,,1199.453,,479.1281,,195.558,,,,,,283.57,,,6.914,,,,,300.501,0,,,,,,,,,91.356,209.145,0,,,209.145,0,209.145,0,,209.145,,101.484,2.06,2.06,2.06,102.849,2.0333,2.0333,2.0333,US GAAP,404.194,24.0795,283.57,28.5436,16.8934,12.4596,233785.6622,22.3069,15.1013,20.7725,17.6555,8.2838,17.9021,12.4596,12.4596,30.4012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-12-31 00:00:00,180.568,180.568,0,210.69,,,,143.68,42.683,1.183,99.814,0,41.443,,,,,576.381,895.785,2280.7561,1384.9709,71.034,,,115.411,94.008,,,,,,,21.403,1082.23,1658.611,255.908,355.745,-176.204,27.054,-203.258,0,0,0,,,,,-24.566,,-200.77,-70.015,-6.719,-65.003,0,-65.003,38.756,,-102.981,,51.994,112.995,,152.487,157.1171,172.822,1.512,29.0049,1.3901,1776.434,,1226.764,,549.6699,,206.807,,,,,,342.863,,,6.782,,,,,374.844,-5.125,,,,,,,,,118.936,255.908,0,,,255.908,0,255.908,0,,255.908,,100.854,2.54,2.54,2.4867,102.177,2.5,2.5,2.4533,US GAAP,480.655,27.0573,342.863,30.9423,19.3006,14.4057,254832.0126,23.8587,16.4685,22.4553,18.6685,60.594,21.1009,14.4057,14.4057,31.7295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-12-31 00:00:00,52.834,52.834,0,314.357,,,,178.734,46.769,0.933,131.032,0,78.799,,,,,624.724,1639.715,3149.897,1510.182,77.064,,,497.99,454.783,,,,,,,43.207,2214.769,2839.4929,239.693,402.969,-211.583,103.067,-314.65,0,0,0,,,,,-764.306,,-975.889,-78.73,490.761,-12.508,0,-12.508,45.671,,445.194,,-127.726,85.756,,88.319,121.4379,682.147,0.8754,45.6243,1.6812,2607.771,,2021.3199,,586.451,,228.357,,,,,,358.094,,,48.576,,,,,351.561,0,,,,,,,,,111.868,239.693,0,,,239.693,0,239.693,0,0,239.693,,100.895,2.38,2.38,2.38,102.19,2.35,2.35,2.35,US GAAP,565.202,21.6738,358.094,22.4886,13.7318,9.1915,282134.6961,19.3507,10.6575,15.8779,12.8984,1.8321,13.4813,9.1915,9.1915,31.8204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
