Date,CASH_CASH_EQTY_STI_DETAILED,BS_CASH_NEAR_CASH_ITEM,BS_MKT_SEC_OTHER_ST_INVEST,BS_ACCT_NOTE_RCV,BS_ACCTS_REC_EXCL_NOTES_REC,NOTES_RECEIVABLE,BS_UNBILLED_REVENUES,BS_INVENTORIES,INVTRY_RAW_MATERIALS,INVTRY_IN_PROGRESS,INVTRY_FINISHED_GOODS,BS_OTHER_INV,OTHER_CURRENT_ASSETS_DETAILED,BS_PREPAY,BS_DERIV_HEDGING_ASST_ST,BS_TAXES_RECEIVABLE_SHORT_TERM,BS_OTHER_CUR_ASSET_LESS_PREPAY,BS_CUR_ASSET_REPORT,BS_NET_FIX_ASSET,BS_GROSS_FIX_ASSET,BS_ACCUM_DEPR,BS_LT_INVEST,BS_LONG_TERM_INVESTMENTS,BS_LT_RECEIVABLES,BS_OTHER_ASSETS_DEF_CHRG_OTHER,BS_DISCLOSED_INTANGIBLES,BS_GOODWILL,OTHER_INTANGIBLE_ASSETS_DETAILED,BS_PREPAID_EXPENSE_LT,BS_DEFERRED_TAX_ASSETS_LT,BS_DERIV_HEDGING_ASST_LT,BS_INVEST_IN_ASSOC_CO,OTHER_NONCURRENT_ASSETS_DETAILED,BS_TOT_NON_CUR_ASSET,BS_TOT_ASSET,CF_NET_INC,CF_CASH_FROM_OPER,FIXED_INTANG_ASST_CHANGE,DISPOSAL_OF_FIXED_INTANG,ACQUIS_OF_FIXED_INTANG,NET_CHG_IN_LT_INVEST_DETAILED,CF_DECR_INVEST,CF_INCR_INVEST,CF_NT_CSH_RCVD_PD_FOR_ACQUIS_DIV,CF_CASH_FOR_DIVESTITURES,CF_CASH_FOR_ACQUIS_SUBSIDIARIES,CF_CASH_FOR_JOINT_VENTURES_ASSOC,OTHER_INVESTING_ACT_DETAILED,CF_NET_CASH_DISCONTINUED_OPS_INV,CF_CASH_FROM_INV_ACT,CF_DVD_PAID,PROC_FR_REPAYMNTS_BOR_DETAILED,PROC_FR_REPURCH_EQTY_DETAILED,CF_INCR_CAP_STOCK,CF_DECR_CAP_STOCK,OTHER_FIN_AND_DEC_CAP,CF_NET_CASH_DISCONTINUED_OPS_FIN,CFF_ACTIVITIES_DETAILED,CF_EFFECT_FOREIGN_EXCHANGES,CF_NET_CHNG_CASH,CF_CASH_PAID_FOR_TAX,CF_NET_CASH_PAID_FOR_AQUIS,CF_FREE_CASH_FLOW,CF_FREE_CASH_FLOW_FIRM,FREE_CASH_FLOW_EQUITY,FREE_CASH_FLOW_PER_SH,PX_TO_FREE_CASH_FLOW,CASH_FLOW_TO_NET_INC,SALES_REV_TURN,IS_SALES_AND_SERVICES_REVENUES,IS_COGS_TO_FE_AND_PP_AND_G,IS_COG_AND_SERVICES_SOLD,GROSS_PROFIT,IS_OTHER_OPER_INC,IS_OPERATING_EXPN,IS_SGA_EXPENSE,IS_SELLING_EXPENSES,IS_GENERAL_AND_ADMINISTRATIVE,IS_OPERATING_EXPENSES_RD,IS_OTHER_OPERATING_EXPENSES,IS_OPER_INC,IS_NONOP_INCOME_LOSS,IS_NET_INTEREST_EXPENSE,IS_INT_EXPENSE,IS_INT_INC,IS_OTHER_INVESTMENT_INCOME_LOSS,INCOME_LOSS_FROM_AFFILIATES,IS_OTHER_NON_OPERATING_INC_LOSS,PRETAX_INC,IS_ABNORMAL_ITEM,IS_DERIVATIVES_HEDGING,IS_GAIN_LOSS_DISPOSAL_ASSETS,IS_IMPAIRMENT_ASSETS,IS_IMPAIR_OF_INTANG_ASSETS,IS_SALE_OF_BUSINESS,IS_LEGAL_LITIGATION_SETTLEMENT,IS_GAIN_LOSS_ON_INVESTMENTS,IS_OTHER_ONE_TIME_ITEMS,IS_INC_TAX_EXP,IS_INC_BEF_XO_ITEM,XO_GL_NET_OF_TAX,IS_DISCONTINUED_OPERATIONS,EXTRAORD_ITEMS_ACCOUNTING_CHANGS,NI_INCLUDING_MINORITY_INT_RATIO,MIN_NONCONTROL_INTEREST_CREDITS,NET_INCOME,IS_TOT_CASH_PFD_DVD,OTHER_ADJUSTMENTS,EARN_FOR_COMMON,IS_NET_ABNORMAL_ITEMS,IS_AVG_NUM_SH_FOR_EPS,IS_EPS,IS_EARN_BEF_XO_ITEMS_PER_SH,IS_BASIC_EPS_CONT_OPS,IS_SH_FOR_DILUTED_EPS,IS_DILUTED_EPS,IS_DIL_EPS_BEF_XO,IS_DIL_EPS_CONT_OPS,ACCOUNTING_STANDARD,EBITDA,EBITDA_MARGIN,EBIT,GROSS_MARGIN,OPER_MARGIN,PROF_MARGIN,ACTUAL_SALES_PER_EMPL,RETURN_COM_EQY,RETURN_ON_ASSET,RETURN_ON_CAP,RETURN_ON_INV_CAPITAL,INCREMENTAL_OPERATING_MARGIN,PRETAX_INC_TO_NET_SALES,INC_BEF_XO_ITEMS_TO_NET_SALES,NET_INCOME_TO_COMMON_MARGIN,EFF_TAX_RATE
1990-03-30 00:00:00,21.775,21.775,0,145.189,,,,102.872,,,,,16.308,,,,,286.144,620.24,1366.17,745.93,,,,78.123,,,,,,,,78.123,698.363,984.507,18.677,34.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8338,232.02,,179.714,,52.306,,24.536,,,,,,27.77,,,0.951,,,,,28.174,,,,,,,,,,9.497,18.677,0,,,18.677,,18.677,0,,18.677,,118.212,0.1567,0.1567,,118.212,0.1567,0.1567,0.1567,US GAAP,51.039,,27.77,22.5437,11.9688,8.0497,,,,,,,12.1429,8.0497,8.0497,33.7084
1990-06-29 00:00:00,11.82,11.82,0,177.357,,,,106.674,,,,,14.59,,,,,310.441,636.369,1399.48,763.111,,,,77.906,,,,,,,,77.906,714.275,1024.7159,39.664,17.574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4431,295.682,,207.078,,88.604,,25.587,,,,,,63.017,,,1.169,,,,,60.074,,,,,,,,,,20.41,39.664,0,,,39.664,,39.664,0,,39.664,,116.997,0.34,0.34,,116.997,0.34,0.34,0.34,US GAAP,87.369,,63.017,29.966,21.3124,13.4144,,,,,,,20.3171,13.4144,13.4144,33.9748
1990-09-28 00:00:00,10.912,10.912,0,188.09,,,,115.639,,,,,12.563,,,,,327.204,720.676,1506.598,785.922,,,,98.527,,,,,,,,98.527,819.203,1146.407,42.128,70.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6626,306.596,,216.619,,89.977,,24.803,,,,,,65.174,,,2.248,,,,,63.541,,,,,,,,,,21.413,42.128,0,,,42.128,,42.128,0,,42.128,,115.974,0.36,0.36,,115.974,0.36,0.36,0.36,US GAAP,90.27,,65.174,29.3471,21.2573,13.7406,,,,,,,20.7247,13.7406,13.7406,33.6995
1990-12-31 00:00:00,18.552,18.552,0,137.873,,,,113.016,,,,,25.871,,,,,295.312,720.691,1524.793,804.102,,,,101.994,,,,,,,,101.994,822.685,1117.9969,19.809,76.666,,,,,,,,,,,,,,,,,,,,,,,76.666,,,,,,,,3.8703,271.012,,210.478,,60.534,,26.391,,,,,,34.143,,,3.39,,,,,27.44,,,,,,,,,,7.631,19.809,0,,,19.809,,19.809,0,,19.809,,114.3495,0.1767,0.1767,0.1767,114.3495,0.1767,0.1767,0.1767,US GAAP,61.587,26.261,34.143,22.3363,12.5983,7.3093,41062.4232,,,,,,10.125,7.3093,7.3093,27.8098
1991-03-28 00:00:00,0.699,0.699,0,131.154,,,,126.568,,,,,12.872,,,,,271.293,715.081,1541.5291,826.448,,,,99.918,,,,,,,,99.918,814.999,1086.292,-2.219,28.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.04,,169.404,,27.636,,25.701,,,,,,1.935,,,2.744,,,,,-3.268,,,,,,,,,,-1.049,-2.219,0,,,-2.219,,-2.219,0,,-2.219,,114.711,-0.02,-0.02,,114.711,-0.02,-0.02,-0.02,US GAAP,29.132,25.0725,1.935,14.0256,0.982,-1.1262,,15.1179,9.5984,13.9742,14.6268,-73.8565,-1.6585,-1.1262,-1.1262,
1991-06-28 00:00:00,0.831,0.831,0,173.792,,,,123.84,,,,,14.61,,,,,313.073,703.932,1552.74,848.808,,,,106.644,,,,,,,,106.644,810.576,1123.649,25.879,13.083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5055,266.397,,199.732,,66.665,,25.179,,,,,,41.486,,,2.808,,,,,38.155,,,,,,,,,,12.276,25.879,0,,,25.879,,25.879,0,,25.879,,114.645,0.2267,0.2267,,114.645,0.2267,0.2267,0.2267,US GAAP,68.953,24.0088,41.486,25.0247,15.573,9.7144,,12.8665,7.9686,11.7261,12.2382,-73.5223,14.3226,9.7144,9.7144,32.174
1991-09-30 00:00:00,6.06,6.06,0,178.433,,,,113.713,,,,,15.192,,,,,313.398,700.337,1571.55,871.213,,,,115.146,,,,,,,,115.146,815.483,1128.881,30.226,66.706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2069,289.24,,217.891,,71.349,,24.544,,,,,,46.805,,,2.982,,,,,43.55,,,,,,,,,,13.324,30.226,0,,,30.226,,30.226,0,,30.226,,114.543,0.2633,0.2633,,114.543,0.2633,0.2633,0.2633,US GAAP,74.336,22.8593,46.805,24.6677,16.1821,10.4501,,10.842,6.4779,9.6596,10.1964,-105.8365,15.0567,10.4501,10.4501,30.5947
1991-12-31 00:00:00,18.993,18.993,0,130.439,,,,112.636,,,,,23.079,,,,,285.147,675.44,1553.708,878.268,,,,112.524,,,,,,,,112.524,787.964,1073.111,-1.306,74.497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.801,,208.319,,46.482,,23.435,,,,,,23.047,,,2.671,,,,,-4.99,,,,,,,,,,-3.684,-1.306,0,,,-1.306,,-1.306,0,,-1.306,,114.0045,-0.01,-0.01,-0.01,114.0045,-0.01,-0.01,-0.01,US GAAP,50.577,22.1343,23.047,18.2425,9.0451,-0.5126,39812.6555,7.7147,4.7994,7.3719,8.9685,-68.4474,-1.9584,-0.5126,-0.5126,
1992-03-31 00:00:00,26.981,26.981,0,134.828,,,,117.972,,,,,19.63,,,,,299.411,659.708,1559.431,899.723,,,,111.529,,,,,,,,111.529,771.237,1070.6479,7.637,30.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.929,210.64,,175.1,,35.54,,25.255,,,,,,10.285,,,2.363,,,,,6.914,,,,,,,,,,2.282,4.632,-3.005,,,7.637,,7.637,0,,7.637,,114.444,0.0667,0.04,,114.444,0.0667,0.04,0.04,US GAAP,35.999,22.512,10.285,16.8724,4.8827,3.6256,,9.3002,5.7893,8.6922,10.6941,61.397,3.2824,2.199,3.6256,33.0055
1992-06-30 00:00:00,23.716,23.716,0,173.55,,,,112.49,,,,,26.878,,,,,336.634,662.907,1583.344,920.437,,,,119.371,,,,,,,,119.371,782.278,1118.912,30.237,26.836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8875,284.2,,209.687,,74.513,,27.172,,,,,,47.341,,,2.669,,,,,44.821,,,,,,,,,,14.584,30.237,0,,,30.237,,30.237,0,,30.237,,113.631,0.2667,0.2667,,113.631,0.2667,0.2667,0.2667,US GAAP,73.103,22.5257,47.341,26.2185,16.6576,10.6393,,9.834,5.9569,8.843,10.7147,32.8877,15.7709,10.6393,10.6393,32.5383
