Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81
Vulcan Materials Co (VMC US) - By Measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Millions of USD except Per Share,,Q3 2004,,Q4 2004,,Q1 2005,,Q2 2005,,Q3 2005,,Q4 2005,,Q1 2006,,Q2 2006,,Q3 2006,,Q4 2006,,Q1 2007,,Q2 2007,,Q3 2007,,Q4 2007,,Q1 2008,,Q2 2008,,Q3 2008,,Q4 2008,,Q1 2009,,Q2 2009,,Q3 2009,,Q4 2009,,Q1 2010,,Q2 2010,,Q3 2010,,Q4 2010,,Q1 2011,,Q2 2011,,Q3 2011,,Q4 2011,,Q1 2012,,Q2 2012,,Q3 2012,,Q4 2012,,Q1 2013,,Q2 2013,,Q3 2013,,Q4 2013,,Q1 2014,,Q2 2014,
3 Months Ending,,09/30/2004,,12/31/2004,,03/31/2005,,06/30/2005,,09/30/2005,,12/31/2005,,03/31/2006,,06/30/2006,,09/30/2006,,12/31/2006,,03/31/2007,,06/30/2007,,09/30/2007,,12/31/2007,,03/31/2008,,06/30/2008,,09/30/2008,,12/31/2008,,03/31/2009,,06/30/2009,,09/30/2009,,12/31/2009,,03/31/2010,,06/30/2010,,09/30/2010,,12/31/2010,,03/31/2011,,06/30/2011,,09/30/2011,,12/31/2011,,03/31/2012,,06/30/2012,,09/30/2012,,12/31/2012,,03/31/2013,,06/30/2013,,09/30/2013,,12/31/2013,,03/31/2014,,06/30/2014,
Revenue,,723.375,1.0,608.654,1.0,528.616,1.0,782.074,1.0,830.016,1.0,754.621,1.0,708.687,1.0,888.162,1.0,929.321,1.0,816.304,1.0,687.187,1.0,878.844,1.0,904.866,1.0,856.89,1.0,817.339,1.0,1021.551,1.0,1013.349,1.0,799.199,1.0,600.294,1.0,721.859,1.0,778.192,1.0,590.144,1.0,493.264,1.0,0.736152,1.0,743.204,1.0,586.243,1.0,487.2,1.0,701.971,1.0,760.752,1.0,614.626,1.0,535.882,1.0,694.136,1.0,—,,—,,538.162,1.0,738.733,1.0,—,,680.246,1.0,574.42,1.0,791.143,1.0
  Aggregates,,471.5,0.726166640997998,412.9,0.754430842316828,356.2,0.743012098456404,512.1,0.726074011059124,536.1,0.715372297838271,479.6,0.374863217133031,459.9,0.716020551144325,569.7,0.705248823966328,580.9,0.684781327360604,521.4,0.756968641114983,510.6,0.777760853008378,652.9,0.780327476992948,672.571,0.767394045194453,612.2,0.713021197297927,536.1,0.642959942432238,679.3,0.657026791759358,661.9,0.64374635284964,529.531,0.646829681819958,401.8,0.653652188059216,497.6,0.679039301310044,533,0.669597989949749,369.084,0.664098444132163,341.3,0.67490607079296,0.5139,0.689520998255736,514.3,0.680741230972866,397.418,0.668877081310159,331.6,0.66989898989899,478.4,0.67925599886412,514.7,0.673602931553462,378.449,0.654542026915075,355.6,0.658518518518519,471.1,0.684241103848947,—,,—,,359,0.667038275733928,508.4,0.686563133018231,—,,496.208,0.667414503186376,404.2,0.672098436980379,595.6,0.745058794095572
  Asphalt,,95.8,0.147543508393655,63.8,0.116572263840672,53.9,0.112432206925323,97.2,0.137813696299447,114.2,0.15238857752869,110,0.0859778020947319,85.6,0.133271057138409,126.1,0.156102995791037,155.4,0.183189909230225,—,,—,,—,,—,,—,,—,,—,,—,,—,,78.4,0.127541890353018,103.7,0.141512008733624,123.9,0.155653266331658,87.711,0.157819733809312,63.6,0.125766264583745,0.1035,0.138870253589159,115.8,0.153275976174719,87.567,0.147380237883253,64.7,0.130707070707071,110.9,0.157461309101235,128.9,0.168695196963748,94.53,0.163493252206458,71.4,0.132222222222222,103.7,0.150617283950617,—,,—,,67.3,0.125046451133408,99.9,0.134908845374747,—,,99.378,0.133666362689952,83,0.138011306950449,107.8,0.134851138353765
  Concrete,,22.8,0.0351147389496381,87.9,0.160606614288325,50.1,0.10450563204005,66.8,0.0947114702963278,68.7,0.0916733386709368,665,0.519774894481788,64.6,0.100576054803052,72.5,0.089749938103491,69.7,0.0821643286573146,—,,—,,—,,—,,—,,—,,—,,—,,—,,114.8,0.186757768016919,114.6,0.156386462882096,119.3,0.149874371859297,90.699,0.163196087569071,82.9,0.163931184496737,0.105,0.140882865960016,105.1,0.139113170086036,90.148,0.151724207574766,82.2,0.166060606060606,98.2,0.139429220502627,101.4,0.13270514330585,92.862,0.160608382380156,92.5,0.171296296296296,103,0.14960058097313,—,,—,,99.9,0.18561872909699,120.3,0.162457798784605,—,,121.813,0.163842104272083,96,0.159627535749917,93.8,0.117338003502627
  Calcium,,—,,—,,—,,—,,—,,—,,—,,—,,—,,34.3,0.0497967479674797,0,,0,,0,,14.1,0.0164220824598183,31.1,0.0372991124970017,29.2,0.0282425766515137,25.6,0.0248978797899241,20.614,0.0251802955087363,19.7,0.0320481535708476,16.9,0.0230622270742358,19.8,0.0248743718592965,8.273,0.0148857344894533,17.9,0.0353964801265572,0.0229,0.0307258821950892,20.3,0.0268696227663799,19.024,0.0320184732318226,16.5,0.0333333333333333,16.8,0.0238534715320176,19.1,0.0249967281769402,12.348,0.0213563384983111,20.5,0.037962962962963,10.7,0.0155410312273057,—,,—,,12,0.0222965440356745,11.9,0.0160702228224173,—,,26.079,0.0350770298515894,18.2,0.0302627203192551,2.2,0.00275206404803603
  Reconciliation,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,-0.038,,—,,—,,—,,-26.98,,-8.257,
  Adjustment,,74.075,,61.354,,49.216,,76.774,,80.616,,-524.779,,66.387,,80.362,,81.021,,73.604,,30.687,,42.144,,28.431,,-1.71,,-16.461,,-12.349,,-14.851,,-19.457,,-14.406,,-10.941,,-17.808,,34.377,,-12.436,,-0.009148,,-12.296,,-7.914,,-7.8,,-2.329,,-3.348,,36.437,,-4.118,,5.636,,—,,—,,—,,-1.767,,—,,-63.232,,—,,—,
  Construction Materials,,649.3,1.0,547.3,1.0,479.4,1.0,705.3,1.0,749.4,1.0,1279.4,1.0,642.3,1.0,807.8,1.0,848.3,1.0,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
