Date,CASH_CASH_EQTY_STI_DETAILED,BS_CASH_NEAR_CASH_ITEM,BS_MKT_SEC_OTHER_ST_INVEST,BS_ACCT_NOTE_RCV,BS_ACCTS_REC_EXCL_NOTES_REC,NOTES_RECEIVABLE,BS_UNBILLED_REVENUES,BS_INVENTORIES,INVTRY_RAW_MATERIALS,INVTRY_IN_PROGRESS,INVTRY_FINISHED_GOODS,BS_OTHER_INV,OTHER_CURRENT_ASSETS_DETAILED,BS_PREPAY,BS_DERIV_HEDGING_ASST_ST,BS_TAXES_RECEIVABLE_SHORT_TERM,BS_OTHER_CUR_ASSET_LESS_PREPAY,BS_CUR_ASSET_REPORT,BS_NET_FIX_ASSET,BS_GROSS_FIX_ASSET,BS_ACCUM_DEPR,BS_LT_INVEST,BS_LONG_TERM_INVESTMENTS,BS_LT_RECEIVABLES,BS_OTHER_ASSETS_DEF_CHRG_OTHER,BS_DISCLOSED_INTANGIBLES,BS_GOODWILL,OTHER_INTANGIBLE_ASSETS_DETAILED,BS_PREPAID_EXPENSE_LT,BS_DEFERRED_TAX_ASSETS_LT,BS_DERIV_HEDGING_ASST_LT,BS_INVEST_IN_ASSOC_CO,OTHER_NONCURRENT_ASSETS_DETAILED,BS_TOT_NON_CUR_ASSET,BS_TOT_ASSET,CF_NET_INC,CF_CASH_FROM_OPER,FIXED_INTANG_ASST_CHANGE,DISPOSAL_OF_FIXED_INTANG,ACQUIS_OF_FIXED_INTANG,NET_CHG_IN_LT_INVEST_DETAILED,CF_DECR_INVEST,CF_INCR_INVEST,CF_NT_CSH_RCVD_PD_FOR_ACQUIS_DIV,CF_CASH_FOR_DIVESTITURES,CF_CASH_FOR_ACQUIS_SUBSIDIARIES,CF_CASH_FOR_JOINT_VENTURES_ASSOC,OTHER_INVESTING_ACT_DETAILED,CF_NET_CASH_DISCONTINUED_OPS_INV,CF_CASH_FROM_INV_ACT,CF_DVD_PAID,PROC_FR_REPAYMNTS_BOR_DETAILED,PROC_FR_REPURCH_EQTY_DETAILED,CF_INCR_CAP_STOCK,CF_DECR_CAP_STOCK,OTHER_FIN_AND_DEC_CAP,CF_NET_CASH_DISCONTINUED_OPS_FIN,CFF_ACTIVITIES_DETAILED,CF_EFFECT_FOREIGN_EXCHANGES,CF_NET_CHNG_CASH,CF_CASH_PAID_FOR_TAX,CF_NET_CASH_PAID_FOR_AQUIS,CF_FREE_CASH_FLOW,CF_FREE_CASH_FLOW_FIRM,FREE_CASH_FLOW_EQUITY,FREE_CASH_FLOW_PER_SH,PX_TO_FREE_CASH_FLOW,CASH_FLOW_TO_NET_INC,SALES_REV_TURN,IS_SALES_AND_SERVICES_REVENUES,IS_COGS_TO_FE_AND_PP_AND_G,IS_COG_AND_SERVICES_SOLD,GROSS_PROFIT,IS_OTHER_OPER_INC,IS_OPERATING_EXPN,IS_SGA_EXPENSE,IS_SELLING_EXPENSES,IS_GENERAL_AND_ADMINISTRATIVE,IS_OPERATING_EXPENSES_RD,IS_OTHER_OPERATING_EXPENSES,IS_OPER_INC,IS_NONOP_INCOME_LOSS,IS_NET_INTEREST_EXPENSE,IS_INT_EXPENSE,IS_INT_INC,IS_OTHER_INVESTMENT_INCOME_LOSS,INCOME_LOSS_FROM_AFFILIATES,IS_OTHER_NON_OPERATING_INC_LOSS,PRETAX_INC,IS_ABNORMAL_ITEM,IS_DERIVATIVES_HEDGING,IS_GAIN_LOSS_DISPOSAL_ASSETS,IS_IMPAIRMENT_ASSETS,IS_IMPAIR_OF_INTANG_ASSETS,IS_SALE_OF_BUSINESS,IS_LEGAL_LITIGATION_SETTLEMENT,IS_GAIN_LOSS_ON_INVESTMENTS,IS_OTHER_ONE_TIME_ITEMS,IS_INC_TAX_EXP,IS_INC_BEF_XO_ITEM,XO_GL_NET_OF_TAX,IS_DISCONTINUED_OPERATIONS,EXTRAORD_ITEMS_ACCOUNTING_CHANGS,NI_INCLUDING_MINORITY_INT_RATIO,MIN_NONCONTROL_INTEREST_CREDITS,NET_INCOME,IS_TOT_CASH_PFD_DVD,OTHER_ADJUSTMENTS,EARN_FOR_COMMON,IS_NET_ABNORMAL_ITEMS,IS_AVG_NUM_SH_FOR_EPS,IS_EPS,IS_EARN_BEF_XO_ITEMS_PER_SH,IS_BASIC_EPS_CONT_OPS,IS_SH_FOR_DILUTED_EPS,IS_DILUTED_EPS,IS_DIL_EPS_BEF_XO,IS_DIL_EPS_CONT_OPS,ACCOUNTING_STANDARD,EBITDA,EBITDA_MARGIN,EBIT,GROSS_MARGIN,OPER_MARGIN,PROF_MARGIN,ACTUAL_SALES_PER_EMPL,RETURN_COM_EQY,RETURN_ON_ASSET,RETURN_ON_CAP,RETURN_ON_INV_CAPITAL,INCREMENTAL_OPERATING_MARGIN,PRETAX_INC_TO_NET_SALES,INC_BEF_XO_ITEMS_TO_NET_SALES,NET_INCOME_TO_COMMON_MARGIN,EFF_TAX_RATE,ESG_SCORE,ENVIRONMENTAL_SCORE,SOCIAL_SCORE,GOVERNANCE_SCORE,ESG_DISCLOSURE_SCORE,ENVIRON_DISCLOSURE_SCORE,SOCIAL_DISCLOSURE_SCORE,GOVNCE_DISCLOSURE_SCORE,NOX_EMISSIONS,VOC_EMISSIONS,PARTICULATE_EMISSIONS,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,EMISSION_REDUCTION,TRANSITION_PLAN_INDICATOR,CLIMATE_CHG_POLICY,CLIMATE_CHG_OPPORTUNITIES,CLIMATE_RISKS,GHG_SCOPE_1,GHG_SCOPE_2_LOCATION_BASED,ENERGY_EFFIC_POLICY,ENERGY_CONSUMPTION,ELECTRICITY_USED,NAT_GAS_USED,OIL_DIESEL_USED,WASTE_REDUCTION,HAZARDOUS_WASTE,TOTAL_WASTE,ENVIRON_SUPPLY_MGT,WATER_POLICY,TOTAL_WATER_WITHDRAWAL,TOTAL_WATER_DISCHARGED,BIODIVERSITY_POLICY,ADOPT_TNFD_RECOMMENDATIONS,ZERO_DEFORESTATION_POLICY,BOARD_LEVEL_OVERSIGHT_BIODIV,EXEC_LEVEL_OVERSIGHT_BIODIV,HUMAN_RIGHTS_POLICY,POLICY_AGAINST_CHILD_LABOR,QUALITY_ASSURANCE_AND_RECALL_POL,CONSUMER_DATA_PROTECTION_POLICY,COMMUNITY_SPENDING,CUSTOMER_COMPLAINTS,EQUAL_OPPORTUNITY_POLICY,GENDER_PAY_GAP_BREAKOUT,PCT_WOMEN_SENIOR_MGT,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,PCT_WOMEN_EMPLOYEES,PCT_MINORITY_EMPLOYEES,PCT_DISABLED_IN_WORKFORCE,ETHICS_POLICY,ANTI_BRIBERY_ETHICS_POLICY,HEALTH_SAFETY_POLICY,FATALITIES_EMPLOYEES,LOST_TIME_INCIDENT_RATE,TRAINING_POLICY,FAIR_REMUNERATION_POLICY,NUMBER_EMPLOYEES_CSR,EMPLOYEE_TURNOVER_PCT,EMPLOYEE_TRAINING_COST,TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,COMP_DISCLOSES_EMP_ENG_SCORE,SOCIAL_SUPPLY_CHAIN_MGMT,YEARS_AUDITOR_EMPLOYED,SIZE_OF_AUDIT_COMMITTEE,NUM_IND_DIR_ON_AUD_CMTE,AUDIT_COMMITTEE_MEETINGS,AUDIT_COMMITTEE_MTG_ATTEND_PCT,COMPANY_CONDUCTS_BRD_EVALUATIONS,BOARD_SIZE,NUM_EXECUTIVES_COMP_MANAGERS,NUM_OF_NONEXEC_DIR_ON_BRD,BOARD_MEETINGS_PER_YR,BOARD_MEETING_ATTENDANCE_PCT,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,DIRECTOR_SH_OWNERSHIP_GUIDELINES,SIZE_OF_COMPENSATION_COMMITTEE,NUM_IND_DIR_ON_CMPNSTN_CMTE,NUM_COMPENSATION_CMTE_MTG,COMPENSATION_CMTE_MTG_ATTEND_PCT,NUMBER_OF_FEMALE_EXECUTIVES,NUMBER_OF_WOMEN_ON_BOARD,AGE_OF_YOUNGEST_DIRECTOR,AGE_OF_OLDEST_DIRECTOR,INDEPENDENT_DIRECTORS,SIZE_OF_NOMINATION_COMMITTEE,NUM_IND_DIR_ON_NOM_CMTE,NUM_OF_NOMINATION_CMTE_MTG,NOMINATION_CMTE_MTG_ATTEND_PCT,VERIFICATION_TYPE,EMPLOYEE_CSR_TRAINING,BOARD_DURATION
1990-12-31 00:00:00,609,609,,728,,,,257,,,,,131,,,,,1725,9991,14927,4936,,,,1088,,,,,,,,1088,11079,12804,416,889,-708,478,-1186,,,,,,,,-139,,-847,-147,191,-150,0,-150,10,,-96,,-54,,,-297,-77.3986,,-0.084,,2.137,8205,,,,,,7390,,,,,,815,,,319,,,,,552,,,,,,,,,,172,380,-51,,,431,15,416,9,,407,,3537.072,0.1153,0.1008,0.1008,3537.072,0.1153,0.1008,0.1008,US GAAP,1288,15.6977,815,,9.933,5.0701,159515.5238,11.9918,3.3145,9.5431,6.05,,6.7276,4.6313,4.9604,31.1594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-12-31 00:00:00,465,465,,728,,,,206,,,,,136,,,,,1535,10177,15176,4999,,,,1086,,,,,,,,1086,11263,12798,-272,866,-786,78,-864,,,,,,,,197,,-589,-144,-180,0,0,0,41,,-283,,-6,,,2,,,0.0006,2907.9004,,8636,,,,,,7782,,,,,,854,,,306,,,,,-88,,,,,,,,,,-37,-51,196,,,-247,25,-272,0,,-272,,3617.6039,-0.075,-0.0208,-0.0208,3617.6039,-0.075,-0.0208,-0.0208,US GAAP,1355,15.6901,854,,9.8888,-3.1496,172937.9018,-8.0916,-2.1248,,,9.0487,-1.019,-0.5906,-3.1496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-12-31 00:00:00,530,530,,605,,,,189,,,,,97,,,,,1421,10636,15702,5066,,,,992,,,,,,,,992,11628,13049,20,939,-1041,0,-1041,,,,,,,,56,,-985,-157,250,0,0,0,37,,130,,84,,,-102,,,-0.0275,3504.5538,46.95,8734,,,,,,7769,,,,,,965,,,276,,,,,8,,,,,,,,,,-27,35,0,,,35,15,20,0,,20,,3704.6519,0.0053,0.0053,0.0053,3704.6519,0.0053,0.0053,0.0053,US GAAP,1492,17.0827,965,,11.0488,0.229,183495.1048,0.6497,0.1548,,,113.2653,0.0916,0.4007,0.229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-12-31 00:00:00,499,499,0,668,,,,199,,,,,205,,,,,1571,10788,15853,5065,0,,,1061,,,,,,,,1061,11849,13420,359,962,-709,59,-768,-115,0,-115,,,,,-46,,-870,-164,-18,0,0,0,14,,-168,,-76,,,194,365.7991,235,0.0519,43.8559,2.6797,8940,,,,,,8027,,,,,,913,,,298,,,,,647,,,,,,,,,,274,373,0,,,373,14,359,0,,359,,3740.94,0.0961,0.0961,0.0961,3848.94,0.0961,0.0961,0.0961,US GAAP,1485,16.6107,913,,10.2125,4.0157,189958.1412,11.6653,2.7126,8.3449,6.0598,,7.2371,4.1723,4.0157,42.3493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-12-30 00:00:00,535,535,0,706,,,,211,,,,,213,,,,,1665,11044,16315,5271,0,,,1015,,,,,,,,1015,12059,13724,652,1326,-705,170,-875,0,0,0,,,,,-156,,-861,-184,-318,0,0,0,4,,-498,,-33,,,451,633.1193,303,0.1197,16.1561,2.0337,9608,,,,,,8376,,,,,,1232,,,281,,,,,1006,,,,,,,,,,354,652,0,,,652,0,652,0,,652,,3767.472,0.1731,0.1731,0.1731,3767.472,0.1731,0.1731,0.1731,US GAAP,1809,18.8281,1232,,12.8226,6.786,226177.0245,18.8685,4.804,12.3711,8.8049,47.7545,10.4704,6.786,6.786,35.1889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-12-29 00:00:00,660,660,0,832,,,,220,,,,,223,,,,,1935,11297,16673,5376,0,,,1050,,,,,,,,1050,12347,14282,618,1567,-1059,97,-1156,0,0,0,,,,,5,,-1054,-194,-275,0,0,0,11,,-458,,55,,,411,582.3142,233,0.1086,23.342,2.5356,10504,,,,,,9075,,,,,,1429,,,270,,,,,974,,,,,,,,,,356,618,0,,,618,0,618,0,,618,,3784.8601,0.1633,0.1633,0.1633,3784.8601,0.1633,0.1633,0.1633,US GAAP,2029,19.3165,1429,,13.6043,5.8835,223489.3617,15.5023,4.4133,11.3082,9.6503,21.9866,9.2727,5.8835,5.8835,36.5503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-12-31 00:00:00,682,682,0,894,,,,229,,,,,267,,,,,2072,11906,17420,5514,0,,,2987,,,,,,,,2987,14893,16965,855,1440,-1139,84,-1223,-1965,0,-1965,,,,,117,,-2987,-223,1819,0,0,0,-1,,1595,,48,381,,217,381.472,2120,0.0564,41.5944,1.6842,10536,,,,,,9014,,,,,,1522,,,249,,,,,1358,,,,,,,,,,461,897,0,,,897,42,855,0,,855,,3845.3939,0.2222,0.2222,0.2222,3891.69,0.22,0.22,0.22,US GAAP,2142,20.3303,1522,,14.4457,8.115,222682.5041,18.5125,5.4725,12.5916,9.2008,290.625,12.8891,8.5137,8.115,33.947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-12-31 00:00:00,1129,690,439,987,987,,,227,227,,,,271,,,,,2175,12406,18270,5864,0,,,5376,,,,,,,4638,738,17782,19957,799,1558,-1074,51,-1125,-15,45,-60,,,,,-2259,,-3348,-235,1923,0,0,0,-15,,1673,,-117,141,,433,742.5098,2407,0.1146,26.1865,1.9499,10621,,,,,0,9038,,,,,,1583,,398,451,53,,,,1224,97,,,,,,,,,384,840,0,,,840,41,799,0,,799,,3779.5861,0.2039,0.2039,0.2289,3860.0101,0.2067,0.2067,0.2317,US GAAP,2271,21.3822,1583,,14.9044,7.5228,226407.4524,14.8499,4.328,10.31,7.9891,71.7647,11.5243,7.9089,7.5228,31.3725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-12-31 00:00:00,533,533,0,898,898,,,225,225,0,0,0,328,,,,,1984,12645,18678,6033,0,,,5798,0,,,,,,5246,552,18443,20427,537,1000,-1479,0,-1479,0,0,0,,,,,609,,-870,-262,82,-103,0,-103,7,,-276,,-146,154,,-479,-120.7921,-397,-0.1262,20.0642,1.8622,9868,,,,,0,8738,,,,,,1130,,454,506,52,,,,808,-109,,,,,,,,,236,572,0,,,572,35,537,0,,537,,3795.48,0.1417,0.1417,0.1128,3855.528,0.1394,0.1394,0.1111,US GAAP,1760,17.8354,1130,,11.4512,5.4418,213838.386,9.2221,2.6595,7.4014,5.2363,-60.1594,8.1881,5.7965,5.4418,29.2079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-12-31 00:00:00,974,974,0,1135,1135,,,220,220,,,,234,,,,,2563,12257,17526,5269,0,,,5900,0,0,0,,,,5073,827,18157,20720,2,1071,-1517,0,-1517,0,0,0,,,,,935,,-582,-262,345,0,0,0,-51,,32,,521,58,,-446,-285.6923,,-0.1176,,535.5,10375,,,,,0,9802,,,,,,573,,474,521,47,,,,104,23,,,,,,,,,72,32,30,,,2,0,2,0,0,2,23,3791.088,0.0006,0.0133,0.0083,3828.528,0.0006,0.0133,0.0083,US GAAP,1194,11.5084,573,,5.5229,0.0193,,0.0344,0.0097,1.2743,1.1454,,1.0024,0.3084,0.0193,69.2308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
