Date,CASH_CASH_EQTY_STI_DETAILED,BS_CASH_NEAR_CASH_ITEM,BS_MKT_SEC_OTHER_ST_INVEST,BS_ACCT_NOTE_RCV,BS_ACCTS_REC_EXCL_NOTES_REC,NOTES_RECEIVABLE,BS_UNBILLED_REVENUES,BS_INVENTORIES,INVTRY_RAW_MATERIALS,INVTRY_IN_PROGRESS,INVTRY_FINISHED_GOODS,BS_OTHER_INV,OTHER_CURRENT_ASSETS_DETAILED,BS_PREPAY,BS_DERIV_HEDGING_ASST_ST,BS_TAXES_RECEIVABLE_SHORT_TERM,BS_OTHER_CUR_ASSET_LESS_PREPAY,BS_CUR_ASSET_REPORT,BS_NET_FIX_ASSET,BS_GROSS_FIX_ASSET,BS_ACCUM_DEPR,BS_LT_INVEST,BS_LONG_TERM_INVESTMENTS,BS_LT_RECEIVABLES,BS_OTHER_ASSETS_DEF_CHRG_OTHER,BS_DISCLOSED_INTANGIBLES,BS_GOODWILL,OTHER_INTANGIBLE_ASSETS_DETAILED,BS_PREPAID_EXPENSE_LT,BS_DEFERRED_TAX_ASSETS_LT,BS_DERIV_HEDGING_ASST_LT,BS_INVEST_IN_ASSOC_CO,OTHER_NONCURRENT_ASSETS_DETAILED,BS_TOT_NON_CUR_ASSET,BS_TOT_ASSET,CF_NET_INC,CF_CASH_FROM_OPER,FIXED_INTANG_ASST_CHANGE,DISPOSAL_OF_FIXED_INTANG,ACQUIS_OF_FIXED_INTANG,NET_CHG_IN_LT_INVEST_DETAILED,CF_DECR_INVEST,CF_INCR_INVEST,CF_NT_CSH_RCVD_PD_FOR_ACQUIS_DIV,CF_CASH_FOR_DIVESTITURES,CF_CASH_FOR_ACQUIS_SUBSIDIARIES,CF_CASH_FOR_JOINT_VENTURES_ASSOC,OTHER_INVESTING_ACT_DETAILED,CF_NET_CASH_DISCONTINUED_OPS_INV,CF_CASH_FROM_INV_ACT,CF_DVD_PAID,PROC_FR_REPAYMNTS_BOR_DETAILED,PROC_FR_REPURCH_EQTY_DETAILED,CF_INCR_CAP_STOCK,CF_DECR_CAP_STOCK,OTHER_FIN_AND_DEC_CAP,CF_NET_CASH_DISCONTINUED_OPS_FIN,CFF_ACTIVITIES_DETAILED,CF_EFFECT_FOREIGN_EXCHANGES,CF_NET_CHNG_CASH,CF_CASH_PAID_FOR_TAX,CF_NET_CASH_PAID_FOR_AQUIS,CF_FREE_CASH_FLOW,CF_FREE_CASH_FLOW_FIRM,FREE_CASH_FLOW_EQUITY,FREE_CASH_FLOW_PER_SH,PX_TO_FREE_CASH_FLOW,CASH_FLOW_TO_NET_INC,SALES_REV_TURN,IS_SALES_AND_SERVICES_REVENUES,IS_COGS_TO_FE_AND_PP_AND_G,IS_COG_AND_SERVICES_SOLD,GROSS_PROFIT,IS_OTHER_OPER_INC,IS_OPERATING_EXPN,IS_SGA_EXPENSE,IS_SELLING_EXPENSES,IS_GENERAL_AND_ADMINISTRATIVE,IS_OPERATING_EXPENSES_RD,IS_OTHER_OPERATING_EXPENSES,IS_OPER_INC,IS_NONOP_INCOME_LOSS,IS_NET_INTEREST_EXPENSE,IS_INT_EXPENSE,IS_INT_INC,IS_OTHER_INVESTMENT_INCOME_LOSS,INCOME_LOSS_FROM_AFFILIATES,IS_OTHER_NON_OPERATING_INC_LOSS,PRETAX_INC,IS_ABNORMAL_ITEM,IS_DERIVATIVES_HEDGING,IS_GAIN_LOSS_DISPOSAL_ASSETS,IS_IMPAIRMENT_ASSETS,IS_IMPAIR_OF_INTANG_ASSETS,IS_SALE_OF_BUSINESS,IS_LEGAL_LITIGATION_SETTLEMENT,IS_GAIN_LOSS_ON_INVESTMENTS,IS_OTHER_ONE_TIME_ITEMS,IS_INC_TAX_EXP,IS_INC_BEF_XO_ITEM,XO_GL_NET_OF_TAX,IS_DISCONTINUED_OPERATIONS,EXTRAORD_ITEMS_ACCOUNTING_CHANGS,NI_INCLUDING_MINORITY_INT_RATIO,MIN_NONCONTROL_INTEREST_CREDITS,NET_INCOME,IS_TOT_CASH_PFD_DVD,OTHER_ADJUSTMENTS,EARN_FOR_COMMON,IS_NET_ABNORMAL_ITEMS,IS_AVG_NUM_SH_FOR_EPS,IS_EPS,IS_EARN_BEF_XO_ITEMS_PER_SH,IS_BASIC_EPS_CONT_OPS,IS_SH_FOR_DILUTED_EPS,IS_DILUTED_EPS,IS_DIL_EPS_BEF_XO,IS_DIL_EPS_CONT_OPS,ACCOUNTING_STANDARD,EBITDA,EBITDA_MARGIN,EBIT,GROSS_MARGIN,OPER_MARGIN,PROF_MARGIN,ACTUAL_SALES_PER_EMPL,RETURN_COM_EQY,RETURN_ON_ASSET,RETURN_ON_CAP,RETURN_ON_INV_CAPITAL,INCREMENTAL_OPERATING_MARGIN,PRETAX_INC_TO_NET_SALES,INC_BEF_XO_ITEMS_TO_NET_SALES,NET_INCOME_TO_COMMON_MARGIN,EFF_TAX_RATE
1990-03-30 00:00:00,465,388,77,739,,,,265,,,,,247,,,,,1716,9662,14267,4605,,,,1063,,,,,,,,1063,10725,12441,77,-135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.7532,1908,,,,,,1793,,,,,,115,,,77,,,,,45,,,,,,,,,,17,28,-51,,,79,2,77,3.3,,73.7,,3524.508,0.0211,0.0067,,3524.508,0.0211,0.0067,0.0067,US GAAP,232,,115,,6.0273,4.0356,,,,,,,2.3585,1.4675,3.8627,37.7778
1990-06-29 00:00:00,310,230,80,799,,,,276,,,,,290,,,,,1675,9731,14373,4642,,,,975,,,,,,,,975,10706,12381,109,225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0642,2047,,,,,,1826,,,,,,221,,,79,,,,,163,,,,,,,,,,50,113,0,,,113,4,109,3.4,,105.6,,3536.2439,0.03,0.03,,3536.2439,0.03,0.03,0.03,US GAAP,338,,221,,10.7963,5.3249,,,,,,,7.9629,5.5203,5.1588,30.6748
1990-09-28 00:00:00,326,229,97,824,,,,281,,,,,217,,,,,1648,9844,14581,4737,,,,1002,,,,,,,,1002,10846,12494,101,267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6436,2063,,,,,,1827,,,,,,236,,,82,,,,,157,,,,,,,,,,50,107,0,,,107,6,101,1.6,,99.4,,3541.7521,0.0281,0.0281,,3541.7521,0.0281,0.0281,0.0281,US GAAP,349,,236,,11.4397,4.8958,,,,,,,7.6103,5.1866,4.8182,31.8471
1990-12-31 00:00:00,609,609,,728,,,,257,,,,,131,,,,,1725,9991,14927,4936,,,,1088,,,,,,,,1088,11079,12804,129,532,,,,,,,,,,,,,,,,,,,,,,,532,,,,,,,,4.124,2187,,,,,,1944,,,,,,243,,,81,,,,,187,,,,,,,,,,55,132,0,,,132,3,129,0.7,,128.3,,3546,0.0361,0.0361,0.0361,3546,0.0361,0.0361,0.0361,US GAAP,369,15.6977,243,,11.1111,5.8985,42518.0318,,,,,,8.5505,6.0357,5.8665,29.4118
1991-03-28 00:00:00,533,533,,665,,,,261,,,,,145,,,,,1604,9964,14917,4953,,,,1133,,,,,,,,1133,11097,12701,57,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2030,,,,,,1885,,,,,,145,,,78,,,,,86,,,,,,,,,,29,57,196,,,-139,0,-139,0,,-139,,3556.7279,-0.0389,0.0161,,3556.7279,-0.0389,0.0161,0.0161,US GAAP,271,15.9361,145,,7.1429,-6.8473,,5.6433,1.591,6.2198,8.3419,24.5902,4.2365,2.8079,-6.8473,33.7209
1991-06-28 00:00:00,544,544,,716,,,,234,,,,,127,,,,,1621,10053,15020,4967,,,,1140,,,,,,,,1140,11193,12814,115,363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1565,2125,,,,,,1919,,,,,,206,,,79,,,,,189,,,,,,,,,,69,120,0,,,120,5,115,0,,115,,3584.8081,0.0319,0.0319,,3584.8081,0.0319,0.0319,0.0319,US GAAP,322,15.5979,206,,9.6941,5.4118,,5.7738,1.6352,6.2235,8.0004,,8.8941,5.6471,5.4118,36.5079
1991-09-30 00:00:00,479,479,,729,,,,213,,,,,134,,,,,1555,10169,15191,5022,,,,1149,,,,,,,,1149,11318,12873,108,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0093,2205,,,,,,1964,,,,,,241,,,75,,,,,167,,,,,,,,,,52,115,0,,,115,7,108,0,,108,,3644.8201,0.0297,0.0297,,3644.8201,0.0297,0.0297,0.0297,US GAAP,367,15.5493,241,,10.9297,4.898,,5.8899,1.6793,6.2167,7.9924,3.5211,7.5737,5.2154,4.898,31.1377
1991-12-31 00:00:00,465,465,,728,,,,206,,,,,136,,,,,1535,10177,15176,4999,,,,1086,,,,,,,,1086,11263,12798,-356,389,,,,,,,,,,,,,,,,,,,,,,,389,,,,,,,,,2276,,,,,,2014,,,,,,262,,,74,,,,,-530,,,,,,,,,,-187,-343,0,,,-343,13,-356,0,,-356,,3682.3318,-0.0964,-0.0964,-0.0964,3682.3318,-0.0964,-0.0964,-0.0964,US GAAP,395,15.6901,262,,11.5114,-15.6415,45577.4276,-8.0916,-2.1248,,,21.3483,-23.2865,-15.0703,-15.6415,
1992-03-31 00:00:00,243,243,,673,,,,216,,,,,133,,,,,1265,10121,15161,5040,,,,1145,,,,,,,,1145,11266,12531,62,-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4355,2086,,,,,,1929,,,,,,157,,,68,,,,,97,,,,,,,,,,31,66,0,,,66,4,62,0,,62,,3693.7079,0.0167,0.0167,,3693.7079,0.0167,0.0167,0.0167,US GAAP,288,15.7846,157,,7.5264,2.9722,,-2.0864,-0.5628,,,21.4286,4.65,3.164,2.9722,31.9588
1992-06-30 00:00:00,381,381,,654,,,,231,,,,,96,,,,,1362,10313,15428,5115,,,,1092,,,,,,,,1092,11405,12767,-322,363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2189,,,,,,1935,,,,,,254,,,66,,,,,-505,,,,,,,,,,-186,-319,0,,,-319,3,-322,0,,-322,,3703.7881,-0.0869,-0.0869,,3703.7881,-0.0869,-0.0869,-0.0869,US GAAP,387,16.4116,254,,11.6035,-14.7099,,-15.5162,-3.9717,,,75,-23.0699,-14.5729,-14.7099,
