Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41
CSX Corp (CSX US) - By Measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Millions of USD except Per Share,,Q1 2004,,Q2 2004,,Q3 2004,,Q4 2004,,Q1 2005,,Q2 2005,,Q3 2005,,Q4 2005,,Q1 2006,,Q2 2006,,Q3 2006,,Q4 2006,,Q1 2007,,Q2 2007,,Q3 2007,,Q4 2007,,Q1 2008,,Q2 2008,,Q3 2008,,Q4 2008,
3 Months Ending,,03/26/2004,,06/25/2004,,09/24/2004,,12/31/2004,,04/01/2005,,07/01/2005,,09/30/2005,,12/30/2005,,03/31/2006,,06/30/2006,,09/29/2006,,12/29/2006,,03/30/2007,,06/29/2007,,09/28/2007,,12/28/2007,,03/28/2008,,06/27/2008,,09/26/2008,,12/26/2008,
Revenue,,1920,1.0,1997,1.0,1943,1.0,2180,1.0,2108,1.0,2166,1.0,2125,1.0,2219,1.0,2331,1.0,2421,1.0,2418,1.0,2396,1.0,2422,1.0,2530,1.0,2501,1.0,2577,1.0,2713,1.0,2907,1.0,2961,1.0,2674,1.0
  Rail,,1605,0.8359375,1672,0.837255883825739,1616,0.83170355120947,1801,0.826146788990826,1779,0.84392789373814,1836,0.847645429362881,1788,0.841411764705882,1853,0.835060838215412,1997,0.856713856713857,2065,0.852953325072284,2054,0.849462365591398,2038,0.850584307178631,2104,0.868703550784476,2187,0.864426877470356,2164,0.865253898440624,2219,0.861078773767947,2365,0.87172871360118,2522,0.867561059511524,2562,0.865248226950355,2340,0.87509349289454
    Merchandise,,958,0.498958333333333,991,0.496244366549825,971,0.499742665980443,1075,0.493119266055046,1038,0.492409867172676,1061,0.489843028624192,1049,0.493647058823529,1080,0.486705723298783,1149,0.492921492921493,1207,0.498554316398183,1220,0.504549214226634,1172,0.489148580968281,1209,0.499174236168456,1268,0.501185770750988,1258,0.502998800479808,1255,0.487000388048118,1342,0.494655363066716,1432,0.492604059167527,1457,0.492063492063492,1234,0.461480927449514
      Chemicals,,256,0.133333333333333,264,0.132198297446169,266,0.136901698404529,283,0.129816513761468,275,0.130455407969639,270,0.124653739612188,269,0.126588235294118,274,0.123479044614691,295,0.126555126555127,305,0.125980999586948,313,0.12944582299421,297,0.123956594323873,317,0.130883567299752,327,0.129249011857708,336,0.134346261495402,333,0.129220023282887,357,0.131588647253962,377,0.1296869625043,381,0.128672745694022,326,0.12191473448018
      Agriculture  Products,,131,0.0682291666666667,127,0.0635953930896345,117,0.0602161605764282,137,0.0628440366972477,137,0.0649905123339658,133,0.0614035087719298,133,0.0625882352941177,147,0.0662460567823344,157,0.0673530673530674,164,0.0677406030565882,176,0.0727874276261373,184,0.0767946577629382,179,0.073905862923204,191,0.0754940711462451,190,0.0759696121551379,226,0.0876988746604579,235,0.086619977884261,246,0.0846233230134159,259,0.0874704491725768,271,0.101346297681376
      Forest Products,,159,0.0828125,166,0.0831246870305458,171,0.0880082346886258,185,0.0848623853211009,176,0.0834914611005693,181,0.0835641735918744,177,0.0832941176470588,183,0.0824695808922938,191,0.0819390819390819,194,0.0801321767864519,200,0.0827129859387924,188,0.0784641068447412,183,0.0755573905862923,188,0.0743083003952569,182,0.0727708916433427,169,0.0655801319363601,175,0.0645042388499816,187,0.064327485380117,196,0.066193853427896,180,0.0673148840688108
      Emerging Markets,,116,0.0604166666666667,129,0.0645968953430145,120,0.0617601646937725,138,0.063302752293578,117,0.0555028462998103,137,0.0632502308402585,135,0.0635294117647059,124,0.0558810274898603,134,0.0574860574860575,158,0.0652622883106155,150,0.0620347394540943,138,0.0575959933222037,137,0.0565648224607762,164,0.0648221343873518,157,0.0627748900439824,147,0.0570430733410943,138,0.0508661997788426,170,0.0584795321637427,171,0.0577507598784195,169,0.0632011967090501
      Metals,,119,0.0619791666666667,125,0.0625938908362544,129,0.0663921770458055,138,0.063302752293578,138,0.0654648956356736,140,0.0646352723915051,142,0.0668235294117647,150,0.067598017124831,164,0.0703560703560704,173,0.0714580751755473,176,0.0727874276261373,160,0.0667779632721202,176,0.0726672171758877,182,0.0719367588932806,181,0.0723710515793683,163,0.0632518432285603,197,0.0726133431625507,210,0.0722394220846233,215,0.0726106045254981,129,0.0482423335826477
      Phosphates and Fertilizers,,89,0.0463541666666667,88,0.0440660991487231,75,0.0386001029336078,89,0.0408256880733945,90,0.0426944971537002,91,0.0420129270544783,83,0.0390588235294118,87,0.039206849932402,90,0.0386100386100386,93,0.0384138785625774,82,0.0339123242349049,89,0.0371452420701169,106,0.0437654830718415,104,0.0411067193675889,100,0.039984006397441,111,0.0430733410942957,130,0.047917434574272,128,0.044031647746818,116,0.0391759540695711,86,0.0321615557217651
