Date,CASH_CASH_EQTY_STI_DETAILED,BS_CASH_NEAR_CASH_ITEM,BS_MKT_SEC_OTHER_ST_INVEST,BS_ACCT_NOTE_RCV,BS_ACCTS_REC_EXCL_NOTES_REC,NOTES_RECEIVABLE,BS_UNBILLED_REVENUES,BS_INVENTORIES,INVTRY_RAW_MATERIALS,INVTRY_IN_PROGRESS,INVTRY_FINISHED_GOODS,BS_OTHER_INV,OTHER_CURRENT_ASSETS_DETAILED,BS_PREPAY,BS_DERIV_HEDGING_ASST_ST,BS_TAXES_RECEIVABLE_SHORT_TERM,BS_OTHER_CUR_ASSET_LESS_PREPAY,BS_CUR_ASSET_REPORT,BS_NET_FIX_ASSET,BS_GROSS_FIX_ASSET,BS_ACCUM_DEPR,BS_LT_INVEST,BS_LONG_TERM_INVESTMENTS,BS_LT_RECEIVABLES,BS_OTHER_ASSETS_DEF_CHRG_OTHER,BS_DISCLOSED_INTANGIBLES,BS_GOODWILL,OTHER_INTANGIBLE_ASSETS_DETAILED,BS_PREPAID_EXPENSE_LT,BS_DEFERRED_TAX_ASSETS_LT,BS_DERIV_HEDGING_ASST_LT,BS_INVEST_IN_ASSOC_CO,OTHER_NONCURRENT_ASSETS_DETAILED,BS_TOT_NON_CUR_ASSET,BS_TOT_ASSET,CF_NET_INC,CF_CASH_FROM_OPER,FIXED_INTANG_ASST_CHANGE,DISPOSAL_OF_FIXED_INTANG,ACQUIS_OF_FIXED_INTANG,NET_CHG_IN_LT_INVEST_DETAILED,CF_DECR_INVEST,CF_INCR_INVEST,CF_NT_CSH_RCVD_PD_FOR_ACQUIS_DIV,CF_CASH_FOR_DIVESTITURES,CF_CASH_FOR_ACQUIS_SUBSIDIARIES,CF_CASH_FOR_JOINT_VENTURES_ASSOC,OTHER_INVESTING_ACT_DETAILED,CF_NET_CASH_DISCONTINUED_OPS_INV,CF_CASH_FROM_INV_ACT,CF_DVD_PAID,PROC_FR_REPAYMNTS_BOR_DETAILED,PROC_FR_REPURCH_EQTY_DETAILED,CF_INCR_CAP_STOCK,CF_DECR_CAP_STOCK,OTHER_FIN_AND_DEC_CAP,CF_NET_CASH_DISCONTINUED_OPS_FIN,CFF_ACTIVITIES_DETAILED,CF_EFFECT_FOREIGN_EXCHANGES,CF_NET_CHNG_CASH,CF_CASH_PAID_FOR_TAX,CF_NET_CASH_PAID_FOR_AQUIS,CF_FREE_CASH_FLOW,CF_FREE_CASH_FLOW_FIRM,FREE_CASH_FLOW_EQUITY,FREE_CASH_FLOW_PER_SH,PX_TO_FREE_CASH_FLOW,CASH_FLOW_TO_NET_INC,SALES_REV_TURN,IS_SALES_AND_SERVICES_REVENUES,IS_COGS_TO_FE_AND_PP_AND_G,IS_COG_AND_SERVICES_SOLD,GROSS_PROFIT,IS_OTHER_OPER_INC,IS_OPERATING_EXPN,IS_SGA_EXPENSE,IS_SELLING_EXPENSES,IS_GENERAL_AND_ADMINISTRATIVE,IS_OPERATING_EXPENSES_RD,IS_OTHER_OPERATING_EXPENSES,IS_OPER_INC,IS_NONOP_INCOME_LOSS,IS_NET_INTEREST_EXPENSE,IS_INT_EXPENSE,IS_INT_INC,IS_OTHER_INVESTMENT_INCOME_LOSS,INCOME_LOSS_FROM_AFFILIATES,IS_OTHER_NON_OPERATING_INC_LOSS,PRETAX_INC,IS_ABNORMAL_ITEM,IS_DERIVATIVES_HEDGING,IS_GAIN_LOSS_DISPOSAL_ASSETS,IS_IMPAIRMENT_ASSETS,IS_IMPAIR_OF_INTANG_ASSETS,IS_SALE_OF_BUSINESS,IS_LEGAL_LITIGATION_SETTLEMENT,IS_GAIN_LOSS_ON_INVESTMENTS,IS_OTHER_ONE_TIME_ITEMS,IS_INC_TAX_EXP,IS_INC_BEF_XO_ITEM,XO_GL_NET_OF_TAX,IS_DISCONTINUED_OPERATIONS,EXTRAORD_ITEMS_ACCOUNTING_CHANGS,NI_INCLUDING_MINORITY_INT_RATIO,MIN_NONCONTROL_INTEREST_CREDITS,NET_INCOME,IS_TOT_CASH_PFD_DVD,OTHER_ADJUSTMENTS,EARN_FOR_COMMON,IS_NET_ABNORMAL_ITEMS,IS_AVG_NUM_SH_FOR_EPS,IS_EPS,IS_EARN_BEF_XO_ITEMS_PER_SH,IS_BASIC_EPS_CONT_OPS,IS_SH_FOR_DILUTED_EPS,IS_DILUTED_EPS,IS_DIL_EPS_BEF_XO,IS_DIL_EPS_CONT_OPS,ACCOUNTING_STANDARD,EBITDA,EBITDA_MARGIN,EBIT,GROSS_MARGIN,OPER_MARGIN,PROF_MARGIN,ACTUAL_SALES_PER_EMPL,RETURN_COM_EQY,RETURN_ON_ASSET,RETURN_ON_CAP,RETURN_ON_INV_CAPITAL,INCREMENTAL_OPERATING_MARGIN,PRETAX_INC_TO_NET_SALES,INC_BEF_XO_ITEMS_TO_NET_SALES,NET_INCOME_TO_COMMON_MARGIN,EFF_TAX_RATE,ESG_SCORE,ENVIRONMENTAL_SCORE,SOCIAL_SCORE,GOVERNANCE_SCORE,ESG_DISCLOSURE_SCORE,ENVIRON_DISCLOSURE_SCORE,SOCIAL_DISCLOSURE_SCORE,GOVNCE_DISCLOSURE_SCORE,NOX_EMISSIONS,VOC_EMISSIONS,PARTICULATE_EMISSIONS,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,EMISSION_REDUCTION,TRANSITION_PLAN_INDICATOR,CLIMATE_CHG_POLICY,CLIMATE_CHG_OPPORTUNITIES,CLIMATE_RISKS,GHG_SCOPE_1,GHG_SCOPE_2_LOCATION_BASED,ENERGY_EFFIC_POLICY,ENERGY_CONSUMPTION,ELECTRICITY_USED,NAT_GAS_USED,OIL_DIESEL_USED,WASTE_REDUCTION,HAZARDOUS_WASTE,TOTAL_WASTE,ENVIRON_SUPPLY_MGT,WATER_POLICY,TOTAL_WATER_WITHDRAWAL,TOTAL_WATER_DISCHARGED,BIODIVERSITY_POLICY,ADOPT_TNFD_RECOMMENDATIONS,ZERO_DEFORESTATION_POLICY,BOARD_LEVEL_OVERSIGHT_BIODIV,EXEC_LEVEL_OVERSIGHT_BIODIV,HUMAN_RIGHTS_POLICY,POLICY_AGAINST_CHILD_LABOR,QUALITY_ASSURANCE_AND_RECALL_POL,CONSUMER_DATA_PROTECTION_POLICY,COMMUNITY_SPENDING,CUSTOMER_COMPLAINTS,EQUAL_OPPORTUNITY_POLICY,GENDER_PAY_GAP_BREAKOUT,PCT_WOMEN_SENIOR_MGT,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,PCT_WOMEN_EMPLOYEES,PCT_MINORITY_EMPLOYEES,PCT_DISABLED_IN_WORKFORCE,ETHICS_POLICY,ANTI_BRIBERY_ETHICS_POLICY,HEALTH_SAFETY_POLICY,FATALITIES_EMPLOYEES,LOST_TIME_INCIDENT_RATE,TRAINING_POLICY,FAIR_REMUNERATION_POLICY,NUMBER_EMPLOYEES_CSR,EMPLOYEE_TURNOVER_PCT,EMPLOYEE_TRAINING_COST,TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,COMP_DISCLOSES_EMP_ENG_SCORE,SOCIAL_SUPPLY_CHAIN_MGMT,YEARS_AUDITOR_EMPLOYED,SIZE_OF_AUDIT_COMMITTEE,NUM_IND_DIR_ON_AUD_CMTE,AUDIT_COMMITTEE_MEETINGS,AUDIT_COMMITTEE_MTG_ATTEND_PCT,COMPANY_CONDUCTS_BRD_EVALUATIONS,BOARD_SIZE,NUM_EXECUTIVES_COMP_MANAGERS,NUM_OF_NONEXEC_DIR_ON_BRD,BOARD_MEETINGS_PER_YR,BOARD_MEETING_ATTENDANCE_PCT,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,DIRECTOR_SH_OWNERSHIP_GUIDELINES,SIZE_OF_COMPENSATION_COMMITTEE,NUM_IND_DIR_ON_CMPNSTN_CMTE,NUM_COMPENSATION_CMTE_MTG,COMPENSATION_CMTE_MTG_ATTEND_PCT,NUMBER_OF_FEMALE_EXECUTIVES,NUMBER_OF_WOMEN_ON_BOARD,AGE_OF_YOUNGEST_DIRECTOR,AGE_OF_OLDEST_DIRECTOR,INDEPENDENT_DIRECTORS,SIZE_OF_NOMINATION_COMMITTEE,NUM_IND_DIR_ON_NOM_CMTE,NUM_OF_NOMINATION_CMTE_MTG,NOMINATION_CMTE_MTG_ATTEND_PCT,VERIFICATION_TYPE,EMPLOYEE_CSR_TRAINING,BOARD_DURATION
1990-12-31 00:00:00,624.8,389.7,235.1,852.7,,,,80.8,,,,,188.5,,,,,1746.8,8128,12001.0996,3873.1001,379.8,,,268.4,,,,,,,,268.4,8776.2,10523,556.1,994.7,-555.7,114,-669.7,-10.6,91.9,-102.5,,,,,129.7,,-436.6,-248.2,428.9,-565.3,11,-576.3,0,,-384.6,,173.5,,,325,374.5497,867.9,0.6683,20.823,1.7887,4617,,,,,,3808.8999,,,,,,808.1,,,78,,,,,875.4,,,,,,,,,,319.3,556.1,0,,,556.1,,556.1,0,,556.1,,486.285,1.1433,1.1433,1.1433,486.285,1.1433,1.1433,1.1433,US GAAP,1181.1,25.5815,808.1,,17.5027,12.0446,144425.6757,11.0331,5.3555,9.8435,5.795,,18.9604,12.0446,12.0446,36.4748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-12-31 00:00:00,464.7,158.2,306.5,724.9,,,,70.3,,,,,209.4,,,,,1469.3,8372.2002,12334.5996,3962.3999,217.8,,,88.8,,,,,,,,88.8,8678.8002,10148.0996,29.7,762.4,-592.2,67.2,-659.4,118.8,212.4,-93.6,,,,,-71.4,,-544.8,-238.5,411.8,-622.4,12.9,-635.3,0,,-449.1,,-231.5,,,103,123.6204,582,0.2324,85.1766,25.67,4451.2998,,,,,,3659.3,,,,,,792,,,99.7,,,,,143.6,,,,,,,,,,113.9,29.7,0,,,29.7,,29.7,0,,29.7,,443.277,0.0667,0.0667,0.0667,443.277,0.0667,0.0667,0.0667,US GAAP,1173.3,26.3586,792,,17.7926,0.6672,139312.087,0.6596,0.2874,0.8293,1.8774,-9.7163,3.226,0.6672,0.6672,79.3176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-12-31 00:00:00,378.1,111.8,266.3,748.6,,,,80.8,,,,,189.7,,,,,1397.2,8648,12669.2002,4021.2,282.9,,,72.4,,,,,,,,72.4,9003.3,10400.5,557.7,958.2,-649.1,67,-716.1,-66.2,4.4,-70.6,,,,,40.2,,-675.1,-255,87.5,-162,15.2,-177.2,0,,-329.5,,-46.4,,,242.1,311.5497,396.6,0.5705,35.7884,1.7181,4606.6001,,,,,,3720.1001,,,,,,886.5,,,109,,,,,875.3,,,,,,,,,,317.6,557.7,0,,,557.7,,557.7,0,,557.7,,424.377,1.3133,1.3133,1.3133,424.377,1.3133,1.3133,1.3133,US GAAP,1283.1,27.8535,886.5,,19.2441,12.1065,152865.4421,13.3966,5.4281,10.5026,6.5663,60.8499,19.001,12.1065,12.1065,36.2847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-12-31 00:00:00,258.2,80.5,177.7,729.9,,,,70.3,,,,,505.1,,,,,1563.5,8730.7002,12825.5996,4094.8999,160.3,,,65.3,,,,,,,,65.3,8956.3002,10519.7998,772,874.6,-544.8,124.4,-669.2,-13.9,81.6,-95.5,,,,,88.6,,-470.1,-259.7,-53.7,-122.4,15.7,-138.1,0,,-435.8,,-31.3,,,205.4,265.6068,276.1,0.4911,47.8515,1.1329,4460.1001,,,,,,3599.7,,,,,,860.4,,,98.6,,,,,898.6,,,,,,,,,,349.9,548.7,-223.3,,,772,0,772,0,,772,,418.242,1.8467,1.3133,1.3133,418.242,1.8467,1.3133,1.3133,US GAAP,1265.9,28.3828,860.4,,19.291,17.309,152201.068,17.4398,7.3804,13.311,6.0777,-17.8157,20.1475,12.3024,17.309,38.9383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-12-30 00:00:00,306.7,57,249.7,726.6,,,,61.9,,,,,242.3,,,,,1337.5,8987.0996,13210.2998,4223.2002,172.8,,,90.4,,,,,,,,90.4,9250.2996,10587.7998,667.8,1144.3,-626.8,86.1,-712.9,213.3,272,-58.7,,,,,-74.4,,-487.9,-262.7,-82.2,-335,9.8,-344.8,0,,-679.9,,-23.5,,,431.4,496.0792,435.3,1.055,19.1545,1.7135,4581.2998,,,,,,3515.8999,,,,,,1065.4,,,101.6,,,,,1049,,,,,,,,,,381.2,667.8,0,,,667.8,0,667.8,0,,667.8,,408.903,1.6333,1.6333,1.6333,408.903,1.6333,1.6333,1.6333,US GAAP,1469.2,32.0695,1065.4,,23.2554,14.5766,168628.5264,14.3528,6.3276,11.4245,7.9046,169.1423,22.8974,14.5766,14.5766,36.3394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-12-29 00:00:00,329,67.7,261.3,703.5,,,,61.7,,,,,248.6,,,,,1342.8,9258.7998,13585.0996,4326.2998,231.7,,,71.5,,,,,,,,71.5,9561.9998,10904.7998,712.7,1237.4,-529.3906,129.5,-658.8906,-30.2,36.9,-67.1,,,,,-8.3094,,-567.9,-273.5,-66.2,-319.1,19.1,-338.2,0,,-658.8,,10.7,,,578.5094,651.0134,641.8094,1.4719,17.9755,1.7362,4668,,,,,,3581.7,,,,,,1086.3,,,113.4,,,,,1114.7001,,,,,,,,,,402,712.7,0,,,712.7,0,712.7,0,,712.7,,393.033,1.8133,1.8133,1.8133,393.033,1.8133,1.8133,1.8133,US GAAP,1499.8,32.1294,1086.3,,23.2712,15.2678,173248.2185,14.9824,6.6321,12.1095,7.9488,24.1061,23.8796,15.2678,15.2678,36.0635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-12-31 00:00:00,401,207,194,558,,,,61,61,0,0,,336,,,,,1356,9472,13746,4274,6,,,400,,,,,,,,400,9878,11234,770,1198,-550,130,-680,0,0,0,,,,,26,,-524,-284,116,-360,29,-389,-5,,-533,,141,324,,518,592.9125,764,1.3668,21.462,1.5558,4101,,,,,,2936,,,,,,1165,,,116,,,,,1166,,,,,,,,,,413,753,-17,,,770,0,770,0,,770,,378.999,2.03,1.98,1.98,384,2.01,1.96,1.96,US GAAP,1584,38.6247,1165,,28.4077,18.7759,158768.8734,15.7047,6.9561,12.5252,8.2629,,28.4321,18.3614,18.7759,35.4202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-12-31 00:00:00,159,34,125,552,552,,,58,58,0,0,58,334,,,,,1103,9904,14339,4435,0,,,6343,,,,,,,5888,455,16247,17350,721,1150,-801,74,-875,0,0,0,,,,,-5709,,-6510,-301,5536,24,24,0,-72,,5187,,-173,209,,275,544.6543,5885,0.7294,41.8127,1.595,4223,,,,,0,3010,,,,,,1213,,,385,,,-117,,998,,,,,,,,,,299,699,-22,,,721,0,721,0,,721,,377,1.91,1.85,2.2,380,1.9,1.84,2.19,US GAAP,1645,38.9534,1213,,28.7237,17.0732,163574.389,13.8361,5.0448,9.9533,6.5144,39.3443,23.6325,16.5522,17.0732,29.9599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-12-31 00:00:00,63,5,58,519,519,,,59,59,0,0,0,272,,,,,913,10477,15063,4586,0,,,6790,0,,,,,,6210,580,17267,18180,734,890,-873,83,-956,0,0,0,,,,,206,,-667,-303,17,34,34,0,0,,-252,,-29,76,,-66,318.7101,34,-0.1741,42.4982,1.2125,4221,,,,,0,3348,,,,,,1052,,,516,,,-194,,845,0,,,,,,,,,215,630,-104,,,734,0,734,0,,734,,379,1.94,1.66,1.66,381,1.93,1.65,1.65,US GAAP,1502,35.584,1052,,24.923,17.3892,173703.7037,12.9157,4.1317,8.4196,4.5564,-8050,20.019,14.9254,17.3892,25.4438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-12-31 00:00:00,51,37,14,857,857,,,100,100,0,0,0,363,,,,,1371,10956,15885,4929,0,,,6923,0,,,,,,6132,791,17879,19250,239,533,-808,104,-912,0,0,0,,,,,217,,-591,-304,380,14,14,0,0,,90,,32,16,,-379,,105,-0.9948,,2.2301,5242,,,,,0,4524,,,,,,718,,,1062,,,-49,,-180,49,,,,,,,,,112,239,0,,,-292,0,239,0,,239,,381,0.63,0.63,0.71,382,0.63,0.63,0.71,US GAAP,1207,23.0256,718,,13.6971,4.5593,168196.1111,4.0327,1.2771,,,,-3.4338,-5.5704,4.5593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
