Date,CASH_CASH_EQTY_STI_DETAILED,BS_CASH_NEAR_CASH_ITEM,BS_MKT_SEC_OTHER_ST_INVEST,BS_ACCT_NOTE_RCV,BS_ACCTS_REC_EXCL_NOTES_REC,NOTES_RECEIVABLE,BS_UNBILLED_REVENUES,BS_INVENTORIES,INVTRY_RAW_MATERIALS,INVTRY_IN_PROGRESS,INVTRY_FINISHED_GOODS,BS_OTHER_INV,OTHER_CURRENT_ASSETS_DETAILED,BS_PREPAY,BS_DERIV_HEDGING_ASST_ST,BS_TAXES_RECEIVABLE_SHORT_TERM,BS_OTHER_CUR_ASSET_LESS_PREPAY,BS_CUR_ASSET_REPORT,BS_NET_FIX_ASSET,BS_GROSS_FIX_ASSET,BS_ACCUM_DEPR,BS_LT_INVEST,BS_LONG_TERM_INVESTMENTS,BS_LT_RECEIVABLES,BS_OTHER_ASSETS_DEF_CHRG_OTHER,BS_DISCLOSED_INTANGIBLES,BS_GOODWILL,OTHER_INTANGIBLE_ASSETS_DETAILED,BS_PREPAID_EXPENSE_LT,BS_DEFERRED_TAX_ASSETS_LT,BS_DERIV_HEDGING_ASST_LT,BS_INVEST_IN_ASSOC_CO,OTHER_NONCURRENT_ASSETS_DETAILED,BS_TOT_NON_CUR_ASSET,BS_TOT_ASSET,CF_NET_INC,CF_CASH_FROM_OPER,FIXED_INTANG_ASST_CHANGE,DISPOSAL_OF_FIXED_INTANG,ACQUIS_OF_FIXED_INTANG,NET_CHG_IN_LT_INVEST_DETAILED,CF_DECR_INVEST,CF_INCR_INVEST,CF_NT_CSH_RCVD_PD_FOR_ACQUIS_DIV,CF_CASH_FOR_DIVESTITURES,CF_CASH_FOR_ACQUIS_SUBSIDIARIES,CF_CASH_FOR_JOINT_VENTURES_ASSOC,OTHER_INVESTING_ACT_DETAILED,CF_NET_CASH_DISCONTINUED_OPS_INV,CF_CASH_FROM_INV_ACT,CF_DVD_PAID,PROC_FR_REPAYMNTS_BOR_DETAILED,PROC_FR_REPURCH_EQTY_DETAILED,CF_INCR_CAP_STOCK,CF_DECR_CAP_STOCK,OTHER_FIN_AND_DEC_CAP,CF_NET_CASH_DISCONTINUED_OPS_FIN,CFF_ACTIVITIES_DETAILED,CF_EFFECT_FOREIGN_EXCHANGES,CF_NET_CHNG_CASH,CF_CASH_PAID_FOR_TAX,CF_NET_CASH_PAID_FOR_AQUIS,CF_FREE_CASH_FLOW,CF_FREE_CASH_FLOW_FIRM,FREE_CASH_FLOW_EQUITY,FREE_CASH_FLOW_PER_SH,PX_TO_FREE_CASH_FLOW,CASH_FLOW_TO_NET_INC,SALES_REV_TURN,IS_SALES_AND_SERVICES_REVENUES,IS_COGS_TO_FE_AND_PP_AND_G,IS_COG_AND_SERVICES_SOLD,GROSS_PROFIT,IS_OTHER_OPER_INC,IS_OPERATING_EXPN,IS_SGA_EXPENSE,IS_SELLING_EXPENSES,IS_GENERAL_AND_ADMINISTRATIVE,IS_OPERATING_EXPENSES_RD,IS_OTHER_OPERATING_EXPENSES,IS_OPER_INC,IS_NONOP_INCOME_LOSS,IS_NET_INTEREST_EXPENSE,IS_INT_EXPENSE,IS_INT_INC,IS_OTHER_INVESTMENT_INCOME_LOSS,INCOME_LOSS_FROM_AFFILIATES,IS_OTHER_NON_OPERATING_INC_LOSS,PRETAX_INC,IS_ABNORMAL_ITEM,IS_DERIVATIVES_HEDGING,IS_GAIN_LOSS_DISPOSAL_ASSETS,IS_IMPAIRMENT_ASSETS,IS_IMPAIR_OF_INTANG_ASSETS,IS_SALE_OF_BUSINESS,IS_LEGAL_LITIGATION_SETTLEMENT,IS_GAIN_LOSS_ON_INVESTMENTS,IS_OTHER_ONE_TIME_ITEMS,IS_INC_TAX_EXP,IS_INC_BEF_XO_ITEM,XO_GL_NET_OF_TAX,IS_DISCONTINUED_OPERATIONS,EXTRAORD_ITEMS_ACCOUNTING_CHANGS,NI_INCLUDING_MINORITY_INT_RATIO,MIN_NONCONTROL_INTEREST_CREDITS,NET_INCOME,IS_TOT_CASH_PFD_DVD,OTHER_ADJUSTMENTS,EARN_FOR_COMMON,IS_NET_ABNORMAL_ITEMS,IS_AVG_NUM_SH_FOR_EPS,IS_EPS,IS_EARN_BEF_XO_ITEMS_PER_SH,IS_BASIC_EPS_CONT_OPS,IS_SH_FOR_DILUTED_EPS,IS_DILUTED_EPS,IS_DIL_EPS_BEF_XO,IS_DIL_EPS_CONT_OPS,ACCOUNTING_STANDARD,EBITDA,EBITDA_MARGIN,EBIT,GROSS_MARGIN,OPER_MARGIN,PROF_MARGIN,ACTUAL_SALES_PER_EMPL,RETURN_COM_EQY,RETURN_ON_ASSET,RETURN_ON_CAP,RETURN_ON_INV_CAPITAL,INCREMENTAL_OPERATING_MARGIN,PRETAX_INC_TO_NET_SALES,INC_BEF_XO_ITEMS_TO_NET_SALES,NET_INCOME_TO_COMMON_MARGIN,EFF_TAX_RATE
1990-03-30 00:00:00,477,108.9,368.1,907.4,,,,74.6,,,,,173.5,,,,,1632.5,7945.6001,,,287.8,,,432.9,,,,,,,,432.9,8666.3001,10298.7998,140.2,261.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8645,1138.3,,,,,,934.7,,,,,,203.6,,,14.5,,,,,220.3,,,,,,,,,,80.1,140.2,0,,,140.2,,140.2,0,,140.2,,502.614,0.28,0.28,,502.614,0.28,0.28,0.28,US GAAP,295.5,,203.6,,17.8863,12.3166,,,,,,,19.3534,12.3166,12.3166,36.3595
1990-06-29 00:00:00,744.8,342.3,402.5,905.9,,,,77,,,,,168.2,,,,,1895.9,7926.7002,,,289.8,,,413.3,,,,,,,,413.3,8629.8002,10525.7002,155.9,231.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4869,1179.4,,,,,,951.9,,,,,,227.5,,,15.6,,,,,247,,,,,,,,,,91.1,155.9,0,,,155.9,,155.9,0,,155.9,,492.246,0.3167,0.3167,,492.246,0.3167,0.3167,0.3167,US GAAP,320.5,,227.5,,19.2895,13.2186,,,,,,,20.9429,13.2186,13.2186,36.8826
1990-09-28 00:00:00,664.3,341,323.3,920.2,,,,84.1,,,,,157.1,,,,,1825.7,7966.2002,,,279.3,,,416.9,,,,,,,,416.9,8662.4002,10488.0996,142.9,247.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7327,1175,,,,,,961.3,,,,,,213.7,,,21.3,,,,,226.8,,,,,,,,,,83.9,142.9,0,,,142.9,,142.9,0,,142.9,,480.9,0.2967,0.2967,,480.9,0.2967,0.2967,0.2967,US GAAP,306.7,,213.7,,18.1872,12.1617,,,,,,,19.3021,12.1617,12.1617,36.9929
1990-12-31 00:00:00,624.8,389.7,235.1,852.7,,,,80.8,,,,,188.5,,,,,1746.8,8128,12001.0996,3873.1001,379.8,,,268.4,,,,,,,,268.4,8776.2,10523,117.1,253.9,,,,,,,,,,,,,,,,,,,,,,,253.9,,,,,,,,2.1682,1124.3,,,,,,961,,,,,,163.3,,,26.6,,,,,181.3,,,,,,,,,,64.2,117.1,0,,,117.1,,117.1,0,,117.1,,469.503,0.25,0.25,0.25,469.503,0.25,0.25,0.25,US GAAP,258.4,25.5815,163.3,,14.5246,10.4154,35169.5461,,,,,,16.1256,10.4154,10.4154,35.4109
1991-03-28 00:00:00,670.2,361.8,308.4,737.9,,,,84.4,,,,,190,,,,,1682.5,8160.6001,,,400.5,,,270.4,,,,,,,,270.4,8831.5001,10514,100,229.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.295,1065.3,,,,,,913.1,,,,,,152.2,,,23.3,,,,,159.2,,,,,,,,,,59.2,100,0,,,100,,100,0,,100,,459.549,0.2167,0.2167,,459.549,0.2167,0.2167,0.2167,US GAAP,247.1,24.9274,152.2,,14.2871,9.387,,10.3956,4.9575,9.255,7.7704,-70.411,14.9441,9.387,9.387,37.1859
1991-06-28 00:00:00,494.9,210.7,284.2,755.5,,,,77,,,,,172.8,,,,,1500.2,8208.0996,,,399.6,,,262,,,,,,,,262,8869.6996,10369.9004,134,246.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8403,1113.5,,,,,,908.8,,,,,,204.7,,,24.5,,,,,213.7,,,,,,,,,,79.7,134,0,,,134,,134,0,,134,,447.756,0.3,0.3,,447.756,0.3,0.3,0.3,US GAAP,300.4,24.8454,204.7,,18.3835,12.0341,,10.1469,4.7283,8.9151,7.4609,-34.5979,19.1917,12.0341,12.0341,37.2953
1991-09-30 00:00:00,401.1,114.4,286.7,772.6,,,,70.7,,,,,171.3,,,,,1415.7,8329.4004,,,335.2,,,298.4,,,,,,,,298.4,8963.0004,10378.7002,150.3,244.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6274,1167.6,,,,,,925.4,,,,,,242.2,,,25.5,,,,,237.9,,,,,,,,,,87.6,150.3,0,,,150.3,,150.3,0,,150.3,,436.779,0.34,0.34,,436.779,0.34,0.34,0.34,US GAAP,336.9,25.562,242.2,,20.7434,12.8726,,10.4725,4.8057,9.119,7.7916,,20.3751,12.8726,12.8726,36.8222
1991-12-31 00:00:00,464.7,158.2,306.5,724.9,,,,70.3,,,,,209.4,,,,,1469.3,8372.2002,12334.5996,3962.3999,217.8,,,88.8,,,,,,,,88.8,8678.8002,10148.0996,-354.6,41.7,,,,,,,,,,,,,,,,,,,,,,,41.7,,,,,,,,,1104.9,,,,,,912,,,,,,192.9,,,26.4,,,,,-467.2,,,,,,,,,,-112.6,-354.6,0,,,-354.6,,-354.6,0,,-354.6,,429.1275,-0.8267,-0.8267,-0.8267,429.1275,-0.8267,-0.8267,-0.8267,US GAAP,288.9,26.3586,192.9,,17.4586,-32.0934,34579.9957,0.6596,0.2874,0.8293,1.8212,,-42.2844,-32.0934,-32.0934,
1992-03-31 00:00:00,552.8,222.2,330.6,714.4,,,,75.9,,,,,204.6,,,,,1547.7,8397.5996,,,268.4,,,80.7,,,,,,,,80.7,8746.6996,10294.4004,138.7,284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0476,1098.2,,,,,,885.5,,,,,,212.7,,,28.6,,,,,211.1,,,,,,,,,,72.4,138.7,0,,,138.7,,138.7,0,,138.7,,427.86,0.3233,0.3233,,427.86,0.3233,0.3233,0.3233,US GAAP,310.7,27.5835,212.7,,19.3681,12.6298,,1.5328,0.6574,1.71,3.3026,183.8911,19.2224,12.6298,12.6298,34.2965
1992-06-30 00:00:00,455.6,164.4,291.2,729.1,,,,83.5,,,,,206.6,,,,,1474.8,8457.0996,,,276.7,,,86.6,,,,,,,,86.6,8820.3996,10295.2002,145,216.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4945,1146.9,,,,,,916.9,,,,,,230,,,26.9,,,,,228.7,,,,,,,,,,83.7,145,0,,,145,,145,0,,145,,425.079,0.3433,0.3433,,425.079,0.3433,0.3433,0.3433,US GAAP,327.7,27.9839,230,,20.0541,12.6428,,1.7989,0.7684,1.975,3.632,75.7485,19.9407,12.6428,12.6428,36.5982
