Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43
Norfolk Southern Corp (NSC US) - By Measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Millions of USD except Per Share,,FY 2003,,FY 2004,,FY 2005,,FY 2006,,FY 2007,,FY 2008,,FY 2009,,FY 2010,,FY 2011,,FY 2012,,FY 2013,,FY 2014,,FY 2015,,FY 2016,,FY 2017,,FY 2018,,FY 2019,,FY 2020,,FY 2021,,FY 2022,,FY 2023,
12 Months Ending,,12/31/2003,,12/31/2004,,12/31/2005,,12/31/2006,,12/31/2007,,12/31/2008,,12/31/2009,,12/31/2010,,12/31/2011,,12/31/2012,,12/31/2013,,12/31/2014,,12/31/2015,,12/31/2016,,12/31/2017,,12/31/2018,,12/31/2019,,12/31/2020,,12/31/2021,,12/31/2022,,12/31/2023,
Revenue,,6468,1.0,7312,1.0,8527,1.0,9407,1.0,9432,1.0,10661,1.0,7969,1.0,9516,1.0,11172,1.0,11040,1.0,11245,1.0,11624,1.0,10511,1.0,9888,1.0,10551,1.0,11458,1.0,11296,1.0,9789,1.0,11142,1.0,12745,1.0,12156,1.0
  Railroad Operation,,6468,1.0,7312,1.0,8527,1.0,9407,1.0,9432,1.0,10661,1.0,7969,1.0,9516,1.0,11172,1.0,11040,1.0,11245,1.0,11624,1.0,10511,1.0,9888,1.0,10551,1.0,11458,1.0,11296,1.0,9789,1.0,11142,1.0,12745,1.0,12156,1.0
Revenue - Supplementary Breakdown,,6468,1.0,7312,1.0,8527,1.0,9407,1.0,9432,1.0,10661,1.0,7969,1.0,9516,1.0,11172,1.0,11040,1.0,11245,1.0,11624,1.0,10511,1.0,9888,1.0,10551,1.0,11458,1.0,11296,1.0,9789,1.0,11142,1.0,12745,1.0,12156,1.0
  Merchandise,,3729,0.576530612244898,4047,0.553473741794311,4586,0.537821039052422,5106,0.54278728606357,5196,0.55089058524173,5492,0.515148672732389,4175,0.523905132388004,5001,0.525535939470366,5584,0.499820981023989,5920,0.536231884057971,6318,0.561849710982659,6680,0.574673090158293,6279,0.597374179431072,6182,0.625202265372168,6357,0.602502132499289,6744,0.588584395182405,6803,0.602248583569405,6088,0.621922566145674,6669,0.598546042003231,7331,0.575205963122793,7353,0.604886475814413
"    Agriculture, Forest & Consumer Products",,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,2188,0.190958282422761,2256,0.19971671388102,2116,0.216160997037491,2251,0.202028361155986,2493,0.195606120047077,2530,0.208127673576834
    Chemicals,,772,0.119356833642548,864,0.118161925601751,978,0.114694499824088,1079,0.114701817795259,1166,0.12362171331637,1238,0.116124190976456,1056,0.13251348977287,1302,0.136822194199243,1368,0.122448979591837,1467,0.132880434782609,1667,0.1482436638506,1863,0.160271851342051,1760,0.167443630482352,1648,0.166666666666667,1710,0.162069945976685,2083,0.181794379472857,2092,0.185198300283286,1809,0.184799264480539,1951,0.175103213067672,2148,0.168536681051393,2054,0.168970055939454
    Metals and Construction,,699,0.108070500927644,818,0.111870897155361,978,0.114694499824088,1168,0.124162857446582,1149,0.121819338422392,1251,0.11734358878154,745,0.0934872631446857,1013,0.10645229087852,1241,0.111081274615109,1335,0.120923913043478,1405,0.124944419742108,1521,0.130849965588438,1263,0.12015983255637,1267,0.128135113268608,1481,0.140365842100275,1482,0.129341944492931,1461,0.129337818696884,1333,0.136173255695168,1562,0.140190271046491,1652,0.12961945861122,1634,0.134419216847647
    Automotive,,936,0.144712430426716,954,0.1304704595186,997,0.116922716078339,974,0.103539917083023,974,0.103265479219678,823,0.0771972610449301,527,0.0661312586271803,648,0.0680958385876419,780,0.0698174006444683,897,0.08125,984,0.0875055580257892,1004,0.0863730213351686,969,0.0921891351917039,975,0.0986043689320388,955,0.0905127476068619,991,0.0864897887938558,994,0.0879957507082153,830,0.0847890489324752,905,0.0812241967330821,1038,0.0814437034131032,1135,0.0933695294504771
    Forest and Consumer,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,795,0.0753483082172306,—,,—,,—,,—,,—,,—,
    Agriculture Products,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,1416,0.134205288598237,—,,—,,—,,—,,—,,—,
    Paper/Clay/Forest,,634,0.0980210265924552,684,0.0935448577680525,801,0.0939369062976428,891,0.0947167003295418,860,0.0911789652247667,898,0.0842322483819529,666,0.0835738486635714,712,0.0748213535098781,756,0.0676691729323308,775,0.0701992753623188,795,0.0706980880391285,794,0.0683069511355816,771,0.0733517267624394,744,0.0752427184466019,—,,—,,—,,—,,—,,—,,—,
    Agriculture/Consumer/Government,,688,0.106369820655535,727,0.0994256017505471,832,0.0975724170282632,994,0.105665993409163,1047,0.111005089058524,1282,0.12025138354751,1181,0.148199272179696,1326,0.139344262295082,1439,0.128804153240243,1446,0.130978260869565,1467,0.130457981325033,1498,0.128871300757054,1516,0.144229854438208,1548,0.156553398058252,—,,—,,—,,—,,—,,—,,—,
