Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79
Norfolk Southern Corp (NSC US) - By Measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Millions of USD except Per Share,,Q4 2003,,Q1 2004,,Q2 2004,,Q3 2004,,Q4 2004,,Q1 2005,,Q2 2005,,Q3 2005,,Q4 2005,,Q1 2006,,Q2 2006,,Q3 2006,,Q4 2006,,Q1 2007,,Q2 2007,,Q3 2007,,Q4 2007,,Q1 2008,,Q2 2008,,Q3 2008,,Q4 2008,,Q1 2009,,Q2 2009,,Q3 2009,,Q4 2009,,Q1 2010,,Q2 2010,,Q3 2010,,Q4 2010,,Q1 2011,,Q2 2011,,Q3 2011,,Q4 2011,,Q1 2012,,Q2 2012,,Q3 2012,,Q4 2012,,Q1 2013,,Q2 2013,
3 Months Ending,,12/31/2003,,03/31/2004,,06/30/2004,,09/30/2004,,12/31/2004,,03/31/2005,,06/30/2005,,09/30/2005,,12/31/2005,,03/31/2006,,06/30/2006,,09/30/2006,,12/31/2006,,03/31/2007,,06/30/2007,,09/30/2007,,12/31/2007,,03/31/2008,,06/30/2008,,09/30/2008,,12/31/2008,,03/31/2009,,06/30/2009,,09/30/2009,,12/31/2009,,03/31/2010,,06/30/2010,,09/30/2010,,12/31/2010,,03/31/2011,,06/30/2011,,09/30/2011,,12/31/2011,,03/31/2012,,06/30/2012,,09/30/2012,,12/31/2012,,03/31/2013,,06/30/2013,
Revenue,,1676,1.0,1693,1.0,1813,1.0,1857,1.0,1949,1.0,1961,1.0,2154,1.0,2155,1.0,2257,1.0,2303,1.0,2392,1.0,2393,1.0,2319,1.0,2247,1.0,2378,1.0,2353,1.0,2454,1.0,2500,1.0,2765,1.0,2894,1.0,2502,1.0,1943,1.0,1857,1.0,2063,1.0,2106,1.0,2238,1.0,2430,1.0,2456,1.0,2392,1.0,2620,1.0,2866,1.0,2889,1.0,2797,1.0,2789,1.0,—,,2693,1.0,2684,1.0,2738,1.0,2802,1.0
  Railroad Operation,,1676,1.0,1693,1.0,1813,1.0,1857,1.0,1949,1.0,1961,1.0,2154,1.0,2155,1.0,2257,1.0,2303,1.0,2392,1.0,2393,1.0,2319,1.0,2247,1.0,2378,1.0,2353,1.0,2454,1.0,2500,1.0,2765,1.0,2894,1.0,2502,1.0,1943,1.0,1857,1.0,2063,1.0,2106,1.0,2238,1.0,2430,1.0,2456,1.0,2392,1.0,2620,1.0,2866,1.0,2889,1.0,2797,1.0,2789,1.0,—,,2693,1.0,2684,1.0,2738,1.0,2802,1.0
Revenue - Supplementary Breakdown,,1676,1.0,1693,1.0,1813,1.0,1857,1.0,1949,1.0,1961,1.0,2154,1.0,2155,1.0,2257,1.0,2303,1.0,2392,1.0,2393,1.0,2319,1.0,2247,1.0,2378,1.0,2353,1.0,2454,1.0,2500,1.0,2765,1.0,2894,1.0,2502,1.0,1943,1.0,1857,1.0,2063,1.0,2106,1.0,2238,1.0,2430,1.0,2456,1.0,2392,1.0,2620,1.0,2866,1.0,2889,1.0,2797,1.0,2789,1.0,2874,1.0,2693,1.0,2684,1.0,2738,1.0,2802,1.0
  General Merchandise,,956,0.570405727923628,967,0.571175428233904,1025,0.565361279646994,1006,0.541733979536887,1049,0.538224730631093,1086,0.553799082100969,1148,0.532961931290622,1138,0.528074245939675,1214,0.537882144439522,1278,0.554928354320452,1311,0.548076923076923,1283,0.536147095695779,1234,0.532125916343251,1228,0.546506453048509,1320,0.555088309503785,1291,0.548661283467913,1357,0.552974735126324,1352,0.5408,1458,0.527305605786618,1458,0.503800967519005,1224,0.489208633093525,975,0.501801338136902,978,0.526655896607431,1103,0.534658264663112,1119,0.531339031339031,1199,0.535746201966041,1283,0.52798353909465,1283,0.522394136807818,1236,0.516722408026756,1319,0.503435114503817,1433,0.5,1439,0.49809622706819,1393,0.498033607436539,1496,0.536392972391538,1556,0.541405706332637,1425,0.529149647233568,1443,0.537630402384501,1530,0.558802045288532,1588,0.566738044254104
    Chemicals,,—,,203,0.119905493207324,214,0.118036403750689,226,0.121701669359181,221,0.113391482811698,231,0.117797042325344,245,0.113741875580316,252,0.116937354988399,245,0.108551174124945,259,0.112462006079027,268,0.112040133779264,286,0.119515252820727,266,0.114704614057784,274,0.121940364931019,297,0.124894869638352,297,0.126221844453889,298,0.121434392828036,305,0.122,322,0.116455696202532,337,0.116447823082239,274,0.10951239008793,236,0.121461657231086,245,0.131933225632741,297,0.14396509936985,278,0.132003798670465,314,0.140303842716711,334,0.137448559670782,340,0.138436482084691,314,0.131270903010033,338,0.129007633587786,355,0.123866015352408,353,0.122187608168917,322,0.115123346442617,362,0.129795625672284,379,0.13187195546277,370,0.137393241737839,356,0.132637853949329,394,0.143900657414171,415,0.148108493932905
    Agriculture/Consumer/Government,,—,,176,0.103957471943296,182,0.1003861003861,179,0.0963920301561659,190,0.0974858902001026,193,0.098419173890872,200,0.0928505106778087,203,0.094199535962877,249,0.110323438192291,264,0.114633087277464,239,0.0999163879598662,239,0.099874634350188,252,0.108667529107374,241,0.107254116599911,254,0.106812447434819,264,0.112197195070123,288,0.117359413202934,299,0.1196,326,0.117902350813743,338,0.116793365583967,319,0.127498001598721,278,0.143077714873906,287,0.154550350026925,296,0.14348036839554,320,0.151946818613485,325,0.145218945487042,322,0.132510288065844,331,0.134771986970684,348,0.145484949832776,351,0.133969465648855,369,0.128750872295883,357,0.123572170301142,362,0.129424383267787,370,0.132664037289351,370,0.128740431454419,344,0.127738581507612,362,0.134873323397914,361,0.131848064280497,366,0.130620985010707
