Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81
Norfolk Southern Corp (NSC US) - By Measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Millions of USD except Per Share,,Q3 2014,,Q4 2014,,Q1 2015,,Q2 2015,,Q3 2015,,Q4 2015,,Q1 2016,,Q2 2016,,Q3 2016,,Q4 2016,,Q1 2017,,Q2 2017,,Q3 2017,,Q4 2017,,Q1 2018,,Q2 2018,,Q3 2018,,Q4 2018,,Q1 2019,,Q2 2019,,Q3 2019,,Q4 2019,,Q1 2020,,Q2 2020,,Q3 2020,,Q4 2020,,Q1 2021,,Q2 2021,,Q3 2021,,Q4 2021,,Q1 2022,,Q2 2022,,Q3 2022,,Q4 2022,,Q1 2023,,Q2 2023,,Q3 2023,,Q4 2023,,Q1 2024,,Q2 2024,
3 Months Ending,,09/30/2014,,12/31/2014,,03/31/2015,,06/30/2015,,09/30/2015,,12/31/2015,,03/31/2016,,06/30/2016,,09/30/2016,,12/31/2016,,03/31/2017,,06/30/2017,,09/30/2017,,12/31/2017,,03/31/2018,,06/30/2018,,09/30/2018,,12/31/2018,,03/31/2019,,06/30/2019,,09/30/2019,,12/31/2019,,03/31/2020,,06/30/2020,,09/30/2020,,12/31/2020,,03/31/2021,,06/30/2021,,09/30/2021,,12/31/2021,,03/31/2022,,06/30/2022,,09/30/2022,,12/31/2022,,03/31/2023,,06/30/2023,,09/30/2023,,12/31/2023,,03/31/2024,,06/30/2024,
Revenue,,3023,1.0,—,,2567,1.0,—,,2713,1.0,2518,1.0,2420,1.0,2454,1.0,2524,1.0,2490,1.0,2575,1.0,2637,1.0,2670,1.0,2669,1.0,2717,1.0,2898,1.0,2947,1.0,2896,1.0,2840,1.0,2925,1.0,2841,1.0,2690,1.0,2625,1.0,2085,1.0,2506,1.0,2573,1.0,2639,1.0,2799,1.0,2852,1.0,2852,1.0,2915,1.0,3250,1.0,3343,1.0,3237,1.0,3132,1.0,2980,1.0,—,,3073,1.0,3004,1.0,—,
  Railroad Operation,,3023,1.0,—,,2567,1.0,—,,2713,1.0,2518,1.0,2420,1.0,2454,1.0,2524,1.0,2490,1.0,2575,1.0,2637,1.0,2670,1.0,2669,1.0,2717,1.0,2898,1.0,2947,1.0,2896,1.0,2840,1.0,2925,1.0,2841,1.0,2690,1.0,2625,1.0,2085,1.0,2506,1.0,2573,1.0,2639,1.0,2799,1.0,2852,1.0,2852,1.0,2915,1.0,3250,1.0,3343,1.0,3237,1.0,3132,1.0,2980,1.0,—,,3073,1.0,3004,1.0,—,
Revenue - Supplementary Breakdown,,3023,1.0,2870,1.0,2567,1.0,2713,1.0,2713,1.0,2518,1.0,2420,1.0,2454,1.0,2524,1.0,2490,1.0,2575,1.0,2637,1.0,2670,1.0,2669,1.0,2717,1.0,2898,1.0,2947,1.0,2896,1.0,2840,1.0,2925,1.0,2841,1.0,2690,1.0,2625,1.0,2085,1.0,2506,1.0,2573,1.0,2639,1.0,2799,1.0,—,,2852,1.0,2915,1.0,3250,1.0,3343,1.0,3237,1.0,3132,1.0,2980,1.0,2971,1.0,3073,1.0,3004,1.0,3044,1.0
  Merchandise,,1730,0.57227919285478,1678,0.584668989547038,1520,0.592130892091936,1627,0.599705123479543,1610,0.59343899741983,1522,0.604447974583002,1549,0.640082644628099,1577,0.642624286878566,1552,0.614896988906498,1504,0.604016064257028,1584,0.615145631067961,1597,0.605612438376943,1600,0.599250936329588,1576,0.590483327088797,1605,0.590725064409275,1718,0.592822636300897,1737,0.589412962334578,1684,0.581491712707182,1686,0.593661971830986,1756,0.60034188034188,1731,0.609292502639916,1630,0.605947955390335,1672,0.636952380952381,1307,0.626858513189448,1556,0.620909816440543,1553,0.603575592693354,1608,0.609321712769989,1680,0.60021436227224,—,,1671,0.585904628330996,1672,0.573584905660377,1853,0.570153846153846,1930,0.577325755309602,1876,0.579548965091134,1878,0.599616858237548,1826,0.612751677852349,1800,0.605856613934702,1849,0.601692157500814,1863,0.62017310252996,1904,0.625492772667543
"    Agriculture, Forest & Consumer Products",,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,637,0.219958563535912,558,0.196478873239437,577,0.197264957264957,572,0.20133755719817,587,0.2182156133829,551,0.209904761904762,498,0.238848920863309,521,0.207901037509976,546,0.212203653322969,539,0.204244031830239,578,0.206502322257949,—,,570,0.199859747545582,573,0.196569468267581,624,0.192,642,0.192043075082261,654,0.202038924930491,653,0.208492975734355,627,0.210402684563758,611,0.205654661730057,639,0.207940123657664,629,0.209387483355526,622,0.204336399474376
    Chemicals,,488,0.16142904399603,477,0.166202090592334,432,0.168289832489287,454,0.167342425359381,451,0.166236638407667,423,0.167990468625894,419,0.173140495867769,426,0.17359413202934,408,0.161648177496038,395,0.15863453815261,427,0.165825242718447,406,0.153962836556693,418,0.156554307116105,417,0.156238291494942,454,0.167096061832904,465,0.160455486542443,481,0.163216830675263,445,0.153660220994475,507,0.178521126760563,544,0.185982905982906,535,0.188313973952834,468,0.173977695167286,520,0.198095238095238,423,0.202877697841727,428,0.170790103750998,438,0.17022930431403,459,0.173929518757105,494,0.176491604144337,—,,494,0.173211781206171,498,0.170840480274443,552,0.169846153846154,570,0.170505533951541,528,0.163113994439296,541,0.172733077905492,503,0.168791946308725,498,0.167620329855268,512,0.166612430849333,527,0.1754327563249,532,0.174770039421813
