Date,CASH_CASH_EQTY_STI_DETAILED,BS_CASH_NEAR_CASH_ITEM,BS_MKT_SEC_OTHER_ST_INVEST,BS_ACCT_NOTE_RCV,BS_ACCTS_REC_EXCL_NOTES_REC,NOTES_RECEIVABLE,BS_UNBILLED_REVENUES,BS_INVENTORIES,INVTRY_RAW_MATERIALS,INVTRY_IN_PROGRESS,INVTRY_FINISHED_GOODS,BS_OTHER_INV,OTHER_CURRENT_ASSETS_DETAILED,BS_PREPAY,BS_DERIV_HEDGING_ASST_ST,BS_TAXES_RECEIVABLE_SHORT_TERM,BS_OTHER_CUR_ASSET_LESS_PREPAY,BS_CUR_ASSET_REPORT,BS_NET_FIX_ASSET,BS_GROSS_FIX_ASSET,BS_ACCUM_DEPR,BS_LT_INVEST,BS_LONG_TERM_INVESTMENTS,BS_LT_RECEIVABLES,BS_OTHER_ASSETS_DEF_CHRG_OTHER,BS_DISCLOSED_INTANGIBLES,BS_GOODWILL,OTHER_INTANGIBLE_ASSETS_DETAILED,BS_PREPAID_EXPENSE_LT,BS_DEFERRED_TAX_ASSETS_LT,BS_DERIV_HEDGING_ASST_LT,BS_INVEST_IN_ASSOC_CO,OTHER_NONCURRENT_ASSETS_DETAILED,BS_TOT_NON_CUR_ASSET,BS_TOT_ASSET,CF_NET_INC,CF_CASH_FROM_OPER,FIXED_INTANG_ASST_CHANGE,DISPOSAL_OF_FIXED_INTANG,ACQUIS_OF_FIXED_INTANG,NET_CHG_IN_LT_INVEST_DETAILED,CF_DECR_INVEST,CF_INCR_INVEST,CF_NT_CSH_RCVD_PD_FOR_ACQUIS_DIV,CF_CASH_FOR_DIVESTITURES,CF_CASH_FOR_ACQUIS_SUBSIDIARIES,CF_CASH_FOR_JOINT_VENTURES_ASSOC,OTHER_INVESTING_ACT_DETAILED,CF_NET_CASH_DISCONTINUED_OPS_INV,CF_CASH_FROM_INV_ACT,CF_DVD_PAID,PROC_FR_REPAYMNTS_BOR_DETAILED,PROC_FR_REPURCH_EQTY_DETAILED,CF_INCR_CAP_STOCK,CF_DECR_CAP_STOCK,OTHER_FIN_AND_DEC_CAP,CF_NET_CASH_DISCONTINUED_OPS_FIN,CFF_ACTIVITIES_DETAILED,CF_EFFECT_FOREIGN_EXCHANGES,CF_NET_CHNG_CASH,CF_CASH_PAID_FOR_TAX,CF_NET_CASH_PAID_FOR_AQUIS,CF_FREE_CASH_FLOW,CF_FREE_CASH_FLOW_FIRM,FREE_CASH_FLOW_EQUITY,FREE_CASH_FLOW_PER_SH,PX_TO_FREE_CASH_FLOW,CASH_FLOW_TO_NET_INC,SALES_REV_TURN,IS_SALES_AND_SERVICES_REVENUES,IS_COGS_TO_FE_AND_PP_AND_G,IS_COG_AND_SERVICES_SOLD,GROSS_PROFIT,IS_OTHER_OPER_INC,IS_OPERATING_EXPN,IS_SGA_EXPENSE,IS_SELLING_EXPENSES,IS_GENERAL_AND_ADMINISTRATIVE,IS_OPERATING_EXPENSES_RD,IS_OTHER_OPERATING_EXPENSES,IS_OPER_INC,IS_NONOP_INCOME_LOSS,IS_NET_INTEREST_EXPENSE,IS_INT_EXPENSE,IS_INT_INC,IS_OTHER_INVESTMENT_INCOME_LOSS,INCOME_LOSS_FROM_AFFILIATES,IS_OTHER_NON_OPERATING_INC_LOSS,PRETAX_INC,IS_ABNORMAL_ITEM,IS_DERIVATIVES_HEDGING,IS_GAIN_LOSS_DISPOSAL_ASSETS,IS_IMPAIRMENT_ASSETS,IS_IMPAIR_OF_INTANG_ASSETS,IS_SALE_OF_BUSINESS,IS_LEGAL_LITIGATION_SETTLEMENT,IS_GAIN_LOSS_ON_INVESTMENTS,IS_OTHER_ONE_TIME_ITEMS,IS_INC_TAX_EXP,IS_INC_BEF_XO_ITEM,XO_GL_NET_OF_TAX,IS_DISCONTINUED_OPERATIONS,EXTRAORD_ITEMS_ACCOUNTING_CHANGS,NI_INCLUDING_MINORITY_INT_RATIO,MIN_NONCONTROL_INTEREST_CREDITS,NET_INCOME,IS_TOT_CASH_PFD_DVD,OTHER_ADJUSTMENTS,EARN_FOR_COMMON,IS_NET_ABNORMAL_ITEMS,IS_AVG_NUM_SH_FOR_EPS,IS_EPS,IS_EARN_BEF_XO_ITEMS_PER_SH,IS_BASIC_EPS_CONT_OPS,IS_SH_FOR_DILUTED_EPS,IS_DILUTED_EPS,IS_DIL_EPS_BEF_XO,IS_DIL_EPS_CONT_OPS,ACCOUNTING_STANDARD,EBITDA,EBITDA_MARGIN,EBIT,GROSS_MARGIN,OPER_MARGIN,PROF_MARGIN,ACTUAL_SALES_PER_EMPL,RETURN_COM_EQY,RETURN_ON_ASSET,RETURN_ON_CAP,RETURN_ON_INV_CAPITAL,INCREMENTAL_OPERATING_MARGIN,PRETAX_INC_TO_NET_SALES,INC_BEF_XO_ITEMS_TO_NET_SALES,NET_INCOME_TO_COMMON_MARGIN,EFF_TAX_RATE,ESG_SCORE,ENVIRONMENTAL_SCORE,SOCIAL_SCORE,GOVERNANCE_SCORE,ESG_DISCLOSURE_SCORE,ENVIRON_DISCLOSURE_SCORE,SOCIAL_DISCLOSURE_SCORE,GOVNCE_DISCLOSURE_SCORE,NOX_EMISSIONS,VOC_EMISSIONS,PARTICULATE_EMISSIONS,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,EMISSION_REDUCTION,TRANSITION_PLAN_INDICATOR,CLIMATE_CHG_POLICY,CLIMATE_CHG_OPPORTUNITIES,CLIMATE_RISKS,GHG_SCOPE_1,GHG_SCOPE_2_LOCATION_BASED,ENERGY_EFFIC_POLICY,ENERGY_CONSUMPTION,ELECTRICITY_USED,NAT_GAS_USED,OIL_DIESEL_USED,WASTE_REDUCTION,HAZARDOUS_WASTE,TOTAL_WASTE,ENVIRON_SUPPLY_MGT,WATER_POLICY,TOTAL_WATER_WITHDRAWAL,TOTAL_WATER_DISCHARGED,BIODIVERSITY_POLICY,ADOPT_TNFD_RECOMMENDATIONS,ZERO_DEFORESTATION_POLICY,BOARD_LEVEL_OVERSIGHT_BIODIV,EXEC_LEVEL_OVERSIGHT_BIODIV,HUMAN_RIGHTS_POLICY,POLICY_AGAINST_CHILD_LABOR,QUALITY_ASSURANCE_AND_RECALL_POL,CONSUMER_DATA_PROTECTION_POLICY,COMMUNITY_SPENDING,CUSTOMER_COMPLAINTS,EQUAL_OPPORTUNITY_POLICY,GENDER_PAY_GAP_BREAKOUT,PCT_WOMEN_SENIOR_MGT,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,PCT_WOMEN_EMPLOYEES,PCT_MINORITY_EMPLOYEES,PCT_DISABLED_IN_WORKFORCE,ETHICS_POLICY,ANTI_BRIBERY_ETHICS_POLICY,HEALTH_SAFETY_POLICY,FATALITIES_EMPLOYEES,LOST_TIME_INCIDENT_RATE,TRAINING_POLICY,FAIR_REMUNERATION_POLICY,NUMBER_EMPLOYEES_CSR,EMPLOYEE_TURNOVER_PCT,EMPLOYEE_TRAINING_COST,TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,COMP_DISCLOSES_EMP_ENG_SCORE,SOCIAL_SUPPLY_CHAIN_MGMT,YEARS_AUDITOR_EMPLOYED,SIZE_OF_AUDIT_COMMITTEE,NUM_IND_DIR_ON_AUD_CMTE,AUDIT_COMMITTEE_MEETINGS,AUDIT_COMMITTEE_MTG_ATTEND_PCT,COMPANY_CONDUCTS_BRD_EVALUATIONS,BOARD_SIZE,NUM_EXECUTIVES_COMP_MANAGERS,NUM_OF_NONEXEC_DIR_ON_BRD,BOARD_MEETINGS_PER_YR,BOARD_MEETING_ATTENDANCE_PCT,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,DIRECTOR_SH_OWNERSHIP_GUIDELINES,SIZE_OF_COMPENSATION_COMMITTEE,NUM_IND_DIR_ON_CMPNSTN_CMTE,NUM_COMPENSATION_CMTE_MTG,COMPENSATION_CMTE_MTG_ATTEND_PCT,NUMBER_OF_FEMALE_EXECUTIVES,NUMBER_OF_WOMEN_ON_BOARD,AGE_OF_YOUNGEST_DIRECTOR,AGE_OF_OLDEST_DIRECTOR,INDEPENDENT_DIRECTORS,SIZE_OF_NOMINATION_COMMITTEE,NUM_IND_DIR_ON_NOM_CMTE,NUM_OF_NOMINATION_CMTE_MTG,NOMINATION_CMTE_MTG_ATTEND_PCT,VERIFICATION_TYPE,EMPLOYEE_CSR_TRAINING,BOARD_DURATION
1990-12-31 00:00:00,169,169,0,545,,,,243,,,,,298,,,,,1255,9751,14356,4605,146,,,1926,,,,,,,,1926,11823,13078,618,1467,-1206,,-1206,,,,,,,,-68,,-1274,-232,83,-62,0,-62,0,,-211,,-18,,,261,507.6807,344,0.3255,18.2771,2.3738,6964,,,,,,5727,,,,,,1237,,,380,,,,,952,,,,,,,,,,334,618,0,,,618,0,618,0,,618,,801.832,0.7713,0.7713,0.7713,801.832,0.7713,0.7713,0.7713,US GAAP,1934,27.7714,1237,,17.7628,8.8742,144113.5691,15.0953,4.84,10.6044,7.7819,15.4661,13.6703,8.8742,8.8742,35.084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-12-31 00:00:00,144,144,0,516,,,,222,,,,,286,,,,,1168,10051,15333,5282,187,,,1920,,,,,,,,1920,12158,13326,64,1392,-1231,,-1231,,,,,,,,94,,-1137,-257,-23,0,0,0,0,,-280,,-25,,,161,382.7143,138,0.1992,43.7603,21.75,7029,,,,,,5781,,,,,,1248,,,388,,,,,112,,,,,,,,,,48,64,0,,,64,0,64,0,,64,,808.092,0.0775,0.0775,0.0775,808.092,0.0775,0.0775,0.0775,US GAAP,1996,28.3966,1248,,17.755,0.9105,149267.3604,1.5166,0.4848,3.4477,6.8045,16.9231,1.5934,0.9105,0.9105,42.8571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-12-31 00:00:00,245,245,0,575,,,,244,,,,,317,,,,,1381,10600,16385,5785,187,,,1930,,,,,,,,1930,12717,14098,728,1660,-1567,,-1567,,,,,,,,220,,-1347,-282,75,-5,0,-5,0,,-212,,101,,,93,331.0381,168,0.114,86.427,2.2802,7294,,,,,,5979,,,,,,1315,,,360,,,,,1101,,,,,,,,,,373,728,0,,,728,0,728,0,,728,,815.532,0.8925,0.8925,0.8925,815.532,0.8925,0.8925,0.8925,US GAAP,2224,30.4908,1315,,18.0285,9.9808,158430.8955,16.5417,5.3092,11.398,8.1046,25.283,15.0946,9.9808,9.9808,33.8783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-12-31 00:00:00,113,113,0,651,,,,252,,,,,366,,,,,1382,11441,17860,6419,170,,,2008,,,,,,,,2008,13619,15001,530,1563,-1478,96,-1574,0,0,0,,,,,-75,,-1553,-309,177,-10,0,-10,0,,-142,,-132,,,-11,186.7662,262,-0.0134,92.8905,2.9491,7561,,,,,,6072,,,,,,1489,,,324,,,,,1155,,,,,,,,,,450,705,175,,,530,0,530,0,,530,,822,0.645,0.8575,0.8575,822,0.645,0.8575,0.8575,US GAAP,2438,32.2444,1489,,19.6932,7.0097,160872.3404,11.1298,3.6427,8.1739,7.952,65.1685,15.2758,9.3242,7.0097,38.961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-12-30 00:00:00,121,121,0,939,,,,315,,,,,447,,,,,1822,12271,18885,6614,662,,,1187,,,,,,,,1187,14120,15942,546,1909,-1236,361,-1597,0,0,0,,,,,-725,,-1961,-334,395,-1,0,-1,0,,60,,8,,,312,538.8414,1068,0.3794,20.1503,3.4963,7798,,,,,,6203,,,,,,1595,,,336,,,,,1419,,,,,,,,,,461,958,412,,,546,0,546,0,,546,,822.4,0.665,1.165,1.165,822.4,0.665,1.165,1.165,US GAAP,2600,33.3419,1595,,20.454,7.0018,166268.6567,10.9026,3.5291,8.2392,8.8656,44.7257,18.197,12.2852,7.0018,32.4877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-12-29 00:00:00,230,230,0,1002,,,,238,,,,,209,,,,,1679,14105,18748,4643,1447,,,2215,,,,,,,,2215,17767,19446,946,1454,-890,168,-1058,0,0,0,,,,,-1679,,-2569,-353,744,844,844,0,-5,,1230,,115,,,396,694.5531,1308,0.4814,23.0981,1.537,7486,,,,,,6244,,,,,,1242,,,450,,,,,933,,,,,,,,,,314,619,-327,,,946,0,946,0,,946,,822.608,1.15,0.7525,,822.608,0.7525,0.7525,0.7525,US GAAP,1884,25.167,1242,,16.591,12.6369,151232.3232,16.4593,5.3464,10.9967,5.685,-113.141,12.4633,8.2688,12.6369,33.6549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-12-31 00:00:00,191,191,0,494,,,,304,,,,,345,,,,,1334,25044,30097,5053,226,,,1310,,,,,,,,1310,26580,27914,904,1657,-1246,114,-1360,0,0,0,,,,,152,,-1094,-353,-306,0,0,0,57,,-602,,-39,108,,297,626.9488,105,0.3426,43.869,1.833,8786,,,,,,7354,,,,,,1432,,,501,,,,,1113,,,,,,,,,,380,733,-171,,,904,0,904,0,,904,,866.8,1.0425,0.845,0.845,872,1.035,0.84,0.84,US GAAP,2194,24.9715,1432,,16.2987,10.2891,160328.4672,12.3929,3.8176,8.4529,4.8972,14.6154,12.6679,8.3428,10.2891,34.142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-12-31 00:00:00,90,90,0,631,631,,,296,296,0,0,,398,,,,,1415,25977,31514,5537,181,,,1191,619,619,0,,,,443,129,27349,28764,432,1600,-2101,0,-2101,0,0,0,,,,,329,,-1772,-422,520,0,0,0,-27,,71,,-101,64,,-501,-114.3728,19,-0.5098,45.6475,3.7037,11079,,1676,,9403,0,9935,,,,,,1144,,,605,,,,,676,447.9,,,,,,,,,244,432,0,,,432,0,432,0,,432,,982.8,0.44,0.44,0.8925,992.4,0.435,0.435,0.8875,US GAAP,2187,19.74,1144,84.8723,10.3258,3.8993,213057.6923,5.2523,1.5244,4.9621,3.2519,,6.1016,3.8993,3.8993,36.0947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-12-31 00:00:00,176,176,0,643,643,,,343,343,0,0,0,340,,,,,1502,26939,33145,6206,171,,,762,0,,,,,,520,242,27872,29374,-633,565,-2111,0,-2111,0,0,0,,,,,213,,-1898,-255,1691,0,0,0,-17,,1419,,86,-103,,-1546,,1645,-1.5711,,,10514,,1221,,9293,0,10138,,,,,,376,,,714,,,,,-696,575.3,,,,,,,,,-63,-633,0,,,-633,0,-633,0,,-633,,984,-0.6425,-0.6425,-0.0575,984,-0.6425,-0.6425,-0.0575,US GAAP,1446,13.7531,376,88.3869,3.5762,-6.0205,198377.3585,-8.106,-2.1776,,,-135.9292,-6.6197,-6.0205,-6.0205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-12-31 00:00:00,175,175,0,581,581,,,337,337,0,0,0,221,,,,,1314,27519,34370,6851,96,,,959,0,0,0,,,,657,302,28574,29888,810,1869,-1834,0,-1834,0,0,0,,,,,220,,-1614,-198,-55,0,0,0,-3,,-256,,-1,-110,,35,512.4867,-20,0.0355,307.8097,2.3074,11237,,965,,10272,0,9433,,,,,,1804,,715,733,18,,,,1202,63,,,,,,,,,419,783,-27,,,810,0,810,0,,810,,986.4,0.82,0.7925,0.855,1079.2,0.805,0.78,0.815,US GAAP,2887,25.6919,1804,91.4123,16.0541,7.2083,172876.9231,10.5236,2.7336,7.2076,4.7155,197.5104,10.6968,6.9681,7.2083,34.8586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
