Date,CASH_CASH_EQTY_STI_DETAILED,BS_CASH_NEAR_CASH_ITEM,BS_MKT_SEC_OTHER_ST_INVEST,BS_ACCT_NOTE_RCV,BS_ACCTS_REC_EXCL_NOTES_REC,NOTES_RECEIVABLE,BS_UNBILLED_REVENUES,BS_INVENTORIES,INVTRY_RAW_MATERIALS,INVTRY_IN_PROGRESS,INVTRY_FINISHED_GOODS,BS_OTHER_INV,OTHER_CURRENT_ASSETS_DETAILED,BS_PREPAY,BS_DERIV_HEDGING_ASST_ST,BS_TAXES_RECEIVABLE_SHORT_TERM,BS_OTHER_CUR_ASSET_LESS_PREPAY,BS_CUR_ASSET_REPORT,BS_NET_FIX_ASSET,BS_GROSS_FIX_ASSET,BS_ACCUM_DEPR,BS_LT_INVEST,BS_LONG_TERM_INVESTMENTS,BS_LT_RECEIVABLES,BS_OTHER_ASSETS_DEF_CHRG_OTHER,BS_DISCLOSED_INTANGIBLES,BS_GOODWILL,OTHER_INTANGIBLE_ASSETS_DETAILED,BS_PREPAID_EXPENSE_LT,BS_DEFERRED_TAX_ASSETS_LT,BS_DERIV_HEDGING_ASST_LT,BS_INVEST_IN_ASSOC_CO,OTHER_NONCURRENT_ASSETS_DETAILED,BS_TOT_NON_CUR_ASSET,BS_TOT_ASSET,CF_NET_INC,CF_CASH_FROM_OPER,FIXED_INTANG_ASST_CHANGE,DISPOSAL_OF_FIXED_INTANG,ACQUIS_OF_FIXED_INTANG,NET_CHG_IN_LT_INVEST_DETAILED,CF_DECR_INVEST,CF_INCR_INVEST,CF_NT_CSH_RCVD_PD_FOR_ACQUIS_DIV,CF_CASH_FOR_DIVESTITURES,CF_CASH_FOR_ACQUIS_SUBSIDIARIES,CF_CASH_FOR_JOINT_VENTURES_ASSOC,OTHER_INVESTING_ACT_DETAILED,CF_NET_CASH_DISCONTINUED_OPS_INV,CF_CASH_FROM_INV_ACT,CF_DVD_PAID,PROC_FR_REPAYMNTS_BOR_DETAILED,PROC_FR_REPURCH_EQTY_DETAILED,CF_INCR_CAP_STOCK,CF_DECR_CAP_STOCK,OTHER_FIN_AND_DEC_CAP,CF_NET_CASH_DISCONTINUED_OPS_FIN,CFF_ACTIVITIES_DETAILED,CF_EFFECT_FOREIGN_EXCHANGES,CF_NET_CHNG_CASH,CF_CASH_PAID_FOR_TAX,CF_NET_CASH_PAID_FOR_AQUIS,CF_FREE_CASH_FLOW,CF_FREE_CASH_FLOW_FIRM,FREE_CASH_FLOW_EQUITY,FREE_CASH_FLOW_PER_SH,PX_TO_FREE_CASH_FLOW,CASH_FLOW_TO_NET_INC,SALES_REV_TURN,IS_SALES_AND_SERVICES_REVENUES,IS_COGS_TO_FE_AND_PP_AND_G,IS_COG_AND_SERVICES_SOLD,GROSS_PROFIT,IS_OTHER_OPER_INC,IS_OPERATING_EXPN,IS_SGA_EXPENSE,IS_SELLING_EXPENSES,IS_GENERAL_AND_ADMINISTRATIVE,IS_OPERATING_EXPENSES_RD,IS_OTHER_OPERATING_EXPENSES,IS_OPER_INC,IS_NONOP_INCOME_LOSS,IS_NET_INTEREST_EXPENSE,IS_INT_EXPENSE,IS_INT_INC,IS_OTHER_INVESTMENT_INCOME_LOSS,INCOME_LOSS_FROM_AFFILIATES,IS_OTHER_NON_OPERATING_INC_LOSS,PRETAX_INC,IS_ABNORMAL_ITEM,IS_DERIVATIVES_HEDGING,IS_GAIN_LOSS_DISPOSAL_ASSETS,IS_IMPAIRMENT_ASSETS,IS_IMPAIR_OF_INTANG_ASSETS,IS_SALE_OF_BUSINESS,IS_LEGAL_LITIGATION_SETTLEMENT,IS_GAIN_LOSS_ON_INVESTMENTS,IS_OTHER_ONE_TIME_ITEMS,IS_INC_TAX_EXP,IS_INC_BEF_XO_ITEM,XO_GL_NET_OF_TAX,IS_DISCONTINUED_OPERATIONS,EXTRAORD_ITEMS_ACCOUNTING_CHANGS,NI_INCLUDING_MINORITY_INT_RATIO,MIN_NONCONTROL_INTEREST_CREDITS,NET_INCOME,IS_TOT_CASH_PFD_DVD,OTHER_ADJUSTMENTS,EARN_FOR_COMMON,IS_NET_ABNORMAL_ITEMS,IS_AVG_NUM_SH_FOR_EPS,IS_EPS,IS_EARN_BEF_XO_ITEMS_PER_SH,IS_BASIC_EPS_CONT_OPS,IS_SH_FOR_DILUTED_EPS,IS_DILUTED_EPS,IS_DIL_EPS_BEF_XO,IS_DIL_EPS_CONT_OPS,ACCOUNTING_STANDARD,EBITDA,EBITDA_MARGIN,EBIT,GROSS_MARGIN,OPER_MARGIN,PROF_MARGIN,ACTUAL_SALES_PER_EMPL,RETURN_COM_EQY,RETURN_ON_ASSET,RETURN_ON_CAP,RETURN_ON_INV_CAPITAL,INCREMENTAL_OPERATING_MARGIN,PRETAX_INC_TO_NET_SALES,INC_BEF_XO_ITEMS_TO_NET_SALES,NET_INCOME_TO_COMMON_MARGIN,EFF_TAX_RATE
1990-03-30 00:00:00,100,100,0,519,,,,266,,,,,307,,,,,1192,9298,13506,4208,268,,,1778,,,,,,,,1778,11344,12536,128,268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0938,1726,,,,,,1444,,,,,,282,,,94,,,,,204,,,,,,,,,,76,128,0,,,128,0,128,0,,128,,808,0.1587,0.1587,,808,0.1587,0.1587,0.1587,US GAAP,,,282,,16.3384,7.416,,,,,,,11.8192,7.416,7.416,37.2549
1990-06-29 00:00:00,110,110,0,503,,,,247,,,,,315,,,,,1175,9451,13744,4293,264,,,1719,,,,,,,,1719,11434,12609,153,378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4706,1784,,,,,,1463,,,,,,321,,,95,,,,,238,,,,,,,,,,85,153,0,,,153,0,153,0,,153,,800,0.1912,0.1912,,800,0.1912,0.1912,0.1912,US GAAP,,,321,,17.9933,8.5762,,,,,,,13.3408,8.5762,8.5762,35.7143
1990-09-28 00:00:00,124,124,0,561,,,,241,,,,,281,,,,,1207,9529,13951,4422,251,,,1729,,,,,,,,1729,11509,12716,161,374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.323,1853,,,,,,1523,,,,,,330,,,96,,,,,251,,,,,,,,,,90,161,0,,,161,0,161,0,,161,,800,0.2013,0.2013,,800,0.2013,0.2013,0.2013,US GAAP,,,330,,17.809,8.6886,,,,,,,13.5456,8.6886,8.6886,35.8566
1990-12-31 00:00:00,169,169,0,545,,,,243,,,,,298,,,,,1255,9751,14356,4605,146,,,1926,,,,,,,,1926,11823,13078,176,447,,,,,,,,,,,,,,,,,,,,,,,447,,,,,,,,2.5398,1601,,,,,,1297,,,,,,304,,,95,,,,,259,,,,,,,,,,83,176,0,,,176,0,176,0,,176,,800.8,0.22,0.22,0.22,800.8,0.22,0.22,0.22,US GAAP,1001,,304,,18.9881,10.9931,33131.2212,,,,,,16.1774,10.9931,10.9931,32.0463
1991-03-28 00:00:00,65,65,0,556,,,,241,,,,,288,,,,,1150,9849,14635,4786,148,,,1909,,,,,,,,1909,11906,13056,133,280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1053,1743,,,,,,1462,,,,,,281,,,97,,,,,199,,,,,,,,,,66,133,0,,,133,0,133,0,,133,,804,0.165,0.165,,804,0.165,0.165,0.165,US GAAP,475,,281,,16.1216,7.6305,,14.976,4.8687,10.5928,9.8355,,11.4171,7.6305,7.6305,33.1658
1991-06-28 00:00:00,140,140,0,501,,,,224,,,,,280,,,,,1145,9919,14834,4915,167,,,1924,,,,,,,,1924,12010,13155,153,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5229,1742,,,,,,1436,,,,,,306,,,99,,,,,237,,,,,,,,,,84,153,0,,,153,0,153,0,,153,,806.4,0.19,0.19,,806.4,0.19,0.19,0.19,US GAAP,498,,306,,17.566,8.783,,14.6433,4.8362,10.5215,9.6315,-35.7143,13.6051,8.783,8.783,35.443
1991-09-30 00:00:00,128,128,0,491,,,,237,,,,,270,,,,,1126,9904,15110,5206,178,,,1942,,,,,,,,1942,12024,13150,-406,326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1743,,,,,,1412,,,,,,331,,,98,,,,,-609,,,,,,,,,,-203,-406,0,,,-406,0,-406,0,,-406,,809.6,-0.5025,-0.5025,,809.6,-0.5025,-0.5025,-0.5025,US GAAP,520,36.5207,331,,18.9902,-23.2932,,1.3715,0.433,3.7835,9.7617,,-34.9398,-23.2932,-23.2932,
1991-12-31 00:00:00,144,144,0,516,,,,222,,,,,286,,,,,1168,10051,15333,5282,187,,,1920,,,,,,,,1920,12158,13326,184,400,,,,,,,,,,,,,,,,,,,,,,,400,,,,,,,,2.1739,1801,,,,,,1471,,,,,,330,,,94,,,,,285,,,,,,,,,,101,184,0,,,184,0,184,0,,184,,811.2,0.225,0.225,0.225,811.2,0.225,0.225,0.225,US GAAP,503,28.3966,330,,18.3232,10.2165,38245.9121,1.5166,0.4848,3.4477,7.6761,13,15.8245,10.2165,10.2165,35.4386
1992-03-31 00:00:00,94,94,0,510,,,,237,,,,,310,,,,,1151,10197,15641,5444,195,,,1901,,,,,,,,1901,12293,13444,145,270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8621,1745,,,,,,1450,,,,,,295,,,87,,,,,217,,,,,,,,,,72,145,0,,,145,0,145,0,,145,,814.8,0.1775,0.1775,,814.8,0.1775,0.1775,0.1775,US GAAP,501,28.7584,295,,16.9054,8.3095,,1.7683,0.5736,3.5198,9.6452,700,12.4355,8.3095,8.3095,33.1797
1992-06-30 00:00:00,114,114,0,581,,,,233,,,,,315,,,,,1243,10325,15887,5562,198,,,1923,,,,,,,,1923,12446,13689,206,349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6942,1782,,,,,,1426,,,,,,356,,,91,,,,,313,,,,,,,,,,107,206,0,,,206,0,206,0,,206,,815.2,0.2525,0.2525,,815.2,0.2525,0.2525,0.2525,US GAAP,560,29.4725,356,,19.9776,11.56,,2.911,0.9611,4.2013,9.907,125,17.5645,11.56,11.56,34.1853
