AMT US Equity,"=BDH($A$1, $B6, ""19900101"","""",""sort=a"",""dir=h"",""per=cq"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Assets,,1990-03-30 00:00:00,1990-06-29,1990-09-28,1990-12-31,1991-03-28,1991-06-28,1991-09-30,1991-12-31,1992-03-31,1992-06-30,1992-09-30,1992-12-31,1993-03-31,1993-06-30,1993-09-30,1993-12-31,1994-03-31,1994-06-30,1994-09-30,1994-12-30,1995-03-31,1995-06-30,1995-09-29,1995-12-29,1996-03-29,1996-06-28,1996-09-30,1996-12-31,1997-03-31,1997-06-30,1997-09-30,1997-12-31,1998-03-31 00:00:00,1998-06-30,1998-09-30,1998-12-31,1999-03-31,1999-06-30,1999-09-30,1999-12-31,2000-03-31,2000-06-30,2000-09-29,2000-12-29,2001-03-30,2001-06-29,2001-09-28,2001-12-31,2002-03-28 00:00:00,2002-06-28 00:00:00,2002-09-30 00:00:00,2002-12-31 00:00:00,2003-03-31 00:00:00,2003-06-30 00:00:00,2003-09-30 00:00:00,2003-12-31 00:00:00,2004-03-31 00:00:00,2004-06-30 00:00:00,2004-09-30 00:00:00,2004-12-31 00:00:00,2005-03-31 00:00:00,2005-06-30 00:00:00,2005-09-30 00:00:00,2005-12-30 00:00:00,2006-03-31 00:00:00,2006-06-30 00:00:00,2006-09-29 00:00:00,2006-12-29 00:00:00,2007-03-30 00:00:00,2007-06-29 00:00:00,2007-09-28 00:00:00,2007-12-31 00:00:00,2008-03-31 00:00:00,2008-06-30 00:00:00,2008-09-30 00:00:00,2008-12-31 00:00:00,2009-03-31 00:00:00,2009-06-30 00:00:00,2009-09-30 00:00:00,2009-12-31 00:00:00,2010-03-31 00:00:00,2010-06-30 00:00:00,2010-09-30 00:00:00,2010-12-31 00:00:00,2011-03-31 00:00:00,2011-06-30 00:00:00,2011-09-30 00:00:00,2011-12-30 00:00:00,2012-03-30 00:00:00,2012-06-29 00:00:00,2012-09-28 00:00:00,2012-12-31 00:00:00,2013-03-28 00:00:00,2013-06-28 00:00:00,2013-09-30 00:00:00,2013-12-31 00:00:00,2014-03-31 00:00:00,2014-06-30 00:00:00,2014-09-30 00:00:00,2014-12-31 00:00:00,2015-03-31 00:00:00,2015-06-30 00:00:00,2015-09-30 00:00:00,2015-12-31 00:00:00,2016-03-31 00:00:00,2016-06-30 00:00:00,2016-09-30 00:00:00,2016-12-30 00:00:00,2017-03-31 00:00:00,2017-06-30 00:00:00,2017-09-29 00:00:00,2017-12-29 00:00:00,2018-03-29 00:00:00,2018-06-29 00:00:00,2018-09-28 00:00:00,2018-12-31 00:00:00,2019-03-29 00:00:00,2019-06-28 00:00:00,2019-09-30 00:00:00,2019-12-31 00:00:00,2020-03-31 00:00:00,2020-06-30 00:00:00,2020-09-30 00:00:00,2020-12-31 00:00:00,2021-03-31 00:00:00,2021-06-30 00:00:00,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-30 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-29 00:00:00,2023-12-29 00:00:00,2024-03-28 00:00:00,2024-06-28 00:00:00,2024-09-30 00:00:00
"  + Cash, Cash Equivalents & STI",CASH_CASH_EQTY_STI_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.111,,,,,,,,,,,,,,,,29.564,29.471,64.86,127.292,101.411,107.597,66.131,105.465,98.698,197.856,126.833,215.557,122.797,85.622,109.159,112.701,85.573,90.454,207.202,281.264,47.151,213.021,82.735,33.123,121.633,152.13,66.235,143.077,303.038,323.637,229.674,247.293,352.887,302.893,371.878,883.963,,,,330.191,471.258,481.937,382.312,368.618,441.706,448.447,4040.353,293.576,333.439,282.959,295.613,313.492,323.4,274.702,287.404,320.686,336.403,410.538,530.358,787.2,712.778,770.024,799.467,802.1,1125.4,834.5,1026.5,1208.7,1004.8,1192.2,1352.6,1501.2,1326,2038.1,1626,1746.3,1913.6,1928,3277.2,1949.9,1941.5,2066.7,2121.8,2028.4,1803,2015.7,2118.9,1973.3,2389.1,2492.1,
    + Cash & Cash Equivalents,BS_CASH_NEAR_CASH_ITEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.111,,,,,,,,,,,,,,,,29.564,29.471,64.86,127.292,101.411,107.597,66.131,105.465,98.698,197.856,126.833,215.557,122.797,85.622,109.159,112.701,85.573,90.454,207.202,281.264,47.151,213.021,82.735,33.123,121.633,152.13,66.235,143.077,303.038,323.637,229.674,247.293,352.887,302.893,371.878,883.963,,,,330.191,471.258,481.937,382.312,368.618,441.706,448.447,4040.353,293.576,333.439,282.959,295.613,313.492,323.4,274.702,287.404,320.686,336.403,410.538,530.358,787.2,712.778,770.024,799.467,802.1,1125.4,834.5,1026.5,1208.7,1004.8,1192.2,1352.6,1501.2,1326,2038.1,1626,1746.3,1913.6,1928,3277.2,1949.9,1941.5,2066.7,2121.8,2028.4,1803,2015.7,2118.9,1973.3,2389.1,2492.1,
    + ST Investments,BS_MKT_SEC_OTHER_ST_INVEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
  + Accounts & Notes Receiv,BS_ACCT_NOTE_RCV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.084,,,,,,,,,,,,,,,,264.74,251.645,241.617,83.177,78.778,57.904,52.623,57.735,46.31,44.193,41.704,38.634,30.424,23.118,37.553,36.995,33.216,30.782,33.505,29.368,33.734,45.415,46.426,40.316,37.12,40.774,46.146,51.313,60.057,72.526,71.271,67.949,73.541,48.872,92.869,80.961,,,,100.61,105.12,99.181,148.807,143.562,145.446,130.861,152.56,151.084,227.155,174.612,198.119,199.074,175.784,212.919,206.154,227.354,217.457,285.422,273.907,308.4,369.972,322.06,508.626,513.6,557.9,506.9,511.1,459,473,459.5,441.7,462.2,623.9,585.2,573.6,511.6,537.7,739.6,750.6,728.9,820.4,792.7,722.4,758.3,705.4,684,647.7,669.7,738.4,712.3,
"    + Accounts Receivable, Net",BS_ACCTS_REC_EXCL_NOTES_REC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.084,,,,,,,,,,,,,,,,264.74,251.645,241.617,83.177,78.778,57.904,52.623,57.735,46.31,44.193,41.704,38.634,30.424,23.118,37.553,36.995,33.216,30.782,33.505,29.368,33.734,45.415,46.426,40.316,37.12,40.774,46.146,51.313,60.057,72.526,71.271,67.949,73.541,48.872,92.869,80.961,,,,100.61,105.12,99.181,148.807,143.562,145.446,130.861,152.56,151.084,227.155,174.612,198.119,199.074,175.784,212.919,206.154,227.354,217.457,285.422,273.907,308.4,369.972,322.06,508.626,513.6,557.9,506.9,511.1,459,473,459.5,441.7,462.2,623.9,585.2,573.6,511.6,537.7,739.6,750.6,728.9,820.4,792.7,722.4,758.3,705.4,684,647.7,669.7,738.4,712.3,
