Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69
Equinix Inc (EQIX US) - By Measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Millions of USD except Per Share,,Q1 2006,,Q2 2006,,Q3 2006,,Q4 2006,,Q1 2007,,Q2 2007,,Q3 2007,,Q4 2007,,Q1 2008,,Q2 2008,,Q3 2008,,Q4 2008,,Q1 2009,,Q2 2009,,Q3 2009,,Q4 2009,,Q1 2010,,Q2 2010,,Q3 2010,,Q4 2010,,Q1 2011,,Q2 2011,,Q3 2011,,Q4 2011,,Q1 2012,,Q2 2012,,Q3 2012,,Q4 2012,,Q1 2013,,Q2 2013,,Q3 2013,,Q4 2013,,Q1 2014,,Q2 2014,
3 Months Ending,,03/31/2006,,06/30/2006,,09/30/2006,,12/31/2006,,03/31/2007,,06/30/2007,,09/30/2007,,12/31/2007,,03/31/2008,,06/30/2008,,09/30/2008,,12/31/2008,,03/31/2009,,06/30/2009,,09/30/2009,,12/31/2009,,03/31/2010,,06/30/2010,,09/30/2010,,12/31/2010,,03/31/2011,,06/30/2011,,09/30/2011,,12/31/2011,,03/31/2012,,06/30/2012,,09/30/2012,,12/31/2012,,03/31/2013,,06/30/2013,,09/30/2013,,12/31/2013,,03/31/2014,,06/30/2014,
Revenue,,64.869,1.0,68.548,1.0,73.726,1.0,80.951,1.0,85.109,1.0,91.837,1.0,103.782,1.0,138.714,1.0,158.218,1.0,172.044,1.0,183.735,1.0,190.683,1.0,199.231,1.0,213.168,1.0,227.558,1.0,242.552,1.0,248.649,1.0,296.094,1.0,330.347,1.0,345.244,1.0,363.029,1.0,394.9,1.0,417.601,1.0,422.116,1.0,452.2,1.0,457.249,1.0,488.73,1.0,506.059,1.0,516.134,1.0,528.871,1.0,543.084,1.0,564.677,1.0,580.053,1.0,605.161,1.0
  Colocation,,45.569,0.702477300405433,47.988,0.700064188597771,51.678,0.700946748772482,56.537,0.698410149349607,59.759,0.702146658990236,65.641,0.71475549070636,75.282,0.725385905070243,104.533,0.753586516141125,121.349,0.766973416425438,132.974,0.772906930785148,141.938,0.772514763109914,148.209,0.777253347178301,158.449,0.795302939803545,170.041,0.797685393680102,181.967,0.799651077966936,195.368,0.805468518090966,200.359,0.805790491817783,233.32,0.787993002222267,257.295,0.778862832112899,265.462,0.768911262759092,280.735,0.773312875830857,301.586,0.76370220308939,312.9,0.787464986875584,320.601,0.759509234428451,340.776,0.75359575409111,347.227,0.759382743319285,367.727,0.752413397990711,385.699,0.762162119436666,394.831,0.764977699589641,398.087,0.752710963543095,408.569,0.752312717737956,426.692,0.755639064456317,434.623,0.749281531170428,452.66,0.747999292750194
    America,,—,,—,,—,,—,,—,,—,,—,,—,,75.297,0.475906660430545,83.053,0.482742786728976,87.988,0.478885351185131,93.97,0.492807434328178,99.004,0.49693069853587,102.455,0.480630300983262,108.018,0.474683377424657,115.695,0.47699050100597,118.932,0.478312802384084,148.569,0.501762953656609,164.653,0.498424384056764,166.477,0.48220099407955,176.196,0.485349655261701,187.84,0.475664725246898,193.317,0.486514441891426,196.741,0.466082782931706,209.708,0.46375055285272,209.756,0.45873473752813,213.011,0.435845968121458,218.126,0.431028793085391,223.285,0.43261052362371,226.29,0.427873715896693,230.583,0.424580727843207,236.931,0.419586772615141,236.614,0.407917897157674,242.873,0.40133617334891
    EMEA,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,54.442,0.218951212351548,55.898,0.188784642714814,60.97,0.184563504436244,64.439,0.186647704232369,68.2,0.187863779477673,74.645,0.189022537351228,77.709,0.195567646740539,80.174,0.18993357276199,83.951,0.185650154798762,87.82,0.192061655684321,91.512,0.187244490823154,95.823,0.189351439259059,100.532,0.194778875253326,103.916,0.196486477798934,108.906,0.200532514307179,117.003,0.207203410091079,122.176,0.210629028726685,127.132,0.210079631701316
    Asia Pacific,,—,,—,,—,,—,,—,,—,,—,,—,,11.811,0.0746501662263459,13.485,0.0783811118086071,14.592,0.0794187280594334,16.751,0.0878473697183283,19.218,0.0964608921302408,20.88,0.0979509119567665,22.691,0.0997152374339729,25.074,0.1033757709687,26.985,0.108526477082152,28.853,0.0974454058508447,31.672,0.0958749436198906,34.546,0.100062564447174,36.339,0.100099441091483,39.101,0.0990149404912636,41.874,0.105382898243618,43.686,0.103492878734755,47.117,0.104195046439628,49.651,0.108586350106835,63.204,0.129322939046099,71.75,0.141781887092217,71.014,0.137588300712606,67.881,0.128350769847468,69.08,0.12719947558757,72.758,0.128848881750098,75.833,0.130734605286069,82.655,0.136583487699967
    Europe,,—,,—,,—,,—,,—,,—,,—,,—,,34.241,0.216416589768547,36.436,0.211783032247565,39.358,0.21421068386535,37.488,0.196598543131795,40.227,0.201911349137433,46.706,0.219104180740074,51.258,0.225252463108306,54.599,0.225102246116297,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Interconnection,,11.804,0.181966732954108,12.644,0.184454688685301,13.862,0.188020508368825,15.501,0.191486207705896,16.72,0.196453959040759,17.653,0.192221000250444,18.798,0.181129675666301,20.514,0.147887019334746,22.148,0.139984072608679,22.816,0.132617237450885,24.115,0.13124880942662,25.261,0.132476413733789,25.197,0.126471282079596,26.134,0.122598138557382,27.235,0.11968377292822,28.328,0.116791450905373,29.232,0.117563312138798,40.942,0.138273656338865,48.837,0.147835457867031,51.998,0.15061232056169,54.075,0.148955042159166,57.185,0.144808812357559,59.256,0.14912759751454,59.938,0.141994143789859,65.79,0.145488721804511,65.034,0.142228851238603,70.681,0.144621774804084,73.505,0.145249862170221,75.991,0.147231145400226,78.353,0.148151439576002,81.65,0.150345066324915,83.869,0.148525617299801,87.026,0.150031117846128,90.969,0.150321980431654
    America,,—,,—,,—,,—,,—,,—,,—,,—,,19.019,0.120207561718641,20.106,0.116865453023645,20.756,0.112967044928838,21.809,0.114373069439856,21.516,0.107995241704353,21.956,0.102998573894768,22.494,0.0988495240773781,23.048,0.0950229229196214,23.764,0.0955724736475916,35.072,0.118448870966653,42.102,0.127447804883955,44.443,0.128729246561852,45.922,0.126496781248881,48.164,0.121965054444163,49.432,0.124403864593269,49.549,0.117382425683935,54.646,0.120844758956214,53.048,0.11601556263655,54.943,0.11241994557322,56.426,0.111500832906835,58.206,0.112773039559494,59.8,0.113071051352787,61.984,0.114133356902431,62.306,0.110339185056236,64.302,0.110855387352535,66.451,0.109807142231571
    EMEA,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,1.939,0.00779814115480054,2.01,0.00678838476970152,2.305,0.00697751152575928,2.607,0.00755118119359062,2.812,0.00774593765236386,3.203,0.0081109141554824,3.446,0.00867243318879278,3.6,0.00852846137080802,3.824,0.00845643520566121,4.192,0.00916787133487443,7.188,0.0147075072125714,7.989,0.0157866968080797,8.381,0.0162380312089496,8.854,0.0167413225531368,9.233,0.0170010532440654,10.473,0.0185468860959451,11.366,0.019594761168376,12.329,0.020373090797325
    Asia Pacific,,—,,—,,—,,—,,—,,—,,—,,—,,1.535,0.00970180384027102,1.648,0.00957894492106671,1.897,0.010324652352573,2.096,0.0109920653650299,2.296,0.0115243109757016,2.516,0.0118028972453652,2.831,0.0124407843275121,3.263,0.0134527853821036,3.529,0.0141926973364059,3.86,0.0130364006025114,4.43,0.0134101414573161,4.948,0.0143318928062472,5.341,0.0147123232579215,5.818,0.0147328437579134,6.378,0.0160512997324783,6.789,0.0160832567351155,7.32,0.016187527642636,7.794,0.0170454172671783,8.55,0.0174943220182923,9.09,0.0179623324553066,9.404,0.0182200746317817,9.699,0.0183390656700783,10.433,0.0192106561784181,11.09,0.0196395461476207,11.358,0.0195809693252168,12.189,0.0201417474027573
    Europe,,—,,—,,—,,—,,—,,—,,—,,—,,1.594,0.0100747070497668,1.062,0.00617283950617284,1.462,0.00795711214520913,1.356,0.00711127892890294,1.385,0.00695172939954124,1.662,0.00779666741724837,1.91,0.00839346452333032,2.017,0.00831574260364788,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Non-Recurrning,,3.117,0.0480506867687185,3.459,0.0504609908385365,3.808,0.0516507066706453,4.55,0.0562068411755259,4.223,0.0496187242242301,3.933,0.0428258762808019,4.494,0.0433023067583974,7.136,0.0514439782574217,7.859,0.0496719715835114,8.649,0.0502720234358653,10.218,0.0556127030778023,9.264,0.0485832507355139,7.944,0.0398733128880546,9.623,0.0451427981685806,11.041,0.0485194983257016,11.087,0.0457097859428081,11.413,0.0459000438368946,13.977,0.0472046039433423,15.62,0.0472836138969023,18.906,0.0547612702899978,19.12,0.0526679686746789,18.372,0.0465231704228919,—,,20.351,0.0482118659325873,22.579,0.0499314462627156,23.463,0.0513133981703623,25.901,0.052996542057987,23.233,0.0459096666594211,21.612,0.0418728469738479,27.057,0.0511599236864944,27.518,0.0506698779562646,26.617,0.0471366816781983,30.35,0.0523228049850617,31.003,0.0512309947270231
    Americas,,—,,—,,—,,—,,—,,—,,—,,—,,4.078,0.0257745642088764,3.468,0.020157634093604,5.437,0.0295915312814652,5.044,0.0264522794376006,3.644,0.0182903263046413,4.695,0.0220248817833821,5.17,0.022719482505559,5.111,0.0210717701771167,5.139,0.0206676881869623,6.852,0.0231412997223855,7.229,0.0218830502471643,8.307,0.0240612436421777,9.138,0.0251715427693104,8.69,0.0220055710306407,—,,9.114,0.021591221370429,9.321,0.0206125608137992,12.308,0.0269175000929472,13.034,0.0266691220101078,10.023,0.0198059910010493,10.694,0.0207194255755288,13.366,0.0252727035515277,13.123,0.0241638494229254,13.29,0.023535578746788,15.053,0.0259510768843537,17.104,0.0282635530049028
    EMEA,,—,,—,,—,,—,,—,,—,,—,,—,,2.616,0.0165341490854391,3.235,0.0188033293808561,3.123,0.0169973059025227,2.415,0.0126649989773603,2.812,0.0141142693657112,3.548,0.0166441492156421,4.49,0.0197312333558917,4.538,0.0187093901513902,4.719,0.0189785601389911,5.42,0.0183049977372051,6.515,0.0197216865901613,8.569,0.0248201272143759,7.711,0.0212407273248143,7.105,0.0179918966827045,—,,7.835,0.0185612485667447,9.803,0.0216784608580274,7.087,0.0154992137763013,7.832,0.0160252081926626,8.593,0.0169802335300825,6.687,0.0129559377990987,8.367,0.0158204930881066,8.784,0.0161742934794617,8.819,0.0156177779509348,9.305,0.0160416375744975,8.537,0.0141069897101763
    Asia-Pacific,,—,,—,,—,,—,,—,,—,,—,,—,,1.165,0.00736325828919592,1.946,0.0113110599614052,1.658,0.00902386589381446,1.805,0.00946597232055296,1.488,0.00746871721770206,1.38,0.00647376716955641,1.381,0.00606878246425087,1.438,0.00592862561430126,1.555,0.00625379551094112,1.705,0.00575830648375178,1.876,0.00567887705957675,2.03,0.00587989943344417,2.271,0.00625569858055417,2.577,0.00652570270954672,—,,3.402,0.00805939599541358,3.455,0.00764042459088899,4.068,0.00889668430111384,5.035,0.0103022118552166,4.617,0.00912344212828939,4.231,0.00819748359922036,5.324,0.0100667270468602,5.611,0.0103317350538775,4.508,0.00798332498047556,5.992,0.0103300905262105,5.362,0.00886045201194393
  Managed Infrastructure,,3.933,0.0606298848448411,4.046,0.0590243333138822,4.066,0.0551501505574695,4.152,0.0512902867166558,4.099,0.0481617690256025,4.285,0.0466587540969326,4.83,0.0465398624038851,6.305,0.0454532347131508,6.5,0.0410825569783463,7.409,0.043064564878752,7.21,0.0392412986094103,7.733,0.0405542182575269,7.377,0.0370273702385673,7.131,0.0334524881783382,7.02,0.0308492779862716,7.476,0.0308222566707345,7.3,0.0293586541671191,7.295,0.0246374462164042,7.805,0.0236266713486122,8.102,0.0234674606944654,8.477,0.023350751592848,17.091,0.0432793112180299,24.383,0.061363882310602,20.525,0.048624074898843,22.272,0.0492525431225122,20.744,0.0453669663574989,23.638,0.0483661735518589,22.807,0.0450678675806576,23.12,0.0447945688522748,24.791,0.0468753249847316,24.413,0.044952530363627,25.076,0.0444076879348725,25.384,0.0437615183440134,27.856,0.0460307257077042
    America,,—,,—,,—,,—,,—,,—,,—,,—,,0.554,0.00350149793323136,0.503,0.00292367068889354,0.545,0.00296622853566277,0.562,0.0029472999690586,0.569,0.00285598124789817,0.522,0.00244877279891916,0.529,0.00232468205907944,0.541,0.00223044955308552,0.539,0.00216771432822975,0.746,0.00251947016825738,0.821,0.00248526549355678,0.779,0.0022563752013069,0.767,0.00211277886890579,8.706,0.0220460876171183,15.966,0.040181099330315,12.44,0.0294705720702366,13.97,0.0308934099955772,12.564,0.0274773700981303,12.424,0.0254209890941829,11.981,0.0236751050766808,13.147,0.0254720673313519,13.567,0.0256527584231315,12.905,0.0237624382231846,12.811,0.0226873061945147,13.112,0.0226048309378626,14.885,0.0245967602010044
    EMEA,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,2.901,0.0116670487313442,2.603,0.00879112714205624,2.734,0.00827614599194181,3.002,0.00869529955625587,3.198,0.00880921358899702,3.481,0.00881488984553051,3.691,0.00928901651184973,3.401,0.00805702697836614,3.414,0.00754975674480318,3.262,0.00713396858166994,5.112,0.0104597630593579,4.596,0.00908194499060386,4.249,0.00823235826355171,5.734,0.0108419633521218,6.215,0.0114439018641683,6.831,0.0120971812204145,6.865,0.0118351254109538,7.434,0.0122843342515463
    Asia Pacific,,—,,—,,—,,—,,—,,—,,—,,—,,3.662,0.0231452805622622,3.525,0.020488944688568,3.432,0.018679075842926,3.367,0.0176575782843777,3.535,0.0177432226912478,3.59,0.0168411769121069,3.515,0.015446611413354,3.788,0.0156172696988687,3.86,0.0155238911075452,3.946,0.0133268489060906,4.25,0.0128652598631136,4.321,0.0125157859369026,4.512,0.0124287591349451,4.904,0.0124183337553811,4.726,0.0118937664684372,4.684,0.0110964758502402,4.888,0.0108093763821318,4.918,0.0107556276776986,6.102,0.0124854213983181,6.23,0.0123108175133729,5.724,0.0110901432573711,5.49,0.0103806032094783,5.293,0.00974619027627402,5.434,0.00962320051994326,5.407,0.00932156199519699,5.537,0.00914963125515359
    Europe,,—,,—,,—,,—,,—,,—,,—,,—,,2.284,0.0144357784828528,3.381,0.0196519495012904,3.233,0.0175959942308216,3.804,0.0199493400040906,3.273,0.0164281662994213,3.019,0.0141625384673122,2.976,0.0130779845138382,3.147,0.0129745374187803,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Other,,0.446,0.00687539502690037,0.411,0.00599579856450954,0.312,0.00423188563057809,0.211,0.0026065150523156,0.308,0.00361888871917189,0.325,0.00353887866546163,0.378,0.00364225010117361,0.226,0.00162925155355624,0.362,0.00228798240402483,0.196,0.00113924344935017,0.254,0.00138242577625384,0.216,0.0011327700948695,0.264,0.00132509499023746,0.239,0.00112118141559709,0.295,0.00129637279287039,0.293,0.00120798839011841,0.345,0.00138749803940494,0.56,0.00189129127912082,0.79,0.00239142477455524,0.776,0.00224768569475501,0.622,0.00171336174245033,0.666,0.00168650291212965,0.812,0.00204353329927445,0.701,0.00166068095026012,0.783,0.00173153471915082,0.781,0.00170804091425022,0.783,0.0016021115953594,0.815,0.00161048415303354,0.58,0.00112373918401035,0.583,0.00110234820967684,0.934,0.00171980761723785,2.423,0.00429094863081018,2.67,0.00460302765436951,2.673,0.00441700638342524
    EMEA,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,0.163,0.000655542551950742,0.153,0.000516727795902653,0.27,0.00081732239130369,0.134,0.000388131292650995,0.118,0.000325042902908583,0.177,0.000448214737908331,0.262,0.000659366655677223,0.238,0.000563826057292308,0.344,0.000760725342768687,0.336,0.000734829381802913,0.314,0.000642481533771203,0.325,0.000642217607037915,0.12,0.000232497762209039,0.138,0.000260933195429509,0.116,0.000213594950320761,1.66,0.00293973368846261,1.718,0.00296179831842952,1.73,0.00285874337572976
    America,,—,,—,,—,,—,,—,,—,,—,,—,,0.248,0.00156745755855844,0.117,0.000680058589663109,0.133,0.000723868615125044,0.116,0.000608339495392877,0.161,0.000808107172076635,0.118,0.000553554004353374,0.123,0.000540521537366298,0.12,0.000494739272403443,0.182,0.000731955487454202,0.407,0.00137456348321817,0.52,0.00157410238325155,0.642,0.00185955440210402,0.504,0.00138831883954174,0.489,0.00123828817422132,0.55,0.00138416664359722,0.463,0.00109685489296781,0.439,0.000970809376382132,0.445,0.00097321153244731,0.469,0.000959630061588198,0.49,0.000968266545995625,0.46,0.000891241421801315,0.445,0.000841415014247331,0.818,0.00150621266691709,0.763,0.00135121494234757,0.952,0.00164122933593999,0.943,0.00155826300769547
    Europe,,—,,—,,—,,—,,—,,—,,—,,—,,0.114,0.000720524845466382,0.079,0.000459184859687057,0.121,0.0006585571611288,0.1,0.000524430599476618,0.103,0.000516987818160828,0.121,0.000567627411243714,0.172,0.000755851255504091,0.173,0.000713249117714964,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
    Asia Pacific,,—,,—,,—,,—,,—,,—,,—,,—,,0,,0,,0,,—,,0,,0,,0,,—,,0,,—,,0,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Reconciliation,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,20.25,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
Recurring Revenue,,61.752,1.0,65.089,1.0,69.918,1.0,76.401,1.0,80.886,1.0,87.904,1.0,99.288,1.0,206.774,1.0,150.359,1.0,163.395,1.0,173.517,1.0,182.816,1.0,190.322,1.0,203.545,1.0,216.517,1.0,226.915,1.0,237.236,1.0,282.117,1.0,314.727,1.0,326.338,1.0,343.909,1.0,376.528,1.0,397.351,1.0,410.734,1.0,420.89,1.0,433.786,1.0,460.482,1.0,482.826,1.0,494.522,1.0,501.814,1.0,515.566,1.0,538.06,1.0,549.703,1.0,—,
  Colocation,,45.569,0.737935613421428,47.988,0.737267433821383,51.678,0.739122972625075,56.537,0.740003403096818,59.759,0.738805232054991,65.641,0.746735074626866,75.282,0.758218515832729,179.729,0.869205025776935,121.349,0.807061765507884,132.974,0.813819272315554,141.938,0.818006304857737,149.606,0.818341939436373,157.484,0.827460829541514,170.041,0.83539757793117,181.967,0.840428234272598,190.818,0.840922812506886,200.359,0.844555632366083,233.32,0.827032755913327,257.295,0.817518039443708,265.462,0.813457213073562,280.735,0.816306057707126,301.586,0.800965665236052,312.9,0.787464986875584,326.7,0.795405298806527,334.986,0.795899166052888,347.227,0.800456907322966,365.787,0.794356782675544,385.699,0.798836433829164,394.831,0.798409373091592,398.087,0.793295922393556,408.569,0.792466919851193,426.692,0.793019365869977,434.623,0.790650587680984,—,
