Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41
Equinix Inc (EQIX US) - By Measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Millions of USD except Per Share,,FY 2004,,FY 2005,,FY 2006,,FY 2007,,FY 2008,,FY 2009,,FY 2010,,FY 2011,,FY 2012,,FY 2013,,FY 2014,,FY 2015,,FY 2016,,FY 2017,,FY 2018,,FY 2019,,FY 2020,,FY 2021,,FY 2022,,FY 2023,
12 Months Ending,,12/31/2004,,12/31/2005,,12/31/2006,,12/31/2007,,12/31/2008,,12/31/2009,,12/31/2010,,12/31/2011,,12/31/2012,,12/31/2013,,12/31/2014,,12/31/2015,,12/31/2016,,12/31/2017,,12/31/2018,,12/31/2019,,12/31/2020,,12/31/2021,,12/31/2022,,12/31/2023,
Revenue,,163.671,1.0,221.057,1.0,286.915,1.0,419.442,1.0,704.68,1.0,882.509,1.0,1220.334,1.0,1569.784,1.0,1887.376,1.0,2152.766,1.0,2443.776,1.0,2725.867,1.0,3611.989,1.0,4368.428,1.0,5071.654,1.0,5562.14,1.0,5998.545,1.0,6635.537,1.0,7263.105,1.0,8188.136,1.0
  Colocation,,111.986,0.684214063578765,152.606,0.690346833622097,201.772,0.703246606137707,305.215,0.727669141383076,542.943,0.770481637055117,704.86,0.798700069914301,956.436,0.783749366976582,1194.872,0.761169689587867,1433.694,0.759622883834488,1628.179,0.756319544251442,1829.812,0.748764207521475,2019.875,0.741002770861528,2647.094,0.732863250690963,3178.145,0.727526011645379,3670.171,0.723663522787635,4022.207,0.723140194241785,4259.001,0.710005676376521,4642.214,0.699598841811899,5082.61,0.699784733939548,5766.061,0.704197023596091
    America,,—,,—,,—,,—,,339.472,0.481739229153658,424.083,0.480542408066093,598.631,0.490546850288528,733.144,0.467034955127584,844.169,0.447271237951526,917.089,0.426004962917475,978.503,0.400406174706683,1059.713,0.388761814131064,1161.665,0.321613659399295,1518.929,0.347706085575864,1732.998,0.341702726566126,1769.654,0.318160636014196,1820.709,0.303525104837923,2002.253,0.301746942259534,2187.751,0.30121428782869,2365.049,0.288838509765837
    EMEA,,—,,—,,—,,—,,—,,—,,235.749,0.193183997167988,300.728,0.191572853335236,359.106,0.190267334118904,430.357,0.199908861436868,514.997,0.210738218232768,562.817,0.206472656222772,941.848,0.260756054351218,1063.543,0.243461263411003,1201.769,0.236958002261195,1395.544,0.250900552664982,1504.77,0.250855832539391,1597.83,0.24079889841621,1744.121,0.240134350253783,2112.168,0.257954679795255
    Asia Pacific,,—,,—,,—,,—,,56.392,0.0800249758755747,88.1,0.0998290102423885,122.056,0.100018519520066,161,0.102561881125046,230.419,0.122084311764058,280.733,0.1304057198971,336.312,0.137619814582024,397.345,0.145768300507692,543.581,0.15049353694045,595.673,0.136358662658512,735.404,0.145002793960314,857.009,0.154079005562607,933.522,0.155624738999207,1042.131,0.157053001136155,1150.738,0.158436095857075,1288.844,0.157403834034999
    Europe,,—,,—,,—,,—,,147.079,0.208717432025884,192.677,0.218328651605819,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Interconnection,,31.414,0.191933818452872,40.877,0.184916107610254,53.811,0.18755031978112,73.685,0.175673871476867,93.739,0.133023500028382,106.894,0.121125110338818,171.009,0.140132947209534,224.376,0.142934314529897,272.103,0.144170001102059,319.863,0.14858233546981,372.35,0.152366665357218,441.749,0.162058163512747,543.045,0.150345142247111,681.173,0.155930920688174,801.965,0.158126914809252,893.589,0.160655610969879,1023.258,0.170584366708927,1161.502,0.175042652915657,1268.276,0.174618981826643,1394.31,0.170284177009273
    America,,—,,—,,—,,—,,81.69,0.115924958846569,89.014,0.100864693731169,145.381,0.119132139234013,186.989,0.119117662047772,216.156,0.114527259009334,242.296,0.112551015762977,272.257,0.111408328750262,321.198,0.117833335228755,374.655,0.103725398942245,469.268,0.107422624339923,532.163,0.104928885132937,576.709,0.103684732854621,622.327,0.103746325150516,678.677,0.102279137317748,756.214,0.104117178534525,820.007,0.100145747457053
    EMEA,,—,,—,,—,,—,,—,,—,,8.861,0.00726112687182362,13.061,0.0083202529774797,23.193,0.0122884894159934,36.941,0.0171597842032065,50.342,0.0206000877330819,58.49,0.0214573931890294,85.869,0.0237733282133473,104.891,0.0240111545846698,138.874,0.0273823884673521,161.552,0.0290449359419216,213.49,0.0355902973137652,259.538,0.0391133377750738,268.398,0.0369536169448191,307.337,0.037534427860016
    Asia Pacific,,—,,—,,—,,—,,7.176,0.0101833456320599,10.906,0.0123579476243302,16.767,0.0137396811036978,24.326,0.0154963995046452,32.754,0.0173542526767321,40.626,0.0188715355036265,49.751,0.0203582488738739,62.061,0.0227674350949625,82.521,0.0228464150915188,107.014,0.0244971417635818,130.928,0.0258156412089626,155.328,0.0279259421733362,187.441,0.031247744244646,223.287,0.0336501778228348,243.664,0.0335481863472991,266.966,0.0326040016922044
    Europe,,—,,—,,—,,—,,4.873,0.00691519554975308,6.974,0.00790246898331915,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Managed Infrastructure,,11.049,0.0675073776050736,14.208,0.0642730155570735,16.197,0.0564522593799557,19.519,0.0465356354394648,29.453,0.0417962763240052,29.004,0.0328653872085157,30.502,0.0249947965065302,70.365,0.0448246382941857,88.109,0.0466833317791474,97.4,0.0452441184968547,105.292,0.0430857820029332,96.836,0.0355248440221038,210.292,0.0582205538278217,245.169,0.0561229348406338,279.632,0.055136253380061,292.628,0.0526106858151719,337.345,0.0562378043342177,380.857,0.0573965603688142,415.506,0.0572077644478498,451.673,0.0551618829975467
    America,,—,,—,,—,,—,,2.164,0.00307089742862008,2.161,0.00244870023988424,2.885,0.00236410687565863,37.768,0.0240593610331103,49.587,0.0262729842914184,52.43,0.0243547138890153,57.071,0.023353613424471,48.042,0.0176244842466635,53.404,0.0147852056027856,68.937,0.0157807339390737,75.595,0.0149053937827778,90.262,0.016227926661321,120.159,0.020031357604219,168.577,0.0254051782093898,218.499,0.0300834147379117,249.779,0.0305049891696963
    EMEA,,—,,—,,—,,—,,—,,—,,11.24,0.00921059316547765,13.771,0.00877254450293798,16.384,0.00868083519129204,23.029,0.0106974004606167,26.966,0.0110345629059292,25.196,0.00924329763704539,67.553,0.0187024379088641,88.122,0.0201724739425716,118.685,0.023401635837145,113.631,0.0204293671140964,127.722,0.0212921633496123,124.937,0.01882846859267,119.361,0.0164338805510866,130.061,0.0158840791115341
    Asia Pacific,,—,,—,,—,,—,,13.986,0.0198473065788727,14.428,0.0163488417681859,16.377,0.0134200964653939,18.826,0.0119927327581374,22.138,0.011729512296437,21.941,0.0101920041472227,21.255,0.008697605672533,23.598,0.00865706213839487,89.335,0.0247329103161721,88.11,0.0201697269589885,85.352,0.0168292237601382,88.735,0.0159533920397545,89.464,0.0149142833803864,87.343,0.0131629135667543,77.646,0.0106904691588515,71.833,0.00877281471631639
    Europe,,—,,—,,—,,—,,13.303,0.0188780723165125,12.415,0.0140678452004455,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Non-Recurrning,,9.222,0.0563447403632898,13.054,0.0590526425311119,13.755,0.0479410278305421,19.786,0.0471721954406092,37.517,0.0532397684055174,40.66,0.0460731845227641,59.916,0.0490980338169714,77.37,0.0492870356686015,90.308,0.0478484414340333,102.804,0.0477543773916905,125.986,0.0515538249004819,156.726,0.057495835270026,194.615,0.0538802859034178,248.308,0.0568414999629157,295.152,0.058196399044572,323.954,0.0582426907629078,340.515,0.0567662658194612,415.052,0.0625498735068465,391.818,0.0539463493918923,443.405,0.0541521293735229
    EMEA,,—,,—,,—,,—,,11.833,0.0167920190724868,15.501,0.0175646933912289,25.223,0.0206689316203597,29.867,0.0190261844941724,32.918,0.0174411458024262,32.657,0.0151697862192175,38.312,0.0156773779593547,47.029,0.0172528593654789,64.687,0.0179089692687325,79.285,0.0181495494489093,95.145,0.0187601520135246,125.698,0.0225988558360631,131.669,0.021950156246223,153.285,0.0231006171768766,135.875,0.0187075637760985,189.697,0.0231672996149551
    Americas,,—,,—,,—,,—,,18.863,0.0267681784639837,19.709,0.0223329167181298,27.527,0.0225569393297245,35.808,0.0228107816107184,40.162,0.0212792787446698,50.473,0.0234456508510447,64.585,0.0264283633197151,80.451,0.029513912454276,86.465,0.0239383342529559,110.408,0.0252740802870048,127.408,0.0251215875530941,131.359,0.0236166295706329,124.958,0.0208313849441823,159.814,0.0240845616564266,166.026,0.0228588186457445,160.539,0.0196062937889649
    Asia-Pacific,,—,,—,,—,,—,,6.821,0.00967957086904694,5.45,0.00617557441340542,7.166,0.00587216286688726,11.695,0.00745006956371068,17.228,0.00912801688693721,19.674,0.00913894032142834,23.089,0.00944808362141211,29.246,0.0107290634502711,43.463,0.0120329823817293,58.615,0.0134178702270016,72.599,0.0143146594779533,66.897,0.0120272053562118,83.888,0.0139847246290559,101.953,0.0153646946735434,89.917,0.0123799669700493,93.169,0.0113785359696029
  Other,,0,,0.312,0.00141140067946276,1.38,0.00480978687067599,1.237,0.0029491562599835,1.028,0.00145881818697849,1.091,0.00123624801560097,2.471,0.00202485549038214,2.801,0.00178432191944879,3.162,0.00167534185027255,4.52,0.00209962439020312,10.336,0.00422952021789231,10.681,0.00391838633359588,16.943,0.00469076733068678,15.633,0.00357863286289713,24.734,0.00487690997848039,29.762,0.0053508182102572,38.426,0.00640588676087284,35.912,0.00541207139678371,104.895,0.014442170394067,132.687,0.0162047870235668
    EMEA,,—,,—,,—,,—,,—,,—,,0.72,0.000590002409176504,0.795,0.000506439102449764,1.319,0.00069885385847865,2.034,0.000944830975591402,6.649,0.00272078946679237,5.275,0.00193516411475688,11.382,0.00315117238729132,10.415,0.00238415283484128,8.164,0.00160973126321314,10.019,0.00180128511687947,18.738,0.00312375751119646,19.626,0.00295771088308301,75.449,0.0103879814487055,98.591,0.0120407135396872
    America,,—,,—,,—,,—,,0.614,0.000871317477436567,0.522,0.000591495384183051,1.751,0.00143485308120564,2.006,0.00127788281699903,1.843,0.000976487991793898,2.486,0.00115479341461171,3.687,0.00150873075109994,3.131,0.00114862537313816,3.36,0.000930235391082309,5.218,0.00119448002805586,16.57,0.00326717871526725,19.743,0.00354953309337773,19.605,0.00326829256094603,12.43,0.00187324703335992,20.727,0.00285373817396279,22.118,0.00270122528497328
    Asia Pacific,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,0,,2.275,0.000834596845700836,2.201,0.000609359552313144,0,,0,,0,,0.083,1.38366887303504e-05,3.856,0.000581113480340777,8.719,0.00120045077139873,11.978,0.00146284819890632
    Europe,,—,,—,,—,,—,,0.414,0.00058750070954192,0.569,0.000644752631417923,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
Recurring Revenue,,154.449,1.0,208.003,1.0,273.16,1.0,399.656,1.0,667.163,1.0,841.849,1.0,1160.418,1.0,1492.414,1.0,1797.068,1.0,2049.962,1.0,2317.79,1.0,2569.141,1.0,3417.374,1.0,4120.12,1.0,4776.502,1.0,5562.14,1.0,5658.03,1.0,6220.485,1.0,6871.287,1.0,7744.731,1.0
  Colocation,,111.986,0.72506782174051,152.606,0.733672110498406,201.772,0.738658661590277,305.215,0.763694277078287,542.943,0.813808619482795,704.86,0.837276043566008,956.436,0.824216790846057,1194.872,0.800630388082663,1433.694,0.797796188012919,1628.179,0.794248381189505,1823.992,0.786953088933855,2024.963,0.788186790837871,2647.094,0.774598858655798,3178.145,0.771371950331544,3670.171,0.768380501044488,4022.207,0.723140194241785,4259.001,0.752735669482134,4642.214,0.746278465425124,5082.61,0.739688212703093,5766.061,0.744514044451641
    America,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,1161.665,0.339929138572483,1518.929,0.368661349669427,1732.998,0.362817392309267,1769.654,0.318160636014196,1820.709,0.321792037157809,2002.253,0.3218805286083,2187.751,0.318390281180221,2365.049,0.305375228655456
    EMEA,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,941.848,0.275605772151365,1063.543,0.258133986388746,1201.769,0.251600229624106,1395.544,0.250900552664982,1504.77,0.265952990705245,1597.83,0.256865823163306,1744.121,0.253827412535672,2112.168,0.272723223053196
    Asia Pacific,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,543.581,0.15906394793195,595.673,0.144576614273371,735.404,0.153962879111115,857.009,0.154079005562607,933.522,0.164990641619079,1042.131,0.167532113653517,1150.738,0.1674705189872,1288.844,0.166415592742989
  Interconnection,,31.414,0.203394000608615,40.877,0.196521204021096,53.811,0.19699443549568,73.685,0.184371059110835,93.739,0.140503894850284,106.894,0.126975265160379,171.009,0.147368448266056,224.376,0.150344341449491,272.103,0.151414971498018,319.863,0.156033624037909,379.007,0.163520853916878,435.809,0.16963218445387,543.045,0.15890710235403,681.173,0.165328437035814,801.965,0.167897972198065,893.589,0.160655610969879,1023.258,0.180850578735001,1161.502,0.186722096428172,1268.276,0.184576193659208,1394.31,0.180033367201521
    America,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,374.655,0.109632425365207,469.268,0.113896682620895,532.163,0.111412703271139,576.709,0.103684732854621,622.327,0.109990049540211,678.677,0.109103550607388,756.214,0.110054200908796,820.007,0.105879339127466
    EMEA,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,85.869,0.0251271883030655,104.891,0.0254582390804151,138.874,0.0290744147076668,161.552,0.0290449359419216,213.49,0.037732214215902,259.538,0.041723113229917,268.398,0.0390608047662687,307.337,0.0396833666656724
    Asia Pacific,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,82.521,0.024147488685757,107.014,0.0259735153345048,130.928,0.0274108542192592,155.328,0.0279259421733362,187.441,0.0331283149788884,223.287,0.0358954325908671,243.664,0.0354611879841433,266.966,0.034470661408382
  Managed Infrastructure,,11.049,0.071538177650875,14.208,0.0683067071148012,16.197,0.0592949187289501,19.519,0.0488395019716957,29.453,0.0441466328318567,29.004,0.0344527343977364,30.502,0.0262853557942052,70.365,0.0471484454045593,88.109,0.0490293077390505,97.4,0.0475130758521377,104.455,0.045066636753114,97.688,0.0380236039983792,210.292,0.0615361385672156,245.169,0.0595053056707086,279.632,0.0585432603189531,292.628,0.0526106858151719,337.345,0.0596223420519156,380.857,0.0612262548659791,415.506,0.0604698945044793,451.673,0.058320037196902
    America,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,53.404,0.0156272038120498,68.937,0.0167317942195858,75.595,0.015826435328615,90.262,0.016227926661321,120.159,0.0212368969411615,168.577,0.0271002984493974,218.499,0.0317988464169813,249.779,0.0322514752287717
    EMEA,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,67.553,0.0197675173978616,88.122,0.0213882119938254,118.685,0.0248476814204202,113.631,0.0204293671140964,127.722,0.0225735812641502,124.937,0.0200847683098665,119.361,0.0173709815934046,130.061,0.0167934819169317
    Asia Pacific,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,89.335,0.0261414173573042,88.11,0.0213852994572974,85.352,0.0178691435699179,88.735,0.0159533920397545,89.464,0.0158118638466039,87.343,0.0140411881067152,77.646,0.0113000664940935,71.833,0.00927508005119868
  Other,,0,,0.312,0.00149997836569665,1.38,0.00505198418509299,1.237,0.0030951618391817,1.028,0.00154085283506429,1.091,0.00129595687587679,2.471,0.00212940509368176,2.801,0.00187682506328673,3.162,0.0017595327500128,4.52,0.00220491892044828,10.336,0.00445942039615323,10.681,0.00415742070987929,16.943,0.00495790042295634,15.633,0.00379430696193315,24.734,0.00517826643849411,29.762,0.0053508182102572,38.426,0.00679140973094876,35.912,0.00577318328072489,104.895,0.0152656991332191,132.687,0.0171325511499367
    EMEA,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,11.382,0.00333062755203264,10.415,0.00252783899498073,8.164,0.00170920058235085,10.019,0.00180128511687947,18.738,0.0033117533841284,19.626,0.00315505945275971,75.449,0.010980330176865,98.591,0.0127300741626791
    America,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,3.36,0.000983211085470891,5.218,0.00126646796695242,16.57,0.00346906585614326,19.743,0.00354953309337773,19.605,0.0034649869300799,12.43,0.00199823647191497,20.727,0.00301646547437183,22.118,0.00285587711180672
    Asia Pacific,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,2.201,0.000644061785452807,0,,0,,0,,0.083,1.46694167404556e-05,3.856,0.000619887356050211,8.719,0.00126890348198234,11.978,0.00154659987545081
  Non-Recurrning,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,323.954,0.0582426907629078,—,,—,,—,,—,
    Asia-Pacific,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,66.897,0.0120272053562118,—,,—,,—,,—,
    EMEA,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,125.698,0.0225988558360631,—,,—,,—,,—,
    Americas,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,131.359,0.0236166295706329,—,,—,,—,,—,
Source: Bloomberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
