Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47
Prologis Inc (PLD US) - By Measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Millions of USD except Per Share,,Q1 2009,,Q2 2009,,Q3 2009,,Q4 2009,,Q1 2010,,Q2 2010,,Q3 2010,,Q4 2010,,Q1 2011,,Q2 2011,,Q3 2011,,Q4 2011,,Q1 2012,,Q2 2012,,Q3 2012,,Q4 2012,,Q1 2013,,Q2 2013,,Q3 2013,,Q4 2013,,Q1 2014,,Q2 2014,,Q3 2014,
3 Months Ending,,03/31/2009,,06/30/2009,,09/30/2009,,12/31/2009,,03/31/2010,,06/30/2010,,09/30/2010,,12/31/2010,,03/31/2011,,06/30/2011,,09/30/2011,,12/31/2011,,03/31/2012,,06/30/2012,,09/30/2012,,12/31/2012,,03/31/2013,,06/30/2013,,09/30/2013,,12/31/2013,,03/31/2014,,06/30/2014,,09/30/2014,
Revenue,,163.419,1.0,148.572,1.0,153.567,1.0,1027.171,1.0,154.09,1.0,219.146,1.0,228.614,1.0,204.276,1.0,229.867,1.0,320.912,1.0,469.137,1.0,1001.483,1.0,479.43,1.0,501.181,1.0,499.462,1.0,480.445,1.0,479.971,1.0,410.693,1.0,423.058,1.0,436.764,1.0,434.682,1.0,460.089,1.0,415.151,1.0
  Real Estate Operations,,151.724,0.928435494036801,140.777,0.947533855639017,145.681,0.948647821472061,701.971,0.683402276738732,146.645,0.95168408073204,190.839,0.867556472839848,196.066,0.827118672668289,187.487,0.917812175683879,200.033,0.870211905145149,287.936,0.897242857855113,434.559,0.926294451301006,929.267,0.927890937739333,447.073,0.932509438291304,470.188,0.938160065924287,467.748,0.936503677957482,448.73,0.933988281697177,446.336,0.929922849505491,367.085,0.893818497028194,374.736,0.885779254853944,382.857,0.876576366184026,389.372,0.895762879530323,383.755,0.834088621984007,361.081,0.869758232546712
    Americas,,—,,—,,—,,—,,—,,150.811,0.685588685884177,152.15,0.641855834496956,134.812,0.659950263369167,150.062,0.652820979087907,62.44,0.194570474148676,270.675,0.576963658803292,604.455,0.603559920637694,281.777,0.587733350019815,304.959,0.60848076842498,303.465,0.607583760125896,286.719,0.596777987074483,308.4,0.642538820053712,315.471,0.768143114199658,324.294,0.766547376482657,340.76,0.780192506708428,356.125,0.819277080716478,344.347,0.748435628758784,324.877,0.782551409005398
    Europe,,—,,—,,—,,—,,—,,20.478,0.093093243261673,21.893,0.092357211860939,30.172,0.147702128492823,26.545,0.115479820939935,191.948,0.598132821458842,113.285,0.241475304655143,213.842,0.213525341917936,111.676,0.232934943578833,109.639,0.218761285842839,104.804,0.209833781148516,109.125,0.227133178615658,99.467,0.207235437140994,29.295,0.0713306533103803,26.199,0.0619276789470947,19.436,0.044500004579132,16.188,0.037241017571466,20.473,0.0444979123604346,20.422,0.0491917398729619
    Asia,,—,,—,,—,,—,,—,,19.55,0.0888745436939988,22.023,0.0929056263103941,22.503,0.110159783821888,23.426,0.101911105117307,33.548,0.104539562247594,50.599,0.107855487842571,110.97,0.110805675183703,53.62,0.111841144692656,55.59,0.110918011656467,59.479,0.119086136683071,52.886,0.110077116007035,38.469,0.0801485923107854,22.319,0.0543447295181559,24.243,0.0573041994241924,22.661,0.0518838548964658,17.059,0.0392447812423795,18.935,0.0411550808647892,15.782,0.038015083668352
  Strategic Capital Management,,11.695,0.0715645059631989,7.795,0.0524661443609832,7.886,0.0513521785279389,144.963,0.141128400237156,7.445,0.0483159192679603,29.134,0.132443527160151,40.981,0.172881327331711,16.789,0.0821878243161213,29.834,0.129788094854851,32.976,0.102757142144887,34.578,0.0737055486989941,72.216,0.0721090622606674,32.357,0.0674905617086957,30.993,0.0618399340757132,31.714,0.0634963220425178,31.715,0.0660117183028234,33.635,0.070077150494509,43.608,0.106181502971806,48.322,0.114220745146056,53.907,0.123423633815974,45.31,0.104237120469677,76.334,0.165911378015993,54.07,0.130241767453288
    Europe,,—,,—,,—,,—,,—,,18.272,0.0830647397635164,22.375,0.0943905638966112,-7.237,-0.0354275587930055,13.324,0.0579639530685135,13.977,0.0435539961110834,8.69,0.0185233737692827,27.475,0.027434314910987,9.137,0.019058048098784,9.326,0.0186080477911174,9.537,0.0190945457312068,9.047,0.0188304592617261,10.613,0.022111752585052,13.854,0.0337332265220006,20.037,0.0473623002047001,19.29,0.0441657279446108,21.7,0.0499215518470974,9.566,0.0207916294456073,24.713,0.059527738100113
    Americas,,—,,—,,—,,—,,—,,10.303,0.0468375664286071,17.018,0.07179167000637,25.547,0.125061191721005,16.149,0.0702536684256548,16.548,0.0515655382160842,20.96,0.0446777806909282,35.9,0.035846839137559,18.354,0.0382829610162067,16.47,0.0328623790606587,16.934,0.0339044812217947,17.664,0.0367659149330308,16.187,0.0337249542159839,15.428,0.0375657729739733,18.357,0.0433912134979128,22.502,0.0515198139040763,14.575,0.0335302589019099,47.315,0.102838798580275,18.567,0.044723486153231
    Asia,,—,,—,,—,,—,,—,,0.559,0.00254122096802789,1.588,0.00669909342872932,-1.521,-0.00744580861187805,0.361,0.00157047336068248,2.451,0.0076376078177195,4.928,0.0105043942387831,8.841,0.00882790821212142,4.866,0.010149552593705,5.197,0.0103695072239371,5.243,0.0104972950895163,5.004,0.0104153441080665,6.835,0.0142404436934731,14.326,0.0348825034758323,9.928,0.0234672314434427,12.115,0.0277380919672867,9.035,0.0207853097206694,19.453,0.0422809499901106,10.79,0.0259905431999441
  Adjustment,,—,,—,,—,,—,,—,,-0.827,,-8.433,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Asia,,—,,—,,—,,—,,—,,—,,—,,0,,—,,—,,—,,0,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  CDFS Business,,—,,—,,—,,180.237,0.175469323024112,—,,—,,—,,0,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
Operating Income,,-134.893,,33.102,1.0,31.988,1.0,24.477,1.0,22.162,1.0,34.318,1.0,35.737,1.0,-694.092,,28.787,1.0,-46.968,,79.339,1.0,49.651,1.0,100.607,1.0,101.604,1.0,75.25,1.0,-162.543,,97.039,1.0,58.514,1.0,77.381,1.0,71.479,1.0,71.466,1.0,95.274,1.0,78.112,1.0
  Real Estate Operations,,-134.893,1.0,33.102,1.0,31.988,1.0,463.845,0.622085514377794,22.162,1.0,132.101,0.873083328927193,134.126,0.811517564346132,264.271,0.893462436989279,134.725,0.874797898796808,205.15,0.905619564737562,310.639,0.94667471208672,268.76,0.916468887252094,324.007,0.954413033936898,350.497,0.95655745534435,335.737,0.954554888675968,323.804,0.954090487204797,311.629,0.957812235865439,250.477,0.930867886382809,261.555,0.908637712173533,268.433,0.894779649265498,273.802,0.92830285913836,268.729,0.847121610460681,253.889,0.889225510214803
