Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81
Prologis Inc (PLD US) - By Measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Millions of USD except Per Share,,Q4 2014,,Q1 2015,,Q2 2015,,Q3 2015,,Q4 2015,,Q1 2016,,Q2 2016,,Q3 2016,,Q4 2016,,Q1 2017,,Q2 2017,,Q3 2017,,Q4 2017,,Q1 2018,,Q2 2018,,Q3 2018,,Q4 2018,,Q1 2019,,Q2 2019,,Q3 2019,,Q4 2019,,Q1 2020,,Q2 2020,,Q3 2020,,Q4 2020,,Q1 2021,,Q2 2021,,Q3 2021,,Q4 2021,,Q1 2022,,Q2 2022,,Q3 2022,,Q4 2022,,Q1 2023,,Q2 2023,,Q3 2023,,Q4 2023,,Q1 2024,,Q2 2024,,Q3 2024,
3 Months Ending,,12/31/2014,,03/31/2015,,06/30/2015,,09/30/2015,,12/31/2015,,03/31/2016,,06/30/2016,,09/30/2016,,12/31/2016,,03/31/2017,,06/30/2017,,09/30/2017,,12/31/2017,,03/31/2018,,06/30/2018,,09/30/2018,,12/31/2018,,03/31/2019,,06/30/2019,,09/30/2019,,12/31/2019,,03/31/2020,,06/30/2020,,09/30/2020,,12/31/2020,,03/31/2021,,06/30/2021,,09/30/2021,,12/31/2021,,03/31/2022,,06/30/2022,,09/30/2022,,12/31/2022,,03/31/2023,,06/30/2023,,09/30/2023,,12/31/2023,,03/31/2024,,06/30/2024,,09/30/2024,
Revenue,,450.865,1.0,462.847,1.0,510.404,1.0,580.622,1.0,643.201,1.0,606.3,1.0,602.155,1.0,704.565,1.0,620.115,1.0,629.155,1.0,766.183,1.0,602.874,1.0,619.922,1.0,693.656,1.0,621.276,1.0,682.432,1.0,807.085,1.0,772.052,1.0,790.372,1.0,942.181,1.0,826.016,1.0,978.241,1.0,1266.124,1.0,1082.773,1.0,1111.597,1.0,1148.316,1.0,1150.842,1.0,1183.049,1.0,1277.233,1.0,1219.128,1.0,1252.08,1.0,1750.892,1.0,1751.592,1.0,1768.587,1.0,2450.971,1.0,1914.664,1.0,1889.247,1.0,1956.621,1.0,2007.954,1.0,2036.389,1.0
  Rental,,406.708,0.902061592716223,420.822,0.909203257231871,463.358,0.907825957476822,536.446,0.923916076207929,566.086,0.880107462519492,555.297,0.915878278080158,548.62,0.911094319568882,561.984,0.797632581805795,573.066,0.924128589052031,572.11,0.909330769047373,585.529,0.764215598623305,534.832,0.887137279099779,551.774,0.890070041069683,560.695,0.808318532529092,545.579,0.878158821522158,611.29,0.895752250773703,680.585,0.843263101160349,698.247,0.90440410749535,701.228,0.887212603685353,711.714,0.755389887930238,727.546,0.880789234106845,881.65,0.901260527824943,945.466,0.746740445643555,983.78,0.908574558102206,990.852,0.891377000837534,1028.355,0.895533111094855,1021.455,0.887571882152372,1041.601,0.880437750253793,1077.279,0.843447515057942,1085.203,0.890146891876817,1095.841,0.875216439844099,1156.14,0.660314856655922,1596.923,0.911698043836692,1633.886,0.923836938753932,1651.936,0.673992470739148,1777.816,0.928526362850088,1759.599,0.931375833863968,1828.209,0.934370529601798,1853.212,0.922935485573873,1897.164,0.931631431912076
    U.S.,,378.215,0.838865292271523,376.198,0.812791267956798,418.494,0.819926959820064,488.611,0.841530289930454,518.555,0.80620987840504,511.157,0.843076034966188,501.707,0.83318580764089,512.759,0.727766778082931,514.685,0.829983148287011,524.147,0.833096772655387,529.841,0.691533223785962,478.718,0.794059786953824,492.478,0.794419297911673,499.257,0.719747252240304,491.051,0.790391066128419,556.314,0.815193308637344,626.657,0.776444860206794,651.869,0.844333024200442,649.433,0.821680170856255,667.889,0.70887547084902,676.003,0.818389716421958,829.383,0.847830953722038,896.879,0.708365847262985,933.916,0.862522430832686,940.157,0.845771444147474,975.083,0.849141699671519,971.698,0.844336581389973,992.583,0.83900413254227,1027.816,0.804720830106958,1038.991,0.852241110039307,1046.347,0.835687016804038,1102.418,0.629632210324794,1538.316,0.878238767932258,1574.567,0.89029660401213,1586.285,0.647206760096305,1705.656,0.89083828807561,1691.543,0.895353016307556,1757.371,0.898166277475301,1781.805,0.887373415924867,—,
    Other Americas,,—,,14.432,0.0311809301993963,13.835,0.0271059787932697,14.876,0.0256207997630128,14.392,0.022375587102632,13.935,0.0229836714497773,15.083,0.0250483679451304,15.598,0.0221384826098373,13.925,0.0224555122840118,15.089,0.0239829612734541,16.444,0.0214622355233671,23.157,0.0384110112560834,30.099,0.0485528824594062,30.431,0.0438704487526959,29.948,0.0482040188257715,29.091,0.042628423051674,30.484,0.0377704950531852,23.865,0.030911130338371,23.847,0.0301718684366349,22.723,0.0241174466477248,24.549,0.0297197632975632,26.079,0.0266590748087639,19.736,0.0155877307435923,21.132,0.0195165561017868,20.883,0.0187864846702537,23.893,0.0208069904103052,25.495,0.0221533451160107,24.791,0.0209551759901745,24.441,0.0191358976788104,22.191,0.0182023544697522,23.171,0.018506006006006,23.774,0.0135782218434946,23.615,0.0134820209272479,25.572,0.0144590003205949,26.562,0.0108373375286774,29.442,0.0153771105530788,28.729,0.0152065875981277,29.723,0.0151909848662567,31.159,0.0155177857660086,—,
    Europe,,17.33,0.0384372262207091,18.769,0.0405511972638907,16.681,0.0326819539031826,17.591,0.0302968196175825,16.486,0.0256311790560027,16.475,0.0271730166584199,19.533,0.0324384917504629,18.967,0.0269201564085641,22.228,0.0358449642405038,18.231,0.0289769611621937,22.076,0.0288129598281351,16.369,0.0271516104525987,17.032,0.0274744242017544,17.202,0.0247990358333237,12.908,0.0207765952652283,13.806,0.0202305870768077,10.489,0.0129961528215739,8.557,0.011083450337542,12.263,0.015515478787204,9.517,0.0101010315427715,14.019,0.0169718262115988,15.502,0.0158468107552229,17.988,0.0142071392691395,19.558,0.0180628811394447,15.753,0.0141715028018248,18.856,0.0164205671609557,13.372,0.0116193187248988,11.912,0.0100688982451276,11.393,0.00892006391942582,12.008,0.00984966303784344,11.7,0.00934445083381254,13.437,0.00767437397623611,19.586,0.0111818277315722,19.156,0.01083124550842,21.111,0.0086133210062461,29.101,0.015199011419236,26.547,0.0140516300938946,28.733,0.014685010536021,25.695,0.0127966078904198,—,
    Asia,,11.163,0.0247590742239917,11.423,0.0246798618117866,14.348,0.028111064960306,15.368,0.0264681668968796,16.653,0.0258908179558179,13.73,0.0226455550057727,12.297,0.0204216522323986,14.66,0.020807164704463,22.228,0.0358449642405038,14.643,0.0232740739563383,17.168,0.0224071794858409,16.588,0.0275148704372721,12.165,0.0196234364968496,13.805,0.0199017957027691,11.672,0.0187871413027382,12.079,0.0176999320078777,12.955,0.0160515930787959,13.956,0.0180765026189946,15.685,0.0198450856052593,11.585,0.0122959388907227,12.975,0.0157079281757254,10.686,0.0109236885389183,10.863,0.00857972836783759,9.174,0.00847269002828848,14.059,0.012647569217981,10.523,0.00916385385207556,10.89,0.00946263692148879,12.315,0.0104095434762212,13.629,0.0106707233527477,12.013,0.0098537643299145,14.623,0.0116789662002428,16.511,0.00943005051139647,15.406,0.00879542724561428,14.591,0.00825008891278744,17.978,0.00733505210791968,13.617,0.00711195280216268,12.78,0.00676459986439042,12.382,0.00632825672421997,14.553,0.00724767599257752,—,
