AAPL US Equity,"=BDH($A$1, $B6, ""19901201"","""",""sort=a"",""dir=h"",""per=cq"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Assets,,1991-12-31 00:00:00,1992-12-31 00:00:00,1993-12-31 00:00:00,1994-12-30 00:00:00,1995-12-29 00:00:00,1996-12-31 00:00:00,1997-12-31 00:00:00,1998-12-31 00:00:00,1999-12-31 00:00:00,2000-12-29 00:00:00,2001-12-31 00:00:00,2002-12-31 00:00:00,2003-12-31 00:00:00,2004-12-31 00:00:00,2005-12-30 00:00:00,2006-12-29 00:00:00,2007-12-31 00:00:00,2008-12-31 00:00:00,2009-12-31 00:00:00,2010-12-31 00:00:00,2011-12-30 00:00:00,2012-12-31 00:00:00,2013-12-31 00:00:00,2014-12-31 00:00:00,2015-12-31 00:00:00,2016-12-30 00:00:00,2017-12-29 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-30 00:00:00,2023-12-29 00:00:00
"  + Cash, Cash Equivalents & STI",CASH_CASH_EQTY_STI_DETAILED,892.719,1435.5,892.303,1257.856,952,1745,1459,2300,3226,4027,4336,4337,4566,5464,8261,10110,15386,22111,23464,25620,25952,29129,40546,25077,41601,67155,74181,66301,100557,90943,62639,48304,61555
    + Cash & Cash Equivalents,BS_CASH_NEAR_CASH_ITEM,604.147,498.557,676.413,1203.488,756,1552,1230,1481,1326,1191,2310,2252,3396,2969,3491,6392,9352,11875,5263,11261,9815,10746,14259,13844,21120,20484,20289,25913,48844,38016,34940,23646,29965
    + ST Investments,BS_MKT_SEC_OTHER_ST_INVEST,288.572,936.943,215.89,54.368,196,193,229,819,1900,2836,2026,2085,1170,2495,4770,3718,6034,10236,18201,14359,16137,18383,26287,11233,20481,46671,53892,40388,51713,52927,27699,24658,31590
  + Accounts & Notes Receiv,BS_ACCT_NOTE_RCV,907.159,1087.1851,1381.946,1581.347,1931,1496,1035,955,681,953,466,565,766,774,895,1252,1637,2422,3361,5510,5369,10930,13102,17460,16849,15754,17874,23186,22926,16120,26278,28184,29508
"    + Accounts Receivable, Net",BS_ACCTS_REC_EXCL_NOTES_REC,,,,,,,,,681,,,565,766,774,895,1252,1637,2422,3361,5510,5369,10930,13102,17460,16849,15754,17874,23186,22926,16120,26278,28184,29508
