Date,CASH_CASH_EQTY_STI_DETAILED,BS_CASH_NEAR_CASH_ITEM,BS_MKT_SEC_OTHER_ST_INVEST,BS_ACCT_NOTE_RCV,BS_ACCTS_REC_EXCL_NOTES_REC,NOTES_RECEIVABLE,BS_UNBILLED_REVENUES,BS_INVENTORIES,INVTRY_RAW_MATERIALS,INVTRY_IN_PROGRESS,INVTRY_FINISHED_GOODS,BS_OTHER_INV,OTHER_CURRENT_ASSETS_DETAILED,BS_PREPAY,BS_DERIV_HEDGING_ASST_ST,BS_TAXES_RECEIVABLE_SHORT_TERM,BS_OTHER_CUR_ASSET_LESS_PREPAY,BS_CUR_ASSET_REPORT,BS_NET_FIX_ASSET,BS_GROSS_FIX_ASSET,BS_ACCUM_DEPR,BS_LT_INVEST,BS_LONG_TERM_INVESTMENTS,BS_LT_RECEIVABLES,BS_OTHER_ASSETS_DEF_CHRG_OTHER,BS_DISCLOSED_INTANGIBLES,BS_GOODWILL,OTHER_INTANGIBLE_ASSETS_DETAILED,BS_PREPAID_EXPENSE_LT,BS_DEFERRED_TAX_ASSETS_LT,BS_DERIV_HEDGING_ASST_LT,BS_INVEST_IN_ASSOC_CO,OTHER_NONCURRENT_ASSETS_DETAILED,BS_TOT_NON_CUR_ASSET,BS_TOT_ASSET,CF_NET_INC,CF_CASH_FROM_OPER,FIXED_INTANG_ASST_CHANGE,DISPOSAL_OF_FIXED_INTANG,ACQUIS_OF_FIXED_INTANG,NET_CHG_IN_LT_INVEST_DETAILED,CF_DECR_INVEST,CF_INCR_INVEST,CF_NT_CSH_RCVD_PD_FOR_ACQUIS_DIV,CF_CASH_FOR_DIVESTITURES,CF_CASH_FOR_ACQUIS_SUBSIDIARIES,CF_CASH_FOR_JOINT_VENTURES_ASSOC,OTHER_INVESTING_ACT_DETAILED,CF_NET_CASH_DISCONTINUED_OPS_INV,CF_CASH_FROM_INV_ACT,CF_DVD_PAID,PROC_FR_REPAYMNTS_BOR_DETAILED,PROC_FR_REPURCH_EQTY_DETAILED,CF_INCR_CAP_STOCK,CF_DECR_CAP_STOCK,OTHER_FIN_AND_DEC_CAP,CF_NET_CASH_DISCONTINUED_OPS_FIN,CFF_ACTIVITIES_DETAILED,CF_EFFECT_FOREIGN_EXCHANGES,CF_NET_CHNG_CASH,CF_CASH_PAID_FOR_TAX,CF_NET_CASH_PAID_FOR_AQUIS,CF_FREE_CASH_FLOW,CF_FREE_CASH_FLOW_FIRM,FREE_CASH_FLOW_EQUITY,FREE_CASH_FLOW_PER_SH,PX_TO_FREE_CASH_FLOW,CASH_FLOW_TO_NET_INC,SALES_REV_TURN,IS_SALES_AND_SERVICES_REVENUES,IS_COGS_TO_FE_AND_PP_AND_G,IS_COG_AND_SERVICES_SOLD,GROSS_PROFIT,IS_OTHER_OPER_INC,IS_OPERATING_EXPN,IS_SGA_EXPENSE,IS_SELLING_EXPENSES,IS_GENERAL_AND_ADMINISTRATIVE,IS_OPERATING_EXPENSES_RD,IS_OTHER_OPERATING_EXPENSES,IS_OPER_INC,IS_NONOP_INCOME_LOSS,IS_NET_INTEREST_EXPENSE,IS_INT_EXPENSE,IS_INT_INC,IS_OTHER_INVESTMENT_INCOME_LOSS,INCOME_LOSS_FROM_AFFILIATES,IS_OTHER_NON_OPERATING_INC_LOSS,PRETAX_INC,IS_ABNORMAL_ITEM,IS_DERIVATIVES_HEDGING,IS_GAIN_LOSS_DISPOSAL_ASSETS,IS_IMPAIRMENT_ASSETS,IS_IMPAIR_OF_INTANG_ASSETS,IS_SALE_OF_BUSINESS,IS_LEGAL_LITIGATION_SETTLEMENT,IS_GAIN_LOSS_ON_INVESTMENTS,IS_OTHER_ONE_TIME_ITEMS,IS_INC_TAX_EXP,IS_INC_BEF_XO_ITEM,XO_GL_NET_OF_TAX,IS_DISCONTINUED_OPERATIONS,EXTRAORD_ITEMS_ACCOUNTING_CHANGS,NI_INCLUDING_MINORITY_INT_RATIO,MIN_NONCONTROL_INTEREST_CREDITS,NET_INCOME,IS_TOT_CASH_PFD_DVD,OTHER_ADJUSTMENTS,EARN_FOR_COMMON,IS_NET_ABNORMAL_ITEMS,IS_AVG_NUM_SH_FOR_EPS,IS_EPS,IS_EARN_BEF_XO_ITEMS_PER_SH,IS_BASIC_EPS_CONT_OPS,IS_SH_FOR_DILUTED_EPS,IS_DILUTED_EPS,IS_DIL_EPS_BEF_XO,IS_DIL_EPS_CONT_OPS,ACCOUNTING_STANDARD,EBITDA,EBITDA_MARGIN,EBIT,GROSS_MARGIN,OPER_MARGIN,PROF_MARGIN,ACTUAL_SALES_PER_EMPL,RETURN_COM_EQY,RETURN_ON_ASSET,RETURN_ON_CAP,RETURN_ON_INV_CAPITAL,INCREMENTAL_OPERATING_MARGIN,PRETAX_INC_TO_NET_SALES,INC_BEF_XO_ITEMS_TO_NET_SALES,NET_INCOME_TO_COMMON_MARGIN,EFF_TAX_RATE,ESG_SCORE,ENVIRONMENTAL_SCORE,SOCIAL_SCORE,GOVERNANCE_SCORE,ESG_DISCLOSURE_SCORE,ENVIRON_DISCLOSURE_SCORE,SOCIAL_DISCLOSURE_SCORE,GOVNCE_DISCLOSURE_SCORE,NOX_EMISSIONS,VOC_EMISSIONS,PARTICULATE_EMISSIONS,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,EMISSION_REDUCTION,TRANSITION_PLAN_INDICATOR,CLIMATE_CHG_POLICY,CLIMATE_CHG_OPPORTUNITIES,CLIMATE_RISKS,GHG_SCOPE_1,GHG_SCOPE_2_LOCATION_BASED,ENERGY_EFFIC_POLICY,ENERGY_CONSUMPTION,ELECTRICITY_USED,NAT_GAS_USED,OIL_DIESEL_USED,WASTE_REDUCTION,HAZARDOUS_WASTE,TOTAL_WASTE,ENVIRON_SUPPLY_MGT,WATER_POLICY,TOTAL_WATER_WITHDRAWAL,TOTAL_WATER_DISCHARGED,BIODIVERSITY_POLICY,ADOPT_TNFD_RECOMMENDATIONS,ZERO_DEFORESTATION_POLICY,BOARD_LEVEL_OVERSIGHT_BIODIV,EXEC_LEVEL_OVERSIGHT_BIODIV,HUMAN_RIGHTS_POLICY,POLICY_AGAINST_CHILD_LABOR,QUALITY_ASSURANCE_AND_RECALL_POL,CONSUMER_DATA_PROTECTION_POLICY,COMMUNITY_SPENDING,CUSTOMER_COMPLAINTS,EQUAL_OPPORTUNITY_POLICY,GENDER_PAY_GAP_BREAKOUT,PCT_WOMEN_SENIOR_MGT,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,PCT_WOMEN_EMPLOYEES,PCT_MINORITY_EMPLOYEES,PCT_DISABLED_IN_WORKFORCE,ETHICS_POLICY,ANTI_BRIBERY_ETHICS_POLICY,HEALTH_SAFETY_POLICY,FATALITIES_EMPLOYEES,LOST_TIME_INCIDENT_RATE,TRAINING_POLICY,FAIR_REMUNERATION_POLICY,NUMBER_EMPLOYEES_CSR,EMPLOYEE_TURNOVER_PCT,EMPLOYEE_TRAINING_COST,TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,COMP_DISCLOSES_EMP_ENG_SCORE,SOCIAL_SUPPLY_CHAIN_MGMT,YEARS_AUDITOR_EMPLOYED,SIZE_OF_AUDIT_COMMITTEE,NUM_IND_DIR_ON_AUD_CMTE,AUDIT_COMMITTEE_MEETINGS,AUDIT_COMMITTEE_MTG_ATTEND_PCT,COMPANY_CONDUCTS_BRD_EVALUATIONS,BOARD_SIZE,NUM_EXECUTIVES_COMP_MANAGERS,NUM_OF_NONEXEC_DIR_ON_BRD,BOARD_MEETINGS_PER_YR,BOARD_MEETING_ATTENDANCE_PCT,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,DIRECTOR_SH_OWNERSHIP_GUIDELINES,SIZE_OF_COMPENSATION_COMMITTEE,NUM_IND_DIR_ON_CMPNSTN_CMTE,NUM_COMPENSATION_CMTE_MTG,COMPENSATION_CMTE_MTG_ATTEND_PCT,NUMBER_OF_FEMALE_EXECUTIVES,NUMBER_OF_WOMEN_ON_BOARD,AGE_OF_YOUNGEST_DIRECTOR,AGE_OF_OLDEST_DIRECTOR,INDEPENDENT_DIRECTORS,SIZE_OF_NOMINATION_COMMITTEE,NUM_IND_DIR_ON_NOM_CMTE,NUM_OF_NOMINATION_CMTE_MTG,NOMINATION_CMTE_MTG_ATTEND_PCT,VERIFICATION_TYPE,EMPLOYEE_CSR_TRAINING,BOARD_DURATION
1991-12-31 00:00:00,892.719,604.147,288.572,907.159,,,,671.655,,,,,392.077,,,,,2863.6101,447.978,1036.014,588.036,0,,,182.009,,,,,,,,182.009,629.987,3493.5969,309.841,128.671,-218.348,,-218.348,,,,,,,,276.672,,58.324,-56.509,25.936,73.043,257.72,-184.677,,,42.47,,229.465,,,-89.677,,-63.741,-0.0067,9.6542,0.4153,6308.8491,,3314.1179,,2994.7312,,2323.3391,,,,,,671.392,,,,,,,,499.744,,,,,,,,,,189.903,309.841,0,,,309.841,0,309.841,0,,309.841,,13471.6957,0.023,0.023,0.023,13471.6957,0.023,0.023,0.023,US GAAP,875.825,13.8825,671.392,47.4687,10.6421,4.9112,437143.0932,19.2837,9.5788,,18.5154,,7.9213,4.9112,4.9112,38.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-12-31 00:00:00,1435.5,498.557,936.943,1087.1851,,,,580.097,,,,,455.612,,,,,3558.394,462.221,1135.64,673.419,,,,203.078,,,,,,,,203.078,665.299,4223.6929,530.373,883.746,-194.853,,-194.853,,,,,,,,-717.781,,-912.634,-57.196,35.895,-55.401,157.224,-212.625,,,-76.702,,-105.59,,,688.893,,,0.0502,10.624,1.6663,7086.542,,3991.3369,,3095.2051,,2289.397,,,,,,805.808,,,,,,,,855.442,,,,,,,,,,325.069,530.373,0,,,530.373,0,530.373,0,,530.373,,13718.8798,0.0387,0.0387,0.0387,13718.8798,0.0387,0.0387,0.0387,US GAAP,1022.99,14.4357,805.808,43.6772,11.371,7.4842,478885.1191,26.8268,13.7451,,18.4772,17.2839,12.0714,7.4842,7.4842,38.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-12-31 00:00:00,892.303,676.413,215.89,1381.946,,,,1506.6379,,,,,557.468,,,,,4338.355,659.546,1412.657,753.111,0,,,173.511,,,,,,,,173.511,833.057,5171.4121,86.589,-661.837,-213.118,0,-213.118,0,0,0,,,,,705.884,,492.766,-55.593,638.721,-188.165,85.289,-273.454,-48.036,,346.927,,177.856,,,-874.955,-867.6389,,-0.0656,5.2898,-7.6434,7976.9541,,5248.834,,2728.1201,,2296.926,,,,,,431.194,,,11.8,,,,,139.659,,,,,,,,,,53.07,86.589,0,,,86.589,0,86.589,0,,86.589,,13342,0.0065,0.0065,0.0065,13342,0.0065,0.0065,0.0065,US GAAP,597.307,7.4879,431.194,34.2,5.4055,1.0855,666802.1484,4.1098,1.8433,3.592,8.2651,,1.7508,1.0855,1.0855,37.9997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-12-30 00:00:00,1257.856,1203.488,54.368,1581.347,,,,1088.434,,,,,548.815,,,,,4476.4521,667.1,1452.188,785.088,0,,,159.194,,,,,,,,159.194,826.294,5302.7461,310.178,736.995,-159.587,0,-159.587,0,0,0,,,,,157.785,,-1.802,-56.572,-233.627,82.081,82.081,0,0,,-208.118,,527.075,,,577.408,601.9929,343.781,0.0434,7.9683,2.376,9188.748,,6844.915,,2343.833,,1948.4139,,,,,,395.419,,,39.653,,,,,500.286,,,,,,,,,,190.108,310.178,0,,,310.178,0,310.178,0,,310.178,,13298.3201,0.0233,0.0233,0.0233,13298.3201,0.0233,0.0233,0.0233,US GAAP,563.377,6.1312,395.419,25.5076,4.3033,3.3756,814100.1193,14.0681,5.9227,11.4711,6.87,,5.4446,3.3756,3.3756,37.9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-12-29 00:00:00,952,756,196,1931,,,,1775,,,,,566,,,,,5224,711,1492,781,0,,,296,,,,,,,,296,1007,6231,424,-240,-159,0,-159,0,0,0,,,,,-243,,-402,-58,167,86,86,0,0,,195,,-447,,,-399,-373.8997,-232,-0.029,6.5803,-0.566,11062,,8204,,2858,,2197,,,,,,661,,,39.9,,,,,674,,,,,,,,,,250,424,0,,,424,0,424,0,,424,,13781.2637,0.0308,0.0308,0.0308,13781.2637,0.0308,0.0308,0.0308,US GAAP,788,7.1235,661,25.8362,5.9754,3.8329,838602.0772,16.0475,7.3523,13.517,10.3727,14.1775,6.0929,3.8329,3.8329,37.092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-12-31 00:00:00,1745,1552,193,1496,,,,662,,,,,612,,,,,4515,598,1348,750,0,,,251,,,,,,,,251,849,5364,-816,519,-67,0,-67,0,0,0,,,,,-52,,-119,-14,371,39,39,0,0,,396,,796,33,,452,,823,0.0326,5.7145,,9833,,8865,,968,,2172,,,,,,-1204,,,60,,,,,-1295,179,,,,,,,,,-479,-816,0,,,-816,0,-816,0,,-816,,13858.2081,-0.0588,-0.0588,-0.0459,13858.2081,-0.0588,-0.0588,-0.0459,US GAAP,-1048,-10.658,-1204,9.8444,-12.2445,-8.2986,902441.2628,-32.9099,-14.075,,,-151.7494,-13.1699,-8.2986,-8.2986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-12-31 00:00:00,1459,1230,229,1035,,,,437,141,15,281,0,493,,,,,3424,486,1195,709,0,,,323,,,,,,,,323,809,4233,-1045,188,-53,0,-53,0,0,0,,,,,-480,,-533,0,-161,184,184,0,0,,23,,-322,11,,135,,124,0.0096,12.256,,7081,,5713,,1368,,1771,,,,,,-403,,,71,,,,,-1045,667,,,,,,,,,0,-1045,0,,,-1045,0,-1045,0,,-1045,,14118.9436,-0.074,-0.074,-0.0268,14118.9436,-0.074,-0.074,-0.0268,US GAAP,-285,-4.0249,-403,19.3193,-5.6913,-14.7578,839279.3647,-67.2458,-21.7776,,,,-14.7578,-14.7578,-14.7578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-12-31 00:00:00,2300,1481,819,955,,,,78,32,5,41,0,365,,,,,3698,348,824,476,0,,,243,0,,,,,,,243,591,4289,309,775,43,89,-46,24,24,0,,,,,-610,,-543,0,-22,41,41,0,0,,19,,251,15,,729,787.231,796,0.0493,7.4111,2.5081,5941,,4462,,1479,,1211,,,,,,268,,,62,,,,,329,-26,,,,,,,,,20,309,0,,,309,0,309,0,,309,,14781.0879,0.0209,0.0209,0.0191,18806.7048,0.0187,0.0187,0.0169,US GAAP,379,6.3794,268,24.8948,4.511,5.2011,892310.003,24.3116,7.2518,15.3911,10.17,,5.5378,5.2011,5.2011,6.079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-12-31 00:00:00,3226,1326,1900,681,681,,,20,4,3,13,0,358,,,,,4285,318,729,411,339,,,558,0,,,,,,,558,1215,5161,601,798,-24,23,-47,133,245,-112,,,,,-1073,,-964,0,0,11,86,-75,0,,11,,-155,33,-8,751,792.7855,774,0.0468,19.5983,1.3278,6134,,4438,,1696,0,1310,996,,,,,386,,,47,,,,,676,27,,,,,,,,,75,601,0,,,601,0,601,0,0,601,,16033.584,0.0375,0.0375,0.0391,19506.368,0.0308,0.0308,0.0322,US GAAP,471,7.6785,386,27.6492,6.2928,9.7978,630032.8677,27.0355,12.7196,21.4262,12.7491,61.1399,11.0205,9.7978,9.7978,11.0947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-12-29 00:00:00,4027,1191,2836,953,,,,33,1,2,30,0,414,,,,,5427,313,700,387,786,,,277,0,30,-30,,,,,277,1376,6803,786,826,-96,11,-107,140,372,-232,,,,,-974,,-930,0,0,-31,85,-116,0,,-31,,-135,47,,719,734.0774,656,0.0396,6.7148,1.0509,7983,,5817,,2166,,1546,,,,,,620,,,21,210,,,,1085,-269,,,,,,,,,306,786,0,,,779,0,786,0,,786,,18175.8076,0.0432,0.0432,0.0336,20178.1443,0.0389,0.0389,0.0302,US GAAP,704,8.8187,620,27.1327,7.7665,9.8459,931722.6891,22.5054,13.1394,20.5115,10.9372,12.6555,13.5914,9.7582,9.8459,28.2028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
