Date,CASH_CASH_EQTY_STI_DETAILED,BS_CASH_NEAR_CASH_ITEM,BS_MKT_SEC_OTHER_ST_INVEST,BS_ACCT_NOTE_RCV,BS_ACCTS_REC_EXCL_NOTES_REC,NOTES_RECEIVABLE,BS_UNBILLED_REVENUES,BS_INVENTORIES,INVTRY_RAW_MATERIALS,INVTRY_IN_PROGRESS,INVTRY_FINISHED_GOODS,BS_OTHER_INV,OTHER_CURRENT_ASSETS_DETAILED,BS_PREPAY,BS_DERIV_HEDGING_ASST_ST,BS_TAXES_RECEIVABLE_SHORT_TERM,BS_OTHER_CUR_ASSET_LESS_PREPAY,BS_CUR_ASSET_REPORT,BS_NET_FIX_ASSET,BS_GROSS_FIX_ASSET,BS_ACCUM_DEPR,BS_LT_INVEST,BS_LONG_TERM_INVESTMENTS,BS_LT_RECEIVABLES,BS_OTHER_ASSETS_DEF_CHRG_OTHER,BS_DISCLOSED_INTANGIBLES,BS_GOODWILL,OTHER_INTANGIBLE_ASSETS_DETAILED,BS_PREPAID_EXPENSE_LT,BS_DEFERRED_TAX_ASSETS_LT,BS_DERIV_HEDGING_ASST_LT,BS_INVEST_IN_ASSOC_CO,OTHER_NONCURRENT_ASSETS_DETAILED,BS_TOT_NON_CUR_ASSET,BS_TOT_ASSET,CF_NET_INC,CF_CASH_FROM_OPER,FIXED_INTANG_ASST_CHANGE,DISPOSAL_OF_FIXED_INTANG,ACQUIS_OF_FIXED_INTANG,NET_CHG_IN_LT_INVEST_DETAILED,CF_DECR_INVEST,CF_INCR_INVEST,CF_NT_CSH_RCVD_PD_FOR_ACQUIS_DIV,CF_CASH_FOR_DIVESTITURES,CF_CASH_FOR_ACQUIS_SUBSIDIARIES,CF_CASH_FOR_JOINT_VENTURES_ASSOC,OTHER_INVESTING_ACT_DETAILED,CF_NET_CASH_DISCONTINUED_OPS_INV,CF_CASH_FROM_INV_ACT,CF_DVD_PAID,PROC_FR_REPAYMNTS_BOR_DETAILED,PROC_FR_REPURCH_EQTY_DETAILED,CF_INCR_CAP_STOCK,CF_DECR_CAP_STOCK,OTHER_FIN_AND_DEC_CAP,CF_NET_CASH_DISCONTINUED_OPS_FIN,CFF_ACTIVITIES_DETAILED,CF_EFFECT_FOREIGN_EXCHANGES,CF_NET_CHNG_CASH,CF_CASH_PAID_FOR_TAX,CF_NET_CASH_PAID_FOR_AQUIS,CF_FREE_CASH_FLOW,CF_FREE_CASH_FLOW_FIRM,FREE_CASH_FLOW_EQUITY,FREE_CASH_FLOW_PER_SH,PX_TO_FREE_CASH_FLOW,CASH_FLOW_TO_NET_INC,SALES_REV_TURN,IS_SALES_AND_SERVICES_REVENUES,IS_COGS_TO_FE_AND_PP_AND_G,IS_COG_AND_SERVICES_SOLD,GROSS_PROFIT,IS_OTHER_OPER_INC,IS_OPERATING_EXPN,IS_SGA_EXPENSE,IS_SELLING_EXPENSES,IS_GENERAL_AND_ADMINISTRATIVE,IS_OPERATING_EXPENSES_RD,IS_OTHER_OPERATING_EXPENSES,IS_OPER_INC,IS_NONOP_INCOME_LOSS,IS_NET_INTEREST_EXPENSE,IS_INT_EXPENSE,IS_INT_INC,IS_OTHER_INVESTMENT_INCOME_LOSS,INCOME_LOSS_FROM_AFFILIATES,IS_OTHER_NON_OPERATING_INC_LOSS,PRETAX_INC,IS_ABNORMAL_ITEM,IS_DERIVATIVES_HEDGING,IS_GAIN_LOSS_DISPOSAL_ASSETS,IS_IMPAIRMENT_ASSETS,IS_IMPAIR_OF_INTANG_ASSETS,IS_SALE_OF_BUSINESS,IS_LEGAL_LITIGATION_SETTLEMENT,IS_GAIN_LOSS_ON_INVESTMENTS,IS_OTHER_ONE_TIME_ITEMS,IS_INC_TAX_EXP,IS_INC_BEF_XO_ITEM,XO_GL_NET_OF_TAX,IS_DISCONTINUED_OPERATIONS,EXTRAORD_ITEMS_ACCOUNTING_CHANGS,NI_INCLUDING_MINORITY_INT_RATIO,MIN_NONCONTROL_INTEREST_CREDITS,NET_INCOME,IS_TOT_CASH_PFD_DVD,OTHER_ADJUSTMENTS,EARN_FOR_COMMON,IS_NET_ABNORMAL_ITEMS,IS_AVG_NUM_SH_FOR_EPS,IS_EPS,IS_EARN_BEF_XO_ITEMS_PER_SH,IS_BASIC_EPS_CONT_OPS,IS_SH_FOR_DILUTED_EPS,IS_DILUTED_EPS,IS_DIL_EPS_BEF_XO,IS_DIL_EPS_CONT_OPS,ACCOUNTING_STANDARD,EBITDA,EBITDA_MARGIN,EBIT,GROSS_MARGIN,OPER_MARGIN,PROF_MARGIN,ACTUAL_SALES_PER_EMPL,RETURN_COM_EQY,RETURN_ON_ASSET,RETURN_ON_CAP,RETURN_ON_INV_CAPITAL,INCREMENTAL_OPERATING_MARGIN,PRETAX_INC_TO_NET_SALES,INC_BEF_XO_ITEMS_TO_NET_SALES,NET_INCOME_TO_COMMON_MARGIN,EFF_TAX_RATE
1990-03-30 00:00:00,995.839,645.811,350.028,658.773,,,,312.473,,,,,302.651,,,,,2269.7361,368.274,745.79,377.516,,,,137.66,,,,,,,,137.66,505.934,2775.6699,131.815,303.249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3006,1346.202,,609.59,,736.612,,537.44,,,,,,199.172,,,,,,,,216.092,,,,,,,,,,84.277,131.815,0,,,131.815,0,131.815,0,,131.815,,14219.408,0.0093,0.0093,0.0093,14219.408,0.0093,0.0093,0.0093,US GAAP,243.463,,199.172,54.7178,14.7951,9.7916,,,,,,,16.052,9.7916,9.7916,39.0005
1990-06-29 00:00:00,1043.777,664.973,378.804,705.508,,,,291.914,,,,,297.775,,,,,2338.9741,378.704,793.383,414.679,,,,171.858,,,,,,,,171.858,550.562,2889.5359,119.764,301.846,,,,,,,,,,,,,,,,,,,,,,,301.846,,,,,,,,2.5203,1364.76,,628.188,,736.572,,554.331,,,,,,182.241,,,,,,,,196.335,,,,,,,,,,76.571,119.764,0,,,119.764,0,119.764,0,,119.764,,13941.6476,0.0086,0.0086,0.0086,13941.6476,0.0086,0.0086,0.0086,US GAAP,232.099,,182.241,53.9708,13.3533,8.7755,,,,,,,14.386,8.7755,8.7755,39.0002
1990-09-28 00:00:00,997.091,374.682,622.409,761.868,,,,355.473,,,,,288.894,,,,,2403.3259,398.165,844.871,446.706,0,,,174.216,,,,,,,,174.216,572.381,2975.707,98.476,97.637,,,,,,,,,,,,,,,,,,,,,,,97.637,,,,,,,,0.9915,1354.09,,652.235,,701.855,,561.34,,,,,,140.515,,,,,,,,161.434,,,,,,,,,,62.958,98.476,0,,,98.476,0,98.476,0,,98.476,,13161.456,0.0072,0.0072,0.0072,13161.456,0.0072,0.0072,0.0072,US GAAP,201.299,16.456,140.515,51.8322,10.3771,7.2725,93205.5318,,,,,,11.922,7.2725,7.2725,38.9992
1990-12-31 00:00:00,983.714,739.303,244.411,853.457,,,,408.508,,,,,298.33,,,,,2544.009,436.252,916.997,480.745,0,,,176.997,,,,,,,,176.997,613.249,3157.2581,150.509,226.884,,,,,,,,,,,,,,,,,,,,,,,226.884,,,,,,,,1.5074,1675.506,,814.862,,860.644,,632.252,,,,,,228.392,,,,,,,,242.756,,,,,,,,,,92.247,150.509,0,,,150.509,0,150.509,0,,150.509,,13207.6003,0.0114,0.0114,0.0114,13207.6003,0.0114,0.0114,0.0114,US GAAP,275.523,16.5904,228.392,51.3662,13.6312,8.9829,,32.6218,16.7677,,29.1145,21.0341,14.4885,8.9829,8.9829,37.9999
1991-03-28 00:00:00,1041.294,874.333,166.961,790.932,,,,620.942,,,,,359.692,,,,,2812.8601,435.9,949.797,513.897,0,,,173.416,,,,,,,,173.416,609.316,3422.176,131.149,-18.118,,,,,,,,,,,,,,,,,,,,,,,-18.118,,,,,,,,-0.1381,1597.678,,818.607,,779.071,,592.526,,,,,,186.545,,,,,,,,211.53,,,,,,,,,,80.381,131.149,0,,,131.149,0,131.149,0,,131.149,,13679.1202,0.0096,0.0096,0.0096,13679.1202,0.0096,0.0096,0.0096,US GAAP,232.443,15.7103,186.545,48.7627,11.676,8.2087,,29.7092,16.1313,,,,13.2398,8.2087,8.2087,37.9998
1991-06-28 00:00:00,889.744,773.746,115.998,767.095,,,,733.347,,,,,438.148,,,,,2828.334,445.136,997.883,552.747,,,,181.991,,,,,,,,181.991,627.127,3455.4609,-53.055,-135.514,,,,,,,,,,,,,,,,,,,,,,,-135.514,,,,,,,,,1528.604,,828.354,,700.25,,565.048,,,,,,135.202,,,,,,,,-85.573,,,,,,,,,,-32.518,-53.055,0,,,-53.055,0,-53.055,0,,-53.055,,13419.84,-0.0039,-0.0039,-0.0039,13419.84,-0.0039,-0.0039,-0.0039,US GAAP,188.636,14.5861,135.202,45.8098,8.8448,-3.4708,,20.6151,10.3098,,25.4071,,-5.5981,-3.4708,-3.4708,
1991-09-30 00:00:00,892.719,604.147,288.572,907.159,,,,671.655,,,,,392.077,,,,,2863.6101,447.978,1036.014,588.036,0,,,182.009,,,,,,,,182.009,629.987,3493.5969,81.238,55.419,,,,,,,,,,,,,,,,,,,,,,,55.419,,,,,,,,0.6822,1507.061,,852.295,,654.7661,,533.513,,,,,,121.253,,,,,,,,131.031,,,,,,,,,,49.793,81.238,0,,,81.238,0,81.238,0,,81.238,,13209.0564,0.006,0.006,0.006,13209.0564,0.006,0.006,0.006,US GAAP,179.223,13.8825,121.253,43.4466,8.0457,5.3905,104424.9609,19.2837,9.5788,,18.4855,,8.6945,5.3905,5.3905,38.0009
1991-12-31 00:00:00,988.498,530.113,458.385,973.497,,,,643.347,,,,,466.208,,,,,3071.55,456.13,1046.6,590.47,0,,,217.784,,,,,,,,217.784,673.914,3745.4641,166.018,305.711,,,,,,,,,,,,,,,,,,,,,,,305.711,,,,,,,,1.8414,1862.6121,,1049.3311,,813.281,,550.627,,,,,,262.654,,,,,,,,267.771,,,,,,,,,,101.753,166.018,0,,,166.018,0,166.018,0,,166.018,,13678.7844,0.0121,0.0121,0.0121,13678.7844,0.0121,0.0121,0.0121,US GAAP,312.415,14.0505,262.654,43.6635,14.1014,8.9132,,18.7638,9.4267,,24.7038,18.3115,14.3761,8.9132,8.9132,38
1992-03-31 00:00:00,1335.855,766.843,569.012,873.319,,,,542.538,,,,,505.231,,,,,3256.9431,457.908,1072.718,614.81,,,,226.023,,,,,,,,226.023,683.931,3940.874,135.078,289.855,,,,,,,,,,,,,,,,,,,,,,,289.855,,,,,,,,2.1458,1716.025,,960.496,,755.5291,,545.124,,,,,,210.405,,,,,,,,217.869,,,,,,,,,,82.791,135.078,0,,,135.078,0,135.078,0,,135.078,,13892.704,0.0097,0.0097,0.0097,13892.704,0.0097,0.0097,0.0097,US GAAP,260.673,14.2259,210.405,44.0279,12.2612,7.8716,,16.8804,8.9441,,22.3379,20.161,12.6961,7.8716,7.8716,38.0004
1992-06-30 00:00:00,1475.563,731.298,744.265,956.629,,,,535.803,,,,,455.157,,,,,3423.1521,467.901,1110.567,642.666,,,,230.103,,,,,,,,230.103,698.004,4121.1558,131.665,267.08,,,,,,,,,,,,,,,,,,,,,,,267.08,,,,,,,,2.0285,1740.171,,968.844,,771.327,,570.266,,,,,,201.061,,,,,,,,212.363,,,,,,,,,,80.698,131.665,0,,,131.665,0,131.665,0,,131.665,,13768.9436,0.0096,0.0096,0.0096,13768.9436,0.0096,0.0096,0.0096,US GAAP,258.188,14.804,201.061,44.3248,11.5541,7.5662,,27.1401,13.568,,23.9135,31.1291,12.2036,7.5662,7.5662,38
